,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,ZIP,ZIP5,nteeFinal
908,245 PARK AVE,NEW YORK,0,0,10902003,3202200,36061.0,245 PARK AVE NEW YORK NY 10167-0002,PHOENIX CORPORATE TOWER FUNDING COMPANY INC,A60,3202200.0,3202200,NY,245 PARK AVE,10167-0002,10167.0,A60
909,245 PARK AVE,NEW YORK,0,0,10902004,2492000,36061.0,245 PARK AVE NEW YORK NY 10167-0002,CORNERSTONE TERRACE FUNDING COMPANY INC,A60,2492000.0,2492000,NY,245 PARK AVE,10167-0002,10167.0,A60
910,245 PARK AVE,NEW YORK,0,0,10902008,203609,36061.0,245 PARK AVE NEW YORK NY 10167-0002,DULLES STATION FUNDING COMPANY INC,A60,203609.0,203609,NY,245 PARK AVE,10167-0002,10167.0,A60
2682,PO BOX 260001,BELLROSE,0,72618,30560682,54281,36081.0,,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,A23,0.0,72618,NY,,11426-0001,11426.0,A23
4125,166 MADISON AVE FL 5,NEW YORK,0,0,42565109,275273,36061.0,166 MADISON AVE NEW YORK NY 10016-5432,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,203984.0,273163,NY,166 MADISON AVE,10016-5432,10016.0,A23
8695,PO BOX 5005,NEW YORK,0,0,61597372,2286505,36061.0,,LAKEMONT INDUSTRIAL HOLDING COMPANY,A60,6579384.0,6591232,NY,,10163-5005,10163.0,A60
9837,2366 CONEY ISLAND AVE,BROOKLYN,0,0,112022650,148700,36047.0,2366 CONEY ISLAND AVE BROOKLYN NY 11223-5002,AUTO BODY CRAFTSMENS GUILD INC,A40,140166.0,145116,NY,2366 CONEY ISLAND AVE,11223-5002,11223.0,A40
10128,1110 BRONX RIVER AVE,BRONX,0,0,112579110,46612,36005.0,1110 BRONX RIVER AVE BRONX NY 10472-3102,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,A65,47936.0,47936,NY,1110 BRONX RIVER AVE,10472-3102,10472.0,A65
10220,1401 BLONDELL AVE,BRONX,0,0,112689446,368167,36005.0,1401 BLONDELL AVE BRONX NY 10461-2622,PRODUCTION INDUSTRIAL TECHNICAL,A60,0.0,364478,NY,1401 BLONDELL AVE,10461-2622,10461.0,A60
10222,1401 BLONDELL AVE,BRONX,244887,0,112691482,6371254,36005.0,1401 BLONDELL AVE BRONX NY 10461-2622,PRODUCTION INDUSTRIAL TECH TEXTILE & PROF EMPLOYEES LOC 124 WLFR FUND,A40,6406293.0,6409355,NY,1401 BLONDELL AVE,10461-2622,10461.0,A40
10301,33 CENTER DR,WHITESTONE,0,7768,112803518,50623,36081.0,33 CENTER DR WHITESTONE NY 11357-1072,FRATERNAL CIRCLE OF NATIVES CONVERSAND INC,A23,0.0,28379,NY,33 CENTER DR,11357-1072,11357.0,A23
10472,7254 65TH PL,GLENDALE,0,0,113097379,252830,36081.0,7254 65TH PL GLENDALE NY 11385-6930,SERBIAN ASSOCIATION OF NEW YORK INC,A23,74675.0,218076,NY,7254 65TH PL,11385-6930,11385.0,A23
10493,,,0,607,113123913,44608,36081.0,,MALTESE CTR INC,A23,0.0,42601,NY,,11102,11102.0,A23
