,FILER,EIN,styear,ASCD,INCCD,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,SUBSECCD,POPCODE,REASON,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,v_errorCd,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
10567,990.0,112022650,1989,4,5,920,0,34775,0,0,2152,0,0,0,115300,115300,150075,101571,50954,0,0,32862,50954,0,0,50954,0,0,0,0,0,0,0,0,0,0,6,1,0,Y,AUTO BODY CRAFTSMENS GUILD,GLENDALE,NY,11385-7067,11385.0,36081.0,A01,A,11385.0,5602.0,5600.0,36081.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.36333000000000004,,,Z99,C,,36081.0,198912,198912,1989,NY,11385.0,GLENDALE,A40,A,12,920.0,0.0,0.0,65 60 MYRTLE AVE,3.0,0.0,2000.0,,2.0,11.0,0.0,10.0,0.0,1.0,6506.0,,PC,O,AR,A,IN,,A40,A,710000.0
10878,,112466553,1988,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,FORT GREENE RECREATION,BROOKLYN,NY,11205-2001,11205.0,36047.0,A99,A,11205.0,5602.0,5600.0,36047.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.69185,N,,A99,C,,36047.0,198812,198812,1988,NY,11205.0,BROOKLYN,N32,C,12,328.0,994.0,317.0,PO BOX 170551,3.0,199612.0,1000.0,,1.0,11.0,15.0,20.0,0.0,1.0,9203.0,,PC,O,AR,A,IN,,A99,A,710000.0
11035,,112557794,1988,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,BROAD CHANNEL VOLUNTEERS,BROAD CHANNEL,NY,11693-1037,11693.0,36081.0,A32,A,11693.0,5602.0,5600.0,36081.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.25605,C,,A32,C,,36081.0,198812,198812,1988,NY,11693.0,BROAD CHANNEL,A32,A,12,158.0,407.0,0.0,15 NOEL RD,3.0,0.0,1.0,,1.0,1.0,15.0,10.0,0.0,1.0,199801.0,,PC,O,AR,A,IN,,A32,A,513120.0
11068,990.0,112579110,1989,3,4,200,0,29034,0,0,248,4601,0,0,248,248,29282,31579,18801,0,0,21098,18801,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,N,NEW YORK OIL HEAT SERVICE MANAGERS ASSOC,BRONX,NY,10472-3102,10472.0,36005.0,A65,A,10472.0,5602.0,5600.0,36005.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.06954,C,,A65,C,,36005.0,198912,198912,1989,NY,10472.0,BRONX,A65,C,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,1000.0,% CHARLES WEINER,2.0,13.0,0.0,20.0,0.0,1.0,8311.0,,PC,O,AR,A,IN,,A65,A,711110.0
11208,990.0,112662416,1988,1,5,0,21847,0,0,0,0,0,0,0,216809,216809,238656,241262,799,0,0,4812,2206,1407,1407,0,0,0,0,0,0,0,0,0,0,0,0,1,7,N,JUBILATION DANCE,NEW YORK,NY,10001-4810,10001.0,36061.0,A62,A,10001.0,5602.0,5600.0,36061.0,U,O,AR,A,A,IN,,1,AR,AR,AR,0.7845,N,,A62,B,,36061.0,198812,198812,1988,NY,10001.0,NEW YORK,A62,B,12,,,,,,,,,,,,,,,,,PC,O,AR,A,IN,,A62,A,711120.0
11311,,112713273,1988,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,N,CRAFTSMEN ASSOC,CAMBRIA HEIGHTS,NY,11411-1230,11411.0,36081.0,A40,A,11411.0,5602.0,5600.0,36081.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.9263899999999999,,,Z99,C,,36081.0,198812,198812,1988,NY,11411.0,CAMBRIA HEIGHTS,A40,A,12,319.0,30.0,40.0,115 75 222ND ST,3.0,0.0,1000.0,,2.0,11.0,0.0,20.0,0.0,1.0,8503.0,,PC,O,AR,A,IN,,A40,A,710000.0
11445,990.0,112803536,1988,5,5,119,2910,552,0,0,4040,3419,0,0,98904,98904,102366,13833,152502,0,0,132030,153037,535,535,152502,0,0,0,0,0,0,0,0,0,0,4,1,0,Y,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO,ASTORIA,NY,11103-1264,11103.0,36081.0,A99,A,11103.0,5602.0,5600.0,36081.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.69472,,,Z99,B,,36081.0,198907,198907,1989,NY,11103.0,ASTORIA,A23,B,7,119.0,0.0,0.0,46 02 30TH AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,8707.0,ELLO INC,PC,O,AR,A,IN,,A23,A,710000.0
11582,,112892196,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,N,BALLET FOLKLORICO MEXICANO DE NUEVA YORK,SUNNYSIDE,NY,11104-0000,11104.0,36081.0,A19,A,11104.0,5602.0,5600.0,36081.0,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.24045999999999998,N,,A19,C,,36081.0,198812,198812,1988,NY,11104.0,SUNNYSIDE,A63,A,12,995.0,90.0,119.0,93 41 207TH ST,3.0,199812.0,2000.0,,1.0,11.0,16.0,10.0,0.0,1.0,9509.0,,PC,O,AR,A,IN,,A63,A,711120.0
11687,,112942081,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,N,NEW YORK DANCE ENSEMBLE CULTURAL & CIVIC ENRICHMENT,BROOKLYN,NY,11232-1111,11232.0,36047.0,A62,A,11232.0,5602.0,5600.0,36047.0,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.24574000000000001,N,,A62,A,,36047.0,198912,198912,1989,NY,11232.0,BROOKLYN,A62,A,12,90.0,0.0,0.0,156 23RD ST,3.0,0.0,1000.0,,1.0,11.0,15.0,20.0,0.0,1.0,9310.0,ICHMENT INC,PC,O,AR,A,IN,,A62,A,711120.0
11968,,116035572,1988,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,N,ASSOC ARCHITECTURAL & STORE FRONT CONTRACTORS,HOWARD BEACH,NY,11414-2415,11414.0,36081.0,A40,A,11414.0,5602.0,5600.0,36081.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.09869,,,Z99,C,,36081.0,198906,198906,1989,NY,11414.0,HOWARD BEACH,A40,A,6,200.0,0.0,0.0,90 53 SHORE PARKWAY,3.0,0.0,2000.0,,2.0,11.0,0.0,20.0,0.0,1.0,6312.0,TORS INC,PC,O,AR,A,IN,,A40,A,710000.0
12310,,116201446,1988,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,LIONS INTERNATION BROOKLYN HGWY,BROOKLYN,NY,11234-6721,11234.0,36047.0,A65,A,11234.0,5602.0,5600.0,36047.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.7459,,,Z99,C,,36047.0,198812,198812,1988,NY,11234.0,BROOKLYN,S80,A,12,88.0,0.0,0.0,145 BARLOW DR S,9.0,0.0,3000.0,% THOMAS SETARO,2.0,11.0,0.0,20.0,239.0,5.0,4012.0,8460,PC,O,AR,A,IN,,S80,S,813410.0
12346,990.0,130417765,1989,7,7,919,0,1022176,0,0,230419,0,0,0,2075514,2075514,3097690,2767057,1615307,574373,0,2524246,3059463,1244464,1444168,330621,0,0,0,0,0,0,0,0,0,0,6,1,0,Y,ADVERTISING RES FND,NEW YORK,NY,10022-4503,10022.0,36061.0,A30,A,10022.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.20092000000000002,,,Z99,C,,36061.0,198912,198912,1989,NY,10022.0,NEW YORK,A03,A,12,919.0,0.0,0.0,641 LEXINGTON AVE 11TH FLR,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4303.0,,PC,O,AR,A,IN,,A03,A,813920.0
12366,990.0,130448930,1988,7,7,65,0,120316,0,0,8544,0,0,0,964326,964326,1084642,974272,1092189,49220,0,1599646,1485144,535781,392955,0,0,0,0,0,0,0,0,0,0,0,6,1,0,Y,ART DIRECTORS CLUB,NEW YORK,NY,10003-1402,10003.0,36061.0,A25,A,10003.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.42783999999999994,N,,A99,A,,36061.0,198908,198908,1989,NY,10003.0,NEW YORK,A25,A,8,65.0,207.0,119.0,250 PARK AVE S,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3807.0,,PC,O,AR,A,IN,,A25,A,611610.0
12370,990.0,130452445,1989,6,7,59,0,2523890,0,0,41094,0,0,0,62694,62694,2586584,2394122,235839,306250,0,679140,762821,635763,526982,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,AMER BUSINESS PRESS,NEW YORK,NY,10017-5704,10017.0,36061.0,A01,A,10017.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.19722,,,Z99,C,,36061.0,199006,199006,1990,NY,10017.0,NEW YORK,A0330,A,6,59.0,200.0,0.0,675 3RD AVE RM 415,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3504.0,,PC,O,AR,A,IN,,S41,S,813910.0
