,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,VERIFY,OLDNTEE,NTEE2,RASCD,RINCCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,MAJGRPB,NTEESRC,ntmaj10,ntmaj5,fipsold,ntmaj12,nteeConf,TOTREV,PROGREV,RENTEXP,OTHINC,SPEVTG,FUNDINC,v_errorCd,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
166,10263908,666721,0,2880097,2872354,202244,116528,0,0,3653672,781318,4320393,799686,3727964,0,0,3254813,3754607,14015,26643,0,0,0,0,0,0,0,0,0,0,0,,A25Z,A6EZ,4.0,4.0,3.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,,200 PARK AVE S 1116,NEW YORK,NY,10003-1503,0.0,3.0,3.0,2000.0,194707.0,1.0,11.0,1.0,13.0,0.0,10.0,12,,46.0,119.0,30.0,B9710,,1.0,1,0,0.0,0,36061.0,,A25Z,A25,,PC,O,AR,A,IN,,1989,A,A25Z,0.0848166,10003.0,10003.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,1448039,571331,0,0,0,0,,1989,A25,198912,NY,10003.0,NEW YORK,,,PC,O,AR,A,IN,,A25,A
862,20223438,26262,0,17000,10712,84750,0,0,0,103627,92915,129889,56348,711989,0,0,649160,711989,0,0,0,0,0,0,0,0,0,0,0,0,0,,A80Z,,3.0,2.0,1.0,ST GAUDENS MEMORIAL,% FRANCIS F FAULKNER,17 E 47TH ST,NEW YORK,NY,10017-1920,0.0,3.0,3.0,1000.0,194703.0,1.0,17.0,1.0,13.0,0.0,10.0,12,,62.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A80Z,A80,,PC,O,AR,A,IN,,1989,A,A80Z,0.368614,10017.0,10017.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,119177,1877,0,0,0,0,,1989,A80,198912,NY,10017.0,NEW YORK,,,PC,O,AR,A,IN,,A80,A
1940,36010806,60324,0,0,0,4362,709,0,0,73924,73924,134248,137234,67703,15000,0,96537,79046,25848,11343,0,0,0,0,0,0,0,0,0,0,0,,A31Z,,1.0,2.0,2.0,INTERNATIONAL FILM SEMINARS INC,% FITTS & OLSON,462 BROADWAY,NEW YORK,NY,10013-2618,0.0,3.0,3.0,2000.0,196308.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,59.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A31Z,A31,,PC,O,AR,A,IN,,1989,A,A31Z,0.06496829999999999,10013.0,10013.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,134248,69562,0,0,0,0,,1989,A31,198912,NY,10013.0,NEW YORK,,,PC,O,AR,A,IN,,A31,A
2712,42163004,358701,106091,3241611,0,4407904,0,0,0,7776379,7776379,8241171,4670631,76503956,167750,0,72939849,76517492,6433,13536,0,0,0,0,0,0,0,0,0,0,0,S,A51Z,,6.0,5.0,4.0,STERLING & FRANCINE CLARK ART INST,% MINER D CRARY,60 E 42ND ST,NEW YORK,NY,10165-0006,0.0,3.0,3.0,1230.0,195109.0,1.0,17.0,1.0,13.0,0.0,10.0,6,VALERIE SCHUECKLER,119.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A51Z,A51,,PC,O,AR,A,IN,,1989,A,A51Z,0.5922609999999999,10165.0,10165.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,8241171,126864,0,0,0,0,,1990,A51,199006,NY,10165.0,NEW YORK,,,PC,O,AR,A,IN,,A51,A
3641,42575633,31540,0,0,0,0,0,0,0,20186,20186,51726,53153,6287,0,0,21329,28016,13615,21729,0,0,0,0,0,0,0,0,0,0,0,,A60Z,,1.0,1.0,1.0,SEVENARS CONCERTS INC,,30 E END AVE,NEW YORK,NY,10028-7053,0.0,3.0,3.0,2000.0,197611.0,1.0,15.0,1.0,1.0,0.0,10.0,12,,90.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1989,A,A60Z,0.464297,10028.0,10028.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,51726,20186,0,0,0,0,,1989,A68,198912,NY,10028.0,NEW YORK,,,PC,O,AR,A,IN,,A68,A
7563,60952015,81000,0,94680,228238,44674,0,0,0,139354,-88884,220354,8351,784133,0,0,800368,784133,0,0,0,0,0,0,0,0,0,0,0,0,0,,A68J,,3.0,2.0,1.0,RENEE B FISHER FOUNDATION,% MILTON FISHBN,2 W 45TH ST,NEW YORK,NY,10036-4212,0.0,3.0,3.0,1200.0,197910.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,995.0,119.0,602.0,B9710,,1.0,1,1,3.0,1,36061.0,,A68J,A12,6.0,PC,S,ZB,A,IN,,1989,A,A68J,0.830099,10036.0,10036.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,-7884,0,0,0,0,0,,1989,A12,198912,NY,10036.0,NEW YORK,,,PC,S,ZB,A,IN,,A12,A
8738,111532426,28025,0,0,0,38328,0,0,0,790754,790754,818779,808634,538776,0,0,581427,654769,52796,115993,0,0,0,0,0,0,0,0,0,0,0,,B99Z,,3.0,3.0,3.0,BROOKLYN CONSERVATORY OF MUSIC,,58 7TH AVE,BROOKLYN,NY,11217-3608,0.0,3.0,3.0,2000.0,194812.0,1.0,11.0,1.0,11.0,0.0,10.0,6,,46.0,119.0,30.0,B9710,,1.0,1,1,4.0,1,36047.0,,B99Z,B99,,PC,O,ED,B,IN,,1988,B,B99Z,0.352979,11217.0,11217.0,5602.0,5600.0,B,1,ED,ED,36047.0,ED,N,818779,752426,0,0,0,0,,1989,A6E,198906,NY,11217.0,BROOKLYN,,,PC,O,ED,B,IN,,A6E,A
8760,111630813,1361154,45855,1634781,1631223,151914,41729,0,0,1834134,202911,3241143,720644,3157101,0,0,3119213,3446907,851388,289806,0,0,0,0,0,0,0,0,0,0,0,,A82Z,,4.0,4.0,3.0,THE BROOKLYN HISTORICAL SOCIETY,,128 PIERREPONT ST,BROOKLYN,NY,11201-2711,0.0,3.0,3.0,2000.0,193412.0,1.0,15.0,1.0,11.0,0.0,10.0,4,,62.0,61.0,0.0,B9710,,1.0,1,1,4.0,1,36047.0,,A82Z,A80,,PC,O,AR,A,IN,,1988,A,A82Z,0.234882,11201.0,11201.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,1609920,47439,0,0,0,0,,1989,A80,198904,NY,11201.0,BROOKLYN,,,PC,O,AR,A,IN,,A82,A
8860,111672743,14067258,564306,108613,0,1075670,801815,695598,648329,4667690,3972092,19299254,17228598,23908504,0,0,24232206,25787629,1698760,1879125,0,0,0,0,0,0,0,0,0,0,0,S,A99Z,,6.0,6.0,6.0,BROOKLYN INSTITUTE OF ARTS AND SCIENCES,,200 EASTERN PKY,BROOKLYN,NY,11238-6052,0.0,3.0,3.0,1000.0,193506.0,1.0,15.0,1.0,11.0,0.0,10.0,6,BROOKLYN MUSEUM,119.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36047.0,,A99Z,A50,,PC,O,AR,A,IN,,1988,A,A99Z,0.136605,11238.0,11238.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,18603656,2139480,0,0,0,0,,1989,A51,198906,NY,11238.0,BROOKLYN,,,PC,O,AR,A,IN,,A51,A
8914,111773636,1262003,0,0,0,1361,51840,0,0,582341,582341,1844344,1810503,-186102,0,0,311931,448065,487844,634167,0,0,0,0,0,0,0,0,0,0,0,,A69Z,,2.0,4.0,4.0,BROOKLYN PHILHARMONIC SYMPHONY ORCHESTRA INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,2000.0,195601.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,0.0,1,0,0.0,0,36047.0,,A69Z,A69,,PC,O,AR,A,IN,,1988,A,A69Z,0.46564300000000003,11217.0,11217.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,1844344,580980,0,0,0,0,,1989,A69,198906,NY,11217.0,BROOKLYN,,,PC,O,AR,A,IN,,A69,A
