,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,p1tcont,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2TASFMV,P2CASHBV,P2MORTG
1020,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,42840186,1988,1988,6,5,60,311817,0,0,0,0,0,12895,0,0,324712,350449,-25737,307162,0,0,0,574922,0,0,574922,0,856,NANTUCKET LIGHTSHIP PRESERVATION,NEW YORK,NY,10022-6022,Z,Z99,0.824917,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,,,,198812,198812,NY,10022.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A80,A,,,
1875,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,46124122,1989,1989,6,5,602,300,0,50635,44081,0,0,0,0,56000,95016,63135,31881,56190,88658,887,51210,649480,628538,0,727563,32355,33242,NATHANIEL SALTONSTALL ARTS FND,NEW YORK,NY,10017-2415,Z,Z99,0.358756,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,196101.0,198912,198912,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,17 E 45TH ST,3.0,0.0,1000.0,% BETHAN LING & RUTA,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
1889,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,46128361,1990,1989,7,6,119,0,9877,70986,0,0,0,35,0,22000,80898,55846,25052,42237,131038,2621,0,1332044,1332044,0,1593074,47301,73105,KOUSSEVITZKY MUSIC FND,NEW YORK,NY,10048-0203,Z,Z99,0.698499,36061.0,10048.0,10048.0,5602.0,5600.0,36061.0,4.0,,194206.0,199003,199003,NY,10048.0,NEW YORK,PF,O,UN,Z,IN,,3,40.0,0.0,200 PARK AVE,3.0,0.0,1200.0,% E J FRIEDMAN,1.0,14.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
2471,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60742976,1990,1989,5,5,59,85750,632,0,0,0,14565,0,0,0,100947,88165,12782,72968,632,13,0,182278,0,432,182278,0,8767,WHITE BARN THEATRE FND,NEW YORK,NY,10022-1012,Z,Z99,0.687135,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,3.0,,195207.0,199006,199006,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,111 W 40TH ST 20TH FL,3.0,0.0,2000.0,HECHT AND COMPANY P C,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
2497,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60952239,1989,1989,2,1,0,0,346,0,0,0,0,0,0,200,346,236,110,0,346,7,346,5325,0,0,5325,251,258,JAMES SINGER MEM FND,BROOKLYN,NY,11210-0000,Z,Z99,0.740725,36047.0,11210.0,11210.0,5602.0,5600.0,36047.0,,,,198912,198912,NY,11210.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,,
3198,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112405463,1989,1989,1,1,328,0,42,0,0,0,0,0,0,0,42,0,42,0,0,0,0,775,0,0,775,0,0,KHANDIT ARTS,E ELMHURST,NY,11369-2044,Z,Z99,0.39777199999999996,36081.0,11369.0,11369.0,5602.0,5600.0,36081.0,,,,198912,198912,NY,11369.0,E ELMHURST,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A99,A,,,
3251,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112538932,1989,1989,4,2,40,0,8909,278,0,0,0,0,0,79345,9187,79481,-70294,79345,9051,181,9051,35645,0,0,35645,0,3487,RICHARD H GOLDMAN MEM FOUNDA TION,NEW YORK,NY,10021-5704,Z,Z99,0.469154,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198107.0,198912,198912,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,40 TIFFANY CIR,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,,
3255,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112545501,1990,1989,2,2,40,8700,80,0,0,0,0,0,0,8666,8780,9190,-410,9190,80,2,80,7100,0,0,7100,0,370,EDDIE BARNES MEM MUSIC SCHOLAR SHIP FND,QUEENS VILLAGE,NY,11427-1824,Z,Z99,0.916731,36081.0,11427.0,11427.0,5602.0,5600.0,36081.0,4.0,,8110.0,199005,199005,NY,11427.0,QUEENS VILLAGE,PF,O,UN,Z,IN,,5,0.0,0.0,212 75 WHITEHALL TER,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,N,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
3317,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112634917,1990,1989,3,4,349,400,536,0,0,0,0,46650,15951,0,47586,40033,7553,40033,0,0,0,10774,0,3745,10774,0,0,INST THEATRE LEARNING,FRESH MEADOWS,NY,11365-1634,Z,Z99,0.837209,36081.0,11365.0,11365.0,5602.0,5600.0,36081.0,4.0,,198305.0,199006,199006,NY,11365.0,FRESH MEADOWS,PF,O,UN,Z,IN,,6,0.0,0.0,56 15A UTOPIA PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,,
3343,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112668888,1987,1987,1,2,90,50,0,0,0,0,0,6483,0,0,6533,7205,-672,7205,0,0,0,157,0,0,157,0,24,ARGENTINE & IBEROAMERICAN FOLK ART FND,NEW YORK,NY,10024-2941,Z,Z99,0.9485979999999999,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,,,,198712,198712,NY,10024.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1224,A,,,
