,FILER,ACTIVCD1,SUBSECCD,POPCODE,styear,REASON,CODE990,INCCD,ASCD,EIN,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,LEVEL3,LEVEL4,RandNum,nteeConf,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
10345,990.0,920,6,1,1989,0,1,4,3,112022650,0,34775,0,0,2152,0,0,0,115300,115300,150075,101571,50954,0,0,32862,50954,0,0,50954,0,0,0,0,0,0,0,0,0,0,Y,AUTO BODY CRAFTSMENS GUILD,GLENDALE,NY,11385-7067,11385.0,36081,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.39181,,A,IN,,Q,AR,AR,AR,Z99,C,,,198912,198912,1989,NY,11385.0,,A40,A,12,920.0,0.0,0.0,65 60 MYRTLE AVE,3.0,0.0,2000.0,,2.0,11.0,0.0,10.0,0.0,1.0,6506.0,,PC,O,AR,A,OUT,S,A40,A,710000.0
10643,,301,4,0,1988,0,1,0,0,112466553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,FORT GREENE RECREATION INC,BROOKLYN,NY,11217-0551,11217.0,36047,A99,A,11217.0,5602.0,5600.0,36047.0,,O,O,AR,A,0.37623,,A,IN,,Q,AR,AR,AR,Z99,C,,36047.0,198812,198812,1988,NY,11217.0,BROOKLYN,N32,C,12,328.0,994.0,317.0,PO BOX 170551,3.0,199612.0,1000.0,,1.0,11.0,15.0,20.0,0.0,1.0,9203.0,,PC,O,AR,A,IN,,A99,A,710000.0
10779,,998,4,0,1988,0,1,0,0,112557794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,BROAD CHANNEL VOLUNTEERS INC,BROAD CHANNEL,NY,11693-1037,11693.0,36081,A32,A,,5602.0,5600.0,,,O,O,AR,A,0.36335,,A,IN,,Q,AR,AR,AR,Z99,C,,,198812,198812,1988,,,,A32,A,12,158.0,407.0,0.0,15 NOEL RD,3.0,0.0,1.0,,1.0,1.0,15.0,10.0,0.0,1.0,199801.0,,PC,O,AR,A,OUT,S,A32,A,513120.0
10811,990.0,200,12,1,1990,10,1,3,2,112579110,0,26933,0,0,262,6384,0,0,262,262,27195,29128,16868,0,0,18801,16868,0,0,0,0,0,0,0,0,0,0,0,0,0,N,NEW YORK OIL HEAT SERVICE MANAGERS ASSOC,BRONX,NY,10472-3102,10472.0,36005,A65,A,,5602.0,5600.0,,,O,O,AR,A,0.26203000000000004,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10472.0,,A65,C,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,1000.0,% CHARLES WEINER,2.0,13.0,0.0,20.0,0.0,1.0,8311.0,,PC,O,AR,A,OUT,S,A65,A,711110.0
10825,990.0,124,5,1,1988,7,1,3,1,112584796,37855,0,0,0,0,2900,0,0,0,0,37855,33455,7010,9100,2900,2610,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,N,CARIBBEAN MEDIA STUDIES INC,BROOKLYN,NY,11203-6608,11203.0,36047,A30,A,,5602.0,5600.0,,,O,O,AR,A,0.0074,,A,IN,,Q,AR,AR,AR,Z99,B,,,198812,198812,1988,NY,11203.0,,A30,B,12,124.0,125.0,123.0,968 E 49TH ST,3.0,0.0,1000.0,,1.0,11.0,15.0,20.0,0.0,1.0,8101.0,,PC,O,AR,A,OUT,S,A30,A,510000.0
11060,,319,7,0,1988,0,1,0,0,112713273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,THE CRAFTSMEN ASSOCIATION,CAMBRIA HEIGHTS,NY,11411-1230,11411.0,36081,A40,A,,5602.0,5600.0,,,O,O,AR,A,0.7409,,A,IN,,Q,AR,AR,AR,Z99,C,,,198812,198812,1988,NY,11411.0,,A40,A,12,319.0,30.0,40.0,115 75 222ND ST,3.0,0.0,1000.0,,2.0,11.0,0.0,20.0,0.0,1.0,8503.0,,PC,O,AR,A,OUT,S,A40,A,710000.0
11130,,091,5,0,1989,0,1,0,0,112771371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,BROOKLYN WATERFRONT ARTISTS COALITION INC,BROOKLYN,NY,11202-0002,11202.0,36047,A01,A,11202.0,5602.0,5600.0,36047.0,,O,O,AR,A,0.39425,,A,IN,,Q,AR,AR,AR,Z99,B,,36047.0,198912,198912,1989,NY,11202.0,BROOKLYN,A0140,B,12,91.0,90.0,119.0,PO BOX 020072,3.0,0.0,2000.0,,1.0,11.0,15.0,20.0,0.0,1.0,8609.0,,PC,O,AR,A,IN,,A0140,A,813319.0
11210,990.0,119,4,1,1989,0,1,4,4,112803536,2537,808,0,0,5975,2140,0,0,113636,113636,116981,17386,179714,0,0,153037,180249,535,535,179714,0,0,0,0,0,0,0,0,0,0,Y,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO,ASTORIA,NY,11103-1264,11103.0,36081,A99,A,,5602.0,5600.0,,,O,O,AR,A,0.97806,,A,IN,,Q,AR,AR,AR,Z99,B,,,199007,199007,1990,NY,11103.0,,A23,B,7,119.0,0.0,0.0,46 02 30TH AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,8707.0,ELLO INC,PC,O,AR,A,OUT,S,A23,A,710000.0
11274,,088,5,0,1989,0,1,0,0,112844682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,REDEEMER ASTORIA ARTS CENTER INC,ASTORIA,NY,11102-0000,11102.0,36081,A99,A,,5602.0,5600.0,,,O,O,AR,A,0.71005,,A,IN,,Q,AR,AR,AR,Z99,C,,,198912,198912,1989,NY,11102.0,,A20,B,12,88.0,90.0,91.0,30 14 CRESCENT ST,3.0,,1000.0,,,,16.0,,,,8705.0,,PC,O,AR,A,OUT,S,A20,A,710000.0
11364,,000,3,0,1988,0,1,0,0,112892196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,BALLET FOLKLORICO MEXICANO DE NUEVA YORK,QUEENS VILLAGE,NY,11428-1045,11428.0,36081,A19,A,,5602.0,5600.0,,,PC,O,AR,A,0.84214,,A,IN,,Q,AR,AR,AR,Z99,C,,,198812,198812,1988,,,,A63,A,12,995.0,90.0,119.0,93 41 207TH ST,3.0,199812.0,2000.0,,1.0,11.0,16.0,10.0,0.0,1.0,9509.0,,PC,O,AR,A,OUT,S,A63,A,711120.0
11531,990.0,000,3,1,1990,7,1,4,4,112981112,384292,0,0,0,853,16534,0,0,853,853,385145,439226,-54081,9908,0,0,136490,0,190571,0,0,0,0,0,0,0,0,0,0,0,N,MESORAH HERITAGE FOUNDATION,BROOKLYN,NY,11232-4212,11232.0,36047,A05,A,11232.0,5602.0,5600.0,36047.0,,PC,O,AR,A,0.24208000000000002,,A,IN,,Q,AR,AR,AR,Z99,A,,36047.0,199012,199012,1990,NY,11232.0,BROOKLYN,A0582,A,12,8.0,0.0,0.0,4401 2ND AVE,3.0,0.0,1000.0,,1.0,11.0,15.0,10.0,0.0,1.0,9403.0,,PC,O,AR,A,IN,,A0582,A,541720.0
11800,,200,6,0,1988,0,1,0,0,116035572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,ASSOCIATION OF ARCHITECTURAL & STORE FRONT CONTRAC,HOWARD BEACH,NY,11414-2415,11414.0,36081,A40,A,,5602.0,5600.0,,,O,O,AR,A,0.19318,,A,IN,,Q,AR,AR,AR,Z99,C,,,198906,198906,1989,NY,11414.0,,A40,A,6,200.0,0.0,0.0,90 53 SHORE PARKWAY,3.0,0.0,2000.0,,2.0,11.0,0.0,20.0,0.0,1.0,6312.0,TORS INC,PC,O,AR,A,OUT,S,A40,A,710000.0
12093,,088,4,0,1990,0,1,0,0,116201446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,LIONS INTERNATION BROOKLYN HGWY,BROOKLYN,NY,11234-6721,11234.0,36047,A65,A,,5602.0,5600.0,,,O,O,AR,A,0.75938,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,11234.0,,S80,A,12,88.0,0.0,0.0,145 BARLOW DR S,9.0,0.0,3000.0,% THOMAS SETARO,2.0,11.0,0.0,20.0,239.0,5.0,4012.0,8460,PC,O,AR,A,OUT,S,S80,S,813410.0
12144,990.0,919,6,1,1990,0,1,6,6,130417765,0,1030196,0,0,237288,0,0,0,2317707,2317707,3347903,3047604,1921994,549054,0,3059463,3282176,1444168,1360117,300364,0,0,0,0,0,0,0,0,0,0,Y,ADVERTISING RES FND,NEW YORK,NY,10022-4503,10022.0,36061,A30,A,,5602.0,5600.0,,,O,O,AR,A,0.13249,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10022.0,,A03,A,12,919.0,0.0,0.0,641 LEXINGTON AVE 11TH FLR,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4303.0,,PC,O,AR,A,OUT,S,A03,A,813920.0
12164,990.0,065,6,1,1989,0,1,5,6,130448930,0,113729,0,0,5282,0,0,0,866497,866497,980226,967922,1021990,63713,0,1485144,1439270,392955,417280,0,0,0,0,0,0,0,0,0,0,0,Y,ART DIRECTORS CLUB,NEW YORK,NY,10003-1402,10003.0,36061,A25,A,,5602.0,5600.0,,,O,O,AR,A,0.46047,,A,IN,,Q,AR,AR,AR,Z99,A,,,199008,199008,1990,NY,10003.0,,A25,A,8,65.0,207.0,119.0,250 PARK AVE S,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3807.0,,PC,O,AR,A,OUT,S,A25,A,611610.0
12168,990.0,059,6,1,1989,0,1,6,5,130452445,0,2523890,0,0,41094,0,0,0,62694,62694,2586584,2394122,235839,306250,0,679140,762821,635763,526982,0,0,0,0,0,0,0,0,0,0,0,N,AMER BUSINESS PRESS,NEW YORK,NY,10017-5704,10017.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.44097,,A,IN,,Q,AR,AR,AR,Z99,C,,,199006,199006,1990,NY,10017.0,,A0330,A,6,59.0,200.0,0.0,675 3RD AVE RM 415,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3504.0,,PC,O,AR,A,OUT,S,S41,S,813910.0
