,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,VERIFY,OLDNTEE,NTEE2,RASCD,RINCCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,MAJGRPB,NTEESRC,ntmaj10,ntmaj5,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,TOTREV,PROGREV,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,FUNDINC,PROGREV2
168,10263908,956350,0,1045083,1034641,194881,91416,0,0,1647076,612435,2603426,879688,4298284,84289,0,3754607,4327929,26643,29645,0,0,0,0,0,0,0,0,0,0,0,,A25Z,A6EZ,4.0,4.0,3.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,,200 PARK AVE S 1116,NEW YORK,NY,10003-1503,0.0,3.0,3.0,2000.0,194707.0,1.0,11.0,1.0,13.0,0.0,10.0,12,,46.0,119.0,30.0,B9710,,1.0,1,0,0.0,0,36061.0,,A25Z,A25,,PC,O,AR,A,IN,,1990,A,A25Z,0.841434,10003.0,10003.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A25,199012,1568785,0,NY,10003.0,NEW YORK,,,PC,O,AR,A,IN,,A25,A,,417554
919,20223438,71614,0,0,0,46225,0,0,0,47942,47942,119556,106571,724974,0,0,711989,724974,0,0,0,0,0,0,0,0,0,0,0,0,0,,A80Z,,3.0,2.0,2.0,ST GAUDENS MEMORIAL,% FRANCIS F FAULKNER,17 E 47TH ST,NEW YORK,NY,10017-1920,0.0,3.0,3.0,1000.0,194703.0,1.0,17.0,1.0,13.0,0.0,10.0,12,,62.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A80Z,A80,,PC,O,AR,A,IN,,1990,A,A80Z,0.9268700000000001,10017.0,10017.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A80,199012,119556,0,NY,10017.0,NEW YORK,,,PC,O,AR,A,IN,,A80,A,,1717
2075,36010806,115589,0,0,0,4046,125,0,0,84151,84151,199740,167642,99801,0,0,79046,114307,11343,14506,0,0,0,0,0,0,0,0,0,0,0,,A31Z,,2.0,2.0,2.0,INTERNATIONAL FILM SEMINARS INC,% FITTS & OLSON,462 BROADWAY,NEW YORK,NY,10013-2618,0.0,3.0,3.0,2000.0,196308.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,59.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A31Z,A31,,PC,O,AR,A,IN,,1990,A,A31Z,0.746472,10013.0,10013.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A31,199012,199740,0,NY,10013.0,NEW YORK,,,PC,O,AR,A,IN,,A31,A,,80105
2838,42163004,91575,77575,0,0,4614493,0,0,0,9380810,9380810,9549960,5728453,80325464,187400,0,76517492,80348876,13536,23412,0,0,0,0,0,0,0,0,0,0,0,S,A51Z,,6.0,5.0,5.0,STERLING & FRANCINE CLARK ART INST,% MINER D CRARY,60 E 42ND ST,NEW YORK,NY,10165-0006,0.0,3.0,3.0,1230.0,195109.0,1.0,17.0,1.0,13.0,0.0,10.0,6,VALERIE SCHUECKLER,119.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A51Z,A51,,PC,O,AR,A,IN,,1990,A,A51Z,0.359993,10165.0,10165.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A51,199106,9549960,0,NY,10165.0,NEW YORK,,,PC,O,AR,A,IN,,A51,A,,4766317
3763,42575633,28889,0,0,0,0,0,0,0,16275,16275,45164,45795,5656,0,0,28016,24536,21729,18880,0,0,0,0,0,0,0,0,0,0,0,,A60Z,,1.0,1.0,1.0,SEVENARS CONCERTS INC,,30 E END AVE,NEW YORK,NY,10028-7053,0.0,3.0,3.0,2000.0,197611.0,1.0,15.0,1.0,1.0,0.0,10.0,12,,90.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1990,A,A60Z,0.9690000000000001,10028.0,10028.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A68,199012,45164,0,NY,10028.0,NEW YORK,,,PC,O,AR,A,IN,,A68,A,,16275
7876,60952015,124052,0,91227,103141,55072,0,0,0,146299,43158,270351,12920,938423,0,0,784133,938423,0,0,0,0,0,0,0,0,0,0,0,0,0,,A68J,,3.0,2.0,1.0,RENEE B FISHER FOUNDATION,% MILTON FISHBN,2 W 45TH ST,NEW YORK,NY,10036-4212,0.0,3.0,3.0,1200.0,197910.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,995.0,119.0,602.0,B9710,,1.0,1,1,6.0,1,36061.0,,A68J,A12,6.0,PC,S,ZB,A,IN,,1990,A,A68J,0.553815,10036.0,10036.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A12,199012,167210,0,NY,10036.0,NEW YORK,,,PC,S,ZB,A,IN,,A12,A,,-11914
8621,61219644,34537,0,0,0,0,0,0,0,21696,21696,56233,59863,-3530,0,0,100,100,0,3630,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,CATSKILL ACTORS THEATRE INC,,116 PINEHURST AVE APT 21,NEW YORK,NY,10033-1755,0.0,3.0,3.0,1000.0,198803.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,0.0,0,1,4.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.015487299999999999,10033.0,10033.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A65,199012,56233,0,NY,10033.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A,,21696
9156,110054122,46100,0,0,0,0,0,0,0,0,0,46100,32223,15561,0,0,1684,15561,0,0,0,0,0,0,0,0,0,0,0,0,0,,E99Z,,1.0,1.0,1.0,THE VILNA PROJECT INC,,130 W 57TH ST,NEW YORK,NY,10019-3325,0.0,3.0,3.0,1000.0,199404.0,1.0,15.0,1.0,13.0,0.0,20.0,12,,165.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,E99Z,E99,,PC,O,HE,E,IN,,1990,E,E99Z,0.6648109999999999,10019.0,10019.0,5602.0,5600.0,E,1,HE,HE,36061.0,,HE,1990,E99,199012,46100,0,NY,10019.0,NEW YORK,,,PC,O,HE,E,IN,,A23,A,,0
9173,111532426,12265,0,0,0,31812,0,0,0,897659,897659,909924,994679,454019,0,0,654769,634300,115993,180279,0,0,0,0,0,0,0,0,0,0,0,,B99Z,,3.0,3.0,3.0,BROOKLYN CONSERVATORY OF MUSIC,,58 7TH AVE,BROOKLYN,NY,11217-3608,0.0,3.0,3.0,2000.0,194812.0,1.0,11.0,1.0,11.0,0.0,10.0,6,,46.0,119.0,30.0,B9710,,1.0,1,1,4.0,1,36047.0,,B99Z,B99,,PC,O,ED,B,IN,,1989,B,B99Z,0.8204309999999999,11217.0,11217.0,5602.0,5600.0,B,1,ED,ED,36047.0,,ED,1990,A6E,199006,909924,0,NY,11217.0,BROOKLYN,,,PC,O,ED,B,IN,,A6E,A,,865847
9195,111630813,915325,46597,703700,561121,127376,23159,0,0,896808,335687,1858730,1010554,3444156,0,0,3446907,4263225,289806,819069,0,0,0,0,0,0,0,0,0,0,0,,A82Z,,4.0,4.0,4.0,THE BROOKLYN HISTORICAL SOCIETY,,128 PIERREPONT ST,BROOKLYN,NY,11201-2711,0.0,3.0,3.0,2000.0,193412.0,1.0,15.0,1.0,11.0,0.0,10.0,4,,62.0,61.0,0.0,B9710,,1.0,1,1,4.0,1,36047.0,,A82Z,A80,,PC,O,AR,A,IN,,1989,A,A82Z,0.451589,11201.0,11201.0,5602.0,5600.0,A,1,AR,AR,36047.0,,AR,1990,A80,199004,1297609,0,NY,11201.0,BROOKLYN,,,PC,O,AR,A,IN,,A82,A,,208311
