,EIN,FisYr,STYEAR,CODE990,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2TASFMV,P2CASHBV,P2MORTG
1023,42840186,1990,1990,2,1,1,60,5000,0,0,0,0,0,0,0,0,5000,5952,-952,0,0,0,0,1,0,0,1,0,24,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NANTUCKET LIGHTSHIP PRESERVATION,NEW YORK,NY,10022-6022,Z,Z99,0.766224,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10022.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A80,A,,,
1890,46124122,1990,1990,3,5,4,602,300,0,52782,0,-6252,0,0,0,51000,46830,59826,-12996,54396,48702,487,48702,638508,574880,0,690378,0,33443,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NATHANIEL SALTONSTALL ARTS FND,NEW YORK,NY,10017-2415,Z,Z99,0.48203500000000005,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,196101.0,199012,199012,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,17 E 45TH ST,3.0,0.0,1000.0,% BETHAN LING & RUTA,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
1904,46128361,1991,1990,3,6,5,119,0,13708,68626,0,0,0,0,0,134250,82334,174616,-92282,159139,199713,3994,0,1372619,1184746,0,1719338,0,81565,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,KOUSSEVITZKY MUSIC FND,NEW YORK,NY,10048-0203,Z,Z99,0.977368,36061.0,10048.0,10048.0,5602.0,5600.0,36061.0,4.0,,194206.0,199103,199103,NY,10048.0,NEW YORK,PF,O,UN,Z,IN,,3,40.0,0.0,200 PARK AVE,3.0,0.0,1200.0,% E J FRIEDMAN,1.0,14.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
2518,60742976,1990,1989,3,4,4,59,85750,632,0,0,0,14565,0,0,0,100947,88165,12782,72968,632,13,0,182278,0,432,182278,0,8767,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,WHITE BARN THEATRE FND,NEW YORK,NY,10022-1012,Z,Z99,0.0351548,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,3.0,,195207.0,199006,199006,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,111 W 40TH ST 20TH FL,3.0,0.0,2000.0,HECHT AND COMPANY P C,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
2543,60952239,1989,1989,3,1,1,0,0,346,0,0,0,0,0,0,200,346,236,110,0,346,7,346,5325,0,0,5325,251,258,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,JAMES SINGER MEM FND,BROOKLYN,NY,11210-0000,Z,Z99,0.0814306,36047.0,11210.0,11210.0,5602.0,5600.0,36047.0,,,,198912,198912,NY,11210.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,,
2758,61286112,1991,1990,2,2,2,92,13650,0,0,0,0,0,3298,0,0,16948,6386,10562,6386,0,0,3298,10562,0,0,10562,0,308,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FREUD LITERARY HERITAGE FND,NEW YORK,NY,10024-1513,Z,Z99,0.447404,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,3.0,,9006.0,199111,199111,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,300 CENTRAL PARK WEST,3.0,0.0,1000.0,% K R EISSLER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,,
3256,112405463,1990,1990,3,1,1,328,0,42,0,0,0,0,0,0,0,42,0,42,0,0,0,0,775,0,0,775,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,KHANDIT ARTS,E ELMHURST,NY,11369-2044,Z,Z99,0.616799,36081.0,11369.0,11369.0,5602.0,5600.0,36081.0,,,,199012,199012,NY,11369.0,E ELMHURST,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A99,A,,,
3305,112538932,1990,1990,3,1,1,40,0,2064,0,0,0,0,0,0,33250,2064,33476,-31412,33250,1838,37,1838,6311,0,0,6311,0,1084,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,RICHARD H GOLDMAN MEM FOUNDA TION,NEW YORK,NY,10021-5704,Z,Z99,0.8533700000000001,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198107.0,199012,199012,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,40 TIFFANY CIR,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,,
3309,112545501,1991,1990,3,1,1,40,5500,161,0,0,0,0,0,0,5337,5661,5775,-114,5775,161,2,161,6986,0,0,6986,0,347,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,EDDIE BARNES MEM MUSIC SCHOLAR SHIP FND,QUEENS VILLAGE,NY,11427-1824,Z,Z99,0.39769499999999997,36081.0,11427.0,11427.0,5602.0,5600.0,36081.0,4.0,,8110.0,199105,199105,NY,11427.0,QUEENS VILLAGE,PF,O,UN,Z,IN,,5,0.0,0.0,212 75 WHITEHALL TER,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,N,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
3367,112634917,1991,1990,3,1,3,349,1305,290,0,0,0,0,27209,12697,0,28804,35302,-6498,32607,0,0,0,3561,0,3030,3561,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,INST THEATRE LEARNING,FRESH MEADOWS,NY,11365-1634,Z,Z99,0.45513000000000003,36081.0,11365.0,11365.0,5602.0,5600.0,36081.0,4.0,,198305.0,199106,199106,NY,11365.0,FRESH MEADOWS,PF,O,UN,Z,IN,,6,0.0,0.0,56 15A UTOPIA PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,,
