,FILER,CODE990,EIN,styear,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,POPCD,REASON,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
10643,990.0,1,112022650,1989,920,0,34775,0,0,2152,0,0,0,115300,115300,150075,101571,50954,0,0,32862,50954,0,0,50954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,Y,AUTO BODY CRAFTSMENS GUILD,GLENDALE,NY,11385-7067,11385.0,36081,A01,A,11385.0,5602.0,5600.0,36081.0,,O,O,0.07126,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,198912,150075,198912,1989,NY,11385.0,GLENDALE,A40,A,12,920.0,0.0,0.0,65 60 MYRTLE AVE,3.0,0.0,2000.0,,2.0,11.0,0.0,10.0,0.0,1.0,6506.0,,PC,O,AR,A,IN,,A40,A,710000.0
11108,990.0,1,112579110,1991,200,0,33343,0,0,257,16146,0,0,257,257,33600,37725,12743,0,0,16868,12743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,10,N,NEW YORK OIL HEAT SERVICE MANAGERS ASSOC,BRONX,NY,10472-3102,10472.0,36005,A65,A,10472.0,5602.0,5600.0,36005.0,,O,O,0.5784100000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36005.0,199112,33600,199112,1991,NY,10472.0,BRONX,A65,C,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,1000.0,% CHARLES WEINER,2.0,13.0,0.0,20.0,0.0,1.0,8311.0,,PC,O,AR,A,IN,,A65,A,711110.0
11447,990.0,1,112803536,1990,119,2990,848,0,0,0,0,0,0,79510,79510,83348,18522,195467,0,0,180249,196002,535,535,0,0,0,0,0,0,0,0,0,0,0,0,49073,0,16155,14282,4,1,0,Y,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO,ASTORIA,NY,11103-1264,11103.0,36081,A99,A,11103.0,5602.0,5600.0,36081.0,,O,O,0.50693,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,199107,34275,199107,1991,NY,11103.0,ASTORIA,A23,B,7,119.0,0.0,0.0,46 02 30TH AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,8707.0,ELLO INC,PC,O,AR,A,IN,,A23,A,710000.0
11498,,1,112844682,1989,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,N,REDEEMER ASTORIA ARTS CTR,ASTORIA,NY,11102-0000,11102.0,36081,A99,A,,5602.0,5600.0,,,O,O,0.54504,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,198912,0,198912,1989,NY,,ASTORIA,A20,B,12,88.0,90.0,91.0,30 14 CRESCENT ST,3.0,,1000.0,,,,16.0,,,,8705.0,,PC,O,AR,A,IN,,A20,A,710000.0
11916,,1,113074080,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,N,MARGINS JOURNAL,BROOKLYN,NY,11201-4579,11201.0,36047,A33,A,11201.0,5602.0,5600.0,36047.0,,PC,O,0.21795,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36047.0,199112,0,199112,1991,NY,11201.0,BROOKLYN,A33,A,12,92.0,120.0,0.0,92ND ST AND 7TH AVE,3.0,0.0,1000.0,% POLY PREP C D S,1.0,11.0,16.0,10.0,0.0,1.0,9402.0,,PC,O,AR,A,IN,,A33,A,511100.0
12365,,1,116201446,1990,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,LIONS INTERNATION BROOKLYN HGWY,BROOKLYN,NY,11234-6721,11234.0,36047,A65,A,11234.0,5602.0,5600.0,36047.0,,O,O,0.54235,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36047.0,199012,0,199012,1990,NY,11234.0,BROOKLYN,S80,A,12,88.0,0.0,0.0,145 BARLOW DR S,9.0,0.0,3000.0,% THOMAS SETARO,2.0,11.0,0.0,20.0,239.0,5.0,4012.0,8460,PC,O,AR,A,IN,,S80,S,813410.0
12420,990.0,1,130417765,1991,919,0,996660,0,0,166565,0,0,0,2011723,2011723,3008383,2971073,1940308,566961,0,2981812,3208612,1360117,1268304,37310,0,0,0,0,0,0,0,0,0,0,0,0,1845158,0,0,6,1,0,Y,ADVERTISING RES FND,NEW YORK,NY,10022-4503,10022.0,36061,A30,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.42586,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,3008383,199112,1991,NY,10022.0,NEW YORK,A03,A,12,919.0,0.0,0.0,641 LEXINGTON AVE 11TH FLR,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4303.0,,PC,O,AR,A,IN,,A03,A,813920.0
12440,990.0,1,130448930,1990,65,0,133283,0,0,2941,0,0,0,953513,953513,1086796,1079642,952548,57500,0,1439270,1450875,417280,498327,0,0,0,0,0,0,0,0,0,0,0,0,0,821724,0,128848,6,1,0,Y,ART DIRECTORS CLUB,NEW YORK,NY,10003-1402,10003.0,36061,A25,A,10003.0,5602.0,5600.0,36061.0,,O,O,0.41835,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199108,1086796,199108,1991,NY,10003.0,NEW YORK,A25,A,8,65.0,207.0,119.0,250 PARK AVE S,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3807.0,,PC,O,AR,A,IN,,A25,A,611610.0
12444,990.0,1,130452445,1991,59,0,2607636,0,0,34767,0,0,0,84767,84767,2692403,2585236,574326,442741,0,882919,914555,415760,340229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,6,1,0,N,AMER BUSINESS PRESS,NEW YORK,NY,10017-5704,10017.0,36061,A01,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.9284600000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199206,2692403,199206,1992,NY,10017.0,NEW YORK,A0330,A,6,59.0,200.0,0.0,675 3RD AVE RM 415,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3504.0,,PC,O,AR,A,IN,,S41,S,813910.0
12452,990.0,1,130453230,1990,919,0,3828410,0,0,74222,0,0,0,1403736,1403736,5232146,4889971,459315,753077,0,1735696,2448062,1618556,1988747,459315,0,0,0,0,0,0,0,0,0,0,0,0,1329015,0,499,6,1,0,Y,ASSOC NAT ADVERTISERS,NEW YORK,NY,10017-4201,10017.0,36061,A30,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.66575,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199111,5232146,199111,1991,NY,10017.0,NEW YORK,S41,A,11,919.0,205.0,0.0,155 E 44TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,5.0,4208.0,,PC,O,AR,A,IN,,S41,S,813910.0
