,OLDNTEE,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VOK,VBS,VINCTYPE,VINCEXP,VFB,TOTREV,RASCD,RINCCD,RREVCD,REXPCD,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2TASFMV
175,A25Z,10263908,815214,0,4409872,4418754,188829,97761,0,0,5045039,626285,5860253,885351,4702042,131426,0,4327929,4734650,29645,32609,0,0,0,0,0,0,0,0,0,0,0,0,152390,292044,0,1904,,A6EZ,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,,200 PARK AVE S 1116,NEW YORK,NY,10003-1503,0.0,3.0,3.0,2000.0,194707.0,1.0,11.0,1.0,13.0,0.0,10.0,12,,46.0,119.0,30.0,B9710,,1,1,6.0,1,1.0,1289109,4.0,5.0,4.0,3.0,36061.0,,A25Z,A25,,PC,O,AR,A,IN,,1991,A,A25Z,0.7800729999999999,10003.0,10003.0,5602.0,5600.0,36061.0,,AR,1991,A25,199112,NY,10003.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A25,A,
962,A80Z,20223438,68875,0,35000,24547,52387,0,0,0,88965,64418,157840,154087,701480,0,0,724974,701480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578,,,ST GAUDENS MEMORIAL,% FRANCIS F FAULKNER,17 E 47TH ST,NEW YORK,NY,10017-1920,0.0,3.0,3.0,1000.0,194703.0,1.0,17.0,1.0,13.0,0.0,10.0,12,,62.0,0.0,0.0,B9710,,1,1,3.0,1,1.0,133293,3.0,2.0,2.0,2.0,36061.0,,A80Z,A80,,PC,O,AR,A,IN,,1991,A,A80Z,0.35541100000000003,10017.0,10017.0,5602.0,5600.0,36061.0,,AR,1991,A80,199112,NY,10017.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A80,A,
2184,A31Z,36010806,51567,0,0,0,4162,0,0,0,60368,60368,111935,110817,100919,0,0,114307,108985,14506,8066,0,0,0,0,0,0,0,0,0,0,0,0,0,56206,0,0,,,INTERNATIONAL FILM SEMINARS INC,% FITTS & OLSON,462 BROADWAY,NEW YORK,NY,10013-2618,0.0,3.0,3.0,2000.0,196308.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,59.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,111935,2.0,2.0,2.0,2.0,36061.0,,A31Z,A31,,PC,O,AR,A,IN,,1991,A,A31Z,0.0525649,10013.0,10013.0,5602.0,5600.0,36061.0,,AR,1991,A31,199112,NY,10013.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A31,A,
2935,A51Z,42163004,124445,134083,2473708,0,4371043,0,0,0,6975454,6975454,7233982,4284792,83274654,194720,0,80348876,83280764,23412,6110,0,0,0,0,0,0,0,0,0,0,0,0,0,16615,0,43681,S,,STERLING & FRANCINE CLARK ART INST,% MINER D CRARY,60 E 42ND ST,NEW YORK,NY,10165-0006,0.0,3.0,3.0,1230.0,195109.0,1.0,17.0,1.0,13.0,0.0,10.0,6,VALERIE SCHUECKLER,119.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,7233982,6.0,5.0,5.0,4.0,36061.0,,A51Z,A51,,PC,O,AR,A,IN,,1991,A,A51Z,0.277569,10165.0,10165.0,5602.0,5600.0,36061.0,,AR,1992,A51,199206,NY,10165.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A51,A,
3841,A60Z,42575633,27630,0,0,0,2533,0,0,0,21834,21834,49464,55257,-137,0,0,24536,36123,18880,36260,0,0,0,0,0,0,0,0,0,0,0,0,0,8886,0,10415,,,SEVENARS CONCERTS INC,,30 E END AVE,NEW YORK,NY,10028-7053,0.0,3.0,3.0,2000.0,197611.0,1.0,15.0,1.0,1.0,0.0,10.0,12,,90.0,0.0,0.0,B9710,,1,1,6.0,1,0.0,49464,1.0,1.0,1.0,1.0,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1991,A,A60Z,0.874589,10028.0,10028.0,5602.0,5600.0,36061.0,,AR,1991,A68,199112,NY,10028.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A68,A,
8147,A68J,60952015,124052,0,91227,103141,55072,0,0,0,146299,43158,270351,12920,938423,0,0,784133,938423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,RENEE B FISHER FOUNDATION,% MILTON FISHBN,2 W 45TH ST,NEW YORK,NY,10036-4212,0.0,3.0,3.0,1200.0,197910.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,995.0,119.0,602.0,B9710,,1,1,6.0,1,1.0,167210,3.0,2.0,2.0,1.0,36061.0,,A68J,A68,6.0,PC,O,AR,A,IN,,1990,A,A68J,0.581066,10036.0,10036.0,5602.0,5600.0,36061.0,,AR,1990,A68,199012,NY,10036.0,NEW YORK,,,A,AR,AR,PC,S,ZB,,IN,,A12,A,
8897,A65Z,61219644,26673,0,0,0,0,0,0,0,2637,2637,29310,19356,3500,0,0,4600,4500,11054,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,2637,0,0,,,CATSKILL ACTORS THEATRE INC,,116 PINEHURST AVE APT 21,NEW YORK,NY,10033-1755,0.0,3.0,3.0,1000.0,198803.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,29310,1.0,1.0,1.0,1.0,36061,,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.778554,10033.0,10033.0,5602.0,5600.0,36061.0,,AR,1991,A65,199112,NY,10033.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A,
9021,A65Z,61267752,17345,0,0,0,0,0,0,0,23725,23725,41070,40848,253,0,0,4031,1853,4000,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,23725,0,0,,,29TH STREET REPERTORY THEATRE INC,% TIMOTHY J CORCORAN,212 W 29TH ST,NEW YORK,NY,10001-5201,0.0,3.0,3.0,2000.0,199104.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,41070,1.0,1.0,1.0,1.0,36061,,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.546978,10001.0,10001.0,5602.0,5600.0,36061.0,,AR,1991,A65,199112,NY,10001.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A,
9071,A65Z,61297352,280414,0,0,0,5508,9000,0,0,6508,6508,286922,206567,80355,0,9000,0,871583,0,791228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,NIGHT KITCHEN INC,,10 E 53RD ST,NEW YORK,NY,10022-5244,0.0,3.0,3.0,1000.0,199008.0,1.0,15.0,1.0,13.0,199406.0,10.0,6,,200.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,286922,3.0,2.0,2.0,2.0,36061,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.8554700000000001,10022.0,10022.0,5602.0,5600.0,36061.0,,AR,1991,A65,199106,NY,10022.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A,
9115,A26Z,61313662,509850,0,0,0,13430,0,0,0,13430,13430,523280,13890,509389,0,0,0,509389,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,THE ELIZABETH FOUNDATION FOR THE ARTS,% JANE STEPHENSON,PO BOX 2670,NEW YORK,NY,10036-0000,0.0,3.0,3.0,1000.0,199211.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,91.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,523280,3.0,3.0,3.0,1.0,36061,,A26Z,A26,,PC,O,AR,A,IN,,1991,A,A26Z,0.972756,10036.0,10036.0,5602.0,5600.0,36061.0,,AR,1991,A90,199112,NY,10036.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A90,A,
