,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,PF23,PF24,PF25,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
1025,2,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,42840186,1990,1990,60,5000,0,0,0,0,0,0,0,0,5000,5952,-952,0,0,0,0,1,0,0,0,0,0,1,0,24,NANTUCKET LIGHTSHIP PRESERVATION,NEW YORK,NY,10022-6022,Z,Z99,0.135641,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10022.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A80,A,,
1925,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,46124122,1991,1991,602,0,1244,53088,29028,0,0,0,0,65500,83360,71793,11567,68013,79280,793,60445,650049,222285,201921,46352,470558,0,801208,0,35773,NATHANIEL SALTONSTALL ARTS FND,NEW YORK,NY,10017-2415,Z,Z99,0.953259,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,196101.0,199112,199112,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,17 E 45TH ST,3.0,0.0,1000.0,% BETHAN LING & RUTA,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
1939,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,46128361,1992,1991,119,7607,10993,65227,0,0,0,29,0,69500,83856,111115,-27259,93066,159775,1598,0,1439357,524970,770103,0,1295073,0,1877390,0,88569,KOUSSEVITZKY MUSIC FND,NEW YORK,NY,10048-0203,Z,Z99,0.529658,36061.0,10048.0,10048.0,5602.0,5600.0,36061.0,4.0,,194206.0,199203,199203,NY,10048.0,NEW YORK,PF,O,UN,Z,IN,,3,40.0,0.0,200 PARK AVE,3.0,0.0,1200.0,% E J FRIEDMAN,1.0,14.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
2574,3,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60742976,1991,1990,59,115240,672,0,0,0,0,16520,0,0,132432,130873,1559,113668,672,7,0,183931,0,0,0,0,526,183931,0,9018,WHITE BARN THEATRE FND,NEW YORK,NY,10022-1012,Z,Z99,0.899122,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,3.0,,195207.0,199106,199106,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,111 W 40TH ST 20TH FL,3.0,0.0,2000.0,HECHT AND COMPANY P C,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
2598,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60952239,1990,1990,0,0,106,0,0,0,0,0,0,0,106,30,76,30,106,1,106,0,0,0,0,0,0,0,87,88,JAMES SINGER MEM FND,BROOKLYN,NY,11210-0000,Z,Z99,0.717859,36047.0,11210.0,11210.0,5602.0,5600.0,36047.0,,,,199012,199012,NY,11210.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,
2818,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,61286112,1992,1991,92,50500,1405,0,0,0,0,0,0,9500,51905,10301,41604,10301,1405,28,0,52166,0,0,0,0,0,52166,0,1766,FREUD LITERARY HERITAGE FND,NEW YORK,NY,10024-1513,Z,Z99,0.402196,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,3.0,,9006.0,199211,199211,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,300 CENTRAL PARK WEST,3.0,0.0,1000.0,% K R EISSLER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
2822,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,61301161,1990,1990,91,98557,0,0,0,0,0,0,0,0,98557,42294,56263,42294,0,0,0,58029,0,0,0,0,1766,58029,0,2858,KOURI FND ARTS,NEW YORK,NY,10017-2426,Z,Z99,0.43432600000000005,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,3.0,,9107.0,199012,199012,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,565 FIFTH AVE 15TH FLR,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
3331,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112405463,1990,1990,328,0,42,0,0,0,0,0,0,0,42,0,42,0,0,0,0,775,0,0,0,0,0,775,0,0,KHANDIT ARTS,E ELMHURST,NY,11369-2044,Z,Z99,0.022767,36081.0,11369.0,11369.0,5602.0,5600.0,36081.0,,,,199012,199012,NY,11369.0,E ELMHURST,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A99,A,,
3378,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112538932,1991,1991,40,0,312,0,0,0,0,0,0,1000,312,1088,-776,1000,224,4,224,5535,0,0,0,0,0,5535,0,292,RICHARD H GOLDMAN MEM FOUNDA TION,NEW YORK,NY,10021-5704,Z,Z99,0.43176099999999995,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198107.0,199112,199112,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,40 TIFFANY CIR,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,
3382,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112545501,1992,1991,40,9000,71,0,0,0,0,0,0,7402,9071,7738,1333,7738,71,1,71,8319,0,0,0,0,0,8319,0,376,EDDIE BARNES MEM MUSIC SCHOLAR SHIP FND,QUEENS VILLAGE,NY,11427-1824,Z,Z99,0.815905,36081.0,11427.0,11427.0,5602.0,5600.0,36081.0,4.0,,8110.0,199205,199205,NY,11427.0,QUEENS VILLAGE,PF,O,UN,Z,IN,,5,0.0,0.0,212 75 WHITEHALL TER,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,N,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
