,FILER,CODE990,ACTIVCD1,POPCODE,REASON,EIN,styear,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,P6UNRELB,ASCD,INCCD,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
10645,990.0,1,920,1,0,112022650,1992,2600,22500,0,0,1296,1637,0,0,51939,51939,77039,54266,38292,0,0,39211,43128,4453,4836,38292,0,0,0,0,0,0,0,0,0,0,0,19239,24870,5406,1128,6,Y,3,3,AUTO BODY CRAFTSMENS GUILD,GLENDALE,NY,11385-7067,11385.0,36081.0,A01,A,11385.0,5602.0,5600.0,36081.0,,O,O,0.156,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199212,57800,199212,1992,NY,11385.0,GLENDALE,A40,A,12,920.0,0.0,0.0,65 60 MYRTLE AVE,3.0,0.0,2000.0,,2.0,11.0,0.0,10.0,0.0,1.0,6506.0,,PC,O,AR,A,IN,,A40,A,710000.0
11098,990.0,1,200,1,0,112579110,1992,0,26940,0,0,146,8188,0,0,146,146,27086,26320,13509,0,0,12743,13509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,N,2,3,NEW YORK OIL HEAT SERVICE MANAGERS ASSOC,BRONX,NY,10472-3102,10472.0,36005.0,A65,A,10472.0,5602.0,5600.0,36005.0,,O,O,0.8003899999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36005.0,199212,27086,199212,1992,NY,10472.0,BRONX,A65,C,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,1000.0,% CHARLES WEINER,2.0,13.0,0.0,20.0,0.0,1.0,8311.0,,PC,O,AR,A,IN,,A65,A,711110.0
11397,990.0,1,119,1,0,112803536,1992,1971,912,0,0,0,0,0,0,94967,94967,97850,25705,205207,0,0,215514,225742,20535,20535,205207,0,0,0,0,0,0,0,0,0,0,15141,46776,0,22091,0,4,Y,4,3,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO,ASTORIA,NY,11103-1264,11103.0,36081.0,A99,A,11103.0,5602.0,5600.0,36081.0,,O,O,0.59482,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,199307,35933,199307,1993,NY,11103.0,ASTORIA,A23,B,7,119.0,0.0,0.0,46 02 30TH AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,8707.0,ELLO INC,PC,O,AR,A,IN,,A23,A,710000.0
11624,,1,994,0,0,112976829,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,N,0,0,AMER MEDALLIC SCULPTURE ASSOC,NEW YORK,NY,10021-0467,10021.0,36061.0,A40,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.5719,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199112,0,199112,1991,NY,10021.0,NEW YORK,A40,A,12,91.0,0.0,0.0,1394 3RD AVE,3.0,0.0,1000.0,% GANZ HOLLINGER & TOWE,1.0,13.0,4.0,1.0,0.0,1.0,9003.0,,PC,O,AR,A,IN,,A40,A,710000.0
11824,,1,0,0,0,113074080,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,N,0,0,MARGINS JOURNAL,BROOKLYN,NY,11201-4579,11201.0,36047.0,A33,A,11201.0,5602.0,5600.0,36047.0,,PC,O,0.29205,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36047.0,199112,0,199112,1991,NY,11201.0,BROOKLYN,A33,A,12,92.0,120.0,0.0,92ND ST AND 7TH AVE,3.0,0.0,1000.0,% POLY PREP C D S,1.0,11.0,16.0,10.0,0.0,1.0,9402.0,,PC,O,AR,A,IN,,A33,A,511100.0
11887,,1,0,0,0,113106129,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,N,0,0,HAI LAN CHINESE AMER CULTURAL SOC,NYC,NY,10017-2927,10017.0,36061.0,A23,A,10017.0,5602.0,5600.0,36061.0,,PC,O,0.54919,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199212,0,199212,1992,NY,10017.0,NYC,A23,A,12,995.0,90.0,0.0,225 E 46TH ST 8C,3.0,199703.0,2000.0,,1.0,13.0,16.0,20.0,0.0,1.0,9402.0,,PC,O,AR,A,IN,,A23,A,710000.0
11915,,1,0,0,0,113121207,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,N,0,0,B KING PRODUCTIONS,NEW YORK,NY,10022-6022,10022.0,36061.0,A60,A,10022.0,5602.0,5600.0,36061.0,,PC,O,0.5343899999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199212,0,199212,1992,NY,10022.0,NEW YORK,A60,B,12,994.0,122.0,121.0,1841 BROADWAY STE 600,3.0,199612.0,2000.0,% BECKER LONDON KOSSOW,1.0,13.0,15.0,20.0,0.0,1.0,9402.0,,PC,O,AR,A,IN,,A60,A,711100.0
12356,,1,88,0,0,116201446,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,N,0,0,LIONS INTERNATION BROOKLYN HGWY,BROOKLYN,NY,11234-6721,11234.0,36047.0,A65,A,11234.0,5602.0,5600.0,36047.0,,O,O,0.47489,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36047.0,199012,0,199012,1990,NY,11234.0,BROOKLYN,S80,A,12,88.0,0.0,0.0,145 BARLOW DR S,9.0,0.0,3000.0,% THOMAS SETARO,2.0,11.0,0.0,20.0,239.0,5.0,4012.0,8460,PC,O,AR,A,IN,,S80,S,813410.0
12407,990.0,1,919,1,0,130417765,1992,0,913108,0,0,164771,0,0,0,2191911,2191911,3105019,3194071,1794256,586346,0,3208612,3083044,1268304,1288788,0,0,0,0,0,0,0,0,0,0,0,0,0,2027140,0,0,6,Y,6,6,ADVERTISING RES FND,NEW YORK,NY,10022-4503,10022.0,36061.0,A30,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.18135,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199212,3105019,199212,1992,NY,10022.0,NEW YORK,A03,A,12,919.0,0.0,0.0,641 LEXINGTON AVE 11TH FLR,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4303.0,,PC,O,AR,A,IN,,A03,A,813920.0
12427,990.0,1,65,1,0,130448930,1991,0,113907,0,0,804,0,0,0,889408,889408,1003315,1090611,744476,68504,0,1450875,1352316,498327,607840,0,0,0,0,0,0,0,0,0,0,0,0,0,757671,0,130933,6,Y,6,6,ART DIRECTORS CLUB,NEW YORK,NY,10003-1402,10003.0,36061.0,A25,A,10003.0,5602.0,5600.0,36061.0,,O,O,0.5446300000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199208,1003315,199208,1992,NY,10003.0,NEW YORK,A25,A,8,65.0,207.0,119.0,250 PARK AVE S,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3807.0,,PC,O,AR,A,IN,,A25,A,611610.0
12431,990.0,1,59,1,0,130452445,1991,0,2607636,0,0,34767,0,0,0,84767,84767,2692403,2585236,574326,442741,0,882919,914555,415760,340229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,6,N,5,6,AMER BUSINESS PRESS,NEW YORK,NY,10017-5704,10017.0,36061.0,A01,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.87284,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199206,2692403,199206,1992,NY,10017.0,NEW YORK,A0330,A,6,59.0,200.0,0.0,675 3RD AVE RM 415,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3504.0,,PC,O,AR,A,IN,,S41,S,813910.0
12439,990.0,1,919,1,0,130453230,1991,0,3962831,0,0,67858,0,0,0,1538575,1538575,5501406,5120322,840399,868372,0,2448062,3298509,1988747,2458110,840399,0,0,0,0,0,0,0,0,0,0,0,0,1466440,0,4277,6,Y,6,7,ASSOC NAT ADVERTISERS,NEW YORK,NY,10017-4201,10017.0,36061.0,A30,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.16413,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199211,5501406,199211,1992,NY,10017.0,NEW YORK,S41,A,11,919.0,205.0,0.0,155 E 44TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,5.0,4208.0,,PC,O,AR,A,IN,,S41,S,813910.0
12448,,1,298,0,0,130508050,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,N,0,0,BOHEMIAN BENEVOLENT & LITERARY ASSOC NEW YORK CITY,NEW YORK,NY,10021-3705,10021.0,36061.0,A70,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.89786,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199306,0,199306,1993,NY,10021.0,NEW YORK,A23,B,6,298.0,318.0,319.0,321 E 73RD ST,3.0,0.0,3000.0,JAN HIRD POKORNY PRESIDENT,2.0,13.0,0.0,10.0,0.0,5.0,6501.0,TY,PC,O,AR,A,IN,,A23,A,710000.0
12521,990.0,1,279,1,0,130872850,1992,0,1069746,0,0,2651,0,0,0,240344,240344,1310090,1328068,155288,164379,0,265031,268100,30827,112812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237693,5,N,4,6,INTL PHOTO LOCAL 644 IATSE,NEW YORK,NY,10018-6505,10018.0,36061.0,A65,A,,5602.0,5600.0,,,O,O,0.6025699999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199305,1310090,199305,1993,NY,,NEW YORK,A65,A,5,279.0,268.0,0.0,505 EIGHTH AVE,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4104.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,J40,J,813930.0
12533,990.0,1,119,1,0,130951470,1992,0,1527200,0,0,132082,0,0,0,800442,800442,2327642,2116573,1513368,830915,0,1996246,2220105,693250,706737,1513368,0,0,0,0,2150,0,0,0,0,0,0,0,635079,0,33281,6,N,6,6,LEAGUE AMER THEATRES & PRODUCERS,NEW YORK,NY,10036-1413,10036.0,36061.0,A99,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.30224,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199308,2327642,199308,1993,NY,10036.0,NEW YORK,A0365,A,8,119.0,205.0,279.0,226 W 47TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4210.0,,PC,O,AR,A,IN,,A0365,A,813920.0
12536,990.0,1,119,1,9,130971750,1992,5305,3259,0,0,43,0,0,0,284683,284683,293247,281924,29306,0,0,38410,43972,15209,14665,0,0,0,0,0,0,0,0,0,0,0,0,5218,168207,1237,109977,7,N,3,4,LIEDERKRANZ CITY NEW YORK,NEW YORK,NY,10128-0505,10128.0,36061.0,A6A,A,10128.0,5602.0,5600.0,36061.0,,O,O,0.37576,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199306,288029,199306,1993,NY,10128.0,NEW YORK,A6A,A,6,119.0,916.0,318.0,6 E 87TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3907.0,,PC,O,AR,A,IN,,A6A,A,711130.0
