,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,OLDNTEE,NTEE2,TOTREV,RASCD,RINCCD,RREVCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
172,10263908,629677,0,2266106,2175869,178387,70178,6532,1986,2869954,687553,3499631,948841,4967537,0,0,4734650,5040727,32609,73190,0,0,0,0,0,0,0,0,0,0,0,0,102893,305850,0,8200,,A25Z,A6EZ,1214337,5.0,4.0,4.0,3.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,,200 PARK AVE S 1116,NEW YORK,NY,10003-1503,0.0,3.0,3.0,2000.0,194707.0,1.0,11.0,1.0,13.0,0.0,10.0,12,,46.0,119.0,30.0,B9710,,1.0,1,1,6.0,1,36061.0,,A25Z,A25,,PC,O,AR,A,IN,,1992,A,A25Z,0.226753,10003.0,10003.0,5602.0,5600.0,36061.0,,AR,1992,A25,199212,NY,10003.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A25,A
984,20223438,81520,0,48000,34619,69057,0,0,0,118580,83961,200100,81233,785728,0,0,701480,785728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,,A80Z,,165481,3.0,2.0,2.0,1.0,ST GAUDENS MEMORIAL,% FRANCIS F FAULKNER,17 E 47TH ST,NEW YORK,NY,10017-1920,0.0,3.0,3.0,1000.0,194703.0,1.0,17.0,1.0,13.0,0.0,10.0,12,,62.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A80Z,A80,,PC,O,AR,A,IN,,1992,A,A80Z,0.209468,10017.0,10017.0,5602.0,5600.0,36061.0,,AR,1992,A80,199212,NY,10017.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A80,A
2272,36010806,51081,0,0,0,2746,0,0,0,65108,65108,116189,111292,105816,0,0,108985,114536,8066,8720,0,0,0,0,0,0,0,0,0,0,0,0,0,62362,0,0,,A31Z,,116189,2.0,2.0,2.0,2.0,INTERNATIONAL FILM SEMINARS INC,% FITTS & OLSON,462 BROADWAY,NEW YORK,NY,10013-2618,0.0,3.0,3.0,2000.0,196308.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,59.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A31Z,A31,,PC,O,AR,A,IN,,1992,A,A31Z,0.8587379999999999,10013.0,10013.0,5602.0,5600.0,36061.0,,AR,1992,A31,199212,NY,10013.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A31,A
3030,42163004,98468,96921,7958677,0,4226297,0,0,0,12338126,12338126,12533515,4506474,91301695,204890,0,83280764,91308984,6110,7289,0,0,0,0,0,0,0,0,0,0,0,0,0,39493,0,43243,S,A51Z,,12533515,6.0,6.0,6.0,4.0,STERLING & FRANCINE CLARK ART INST,% MINER D CRARY,60 E 42ND ST,NEW YORK,NY,10165-0006,0.0,3.0,3.0,1230.0,195109.0,1.0,17.0,1.0,13.0,0.0,10.0,6,VALERIE SCHUECKLER,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A51Z,A51,,PC,O,AR,A,IN,,1992,A,A51Z,0.541378,10165.0,10165.0,5602.0,5600.0,36061.0,,AR,1993,A51,199306,NY,10165.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
3936,42575633,24336,0,0,0,0,0,0,0,22404,22404,46740,43578,3025,0,0,36123,44691,36260,41666,0,0,0,0,0,0,0,0,0,0,0,0,0,14077,0,8327,,A60Z,,46740,1.0,1.0,1.0,1.0,SEVENARS CONCERTS INC,,30 E END AVE,NEW YORK,NY,10028-7053,0.0,3.0,3.0,2000.0,197611.0,1.0,15.0,1.0,1.0,0.0,10.0,12,,90.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1992,A,A60Z,0.775832,10028.0,10028.0,5602.0,5600.0,36061.0,,AR,1992,A68,199212,NY,10028.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
8495,60952015,251250,0,289287,344313,42072,0,0,0,331359,-12954,582609,13736,1227909,0,0,926353,1227909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A68J,,238296,4.0,3.0,2.0,1.0,RENEE B FISHER FOUNDATION,% MILTON FISHBN,2 W 45TH ST,NEW YORK,NY,10036-4212,0.0,3.0,3.0,1200.0,197910.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,995.0,119.0,602.0,B9710,,1.0,1,0,1.0,0,36061.0,,A68J,A68,6.0,PC,O,AR,A,IN,,1992,A,A68J,0.6456850000000001,10036.0,10036.0,5602.0,5600.0,36061.0,,AR,1992,A68,199212,NY,10036.0,NEW YORK,,,A,AR,AR,PC,S,ZB,,IN,,A12,A
9253,61219644,25831,0,0,0,0,0,0,0,25771,25771,51602,52782,-1180,0,0,1000,1100,1000,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,25770,0,0,,A65Z,,51602,1.0,1.0,1.0,1.0,CATSKILL ACTORS THEATRE INC,,116 PINEHURST AVE APT 21,NEW YORK,NY,10033-1755,0.0,3.0,3.0,1000.0,198803.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,0.0,0,1,6.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.734533,10033.0,10033.0,5602.0,5600.0,36061.0,,AR,1992,A65,199212,NY,10033.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9305,61240889,12000,0,0,0,0,0,0,0,49097,49097,61097,61097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49097,0,0,,A6FZ,,61097,0.0,1.0,1.0,1.0,THEATREMOVES INC,NEIL INTRAUB,PO BOX 1333,NEW YORK,NY,10009-8902,0.0,3.0,3.0,1000.0,199001.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A6FZ,A6F,,PC,O,AR,A,IN,,1992,A,A6FZ,0.158474,10009.0,10009.0,5602.0,5600.0,36061.0,,AR,1993,A65,199306,NY,10009.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9376,61267752,1125,0,0,0,0,0,0,0,52404,52404,53529,51128,2654,0,0,253,2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52404,0,0,,A65Z,,53529,1.0,1.0,1.0,1.0,29TH STREET REPERTORY THEATRE INC,% TIMOTHY J CORCORAN,212 W 29TH ST,NEW YORK,NY,10001-5201,0.0,3.0,3.0,2000.0,199104.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.569752,10001.0,10001.0,5602.0,5600.0,36061.0,,AR,1992,A65,199212,NY,10001.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9441,61297352,403523,0,0,0,5604,5357,0,0,5604,5604,409127,479471,10011,237834,2500,871583,621863,791228,611852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,409127,3.0,2.0,2.0,2.0,NIGHT KITCHEN INC,,10 E 53RD ST,NEW YORK,NY,10022-5244,0.0,3.0,3.0,1000.0,199008.0,1.0,15.0,1.0,13.0,199406.0,10.0,6,,200.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.0234295,10022.0,10022.0,5602.0,5600.0,36061.0,,AR,1992,A65,199206,NY,10022.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9504,61313662,509850,0,0,0,13430,0,0,0,13430,13430,523280,13890,509389,0,0,0,509389,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A26Z,,523280,3.0,3.0,3.0,1.0,THE ELIZABETH FOUNDATION FOR THE ARTS,% JANE STEPHENSON,PO BOX 2670,NEW YORK,NY,10036-0000,0.0,3.0,3.0,1000.0,199211.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,91.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A26Z,A26,,PC,O,AR,A,IN,,1991,A,A26Z,0.9366709999999999,10036.0,10036.0,5602.0,5600.0,36061.0,,AR,1991,A90,199112,NY,10036.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A90,A
9996,110054122,48748,0,0,0,0,0,0,0,0,0,48748,43544,11646,0,0,6442,11646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,E99Z,,48748,1.0,1.0,1.0,1.0,THE VILNA PROJECT INC,,130 W 57TH ST,NEW YORK,NY,10019-3325,0.0,3.0,3.0,1000.0,199404.0,1.0,15.0,1.0,13.0,0.0,20.0,12,,165.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,E99Z,E99,,PC,O,HE,E,IN,,1992,E,E99Z,0.05121749999999999,10019.0,10019.0,5602.0,5600.0,36061.0,,HE,1992,E99,199212,NY,10019.0,NEW YORK,,,E,HE,HE,PC,O,HE,E,IN,,A23,A
10018,111532426,64418,0,0,0,24336,0,0,0,930030,930030,994448,1000773,380699,0,0,542499,550700,155475,170001,0,0,0,0,0,0,0,0,0,0,0,0,0,873429,0,32265,,B99Z,,994448,3.0,3.0,3.0,4.0,BROOKLYN CONSERVATORY OF MUSIC,,58 7TH AVE,BROOKLYN,NY,11217-3608,0.0,3.0,3.0,2000.0,194812.0,1.0,11.0,1.0,11.0,0.0,10.0,6,,46.0,119.0,30.0,B9710,,1.0,1,1,6.0,1,36047.0,,B99Z,B99,,PC,O,ED,B,IN,,1991,B,B99Z,0.9695090000000001,11217.0,11217.0,5602.0,5600.0,36047.0,,ED,1992,A6E,199206,NY,11217.0,BROOKLYN,,,B,ED,ED,PC,O,ED,B,IN,,A6E,A
10040,111630813,765227,42112,731041,693096,96697,18134,0,0,924862,231766,1732201,1123135,3000352,0,0,4103787,4247161,1006664,1246809,0,0,0,0,0,0,0,0,0,0,0,0,12741,84383,0,0,,A82Z,,1026364,4.0,4.0,4.0,4.0,THE BROOKLYN HISTORICAL SOCIETY,,128 PIERREPONT ST,BROOKLYN,NY,11201-2711,0.0,3.0,3.0,2000.0,193412.0,1.0,15.0,1.0,11.0,0.0,10.0,4,,62.0,61.0,0.0,B9710,,1.0,1,1,6.0,1,36047.0,,A82Z,A82,,PC,O,AR,A,IN,,1992,A,A82Z,0.46552899999999997,11201.0,11201.0,5602.0,5600.0,36047.0,,AR,1993,A80,199304,NY,11201.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A82,A
10134,111672743,13328980,738148,16265121,13920914,1485347,972644,405303,486451,19887326,5561109,33954454,15747970,42512595,0,0,44416721,58741989,5784393,16229394,0,0,0,0,0,0,0,0,0,0,0,0,0,461280,0,783824,S,A99Z,,19628237,6.0,6.0,6.0,6.0,BROOKLYN INSTITUTE OF ARTS AND SCIENCES,,200 EASTERN PKY,BROOKLYN,NY,11238-6052,0.0,3.0,3.0,1000.0,193506.0,1.0,15.0,1.0,11.0,0.0,10.0,6,BROOKLYN MUSEUM,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36047.0,,A99Z,A99,,PC,O,AR,A,IN,,1991,A,A99Z,0.450431,11238.0,11238.0,5602.0,5600.0,36047.0,,AR,1992,A51,199206,NY,11238.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
10187,111773636,1343406,0,0,0,5128,2777,0,0,541567,541567,1884973,1824348,2796,65000,0,623990,308716,661341,305920,0,0,0,0,0,0,0,0,0,0,0,0,20478,496337,0,19624,,A69Z,,1864495,2.0,4.0,4.0,4.0,BROOKLYN PHILHARMONIC SYMPHONY ORCHESTRA INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,2000.0,195601.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36047.0,,A69Z,A69,,PC,O,AR,A,IN,,1991,A,A69Z,0.42219700000000004,11217.0,11217.0,5602.0,5600.0,36047.0,,AR,1992,A69,199206,NY,11217.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
10312,112004760,13194,12405,33561,18402,11465,1449,0,0,143351,124949,168950,120666,201888,0,0,184834,202777,4567,889,0,0,0,0,0,0,0,0,0,0,0,0,7788,85560,4977,0,,A6BZ,,142760,2.0,2.0,2.0,2.0,ST CECILIA CLUB INC,,PO BOX 421 FDR STA,NEW YORK,NY,10150-0421,0.0,3.0,3.0,2000.0,194410.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A6BZ,A6B,,PC,O,AR,A,IN,,1991,A,A6BZ,0.27775,10150.0,10150.0,5602.0,5600.0,36061.0,,AR,1992,A6B,199206,NY,10150.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A6B,A
10330,112034097,260027,0,0,0,0,0,0,0,0,0,260027,255246,43947,9900,0,257431,63558,179765,19610,19448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A6CZ,,260027,1.0,2.0,2.0,2.0,SEUFFERT BAND INC,,45 22 DOUGLASTON PKY,DOUGLASTON,NY,11362-1059,0.0,3.0,3.0,2000.0,196603.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,59.0,119.0,0.0,B9606,1996.0,1.0,1,0,1.0,0,36081.0,,A6CZ,A6C,,PC,O,AR,A,IN,,1992,A,A6CZ,0.112917,11362.0,11362.0,5602.0,5600.0,36081.0,,AR,1992,A6C,199212,NY,11362.0,DOUGLASTON,,,A,AR,AR,PC,O,AR,A,IN,,A6C,A
