,EIN,FisYr,STYEAR,CODE990,ASSET,INCOME,ACTIVITY,SUBSEC,POPCODE,REASON,Q78A,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,FNDN,FRC,RULEDATE,INC_BMF,ASSETS,TAXPERbad,AFCODE,ACTIV1,ORGCODE,GEN,NAME,CITY,STATE,ZIP,STATESRC,FILER,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
1049,42840186,1990,1990,2,1,1,60,,0,0,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5000,0,0,0,0,0,0,0,0,5000,5952,-952,0,0,0,0,1,0,0,0,0,0,1,0,24,,,,0,0,,,,,,NANTUCKET LIGHTSHIP PRESERVATION,NEW YORK,NY,10022-6022,BMF89,PF,Z,Z99,0.680024,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,,,199012,199012,NY,10022.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A80,A,,
1971,46124122,1992,1992,3,5,4,602,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1263,39569,28078,0,0,0,0,58500,68910,66972,1938,60713,62651,1253,34573,655173,199086,261268,68540,528894,0,775833,0,37497,4.0,1.0,1961.0,235712,684214,9412.0,3.0,602000000.0,2.0,0.0,NATHANIEL SALTONSTALL ARTS FND,NEW YORK,NY,10017-2415,BMF95,PF,Z,Z99,0.6597189999999999,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,17 E 45TH ST,3.0,0.0,1000.0,% BETHAN LING & RUTA,1.0,13.0,1.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
1985,46128361,1993,1992,3,6,5,119,,0,0,,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,7932,2782,39664,157640,0,0,107,0,158834,208125,198731,9394,176494,185888,1859,0,1448749,784661,604934,49125,1438720,0,1947126,0,92772,4.0,1.0,1942.0,827906,2201651,9503.0,3.0,119040000.0,1.0,0.0,KOUSSEVITZKY MUSIC FND,NEW YORK,NY,10048-0203,BMF95,PF,Z,Z99,0.408693,36061.0,10048.0,10048.0,5602.0,5600.0,36061.0,4.0,,199303,199303,NY,10048.0,NEW YORK,PF,O,UN,Z,IN,,3,40.0,0.0,200 PARK AVE,3.0,0.0,1200.0,% E J FRIEDMAN,1.0,14.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
2648,60742976,1992,1991,3,4,4,59,,0,0,,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,88610,235,0,0,0,0,25455,0,0,114300,134203,-19903,108506,235,2,0,164735,0,0,0,0,1233,164735,0,10147,4.0,1.0,1952.0,156508,214280,9506.0,3.0,59000000.0,1.0,0.0,WHITE BARN THEATRE FND,NEW YORK,NY,10022-1012,BMF95,PF,Z,Z99,0.0601604,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,3.0,,199206,199206,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,111 W 40TH ST 20TH FL,3.0,0.0,2000.0,HECHT AND COMPANY P C,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
2671,60952239,1990,1990,3,0,1,0,,0,0,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,106,0,0,0,0,0,0,0,106,30,76,30,106,1,106,0,0,0,0,0,0,0,87,88,,,,0,0,,,,,,JAMES SINGER MEM FND,BROOKLYN,NY,11210-0000,BMF89,PF,Z,Z99,0.561083,36047.0,11210.0,11210.0,5602.0,5600.0,36047.0,,,199012,199012,NY,11210.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,
2892,61286112,1993,1992,2,3,1,92,,0,0,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,75,913,0,0,0,0,2541,0,10090,3529,16889,-13360,14348,913,18,0,38806,0,0,0,0,0,38806,0,2241,3.0,1.0,9006.0,399,17133,9412.0,3.0,92000000.0,1.0,0.0,FREUD LITERARY HERITAGE FND,NEW YORK,NY,10024-1513,BMF95,PF,Z,Z99,0.729617,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,3.0,,199311,199311,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,300 CENTRAL PARK WEST,3.0,0.0,1000.0,% K R EISSLER,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
2897,61301161,1990,1990,2,3,3,91,,0,0,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,98557,0,0,0,0,0,0,0,0,98557,42294,56263,42294,0,0,0,58029,0,0,0,0,1766,58029,0,2858,3.0,1.0,9107.0,244999,5948063,9312.0,3.0,91000000.0,1.0,0.0,KOURI FND ARTS,NEW YORK,NY,10017-2426,BMF95,PF,Z,Z99,0.9724,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,3.0,,199012,199012,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,565 FIFTH AVE 15TH FLR,3.0,0.0,2000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
3439,112405463,1990,1990,3,1,1,328,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,42,0,0,0,0,0,0,0,42,0,42,0,0,0,0,775,0,0,0,0,0,775,0,0,,,,0,0,,,,,,KHANDIT ARTS,E ELMHURST,NY,11369-2044,BMF89,PF,Z,Z99,0.165927,36081.0,11369.0,11369.0,5602.0,5600.0,36081.0,,,199012,199012,NY,11369.0,E ELMHURST,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A99,A,,
3482,112538932,1992,1992,3,1,1,40,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,139,0,0,0,0,0,0,0,139,55,84,0,139,3,88,5619,0,0,0,0,0,5619,0,275,4.0,1.0,1981.0,22283,89712,9412.0,3.0,40000000.0,2.0,0.0,RICHARD H GOLDMAN MEM FOUNDA TION,NEW YORK,NY,10021-5704,BMF95,PF,Z,Z99,0.12935,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,40 TIFFANY CIR,3.0,0.0,1000.0,,1.0,11.0,1.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,
3486,112545501,1993,1992,3,1,1,40,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6000,64,0,0,0,0,0,0,7460,6064,7896,-1832,7896,64,1,64,6487,0,0,0,0,0,6487,0,365,4.0,1.0,8110.0,5082,10487,9505.0,3.0,40000000.0,1.0,0.0,EDDIE BARNES MEM MUSIC SCHOLAR SHIP FND,QUEENS VILLAGE,NY,11427-1824,BMF95,PF,Z,Z99,0.293425,36081.0,11427.0,11427.0,5602.0,5600.0,36081.0,4.0,,199305,199305,NY,11427.0,QUEENS VILLAGE,PF,O,UN,Z,IN,,5,0.0,0.0,212 75 WHITEHALL TER,3.0,0.0,1000.0,,1.0,11.0,1.0,1.0,N,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
