,EIN,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,P6UNRELB,styear,ACTIVCD1,FILER,CODE990,POPCODE,REASON,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,P1TOTREV,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
9488,112022650,0,30950,0,0,761,16056,0,0,42829,42829,73779,70034,44993,0,15700,43128,46874,1880,1881,44993,0,0,0,0,0,0,0,0,0,0,0,0,42068,0,0,6,N,1993,920,990,1,, .,AUTO BODY CRAFTSMENS GUILD,GLENDALE,NY,11385-7067,11385.0,36081,A01,A,11385.0,5602.0,5600.0,36081.0,,O,O,0.9591299999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199312,73779,73779,199312,1993,NY,11385.0,GLENDALE,A40,A,12,920.0,0.0,0.0,65 60 MYRTLE AVE,3.0,0.0,2000.0,,2.0,11.0,0.0,10.0,0.0,1.0,6506.0,,PC,O,AR,A,IN,,A40,A,710000.0
9911,112579110,0,31606,0,0,97,0,0,0,97,97,31703,26738,18474,0,0,13509,18474,0,0,18474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,N,1993,200,990,1,, .,NEW YORK OIL HEAT SERVICE MANAGERS ASSOC,BRONX,NY,10472-3102,10472.0,36005,A65,A,10472.0,5602.0,5600.0,36005.0,,O,O,0.81465,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36005.0,199312,31703,31703,199312,1993,NY,10472.0,BRONX,A65,C,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,1000.0,% CHARLES WEINER,2.0,13.0,0.0,20.0,0.0,1.0,8311.0,,PC,O,AR,A,IN,,A65,A,711110.0
10203,112803536,9239,944,0,0,142,0,0,0,95135,95135,105318,39530,214100,0,0,225742,214635,20535,535,214100,0,0,0,0,0,0,0,0,0,0,17507,39388,0,26455,0,4,Y,1993,119,990,1,, .,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO,ASTORIA,NY,11103-1264,11103.0,36081,A99,A,11103.0,5602.0,5600.0,36081.0,,O,O,0.43645,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,199407,48423,48423,199407,1994,NY,11103.0,ASTORIA,A23,B,7,119.0,0.0,0.0,46 02 30TH AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,8707.0,ELLO INC,PC,O,AR,A,IN,,A23,A,710000.0
10475,113007572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,N,1992,88,ZER,1,, .,CBA THEATRE,BROOKLYN,NY,11217-2009,11217.0,36047,A65,A,11217.0,5602.0,5600.0,36047.0,,O,O,0.5715100000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36047.0,199212,0,0,199212,1992,NY,11217.0,BROOKLYN,A65,B,12,88.0,90.0,92.0,357 BERGEN STREET,3.0,0.0,1000.0,,1.0,11.0,16.0,20.0,0.0,1.0,9004.0,,PC,O,AR,A,IN,,A65,A,711110.0
10893,116035572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,N,1992,200,ZER,1,, .,ASSOC ARCHITECTURAL & STORE FRONT CONTRACTORS,HOWARD BEACH,NY,11414-2415,11414.0,36081,A40,A,11414.0,5602.0,5600.0,36081.0,,O,O,0.31101999999999996,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199306,0,0,199306,1993,NY,11414.0,HOWARD BEACH,A40,A,6,200.0,0.0,0.0,90 53 SHORE PARKWAY,3.0,0.0,2000.0,,2.0,11.0,0.0,20.0,0.0,1.0,6312.0,TORS INC,PC,O,AR,A,IN,,A40,A,710000.0
11163,116201446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,N,1992,88,ZER,1,, .,LIONS INTERNATION BROOKLYN HGWY,BROOKLYN,NY,11234-6721,11234.0,36047,A65,A,11234.0,5602.0,5600.0,36047.0,,O,O,0.66201,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36047.0,199212,0,0,199212,1992,NY,11234.0,BROOKLYN,S80,A,12,88.0,0.0,0.0,145 BARLOW DR S,9.0,0.0,3000.0,% THOMAS SETARO,2.0,11.0,0.0,20.0,239.0,5.0,4012.0,8460,PC,O,AR,A,IN,,S80,S,813410.0
11217,130417765,0,896620,0,0,133709,0,0,0,2031567,2031567,2928187,2946911,1953948,497076,0,3083044,3235057,1288788,1281109,0,0,0,0,0,0,0,0,0,0,0,0,0,1897858,0,0,6,Y,1993,919,990,1,, .,ADVERTISING RES FND,NEW YORK,NY,10022-4503,10022.0,36061,A30,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.4169,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199312,2928187,2928187,199312,1993,NY,10022.0,NEW YORK,A03,A,12,919.0,0.0,0.0,641 LEXINGTON AVE 11TH FLR,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4303.0,,PC,O,AR,A,IN,,A03,A,813920.0
11237,130448930,0,98012,0,0,1858,0,0,0,854482,854482,952494,835388,824619,61442,0,1377316,1376013,604340,551394,0,0,0,0,0,0,0,0,0,0,0,0,0,729252,0,123372,6,Y,1992,65,990,1,, .,ART DIRECTORS CLUB,NEW YORK,NY,10003-1402,10003.0,36061,A25,A,10003.0,5602.0,5600.0,36061.0,,O,O,0.9985799999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199308,952494,952494,199308,1993,NY,10003.0,NEW YORK,A25,A,8,65.0,207.0,119.0,250 PARK AVE S,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3807.0,,PC,O,AR,A,IN,,A25,A,611610.0
11241,130452445,0,2406214,0,0,26206,0,0,0,485038,485038,2891252,2211084,892804,423887,0,914555,1223407,340229,330603,0,0,0,0,0,0,0,0,0,0,0,0,361690,0,46877,50265,6,N,1992,59,990,1,, .,AMER BUSINESS PRESS,NEW YORK,NY,10017-5704,10017.0,36061,A01,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.7843,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199306,2529562,2529562,199306,1993,NY,10017.0,NEW YORK,A0330,A,6,59.0,200.0,0.0,675 3RD AVE RM 415,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3504.0,,PC,O,AR,A,IN,,S41,S,813910.0
11249,130453230,0,3967692,0,0,73202,0,0,0,2080861,2080861,6048553,6282008,606944,937004,0,3298509,3276339,2458110,2669395,606944,0,0,0,0,0,0,0,0,0,0,0,0,2024390,0,-16731,6,Y,1992,919,990,1,, .,ASSOC NAT ADVERTISERS,NEW YORK,NY,10017-4201,10017.0,36061,A30,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.20978000000000002,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199311,6048553,6048553,199311,1993,NY,10017.0,NEW YORK,S41,A,11,919.0,205.0,0.0,155 E 44TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,5.0,4208.0,,PC,O,AR,A,IN,,S41,S,813910.0
