,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,OLDNTEE,NTEE2,TOTREV,RASCD,RINCCD,RREVCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
171,10263908,661011,0,2038600,1964716,176859,74564,6433,2090,2639496,668347,3300507,958401,5259910,0,9839,5040727,5298788,73190,38878,0,0,0,0,0,0,0,0,0,0,0,0,78584,330130,0,6800,,A25Z,A6EZ,1250774,5.0,4.0,4.0,3.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,,200 PARK AVE S 1116,NEW YORK,NY,10003-1503,0.0,3.0,3.0,2000.0,194707.0,1.0,11.0,1.0,13.0,0.0,10.0,12,,46.0,119.0,30.0,B9710,,1.0,1,1,6.0,1,36061.0,A25Z,A25,,PC,O,AR,A,IN,,1993,A,A25Z,0.832254,10003.0,10003.0,5602.0,5600.0,36061.0,,AR,1993,A25,199312,NY,10003.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A25,A
1040,20223438,63349,0,67600,50163,93783,0,0,0,162258,112095,225607,84442,871708,0,0,785728,871708,0,0,871708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,,A80Z,,175444,3.0,2.0,2.0,1.0,ST GAUDENS MEMORIAL,% FRANCIS F FAULKNER,17 E 47TH ST,NEW YORK,NY,10017-1920,0.0,3.0,3.0,1000.0,194703.0,1.0,17.0,1.0,13.0,0.0,10.0,12,,62.0,0.0,0.0,B9710,,1.0,1,1,3.0,1,36061.0,A80Z,A80,,PC,O,AR,A,IN,,1993,A,A80Z,0.797359,10017.0,10017.0,5602.0,5600.0,36061.0,,AR,1993,A80,199312,NY,10017.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A80,A
2416,36010806,124459,0,0,0,2324,0,0,0,66554,66554,191013,132699,164130,0,0,114536,171784,8720,7654,0,0,0,0,0,0,0,0,0,0,0,0,0,64230,0,0,,A31Z,,191013,2.0,2.0,2.0,2.0,INTERNATIONAL FILM SEMINARS INC,% FITTS & OLSON,462 BROADWAY,NEW YORK,NY,10013-2618,0.0,3.0,3.0,2000.0,196308.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,59.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,A31Z,A31,,PC,O,AR,A,IN,,1993,A,A31Z,0.248693,10013.0,10013.0,5602.0,5600.0,36061.0,,AR,1993,A31,199312,NY,10013.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A31,A
3174,42163004,113110,127229,9202382,0,4518290,0,0,0,13877292,13877292,14117631,5469994,99949332,211545,0,91308984,99963611,7289,14279,0,0,0,0,0,0,0,0,0,0,0,0,0,40204,0,42081,S,A51Z,,14117631,6.0,6.0,6.0,5.0,STERLING & FRANCINE CLARK ART INST,% MINER D CRARY,60 E 42ND ST,NEW YORK,NY,10165-0006,0.0,3.0,3.0,1230.0,195109.0,1.0,17.0,1.0,13.0,0.0,10.0,6,VALERIE SCHUECKLER,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,A51Z,A51,,PC,O,AR,A,IN,,1993,A,A51Z,0.603892,10165.0,10165.0,5602.0,5600.0,36061.0,,AR,1994,A51,199406,NY,10165.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
4069,42575633,27206,0,0,0,1750,0,0,0,25672,25672,52878,62450,-6547,0,0,44691,57914,41666,64461,0,0,0,0,0,0,0,0,0,0,0,0,0,8270,0,15652,,A60Z,,52878,1.0,1.0,1.0,1.0,SEVENARS CONCERTS INC,,30 E END AVE,NEW YORK,NY,10028-7053,0.0,3.0,3.0,2000.0,197611.0,1.0,15.0,1.0,1.0,0.0,10.0,12,,90.0,0.0,0.0,B9710,,0.0,1,1,6.0,1,36061.0,A60Z,A60,,PC,O,AR,A,IN,,1993,A,A60Z,0.790829,10028.0,10028.0,5602.0,5600.0,36061.0,,AR,1993,A68,199312,NY,10028.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
9030,61219644,25831,0,0,0,0,0,0,0,25771,25771,51602,52782,-1180,0,0,1000,1100,1000,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,25770,0,0,,A65Z,,51602,1.0,1.0,1.0,1.0,CATSKILL ACTORS THEATRE INC,,116 PINEHURST AVE APT 21,NEW YORK,NY,10033-1755,0.0,3.0,3.0,1000.0,198803.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,0.0,0,1,6.0,0,36061.0,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.63213,10033.0,10033.0,5602.0,5600.0,36061.0,,AR,1992,A65,199212,NY,10033.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9053,61240889,12000,0,0,0,0,0,0,0,49097,49097,61097,61097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49097,0,0,,A6FZ,,61097,0.0,1.0,1.0,1.0,THEATREMOVES INC,NEIL INTRAUB,PO BOX 1333,NEW YORK,NY,10009-8902,0.0,3.0,3.0,1000.0,199001.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,A6FZ,A6F,,PC,O,AR,A,IN,,1992,A,A6FZ,0.8638600000000001,10009.0,10009.0,5602.0,5600.0,36061.0,,AR,1993,A65,199306,NY,10009.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9102,61297352,1035519,0,0,0,2581,0,0,0,34595,34595,1070114,968046,112079,256261,0,621863,141253,611852,29174,0,0,0,0,0,0,0,0,0,0,0,0,0,32014,0,0,,A65Z,,1070114,2.0,4.0,4.0,3.0,NIGHT KITCHEN INC,,10 E 53RD ST,NEW YORK,NY,10022-5244,0.0,3.0,3.0,1000.0,199008.0,1.0,15.0,1.0,13.0,199406.0,10.0,6,,200.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.710879,10022.0,10022.0,5602.0,5600.0,36061.0,,AR,1993,A65,199306,NY,10022.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9157,61336766,26830,0,0,0,0,3618,0,0,157207,157207,184037,181435,2651,11620,0,49,3651,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,157207,0,0,,A65Z,,184037,1.0,2.0,2.0,2.0,VIA THEATER INC,,PO BOX 1022 MURRAY HILL S,NEW YORK,NY,10156-1022,0.0,3.0,3.0,1000.0,199207.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.0206515,10156.0,10156.0,5602.0,5600.0,36061.0,,AR,1993,A65,199306,NY,10156.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9429,110339104,23462,0,0,0,0,0,0,0,3631,3631,27093,2263,230,0,0,1493,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26093,0,-22462,0,,A60Z,,1000,1.0,1.0,1.0,1.0,EPODE INC,,77 SEVENTH AVENUE NO 8G,NEW YORK,NY,10011-6623,0.0,3.0,3.0,1000.0,199103.0,1.0,16.0,1.0,13.0,0.0,20.0,8,,90.0,995.0,123.0,B9710,,1.0,1,1,6.0,1,36061.0,A62Z,A62,,PC,O,AR,A,IN,,1993,A,A62Z,0.36579,10011.0,10011.0,5602.0,5600.0,36061.0,,AR,1994,A62,199408,NY,10011.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A62,A
