,FILER,CODE990,EIN,styear,ASSETCD,INCOMECD,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,POPCD,REASON,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,P1TOTREV,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
11481,990.0,1,112022650,1993,3,3,920,0,30950,0,0,761,16056,0,0,42829,42829,73779,70034,44993,0,15700,43128,46874,1880,1881,44993,0,0,0,0,0,0,0,0,0,0,0,0,42068,0,0,6,1,0,N,AUTO BODY CRAFTSMENS GUILD,GLENDALE,NY,11385-7067,11385.0,36081,A01,A,11385.0,5602.0,5600.0,36081.0,,O,O,0.43587,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199312,73779,73779,199312,1993,NY,11385.0,GLENDALE,A40,A,12,920.0,0.0,0.0,65 60 MYRTLE AVE,3.0,0.0,2000.0,,2.0,11.0,0.0,10.0,0.0,1.0,6506.0,,PC,O,AR,A,IN,,A40,A,710000.0
11947,,1,112579110,1994,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,N,NEW YORK OIL HEAT SERVICE MANAGERS ASSOC,BRONX,NY,10472-3102,10472.0,36005,A65,A,10472.0,5602.0,5600.0,36005.0,,O,O,0.8755200000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36005.0,199412,0,0,199412,1994,NY,10472.0,BRONX,A65,C,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,1000.0,% CHARLES WEINER,2.0,13.0,0.0,20.0,0.0,1.0,8311.0,,PC,O,AR,A,IN,,A65,A,711110.0
11961,,1,112584796,1993,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,N,CARIBBEAN MEDIA STUDIES,BROOKLYN,NY,11203-6608,11203.0,36047,A30,A,11203.0,5602.0,5600.0,36047.0,,O,O,0.18721,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36047.0,199312,0,0,199312,1993,NY,11203.0,BROOKLYN,A30,B,12,124.0,125.0,123.0,968 E 49TH ST,3.0,0.0,1000.0,,1.0,11.0,15.0,20.0,0.0,1.0,8101.0,,PC,O,AR,A,IN,,A30,A,510000.0
12177,,1,112713273,1994,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,N,CRAFTSMEN ASSOC,CAMBRIA HEIGHTS,NY,11411-1230,11411.0,36081,A40,A,11411.0,5602.0,5600.0,36081.0,,O,O,0.32750999999999997,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199412,0,0,199412,1994,NY,11411.0,CAMBRIA HEIGHTS,A40,A,12,319.0,30.0,40.0,115 75 222ND ST,3.0,0.0,1000.0,,2.0,11.0,0.0,20.0,0.0,1.0,8503.0,,PC,O,AR,A,IN,,A40,A,710000.0
12312,990.0,1,112803536,1993,4,4,119,9239,944,0,0,142,0,0,0,95135,95135,105318,39530,214100,0,0,225742,214635,20535,535,214100,0,0,0,0,0,0,0,0,0,0,17507,39388,0,26455,0,4,1,0,Y,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO,ASTORIA,NY,11103-1264,11103.0,36081,A99,A,11103.0,5602.0,5600.0,36081.0,,O,O,0.40565,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,199407,48423,48423,199407,1994,NY,11103.0,ASTORIA,A23,B,7,119.0,0.0,0.0,46 02 30TH AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,8707.0,ELLO INC,PC,O,AR,A,IN,,A23,A,710000.0
12324,,1,112810708,1994,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,HUMANITY CLUB,BROOKLYN,NY,11234-6813,11234.0,36047,A99,A,,5602.0,5600.0,,,O,O,0.57902,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199412,0,0,199412,1994,NY,,BROOKLYN,N50,C,12,927.0,602.0,0.0,2745 EAST 63RD ST,3.0,,3000.0,% S KRAUSS,,,0.0,,,,6202.0,,PC,O,AR,A,IN,,N50,N,713990.0
12585,,1,113007572,1994,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,N,CBA THEATRE,BROOKLYN,NY,11217-2009,11217.0,36047,A65,A,11217.0,5602.0,5600.0,36047.0,,O,O,0.75784,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36047.0,199412,0,0,199412,1994,NY,11217.0,BROOKLYN,A65,B,12,88.0,90.0,92.0,357 BERGEN STREET,3.0,0.0,1000.0,,1.0,11.0,16.0,20.0,0.0,1.0,9004.0,,PC,O,AR,A,IN,,A65,A,711110.0
12971,990.0,1,113238845,1994,2,3,205,0,12251,0,0,0,0,0,0,33426,33426,45677,12252,22484,0,0,0,22484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10941,0,8974,13511,6,1,9,N,I QUEENS,LONG ISLAND CITY,NY,11106-2837,11106.0,36081,A40,A,11106.0,5602.0,5600.0,36081.0,,O,O,0.0895,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199412,34736,34736,199412,1994,NY,11106.0,LONG ISLAND CITY,A40,C,12,205.0,0.0,0.0,182 09 HORACE HARDING EXPY,3.0,0.0,2000.0,% ANTHONY DIPROPERZIO,2.0,11.0,0.0,10.0,0.0,1.0,9503.0,,PC,O,AR,A,IN,,A40,A,710000.0
13113,,1,116035572,1994,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,N,ASSOC ARCHITECTURAL & STORE FRONT CONTRACTORS,HOWARD BEACH,NY,11414-2415,11414.0,36081,A40,A,11414.0,5602.0,5600.0,36081.0,,O,O,0.8225299999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199506,0,0,199506,1995,NY,11414.0,HOWARD BEACH,A40,A,6,200.0,0.0,0.0,90 53 SHORE PARKWAY,3.0,0.0,2000.0,,2.0,11.0,0.0,20.0,0.0,1.0,6312.0,TORS INC,PC,O,AR,A,IN,,A40,A,710000.0
13391,,1,116201446,1992,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,LIONS INTERNATION BROOKLYN HGWY,BROOKLYN,NY,11234-6721,11234.0,36047,A65,A,11234.0,5602.0,5600.0,36047.0,,O,O,0.69557,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36047.0,199212,0,0,199212,1992,NY,11234.0,BROOKLYN,S80,A,12,88.0,0.0,0.0,145 BARLOW DR S,9.0,0.0,3000.0,% THOMAS SETARO,2.0,11.0,0.0,20.0,239.0,5.0,4012.0,8460,PC,O,AR,A,IN,,S80,S,813410.0
