,CODE990,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
102,3,10485254,1994,1994,3,3,998,57898,0,71,0,-54,9139,24996,0,908,96948,93098,3850,41664,15949,159,0,26444,0,0,0,0,13692,26444,1284,1443,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,WILHELM REICH INFANT TRUST,FOREST HILLS,NY,11375-6133,Z,Z99,0.157974,36081.0,11375.0,11375.0,5602.0,5600.0,36081.0,15.0,,199409.0,199412,199412,NY,11375.0,FOREST HILLS,PC,O,UN,Z,IN,,12,0.0,0.0,PO BOX 687,3.0,0.0,1000.0,% MARY BOYD HIGGINS TREAS,1.0,1.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1156,A,,
2091,3,46124122,1994,1994,5,4,602,0,23531,14529,13779,0,0,0,0,53000,51839,63977,-12138,55455,43317,866,31740,684214,199086,264503,22188,485777,0,704621,0,37444,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NATHANIEL SALTONSTALL ARTS FND,NEW YORK,NY,10017-2415,Z,Z99,0.276781,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,196101.0,199412,199412,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,17 E 45TH ST,3.0,0.0,1000.0,% BETHAN LING & RUTA,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
2105,3,46128361,1995,1994,6,5,119,36399,0,85398,0,-26114,0,1062,0,34500,96745,45568,51177,44568,85461,1709,0,2201651,0,0,0,0,0,2078074,0,104804,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,KOUSSEVITZKY MUSIC FND,NEW YORK,NY,10048-0203,Z,Z99,0.528509,36061.0,10048.0,10048.0,5602.0,5600.0,36061.0,4.0,,194206.0,199503,199503,NY,10048.0,NEW YORK,PF,O,UN,Z,IN,,3,40.0,0.0,200 PARK AVE,3.0,0.0,1200.0,% E J FRIEDMAN,1.0,14.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
2829,3,60742976,1994,1993,4,4,59,135310,456,0,0,0,0,34870,0,0,170636,165967,4669,127174,6,0,6,242108,0,0,0,0,1120,242108,0,2865,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,WHITE BARN THEATRE FND,NEW YORK,NY,10022-1012,Z,Z99,0.911292,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,3.0,,195207.0,199406,199406,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,111 W 40TH ST 20TH FL,3.0,0.0,2000.0,HECHT AND COMPANY P C,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
3066,2,61286112,1995,1994,2,1,92,0,308,0,0,0,0,91,0,10000,399,15638,-15239,15541,211,2,91,17133,0,0,0,0,0,17133,0,1218,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FREUD LITERARY HERITAGE FND,NEW YORK,NY,10024-1513,Z,Z99,0.5883149999999999,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,3.0,,9006.0,199511,199511,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,300 CENTRAL PARK WEST,3.0,0.0,1000.0,% K R EISSLER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
3072,2,61301161,1993,1993,7,4,91,244999,0,0,0,0,0,0,0,0,244999,302529,-57530,0,0,0,0,5948063,0,5948063,0,5948063,0,5948063,0,292942,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,KOURI FND ARTS,NEW YORK,NY,10017-2426,Z,Z99,0.57644,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,3.0,,9107.0,199312,199312,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,565 FIFTH AVE 15TH FLR,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
3674,3,112444997,1994,1994,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,CLINTON HILL RESTORATION & DEV,BROOKLYN,NY,11238-1804,Z,Z99,0.335548,36047.0,11238.0,11238.0,5602.0,5600.0,36047.0,4.0,,7909.0,199412,199412,NY,11238.0,BROOKLYN,PF,O,UN,Z,IN,,12,402.0,404.0,431 WASHINGTON AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,
3704,3,112538932,1994,1994,3,2,40,0,0,7253,0,0,0,0,0,31452,7253,31629,-24376,0,7253,146,7076,89712,89200,0,0,89200,0,79206,0,4398,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,RICHARD H GOLDMAN MEM FOUNDA TION,NEW YORK,NY,10021-5704,Z,Z99,0.613197,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198107.0,199412,199412,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,40 TIFFANY CIR,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,
3708,3,112545501,1995,1994,2,1,40,5000,82,0,0,0,0,0,0,4097,5082,4543,539,4543,82,1,82,10487,0,0,0,0,0,10487,0,503,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,EDDIE BARNES MEM MUSIC SCHOLAR SHIP FND,QUEENS VILLAGE,NY,11427-1824,Z,Z99,0.859783,36081.0,11427.0,11427.0,5602.0,5600.0,36081.0,4.0,,8110.0,199505,199505,NY,11427.0,QUEENS VILLAGE,PF,O,UN,Z,IN,,5,0.0,0.0,212 75 WHITEHALL TER,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,N,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
3763,3,112634917,1995,1994,1,3,349,0,157,0,0,0,0,49757,10830,0,49914,46194,3720,0,157,3,49614,7840,0,0,0,0,1962,7840,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,INST THEATRE LEARNING,FRESH MEADOWS,NY,11365-1634,Z,Z99,0.287628,36081.0,11365.0,11365.0,5602.0,5600.0,36081.0,4.0,,198305.0,199506,199506,NY,11365.0,FRESH MEADOWS,PF,O,UN,Z,IN,,6,0.0,0.0,56 15A UTOPIA PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,
