,FILER,CODE990,EIN,styear,ASSETCD,INCOMECD,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,POPCODE,P6UNRELB,REASON,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,P1TOTREV,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
11649,990.0,1,112022650,1995,3,4,920,0,32050,0,0,612,0,0,0,169649,169649,201699,186431,27953,0,0,43933,27953,4836,0,27953,0,0,0,0,0,0,0,0,0,0,0,26411,131274,4104,7248,6,1,Y,0,AUTO BODY CRAFTSMENS GUILD,GLENDALE,NY,11385-7067,11385.0,36081.0,A01,A,11385.0,5602.0,5600.0,36081.0,,O,O,0.68278,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199512,175288,175288,199512,1995,NY,11385.0,GLENDALE,A40,A,12,920.0,0.0,0.0,65 60 MYRTLE AVE,3.0,0.0,2000.0,,2.0,11.0,0.0,10.0,0.0,1.0,6506.0,,PC,O,AR,A,IN,,A40,A,710000.0
12122,990.0,1,112579110,1995,2,3,200,0,31697,0,0,69,11393,0,0,69,69,31766,32431,15549,0,0,18034,15549,0,0,15549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,N,0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOC,BRONX,NY,10472-3102,10472.0,36005.0,A65,A,10472.0,5602.0,5600.0,36005.0,,O,O,0.80292,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36005.0,199512,31766,31766,199512,1995,NY,10472.0,BRONX,A65,C,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,1000.0,% CHARLES WEINER,2.0,13.0,0.0,20.0,0.0,1.0,8311.0,,PC,O,AR,A,IN,,A65,A,711110.0
12135,,1,112584796,1993,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,N,0,CARIBBEAN MEDIA STUDIES,BROOKLYN,NY,11203-6608,11203.0,36047.0,A30,A,11203.0,5602.0,5600.0,36047.0,,O,O,0.29167,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36047.0,199312,0,0,199312,1993,NY,11203.0,BROOKLYN,A30,B,12,124.0,125.0,123.0,968 E 49TH ST,3.0,0.0,1000.0,,1.0,11.0,15.0,20.0,0.0,1.0,8101.0,,PC,O,AR,A,IN,,A30,A,510000.0
12349,,1,112713273,1994,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,N,0,CRAFTSMEN ASSOC,CAMBRIA HEIGHTS,NY,11411-1230,11411.0,36081.0,A40,A,11411.0,5602.0,5600.0,36081.0,,O,O,0.6229899999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199412,0,0,199412,1994,NY,11411.0,CAMBRIA HEIGHTS,A40,A,12,319.0,30.0,40.0,115 75 222ND ST,3.0,0.0,1000.0,,2.0,11.0,0.0,20.0,0.0,1.0,8503.0,,PC,O,AR,A,IN,,A40,A,710000.0
12483,990.0,1,112803536,1994,4,3,119,2288,920,0,0,316,0,0,0,90921,90921,94129,45661,197750,0,0,214635,198285,535,535,197750,0,0,0,0,0,0,0,0,0,0,20043,44775,0,15830,0,4,1,Y,0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO,ASTORIA,NY,11103-1264,11103.0,36081.0,A99,A,11103.0,5602.0,5600.0,36081.0,,O,O,0.43073999999999996,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,199507,29311,29311,199507,1995,NY,11103.0,ASTORIA,A23,B,7,119.0,0.0,0.0,46 02 30TH AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,8707.0,,PC,O,AR,A,IN,,A23,A,710000.0
12716,,1,113007572,1994,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,N,0,CBA THEATRE,BROOKLYN,NY,11217-2009,11217.0,36047.0,A65,A,11217.0,5602.0,5600.0,36047.0,,O,O,0.28696,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36047.0,199412,0,0,199412,1994,NY,11217.0,BROOKLYN,A65,B,12,88.0,90.0,92.0,357 BERGEN STREET,3.0,0.0,1000.0,,1.0,11.0,16.0,20.0,0.0,1.0,9004.0,,PC,O,AR,A,IN,,A65,A,711110.0
12810,,1,113068277,1994,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,N,0,IGBO ORG,CORONA,NY,11368-0000,11368.0,36081.0,A23,A,11368.0,5602.0,5600.0,36081.0,,O,O,0.81503,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,199503,0,0,199503,1995,NY,11368.0,CORONA,A23,B,3,90.0,119.0,64.0,PO BOX 7487,3.0,0.0,3000.0,% DANIEL E OKOBI,2.0,11.0,0.0,20.0,0.0,1.0,9301.0,,PC,O,AR,A,IN,,A23,A,710000.0
12893,990.0,1,113110485,1995,4,4,328,172316,0,0,0,26,0,0,0,3975,3975,176291,154022,34924,21231,0,73174,126796,58185,91872,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,1615,0,4,1,N,0,ROCKAWAY PENINSULA CIVIC ASSOC,ARVERNE,NY,11692-1330,11692.0,36081.0,A40,A,11692.0,5602.0,5600.0,36081.0,,O,O,0.32134,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36081.0,199512,173957,173957,199512,1995,NY,11692.0,ARVERNE,A40,A,12,328.0,0.0,0.0,13 16 BCH CHANNEL DR,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,9211.0,DAVID N DINKINS CTR PHYS CULTURE,PC,O,AR,A,IN,,A40,A,710000.0
12974,,1,113148692,1994,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,N,0,CHINESE ARTISTS ASSOC,FOREST HILL,NY,11375-5926,11375.0,36081.0,A60,A,11375.0,5602.0,5600.0,36081.0,,O,O,0.32911,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199506,0,0,199506,1995,NY,11375.0,FOREST HILL,A0323,A,6,319.0,0.0,0.0,72 21 INGRAM ST,3.0,0.0,1000.0,% CHUANPING ZHANG,2.0,11.0,0.0,10.0,0.0,1.0,9409.0,,PC,O,AR,A,IN,,A0323,A,813920.0
13102,990.0,1,113227149,1994,2,3,0,4000,0,0,0,0,0,197,339,32636,32439,36636,35089,1349,0,0,0,10500,0,9150,0,0,0,0,0,0,0,0,0,0,0,0,0,32099,0,0,3,1,N,0,CLAYWORKS COLUMBIA,BROOKLYN,NY,11231-0000,11231.0,36047.0,A40,A,11231.0,5602.0,5600.0,36047.0,,PF,O,0.06162,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36047.0,199412,36439,36439,199412,1994,NY,11231.0,BROOKLYN,A40,B,12,91.0,149.0,59.0,195 COLUMBIA ST,3.0,0.0,3.0,,1.0,1.0,4.0,1.0,0.0,1.0,199612.0,,PC,O,AR,A,IN,,A40,A,710000.0
