,EIN,styear,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,NTEE1,NTEE4,nteecc,RandNum,zipnew,ZIP5,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
61019,132879843,1995,50500,0,0,0,0,0,29551,39149,68700,39149,119200,28951,347722,0,0,287024,355955,0,8233,347722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,89649,A33Z,,SHEEP MEADOW PRESS INC,% STANLEY MOSS,5247 INDEPENDENCE AVE,RIVERDALE-ON-HUDSON,NY,10471-2825,0.0,3.0,3.0,2000.0,198108.0,1.0,,1.0,13.0,0.0,10.0,12.0,,120.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,1.0,1.0,1,1.0,1,6.0,1,36005,5602.0,16.0,A,A33,A,A33Z,A33,0.301307,10471.0,10471.0,5600.0,36005.0,,AR,1995,A33,199512,NY,10471.0,RIVERDALE-ON-HUDSON,A33,,,,A,AR,AR,PC,O,AR,A,IN,,A33,A
61020,136738771,1995,156031,0,0,0,388,0,0,0,388,388,156419,155373,17651,0,0,16605,17651,0,0,17651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,156419,Z99Z,,TRADE UNION WOMEN OF AFRICAN HERITAGE INC,,3730 LACONIA AVENUE,BRONX,NY,10469-1425,0.0,3.0,3.0,2000.0,199409.0,1.0,,1.0,13.0,199612.0,10.0,12.0,,59.0,566.0,561.0,B9710,,,IN,O,UN,Z,PC,1.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36005,5602.0,16.0,Z,Z99,Z,Z99Z,Z99,0.544665,10469.0,10469.0,5600.0,36005.0,,UN,1995,Z99,199512,NY,10469.0,BRONX,A23,,,,Z,UN,OT,PC,O,UN,Z,IN,,A23,A
61047,133011751,1993,150569,0,0,0,0,0,0,0,0,0,150569,150569,12252,51614,0,12252,12252,0,0,12252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150569,A65Z,,THE SOUTH BRONX COMMUNITY ACTION THEATRE INC,,345 BROOK AVE,BRONX,NY,10454-2112,0.0,3.0,3.0,1000.0,198310.0,1.0,,1.0,13.0,0.0,10.0,6.0,,88.0,297.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A65,A,A65Z,A65,0.8391639999999999,10454.0,10454.0,5600.0,36005.0,,AR,1994,A65,199406,NY,10454.0,BRONX,A65,,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
61075,133265665,1994,214378,0,0,0,0,0,0,0,0,0,214378,252684,-38306,0,0,0,9294,0,47600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,214378,A30Z,,INFORMATION NETWORKING AND COMM ASSC,,912 SOUNDVIEW AVE,BRONX,NY,10473-3747,0.0,3.0,3.0,2000.0,199406.0,1.0,,1.0,13.0,199806.0,10.0,6.0,,994.0,349.0,566.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,0.0,1,6.0,0,36005,5602.0,15.0,A,A30,A,A30Z,A30,0.368069,10473.0,10473.0,5600.0,36005.0,,AR,1995,A30,199506,NY,10473.0,BRONX,A30,,,,A,AR,AR,PC,O,AR,A,IN,,A30,A
61081,61278112,1995,41236,0,0,0,0,0,0,0,0,0,41236,36222,5014,0,0,846,42571,846,37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41236,A99Z,,CONSCIENTIOUS MUSICAL REVIEWS,% VALENCIA EMANUEL,100 ALCOTT PL 19L,BRONX,NY,10475-4130,0.0,3.0,3.0,1000.0,199405.0,1.0,,1.0,13.0,0.0,10.0,12.0,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A99,A,A99Z,A99,0.350258,10475.0,10475.0,5600.0,36005.0,,AR,1995,A68,199512,NY,10475.0,BRONX,A68,,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
61111,132601303,1994,1173360,11475,0,0,2569,0,0,0,30731,30731,1215570,1189400,-8008,66332,0,135951,154952,163247,162960,0,0,0,0,0,0,0,0,0,0,0,0,6880,0,7862,0,,1208690,A26Z,,BRONX COUNCIL ON THE ARTS INC,,1738 HONE AVE,BRONX,NY,10461-1403,0.0,3.0,3.0,2000.0,196803.0,1.0,,1.0,13.0,0.0,10.0,6.0,,119.0,59.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,4.0,4.0,4.0,1,0.0,1,4.0,1,36005,5602.0,15.0,A,A26,A,A26Z,A26,0.24270100000000003,10461.0,10461.0,5600.0,36005.0,,AR,1995,A26,199506,NY,10461.0,BRONX,A26,,,,A,AR,AR,PC,O,AR,A,IN,,A26,A
61142,136153378,1994,424656,14299,202929,184728,28684,0,25936,73702,362314,151650,801269,530127,988902,75000,0,977177,1049950,51182,61044,0,0,0,0,0,0,0,0,0,0,0,0,19632,16365,-11409,6475,,570973,A82Z,,BRONX COUNTY HISTORICAL SOCIETY,,3309 BAINBRIDGE AVE,BRONX,NY,10467-2801,0.0,3.0,3.0,2000.0,196604.0,1.0,,1.0,13.0,0.0,10.0,6.0,,59.0,62.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,3.0,3.0,3.0,1,1.0,0,1.0,0,36005,5602.0,16.0,A,A82,A,A82Z,A82,0.658301,10467.0,10467.0,5600.0,36005.0,,AR,1995,A82,199506,NY,10467.0,BRONX,A82,,,,A,AR,AR,PC,O,AR,A,IN,,A82,A
61145,133266893,1994,440611,0,0,0,12015,10551,0,0,41635,41635,482246,477402,-46348,0,0,171873,429057,170755,475405,0,0,0,0,0,0,0,0,0,0,0,0,0,29620,0,0,,482246,A65Z,,PREGONES TOURING PUERTO RICAN THEATRE COLLECTION INC,,700 GRAND CONCOURSE,BRONX,NY,10451-3134,0.0,3.0,3.0,1200.0,198609.0,1.0,,1.0,13.0,198706.0,0.0,6.0,,88.0,995.0,90.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,0.0,0,1.0,0,36005,5602.0,16.0,A,A65,A,A65Z,A65,0.051670400000000005,10451.0,10451.0,5600.0,36005.0,,AR,1995,A65,199506,NY,10451.0,BRONX,A65,,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
61152,133391212,1994,107573,0,0,0,4153,3893,0,0,102852,102852,210425,209269,76798,0,0,157110,215626,81468,138828,0,0,0,0,0,0,0,0,0,0,0,0,0,98699,0,0,,210425,A51Z,,LEHMAN COLLEGE ART GALLERY INC,,250 BEDFORD PARK BLVD W,BRONX,NY,10468-1589,0.0,3.0,3.0,1000.0,198705.0,1.0,,1.0,13.0,0.0,10.0,6.0,,91.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A51,A,A51Z,A51,0.588281,10468.0,10468.0,5600.0,36005.0,,AR,1995,A51,199506,NY,10468.0,BRONX,A51,,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
61154,133116643,1994,414663,0,0,0,400,0,0,0,153425,153425,568088,696705,65870,0,0,229122,111305,34635,45435,0,0,0,0,0,0,0,0,0,0,0,0,0,153025,0,0,,568088,A20Z,,HOSTOS COMMUNITY COLLEGE ADVISORY COUNCIL INC,,500 GRAND CONCOURSE,BRONX,NY,10451-5323,0.0,3.0,3.0,1000.0,198212.0,1.0,,1.0,13.0,0.0,10.0,8.0,,40.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,3.0,3.0,3.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A20,A,A20Z,A20,0.471346,10451.0,10451.0,5600.0,36005.0,,AR,1995,A20,199508,NY,10451.0,BRONX,A20,,,,A,AR,AR,PC,O,AR,A,IN,,A20,A
