,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
102,3,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10485254,1995,1995,3,4,998,41635,0,359,0,0,13388,49593,0,586,110744,101572,9172,48210,42025,420,24305,30757,0,0,0,0,8992,30757,0,1409,WILHELM REICH INFANT TRUST,FOREST HILLS,NY,11375-6133,Z,Z99,0.836527,36081.0,11375.0,11375.0,5602.0,5600.0,36081.0,15.0,,199409.0,199512,199512,NY,11375.0,FOREST HILLS,PC,O,UN,Z,IN,,12,0.0,0.0,PO BOX 687,3.0,0.0,1000.0,% MARY BOYD HIGGINS TREAS,1.0,1.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1156,A,,
2133,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,46124122,1995,1995,5,4,602,0,1644,38400,0,-46261,0,0,0,50000,-6217,58893,-65110,52652,33045,661,34063,619827,199086,203435,63938,466459,0,800494,0,36017,NATHANIEL SALTONSTALL ARTS FND,NEW YORK,NY,10017-2415,Z,Z99,0.749846,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,196101.0,199512,199512,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,17 E 45TH ST,3.0,0.0,1000.0,% BETHAN LING & RUTA,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
2147,3,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,46128361,1996,1995,6,4,119,0,53867,50966,0,-28099,0,390,3000,87000,77125,105013,-27888,104096,104308,2086,0,2173763,0,0,0,0,0,2213835,0,105378,KOUSSEVITZKY MUSIC FND,NEW YORK,NY,10048-0203,Z,Z99,0.7326550000000001,36061.0,10048.0,10048.0,5602.0,5600.0,36061.0,4.0,,194206.0,199603,199603,NY,10048.0,NEW YORK,PF,O,UN,Z,IN,,3,40.0,0.0,RR 2 BOX 224,3.0,0.0,1200.0,% NEWLIN,1.0,14.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
2906,3,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60742976,1995,1994,4,4,59,129480,253,0,0,0,0,26775,0,0,156508,184167,-27659,152349,3,0,3,214280,0,0,0,0,951,214280,0,2241,WHITE BARN THEATRE FND,NEW YORK,NY,10022-1012,Z,Z99,0.654487,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,3.0,,195207.0,199506,199506,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,111 W 40TH ST 20TH FL,3.0,0.0,2000.0,HECHT AND COMPANY P C,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
3137,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,61286112,1995,1994,2,1,92,0,308,0,0,0,0,91,0,10000,399,15638,-15239,15541,211,2,91,17133,0,0,0,0,0,17133,0,1218,FREUD LITERARY HERITAGE FND,NEW YORK,NY,10024-1513,Z,Z99,0.5514180000000001,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,3.0,,9006.0,199511,199511,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,300 CENTRAL PARK WEST,3.0,0.0,1000.0,% K R EISSLER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
3145,2,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,61301161,1993,1993,7,4,91,244999,0,0,0,0,0,0,0,0,244999,302529,-57530,0,0,0,0,5948063,0,5948063,0,5948063,0,5948063,0,292942,KOURI FND ARTS,NEW YORK,NY,10017-2426,Z,Z99,0.452367,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,3.0,,9107.0,199312,199312,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,565 FIFTH AVE 15TH FLR,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
3773,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112444997,1995,1995,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLINTON HILL RESTORATION & DEV,BROOKLYN,NY,11238-1804,Z,Z99,0.362214,36047.0,11238.0,11238.0,5602.0,5600.0,36047.0,4.0,,7909.0,199512,199512,NY,11238.0,BROOKLYN,PF,O,UN,Z,IN,,12,402.0,404.0,431 WASHINGTON AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,
3803,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112538932,1995,1995,0,3,40,5750,0,5659,0,-2211,0,0,0,29745,9198,30517,-21319,29745,5659,113,4887,0,68068,0,0,68068,0,66234,0,3581,RICHARD H GOLDMAN MEM FOUNDA TION,NEW YORK,NY,10021-5704,Z,Z99,0.549659,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198107.0,199512,199512,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,40 TIFFANY CIR,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,
3807,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112545501,1996,1995,1,1,40,5000,75,0,0,0,0,0,0,5600,5075,6051,-976,6051,75,1,75,9511,0,0,0,0,0,9511,0,492,EDDIE BARNES MEM MUSIC SCHOLAR SHIP FND,QUEENS VILLAGE,NY,11427-1824,Z,Z99,0.580009,36081.0,11427.0,11427.0,5602.0,5600.0,36081.0,4.0,,8110.0,199605,199605,NY,11427.0,QUEENS VILLAGE,PF,O,UN,Z,IN,,5,0.0,0.0,212 75 WHITEHALL TER,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
3861,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112634917,1996,1995,1,3,349,0,125,0,0,0,0,42508,9020,0,42633,44133,-1500,0,125,3,42333,6772,0,0,0,0,2394,6772,0,0,INST THEATRE LEARNING,FRESH MEADOWS,NY,11365-1634,Z,Z99,0.916525,36081.0,11365.0,11365.0,5602.0,5600.0,36081.0,4.0,,198305.0,199606,199606,NY,11365.0,FRESH MEADOWS,PF,O,UN,Z,IN,,6,0.0,0.0,56 15A UTOPIA PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,
