,FILER,CODE990,EIN,STYEAR,ASSETCD,INCOMECD,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,POPCD,REASON,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,P1TOTREV,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
10227,990.0,1,61420853,1995,5,5,121,470716,0,0,0,0,0,0,0,113521,113521,584237,566847,231220,1396,0,427561,514840,238466,283620,231220,0,0,0,0,0,0,0,0,0,0,0,0,99623,0,13898,4,1,0,N,AUSTRALIAN BROADCASTING,NEW YORK,NY,10111-0100,10111.0,36061.0,A30,A,10111.0,5602.0,5600.0,36061.0,,O,O,0.66715,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199606,584237,584237,199606,1996,NY,10111.0,NEW YORK,614208531996,A30,A,6,121.0,904.0,0.0,630 FIFTH AVE STE 2220,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,199602.0,,PC,O,AR,A,IN,,A30,A,510000.0
11588,990.0,1,112022650,1996,3,4,920,0,26215,0,0,423,0,0,0,141587,141587,167802,167887,28830,0,0,27953,29792,0,962,27867,0,0,0,0,0,0,0,0,0,0,0,0,133328,0,7836,6,1,0,Y,AUTO BODY CRAFTSMENS GUILD,GLENDALE,NY,11385-7067,11385.0,36081.0,A01,A,11385.0,5602.0,5600.0,36081.0,,O,O,0.3317,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199612,167802,167802,199612,1996,NY,11385.0,GLENDALE,1120226501996,A40,A,12,920.0,0.0,0.0,65 60 MYRTLE AVE,3.0,0.0,2000.0,,2.0,11.0,0.0,10.0,0.0,1.0,196506.0,,PC,O,AR,A,IN,,A40,A,710000.0
12052,990.0,1,112579110,1996,2,3,200,0,29017,0,0,0,10783,0,0,0,0,29017,30813,13753,0,0,15549,13753,0,0,13753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,N,NEW YORK OIL HEAT SERVICE MANAGERS ASSOC,BRONX,NY,10472-3102,10472.0,36005.0,A65,A,10472.0,5602.0,5600.0,36005.0,,O,O,0.2537,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36005.0,199612,29017,29017,199612,1996,NY,10472.0,BRONX,1125791101996,A65,C,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,1000.0,% CHARLES WEINER,2.0,13.0,0.0,10.0,0.0,1.0,198311.0,,PC,O,AR,A,IN,,A65,A,711110.0
12261,,1,112713273,1994,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,N,CRAFTSMEN ASSOC,CAMBRIA HEIGHTS,NY,11411-1230,11411.0,36081.0,A40,A,11411.0,5602.0,5600.0,36081.0,,O,O,0.7289100000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199412,0,0,199412,1994,NY,11411.0,CAMBRIA HEIGHTS,1127132731994,A40,A,12,319.0,30.0,40.0,115 75 222ND ST,3.0,0.0,1000.0,,2.0,11.0,0.0,20.0,0.0,1.0,198503.0,,PC,O,AR,A,IN,,A40,A,710000.0
12388,990.0,1,112803536,1995,4,4,119,5231,912,0,0,151,0,0,0,99230,99230,105373,30965,188999,0,0,198285,189534,535,535,188999,0,0,0,0,0,0,0,0,0,0,21957,61202,0,8877,0,4,1,0,Y,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO,ASTORIA,NY,11103-1264,11103.0,36081.0,A99,A,11103.0,5602.0,5600.0,36081.0,,O,O,0.60246,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,199607,22214,22214,199607,1996,NY,11103.0,ASTORIA,1128035361996,A23,B,7,119.0,0.0,0.0,46-02 30TH AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,198707.0,,PC,O,AR,A,IN,,A23,A,710000.0
12601,,1,113007572,1994,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,N,CBA THEATRE,BROOKLYN,NY,11217-2009,11217.0,36047.0,A65,A,11217.0,5602.0,5600.0,36047.0,,O,O,0.12815,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36047.0,199412,0,0,199412,1994,NY,11217.0,BROOKLYN,1130075721994,A65,B,12,88.0,90.0,92.0,357 BERGEN STREET,3.0,0.0,1000.0,,1.0,11.0,16.0,20.0,0.0,1.0,199004.0,,PC,O,AR,A,IN,,A65,A,711110.0
12687,,1,113068277,1994,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,IGBO ORG,CORONA,NY,11368-0000,11368.0,36081.0,A23,A,11368.0,5602.0,5600.0,36081.0,,O,O,0.5637,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,199503,0,0,199503,1995,NY,11368.0,CORONA,1130682771995,A23,B,3,90.0,119.0,64.0,PO BOX 7487,3.0,0.0,3000.0,% DANIEL E OKOBI,2.0,11.0,0.0,20.0,0.0,1.0,199301.0,,PC,O,AR,A,IN,,A23,A,710000.0
12765,990.0,1,113110485,1995,4,4,328,172316,0,0,0,26,0,0,0,3975,3975,176291,154022,34924,21231,0,73174,126796,58185,91872,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,1615,0,4,1,0,N,ROCKAWAY PENINSULA CIVIC ASSOC,ARVERNE,NY,11692-1330,11692.0,36081.0,A40,A,11692.0,5602.0,5600.0,36081.0,,O,O,0.98519,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36081.0,199512,173957,173957,199512,1995,NY,11692.0,ARVERNE,1131104851995,A40,A,12,328.0,0.0,0.0,555 BCH 66TH ST,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,199211.0,DAVID N DINKINS CTR PHYS CULTURE,PC,O,AR,A,IN,,A40,A,710000.0
12839,,1,113148692,1995,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,N,CHINESE ARTISTS ASSOC,FOREST HILL,NY,11375-5926,11375.0,36081.0,A60,A,11375.0,5602.0,5600.0,36081.0,,O,O,0.9564799999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199606,0,0,199606,1996,NY,11375.0,FOREST HILL,1131486921996,A0323,A,6,319.0,0.0,0.0,72-21 INGRAM ST,3.0,0.0,1000.0,% CHUANPING ZHANG,2.0,11.0,0.0,20.0,0.0,1.0,199409.0,,PC,O,AR,A,IN,,A0323,A,813920.0
12994,990.0,1,113238845,1996,3,3,205,0,7824,0,0,0,0,0,0,27616,27616,35440,15850,29646,0,0,25631,29646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15575,0,4300,7741,6,1,9,N,I QUEENS,LONG ISLAND CITY,NY,11106-2837,11106.0,36081.0,A40,A,11106.0,5602.0,5600.0,36081.0,,O,O,0.70702,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199612,19865,19865,199612,1996,NY,11106.0,LONG ISLAND CITY,1132388451996,A40,C,12,205.0,0.0,0.0,31 87 30TH ST,3.0,0.0,2000.0,% ANTHONY DIPROPERZIO,2.0,11.0,0.0,10.0,0.0,1.0,199503.0,,PC,O,AR,A,IN,,A40,A,710000.0
