,EIN,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,FY_97,NTEE1,NTEE4,nteecc,RandNum,zipnew,ZIP5,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
61918,237170675,1995,131014,0,0,0,499,1450,0,0,24986,24986,156000,153296,29018,7500,0,26385,29089,0,0,29089,0,0,0,0,0,0,0,0,0,0,0,0,24487,0,0,,156000,A6AZ,,BRONX OPERA COMPANY INC,,5 MINERVA PLACE,BRONX,NY,10468-1635,0.0,3,3.0,2000.0,197202.0,1.0,,1.0,13.0,0.0,10.0,7,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,2,2,2,1,1,1,6,1,36005,5602.0,15.0,A,A6A,1996,A,A6AZ,A6A,0.238887,10468.0,10468.0,5600.0,36005.0,,AR,1996,A6A,199607,NY,10468.0,BRONX,A6A,,,,A,AR,AR,PC,O,AR,A,IN,,A6A,A
61934,133697553,1994,7204,0,0,0,0,0,0,0,88312,88312,95516,98272,-54935,0,0,564,103,52743,55038,0,0,0,0,0,0,0,0,0,0,0,0,0,88312,0,0,,95516,A6FZ,,SCHUYLER HILL PERFORMING ARTS & CULTURAL CENTER,% DONNA KOSLOFF,THROGGS NECK ST POB 870,BRONX,NY,10465-0870,0.0,3,3.0,2000.0,199506.0,1.0,,1.0,13.0,0.0,10.0,11,,88.0,90.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,0,0,1,6,0,36005,5602.0,15.0,A,A6F,1995,A,A6FZ,A6F,0.396439,10465.0,10465.0,5600.0,36005.0,,AR,1995,A60,199511,NY,10465.0,BRONX,A60,,,,A,AR,AR,PC,O,AR,A,IN,,A60,A
61939,136738771,1996,0,0,0,0,632,0,0,0,175820,175820,175820,160269,33202,0,17651,17651,33202,0,0,33202,0,0,0,0,0,0,0,0,0,0,0,0,0,175188,0,,175820,J20Z,,TRADE UNION WOMEN OF AFRICAN HERITAGE INC,,3730 LACONIA AVENUE,BRONX,NY,10469-1425,0.0,3,3.0,2000.0,199409.0,1.0,,1.0,13.0,199612.0,10.0,12,,59.0,566.0,561.0,B9710,,,IN,O,HS,J,PC,1,2,2,2,1,1,1,6,1,36005,5602.0,16.0,J,J20,1996,J,J20Z,J20,0.456164,10469.0,10469.0,5600.0,36005.0,,HU,1996,J20,199612,NY,10469.0,BRONX,A23,,,,J,HU,HU,PC,O,HS,J,IN,,A23,A
61951,133789884,1996,17203,4750,0,0,10161,0,1555,4101,15917,14362,37870,32893,116163,0,0,112740,116163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,36315,A50Z,,MARITIME INDUSTRY MUSEUM AT FORT SCHUYLER,% ALLAN J LONSCHEIN,6 PENNYFIELD AVE,BRONX,NY,10465-4127,0.0,3,3.0,2000.0,199505.0,1.0,,1.0,11.0,199812.0,10.0,12,,994.0,60.0,0.0,B9710,,,IN,O,AR,A,PC,2,1,1,1,1,1,1,6,1,36005,5602.0,15.0,A,A50,1996,A,A50Z,A50,0.945017,10465.0,10465.0,5600.0,36005.0,,AR,1996,A54,199612,NY,10465.0,BRONX,A54,,,,A,AR,AR,PC,O,AR,A,IN,,A54,A
61991,133882139,1996,0,0,0,0,0,0,0,0,56178,56178,56178,1150,5089,0,0,2939,5088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52878,529,2771,0,,3300,A84Z,,BRONX PUERTO RICAN DAY PARADE INC,ANGEL L ROSARIO,P O BOX 917 HUB STATION,BRONX,NY,10455-0917,0.0,3,3.0,1000.0,199706.0,1.0,,1.0,13.0,0.0,10.0,12,,64.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,1,6,1,36005,5602.0,16.0,A,A84,1996,A,A84Z,A84,0.936117,10455.0,10455.0,5600.0,36005.0,,AR,1996,A23,199612,NY,10455.0,BRONX,A23,,,,A,AR,AR,PC,O,AR,A,IN,,A23,A
61995,133869493,1996,435870,0,0,0,0,101043,0,0,0,0,435870,347210,88660,0,32437,0,88660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,435870,A84Z,,NATIONAL PUERTO RICAN DAY PARADE INC,,2804 THIRD AVE 7TH FLOOR,BRONX,NY,10455-0000,0.0,3,3.0,2000.0,199612.0,1.0,,1.0,13.0,199912.0,10.0,12,,994.0,64.0,0.0,B9710,,,IN,O,AR,A,PC,1,2,2,2,1,1,1,6,1,36005,5602.0,15.0,A,A84,1996,A,A84Z,A84,0.861267,10455.0,10455.0,5600.0,36005.0,,AR,1996,A23,199612,NY,10455.0,BRONX,A23,,,,A,AR,AR,PC,O,AR,A,IN,,A23,A
61997,136533451,1994,24825,0,0,0,0,0,0,0,6799,6799,31624,32923,6622,0,0,10652,14339,2731,7717,0,0,0,0,0,0,0,0,0,0,0,0,0,6799,0,0,,31624,A65Z,,MASS TRANSIT STREET THEATRE INC,,BOX 347 JEROME AVE STA,BRONX,NY,10468-0347,0.0,3,3.0,2000.0,197302.0,1.0,,1.0,13.0,0.0,10.0,6,,602.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,1,6,1,36005,5602.0,16.0,A,A65,1995,A,A65Z,A65,0.438968,10468.0,10468.0,5600.0,36005.0,,AR,1995,A65,199506,NY,10468.0,BRONX,A65,,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
62021,136153378,1995,383814,16795,480433,442915,40572,26444,59906,87243,683206,180385,1083820,510033,1059910,87995,0,1049950,1111870,61045,51966,0,0,0,0,0,0,0,0,0,0,0,0,18801,6682,-15256,4825,,562193,A82Z,,BRONX COUNTY HISTORICAL SOCIETY,,3309 BAINBRIDGE AVE,BRONX,NY,10467-2801,0.0,3,3.0,2000.0,196604.0,1.0,,1.0,13.0,0.0,10.0,6,,59.0,62.0,0.0,B9710,,,IN,O,AR,A,PC,4,4,3,3,1,1,1,3,1,36005,5602.0,16.0,A,A82,1996,A,A82Z,A82,0.277122,10467.0,10467.0,5600.0,36005.0,,AR,1996,A82,199606,NY,10467.0,BRONX,A82,,,,A,AR,AR,PC,O,AR,A,IN,,A82,A
62040,237408447,1996,51794,2352,0,0,5847,0,0,0,20310,20310,74456,40268,193116,0,0,164428,198616,5500,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,14463,0,0,,74456,A60Z,,DAUGAVAS VANAGI LATVIAN WELFARE ASSOCIATION INC,,115 W 183RD ST,BRONX,NY,10453-1103,0.0,3,3.0,1200.0,197410.0,1.0,,1.0,13.0,0.0,10.0,12,,90.0,92.0,119.0,B9710,,,IN,O,AR,A,PC,2,1,1,1,1,1,1,6,1,36005,5602.0,15.0,A,A60,1996,A,A60Z,A60,0.903443,10453.0,10453.0,5600.0,36005.0,,AR,1996,A98,199612,NY,10453.0,BRONX,A60,,,,A,AR,AR,PC,O,AR,A,IN,,A60,A
62055,133378184,1995,70522,0,0,0,0,0,0,0,2027,2027,72549,70980,18184,17668,0,21167,21277,4551,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,2027,0,0,,72549,A42Z,,EN FOCO INCORPORATED,,32 E KINGSBRIDGE RD,BRONX,NY,10468-7513,0.0,3,3.0,1000.0,198610.0,1.0,,1.0,13.0,0.0,10.0,6,,91.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,1,6,1,36005,5602.0,15.0,A,A42,1996,A,A42Z,A42,0.294842,10468.0,10468.0,5600.0,36005.0,,AR,1996,A40,199606,NY,10468.0,BRONX,A40,,,,A,AR,AR,PC,O,AR,A,IN,,A40,A
