,FILER,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P1GRENTS,P2CASHBV,P2MORTG
103,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10485254,1996,1996,3,4,998,124936,19,2138,300,0,14375,40305,0,4728,192148,139442,52706,74495,13203,264,15417,74471,0,0,0,0,0,74471,0,2604,WILHELM REICH INFANT TRUST,FOREST HILLS,NY,11375-6133,Z,Z99,0.366208,36081.0,11375.0,11375.0,5602.0,5600.0,36081.0,15.0,,199409.0,199612,199612,NY,11375.0,FOREST HILLS,PC,O,UN,Z,IN,,12,0.0,0.0,382 BURNS ST,3.0,0.0,1000.0,% MARY BOYD HIGGINS TREAS,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1156,A,,,
2166,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,46124122,1996,1996,5,4,602,0,0,41260,15096,0,0,0,0,50000,56356,59953,-3597,53049,49434,989,41794,611879,199086,198603,41750,439439,0,851448,0,37947,NATHANIEL SALTONSTALL ARTS FND,NEW YORK,NY,10017-2415,Z,Z99,0.284448,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,196101.0,199612,199612,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,17 E 45TH ST 700,3.0,0.0,1000.0,% BETHAN LING & RUTA,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
2180,PF,3,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,46128361,1997,1996,6,6,119,0,0,96096,12002,0,0,285,5000,137500,108384,156925,-48541,156008,107468,1075,0,2125223,0,247234,0,247234,0,2117296,0,107420,KOUSSEVITZKY MUSIC FND,NEW YORK,NY,10048-0203,Z,Z99,0.738592,36061.0,10048.0,10048.0,5602.0,5600.0,36061.0,4.0,,194206.0,199703,199703,NY,10048.0,NEW YORK,PF,O,UN,Z,IN,,3,40.0,0.0,TWO WORLD TRADE CENTER,3.0,0.0,1200.0,% NEWLIN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
2813,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,53842834,1996,1995,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FREDERICK BROWN MUS,NEW YORK,NY,10123-0101,A,A23,0.248881,36061.0,10123.0,10123.0,5602.0,5600.0,36061.0,4.0,,199511.0,199609,199609,NY,10123.0,NEW YORK,PF,O,AR,A,IN,,9,0.0,0.0,450 7TH AVE,3.0,0.0,1000.0,% L WOLLIN,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A50,A,,,
2953,PF,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60742976,1996,1995,4,4,59,144119,234,0,3778,0,0,7680,0,0,155811,101403,54408,89842,0,0,0,268534,0,0,0,0,797,268534,0,2405,WHITE BARN THEATRE FND,NEW YORK,NY,10022-1012,Z,Z99,0.347699,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,3.0,,195207.0,199606,199606,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,781 FIFTH AVE,3.0,0.0,2000.0,HECHT AND COMPANY P C,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
3177,PF,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,61286112,1996,1995,1,1,92,0,146,0,0,0,0,0,0,11013,146,12129,-11983,11990,7,0,0,5150,0,0,0,0,0,5150,0,586,FREUD LITERARY HERITAGE FND,NEW YORK,NY,10024-1513,Z,Z99,0.5439149999999999,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,3.0,,199006.0,199611,199611,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,300 CENTRAL PARK WEST,3.0,0.0,1000.0,% K R EISSLER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,,
3855,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112444997,1996,1996,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CLINTON HILL RESTORATION & DEV,BROOKLYN,NY,11238-1804,Z,Z99,0.856058,36047.0,11238.0,11238.0,5602.0,5600.0,36047.0,4.0,,197909.0,199612,199612,NY,11238.0,BROOKLYN,PF,O,UN,Z,IN,,12,402.0,404.0,431 WASHINGTON AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,,
3883,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112538932,1996,1996,3,2,40,0,0,4102,0,-1935,0,0,0,24764,2167,25760,-23593,24764,3406,68,3106,44800,32637,0,0,32637,0,42880,0,2740,RICHARD H GOLDMAN MEM FOUNDA TION,NEW YORK,NY,10021-5704,Z,Z99,0.833259,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198107.0,199612,199612,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,150 E 69TH ST APT 7G,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,,
3887,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112545501,1997,1996,1,1,40,5000,51,0,0,0,0,0,0,6350,5051,6871,-1820,6871,51,1,51,7691,0,0,0,0,0,7691,0,424,EDDIE BARNES MEM MUSIC SCHOLAR SHIP FND,QUEENS VILLAGE,NY,11427-1824,Z,Z99,0.130619,36081.0,11427.0,11427.0,5602.0,5600.0,36081.0,4.0,,198110.0,199705,199705,NY,11427.0,QUEENS VILLAGE,PF,O,UN,Z,IN,,5,0.0,0.0,212 75 WHITEHALL TER,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
3940,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112634917,1996,1995,1,3,349,0,125,0,0,0,0,42508,9020,0,42633,44133,-1500,0,125,3,42333,6772,0,0,0,0,2394,6772,0,0,INST THEATRE LEARNING,FRESH MEADOWS,NY,11365-1634,Z,Z99,0.406287,36081.0,11365.0,11365.0,5602.0,5600.0,36081.0,4.0,,198305.0,199606,199606,NY,11365.0,FRESH MEADOWS,PF,O,UN,Z,IN,,6,0.0,0.0,56 15A UTOPIA PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,,
