,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DOCLOCNO,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,REASON,P6UNRELB,P7INTXAT,P7DIVRIN,P7ESTRIN,P1RENTN,P7INVRIN,P1SECURN,P1OTHG,P1OTHC,P1OTHN,P1SPEVC,P1INVNTG,P1TOTREV,P1NETINC,P1CHGAS,P2TWAGES,P2TPYTAX,P4B_BOND,P4E_BOND,P4B_MORT,P4E_MORT,P4E_RET1,p4b_net,A4A_CNT,A4A_MEMT,A4A_BUST,A4A_IVST,A4A_TAXT,A4A_GVTT,A4A_OTHT,A4A_TOTT,A6OEXPB,A6NTLBB,A6NGLBB,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFFILCD,CLASSCD,RULEDATE,DEDCTCD,PRFNDNCD,ACTIVCD1,ACTIVCD2,ACTIVCD3,ORGCD,DISTRICT,ADVRULDT,TAXPD,ASSETCD,INCOMECD,FILREQCD,ACCPERMO,ASSETS,INCOME,NEGINC,SECNAME,ZIP5,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,zipnew,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,STYEAR,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,ARED,DEDUCTCD,FNDNCD,FRCD,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
4289,1,3,1,43278959,199712,1997,199842,29490283058288,,N,Y,,40,1997,1,6,4,0,70500,0,0,0,213680,0,0,0,233445,233445,303945,443453,3553180,0,0,3781252,3587915,88564,34735,0,0,0,0,0,0,0,0,0,0,0,0,0,19765,0,0,7,N,213680,0,0,0,0,0,0,0,0,0,0,303945,-139508,0,91258,18514,0,0,0,0,0,3692688,4011750,0,13424,168317,0,0,4193491,4180067,0,0,0,NEW ENGLAND CULTURAL FACILITIES FUND,,70 W 36TH ST,NEW YORK,NY,10018-8007,0.0,,1.0,199701.0,,,,,,1.0,1.0,,,,,,,0,0,,,10018.0,36061.0,5602.0,5600.0,A02,A,,,,PC,O,0.45893999999999996,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,,1997,,,,432789591997,A0261,A,12,0.0,0.0,0.0,3.0,0.0,1.0,17.0,20.0,,PC,O,AR,A,OUT,S,A0261,A,541618.0
7170,1,4,1,61420853,199706,1997,199823,29490143066208,,N,Y,,1,1996,1,4,5,121,443319,0,0,0,0,0,0,0,99333,99333,542652,535337,224987,2158,0,514840,488322,283620,263335,224987,0,0,0,0,0,0,0,0,0,0,0,0,99333,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,542652,7315,-13548,220056,0,0,0,283620,263335,231220,231220,0,0,0,0,0,0,0,0,0,0,0,AUSTRALIAN BROADCASTING CORPORATION,,630 FIFTH AVE STE 2220,NEW YORK,NY,10111-0100,0.0,3.0,3.0,199602.0,2.0,0.0,121.0,904.0,0.0,1.0,13.0,0.0,199806.0,5.0,4.0,0.0,6.0,507043,421364,,,10111.0,36061.0,5602.0,5600.0,A30,A,10111.0,36061.0,,O,O,0.17695,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1996,NY,10111.0,NEW YORK,614208531997,A30,A,6,121.0,904.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A30,A,510000.0
8221,1,6,1,112022650,199712,1997,199813,29490080060218,,N,Y,,1,1997,1,3,4,920,0,24546,0,0,307,0,0,0,135659,135659,160205,163812,24260,4800,758,28830,25948,962,1688,24260,0,0,0,0,0,0,0,0,0,0,0,0,134187,0,1165,0,Y,307,0,0,0,0,0,0,0,0,0,0,160205,-3607,0,26000,2433,0,0,0,0,27867,27867,0,0,0,0,0,0,0,0,0,0,0,AUTO BODY CRAFTSMENS GUILD INC,,6560 MYRTLE AVE,GLENDALE,NY,11385-7067,0.0,3.0,2.0,196506.0,2.0,0.0,920.0,0.0,0.0,1.0,11.0,0.0,199712.0,3.0,4.0,0.0,12.0,0,0,,,11385.0,36081.0,5602.0,5600.0,A01,A,11385.0,36081.0,,O,O,0.13022999999999998,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,1997,NY,11385.0,GLENDALE,1120226501997,A40,A,12,920.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A40,A,710000.0
8538,1,12,1,112579110,199612,1996,199731,29490158137097,,N,N,,1,1996,1,2,3,200,0,29017,0,0,0,10783,0,0,0,0,29017,30813,13753,0,0,15549,13753,0,0,13753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,29017,-1796,0,0,0,0,0,0,0,15549,15549,0,0,0,0,0,0,0,0,0,0,0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,% CHARLES WEINER,1110 BRONX RIVER AVE,BRONX,NY,10472-3102,0.0,3.0,1.0,198311.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,199712.0,0.0,0.0,0.0,12.0,0,0,,,10472.0,36005.0,5602.0,5600.0,A65,A,10472.0,36005.0,,O,O,0.17883,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36005.0,1996,NY,10472.0,BRONX,1125791101996,A65,C,12,200.0,0.0,0.0,3.0,0.0,2.0,0.0,20.0,,PC,O,AR,A,IN,,A65,A,711110.0
8710,1,4,1,112803536,199707,1997,199805,29490024067188,,N,Y,,1,1996,1,4,4,119,3700,912,0,0,244,0,0,0,109768,109768,114380,29752,188728,0,0,189534,189263,535,535,188728,0,0,0,0,0,0,0,0,0,0,28490,56409,0,21915,0,0,Y,244,0,31200,2710,0,0,0,0,0,78324,0,29481,-271,0,0,0,0,0,0,0,188999,188999,0,0,0,0,0,0,0,0,0,0,0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,,46 02 30TH AVE,ASTORIA,NY,11103-1264,0.0,3.0,1.0,198707.0,2.0,0.0,119.0,0.0,0.0,1.0,11.0,0.0,199707.0,4.0,4.0,0.0,7.0,0,0,,,11103.0,36081.0,5602.0,5600.0,A99,A,11103.0,36081.0,,O,O,0.31416,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,1996,NY,11103.0,ASTORIA,1128035361997,A23,B,7,119.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A23,A,710000.0
8898,1,4,1,113110485,199512,1995,199648,19490314015186,,N,Y,,1,1995,1,4,4,328,172316,0,0,0,26,0,0,0,3975,3975,176291,154022,34924,21231,0,73174,126796,58185,91872,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,1615,0,0,N,26,0,0,0,0,0,0,0,0,3949,0,173957,19935,0,70627,7027,0,0,0,0,0,14989,0,0,0,0,0,0,0,0,0,0,0,ROCKAWAY PENINSULA CIVIC ASSOC INC,,555 BCH 66TH ST,ARVERNE,NY,11692-1330,0.0,3.0,1.0,199211.0,2.0,0.0,328.0,0.0,0.0,1.0,11.0,0.0,199512.0,4.0,4.0,0.0,6.0,126796,176291,,DAVID N DINKINS CTR PHYS CULTURE,11692.0,36081.0,5602.0,5600.0,A40,A,11692.0,36081.0,,O,O,0.7592899999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36081.0,1995,NY,11692.0,ARVERNE,1131104851995,A40,A,12,328.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,DAVID N DINKINS CTR PHYS CULTURE,PC,O,AR,A,IN,,A40,A,710000.0
9018,1,6,1,113238845,199712,1997,199830,29409178067468,,N,Y,,1,1997,1,3,3,205,1000,9634,0,0,1534,0,0,0,35144,35144,45778,11585,47989,0,0,29646,47989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15850,0,7010,10750,9,N,0,0,0,0,1534,0,0,0,0,22860,0,29928,18343,0,0,0,0,0,0,0,0,29646,0,31593,0,0,0,0,126901,126901,0,0,0,A I A QUEENS INC,% ANTHONY DIPROPERZIO,108 18 QUEENS BLVD 2ND FLR,FOREST HILLS,NY,11375-4789,0.0,3.0,2.0,199503.0,2.0,0.0,205.0,0.0,0.0,1.0,11.0,0.0,199712.0,3.0,3.0,0.0,12.0,47989,45778,,,11375.0,36081.0,5602.0,5600.0,A40,A,11375.0,36081.0,,O,O,0.23185999999999998,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,1997,NY,11375.0,FOREST HILLS,1132388451997,A40,C,12,205.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A40,A,710000.0
9404,1,6,1,130417765,199712,1997,199851,29490346034188,,N,Y,,1,1997,1,6,6,919,0,1132791,0,0,105813,0,0,0,2607802,2607802,3740593,3782867,1163096,544429,0,2462067,2722817,1233163,1559721,0,0,0,0,0,0,0,0,0,0,0,0,0,2501989,0,0,0,Y,105813,0,0,0,0,0,0,0,0,0,0,3740593,-42274,-23534,515006,69110,0,0,0,0,0,1228904,0,0,0,0,0,0,0,0,0,0,0,ADVERTISING RESEARCH FOUNDATION INC,,641 LEXINGTON AVE 11TH FLR,NEW YORK,NY,10022-4503,0.0,3.0,1.0,194303.0,2.0,0.0,919.0,0.0,0.0,1.0,13.0,0.0,199712.0,6.0,6.0,0.0,12.0,0,0,,,10022.0,36061.0,5602.0,5600.0,A30,A,10022.0,36061.0,,O,O,0.9978299999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10022.0,NEW YORK,1304177651997,A03,A,12,919.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A03,A,813920.0
9426,1,6,1,130452445,199706,1997,199747,29490312147147,,N,Y,,1,1996,1,6,6,59,0,2714886,0,0,92793,0,0,0,808117,808117,3523003,2804393,1530176,415138,0,1834975,2078841,424396,548665,0,0,0,0,0,0,0,0,0,0,0,0,599013,0,51906,64405,0,N,92793,0,0,0,0,0,0,0,0,650919,0,2923990,119597,0,351312,51354,0,0,0,0,0,1410579,0,0,0,0,0,0,0,0,0,0,0,AMERICAN BUSINESS PRESS INC,,675 THIRD AVE,NEW YORK,NY,10017-5704,0.0,3.0,2.0,193504.0,2.0,0.0,59.0,200.0,0.0,1.0,13.0,0.0,199806.0,6.0,6.0,0.0,6.0,2063076,4101335,,,10017.0,36061.0,5602.0,5600.0,A01,A,10017.0,36061.0,,O,O,0.55642,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1996,NY,10017.0,NEW YORK,1304524451997,A0330,A,6,59.0,200.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,S41,S,813910.0
9434,1,6,1,130453230,199711,1997,199818,29490108056208,,N,Y,,1,1996,1,6,7,919,0,4343919,478797,405148,70554,0,0,0,3045037,2639889,7388956,7126469,462612,1142414,0,3901695,4206439,3395526,3743827,0,0,0,0,0,0,0,0,0,0,0,0,0,2495686,0,0,0,Y,70554,0,0,0,0,73649,0,0,0,0,0,6983808,-142661,99104,1256884,133969,0,0,192926,131754,0,506169,0,0,0,0,0,0,0,0,0,0,0,ASSOCIATION OF NATIONAL ADVERTISERS INC,,708 THIRD AVE,NEW YORK,NY,10017-4201,0.0,3.0,2.0,194208.0,2.0,0.0,919.0,205.0,0.0,5.0,13.0,0.0,199711.0,6.0,7.0,0.0,11.0,0,0,,,10017.0,36061.0,5602.0,5600.0,A30,A,10017.0,36061.0,,O,O,0.08167999999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1996,NY,10017.0,NEW YORK,1304532301997,S41,A,11,919.0,205.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,S41,S,813910.0
