,EIN,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,TAXPER,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,FY_97,FISYR,BOND_BOY,BOND_EOY,CONT4,DUES4,GRREC4,GRTNONTX,GVTSRV4,INCPURP4,INVENTG,INVINC4,LOBNOTAX,LOBOTH,MRTG_BOY,MRTG_EOY,NETA_BOY,NETINC,NETRENT,NTEECC,NTEECC3D,OTHCHGS,OTHINC4,OTHINVST,OTHSAL,PAYTAX,RENTINC,RETE_BOY,SALEOTHE,SALEOTHG,SALEOTHN,SALESECN,SAVINT,SECINC,SPEVTG,TAXREV4,TOTREV2,ZIP5,LIBEOY97,LIB97,V_BOYAL,V_FB,V_REVEXP,V_EOYAL,NTEE4CD,NTEEDEC,NTEEMID,NTEE1,NTEECODE,V_FREXP,V_CONT,V_GREC,NTEECC4D,PMSA,NTEEIRS,REASON,RandNum,zipnew,fipsold,v_errorCd,NTmaj12,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,GovGtEstimate,GovGtCode,GovGtYr
178,10263908,1996,1074340,0,2100290,1883450,239520,93051,4599,3451,2877080,985686,3951420,1055890,7396440,0,0,5926170,7399370,16614,2923,0,0,0,0,0,0,0,0,0,0,0,0,146708,369535,0,0,,1913320,A25,A6EZ,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,,200 PARK AVE S 1116,NEW YORK,NY,10003-1503,0.0,3,3.0,2000.0,194707.0,1.0,,1.0,13.0,0.0,199612,10.0,12,,46.0,119.0,30.0,B9710,,,IN,O,AR,A,PC,5.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,11.0,A,A25,,1996,0,0,0,0,0,0,0,0,8050,0,0,0,0,0,5909550,857431,0,A25,,629461,0,0,329923,24956,0,0,3340,12971,9631,216841,0,239520,146708,0,1913320,10003.0,0,0,9,2,9,1,,2.0,25,A,Z,1,1,1,,5600.0,A25Z,2,0.384344,10003.0,3606.0,,AR,A25,NY,10003.0,NEW YORK,A25,,A,AR,AR,PC,O,AR,A,IN,,A25,A,21964.0,4,2006.0
1058,10502652,1997,10770,0,0,0,0,0,4830,11507,16337,11507,27107,31821,175661,0,0,185207,243793,0,68132,165661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22277,A50,,STONINGTON QUARRY MUSEUM INC,% ABACUS & ASSOCIATES INC,147 E 48TH ST,NEW YORK,NY,10017-1223,0.0,3,3.0,1000.0,199603.0,1.0,,1.0,13.0,199912.0,199712,20.0,12,,994.0,60.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A50,,1997,0,0,1177270,953,0,0,0,178224,16337,0,0,0,0,0,185207,-9544,0,A50,,-2,178224,0,0,3617,0,175207,0,0,0,0,0,0,0,0,22277,10017.0,0,0,.,1,9,1,,5.0,50,A,Z,1,1,1,,5600.0,A59Z,9,0.502013,10017.0,3606.0,,AR,A50,NY,10017.0,NEW YORK,A50,,A,AR,AR,PC,O,AR,A,IN,,A50,A,,u,
1311,20223438,1997,104987,0,147925,100036,8622,0,0,0,159794,59758,264781,274424,1502180,20888,0,1363420,1502180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3247,,164745,A80,,ST GAUDENS MEMORIAL,% ROGER HOOKER,17 E 47TH ST,NEW YORK,NY,10017-1920,0.0,3,3.0,1000.0,194703.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,62.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,17.0,A,A80,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363420,-109679,0,A80,,248436,0,0,0,0,0,0,0,0,0,47889,2413,6209,0,0,164745,10017.0,0,0,1,2,9,1,,8.0,80,A,Z,1,1,1,,5600.0,,10,0.711536,10017.0,3606.0,,AR,A80,NY,10017.0,NEW YORK,A80,,A,AR,AR,PC,O,AR,A,IN,,A80,A,0.0,3b,1998.0
3055,36010806,1996,31305,0,0,0,7567,9017,0,0,82288,82288,113593,149648,134310,29067,0,188781,176338,16636,42028,0,0,0,0,0,0,0,0,0,0,0,0,1512,63386,9193,630,,112081,A31,,INTERNATIONAL FILM SEMINARS INC,,462 BROADWAY,NEW YORK,NY,10013-2618,0.0,3,3.0,2000.0,196308.0,1.0,,1.0,13.0,0.0,199612,10.0,12,,59.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A31,,1996,0,0,238550,0,232786,0,0,268713,0,29466,0,0,0,0,172145,-37567,0,A31,,-268,501499,0,13743,3712,0,0,0,0,0,0,0,7567,10705,0,112081,10013.0,0,0,9,1,9,1,,3.0,31,A,Z,1,1,1,,5600.0,,7,0.9152440000000001,10013.0,3606.0,,AR,A31,NY,10013.0,NEW YORK,A31,,A,AR,AR,PC,O,AR,A,IN,,A31,A,3575.0,4,2005.0
3797,42163004,1996,432635,126461,15948700,0,5646230,0,0,0,21764100,21764100,22323200,6521030,129551000,260970,0,113773000,129558000,24591,7213,0,0,0,0,0,0,0,0,0,0,0,0,0,32514,0,26282,,22323200,A51,,STERLING & FRANCINE CLARK ART INST,,60 E 42ND ST,NEW YORK,NY,10165-0006,0.0,3,3.0,1230.0,195109.0,1.0,,1.0,13.0,0.0,199706,10.0,6,VALERIE SCHUECKLER,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,6.0,,5.0,,0,,0,,0,36061.0,5602.0,17.0,A,A51,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113749000,15802200,110427,A51,,0,0,0,1394000,117496,110427,0,0,0,0,15948700,0,5646230,0,0,22323200,10165.0,0,0,9,1,1,1,,5.0,51,A,Z,1,1,1,,5600.0,A51Z,10,0.955701,10165.0,3606.0,,AR,A51,NY,10165.0,NEW YORK,A51,,A,AR,AR,PC,O,AR,A,IN,,A51,A,0.0,1b,2097.0
4684,42575633,1997,20952,0,0,0,254,0,0,0,40305,40305,61257,58415,-2051,0,0,89959,118802,94852,120853,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,22051,,61257,A60,,SEVENARS CONCERTS INC,,30 E END AVE 3A,NEW YORK,NY,10028-7053,0.0,3,3.0,2000.0,197611.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A60,,1997,0,0,149947,0,14000,0,0,213907,0,7886,0,0,0,0,-4893,2842,0,A60,,0,227907,254,0,0,0,0,0,0,0,0,0,0,0,0,61257,10028.0,0,0,1,9,1,9,,6.0,60,A,Z,1,1,1,,5600.0,,7,0.184274,10028.0,3606.0,,AR,A68,NY,10028.0,NEW YORK,A68,,A,AR,AR,PC,O,AR,A,IN,,A68,A,0.0,6,2003.0
7377,43153122,1996,105000,0,0,0,394,0,0,0,150622,150622,255622,235175,82981,88950,0,107721,105421,45187,22440,82981,0,0,0,0,0,0,0,0,0,0,0,0,150228,0,0,,255622,A30,,SOCIAL MEDIA PRODUCTIONS INC,% CASON & COMPANY,325 RIVERSIDE DRIVE 52,NEW YORK,NY,10025-4156,0.0,3,3.0,1000.0,199402.0,1.0,,1.0,4.0,0.0,199703,10.0,3,,122.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A30,,1997,0,0,1490570,0,0,0,0,1490900,0,330,0,0,0,0,62534,20447,0,A30,,0,1490900,0,5300,6310,0,62534,0,0,0,0,394,0,0,0,255622,10025.0,0,0,1,1,1,1,,3.0,30,A,Z,1,1,1,,5600.0,A31Z,7,0.144768,10025.0,3606.0,,AR,A30,NY,10025.0,NEW YORK,A30,,A,AR,AR,PC,O,AR,A,IN,,A30,A,101831.0,3b,1998.0
11764,61203660,1997,125121,7,0,0,1484,0,0,0,1485,1485,126613,122154,38528,0,0,34069,38528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,126613,A11,,CORNWALL CONSERVATION TRUST INC,,ONE ROCKEFELLER PLAZA,NEW YORK,NY,10020-1902,0.0,3,3.0,1000.0,198709.0,1.0,,1.0,6.0,0.0,199712,10.0,12,PC,300.0,0.0,0.0,C92,1992.0,,IN,S,ZA,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A11,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34069,4459,0,A11,,0,0,0,0,0,0,0,0,0,0,0,1484,0,0,0,126613,10020.0,0,0,.,1,1,1,,1.0,11,A,I,1,1,1,A,5600.0,,0,0.276512,10020.0,3606.0,,AR,A11,NY,10020.0,NEW YORK,C34,,A,AR,AR,PC,S,ZA,,IN,,C34,C,0.0,4,2005.0
11823,61233193,1995,57961,0,0,0,0,0,0,0,8171,8171,66132,62235,16716,0,0,12819,16716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7662,0,509,,66132,A65,,GYPSY ROAD COMPANY INC,% JAMES D RICE,685 FIFTH AVE STE 1600,NEW YORK,NY,10022-4208,0.0,3,3.0,1200.0,0.0,1.0,,5.0,13.0,0.0,199608,10.0,8,,88.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1996,0,0,69104,0,0,0,0,69437,0,36,0,0,0,0,12819,3897,0,A65,,0,69437,0,0,0,0,0,0,0,0,0,0,0,0,0,66132,10022.0,0,0,9,1,1,1,,6.0,65,A,Z,1,1,1,,5600.0,,7,0.419545,10022.0,3606.0,,AR,A65,NY,10022.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,,u,
11848,61240889,1996,14853,0,0,0,0,0,0,0,76292,76292,91145,88371,3313,0,0,539,3447,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,76292,0,0,,91145,A60,,THEATREMOVES INC,NEIL INTRAUB,PO BOX 1333,NEW YORK,NY,10009-8902,0.0,3,3.0,1000.0,199001.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A60,,1997,0,0,46045,0,237447,0,0,46045,0,0,0,0,0,0,539,2774,0,A60,,0,283492,0,0,0,0,0,0,0,0,0,0,0,0,0,91145,10009.0,0,0,1,1,1,1,,6.0,60,A,Z,1,1,1,,5600.0,A6FZ,7,0.8812129999999999,10009.0,3606.0,,AR,A65,NY,10009.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,14853.0,3b,1998.0
