,EIN,FisYr,TAXPER,SUBSECCD,ACTIV,P1TOTREV,P2TOTAST,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,ACTIV1,ACTIV2,ACTIV3,RULEDATE,NAME,CITY,STATE,ZIP5,ADDRESS,ZIP,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P1GRENTS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TX4940,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,P6TEXCTX,CONTACT,GEN,AFCD,CLASSCD,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,verify,FIPS,MSA_NECH,PMSA,RandNum,STYEAR,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,NTEE1,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,NTEECC,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
103,10485254,1997,199712,3,60,104142,55602,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60.0,119.0,0.0,199409.0,WILHELM REICH INFANT TRUST,FOREST HILLS,NY,11375,382 BURNS ST,11375-6133,44219,20,736,0,13408,33321,0,687,124726,-20584,52767,7087,0,0,0,0,0,1715,55602,0,3203,12438,24973,59923,124039,17886,52080,17886,63302,3072,0,0,55602,0,53887,142,0,0,0,0,0,0,0,0,65000,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,% MARY BOYD HIGGINS,0.0,3.0,1.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,,36081.0,5602.0,5600.0,0.8481139999999999,1997,NY,11375,FOREST HILLS,PC,S,ZA,A,IN,,A,A,AR,AR,AR,A11,,,,,,,A1156,A
3015,53842834,1997,199709,3,60,0,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60.0,0.0,0.0,199511.0,FREDERICK BROWN MUSEUM INC,NEW YORK,NY,10118,350 FIFTH AVE STE 2822,10118-2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% L WOLLIN,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,9,,,36061.0,5602.0,5600.0,0.48427299999999995,1996,NY,10118,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A50,,,,,,,A50,A
3158,60742976,1997,199706,3,59,160808,237394,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,59.0,0.0,0.0,195207.0,WHITE BARN THEATRE FOUNDATION INC,NEW YORK,NY,10018,111 W 40TH ST,10018-2506,141465,303,0,0,0,19040,0,0,192018,-31210,169935,303,303,0,0,0,0,867,237394,0,2805,0,303,19343,192018,0,169935,0,19040,34186,0,0,237394,0,236527,3,0,0,0,0,0,0,0,0,57000,0,303,0,3,6,312,169935,89842,152349,127174,539300,237394,268534,214280,242108,962316,237384,268534,214280,242108,962306,1870,1603,1494,1910,6877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,% HECHT & CO,0.0,3.0,2.0,1.0,3.0,1.0,13.0,0.0,1.0,6,,,36061.0,5602.0,5600.0,0.0859942,1996,NY,10018,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A65,,,,,,,A65,A
3372,61286112,1997,199711,3,92,46,1,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,92.0,0.0,0.0,199006.0,FREUD LITERARY HERITAGE FOUNDATION,NEW YORK,NY,10024,300 CENTRAL PARK WEST,10024-1513,0,46,0,0,0,0,0,2000,5124,-5078,2000,0,0,0,0,0,0,0,1,0,219,0,46,0,274,211,0,211,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4500,0,219,251,586,1218,2274,2000,0,11013,14462,27475,0,5078,5150,17133,27361,0,5078,5150,17133,27361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% K R EISSLER,0.0,3.0,1.0,1.0,3.0,1.0,13.0,0.0,1.0,11,,,36061.0,5602.0,5600.0,0.206015,1996,NY,10024,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A70,,,,,,,A70,A
4176,112444997,1997,199712,3,400,0,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,400.0,402.0,404.0,197909.0,CLINTON HILL RESTORATION AND DEVELOPMENT CORP,BROOKLYN,NY,11238,431 WASHINGTON AVE,11238-1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1.0,1.0,4.0,1.0,11.0,0.0,1.0,12,,,36047.0,5602.0,5600.0,0.102042,1997,NY,11238,BROOKLYN,PF,O,AR,A,IN,,A,A,AR,AR,AR,A82,,,,,,,A82,A
4204,112538932,1997,199712,3,40,7695,28167,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,40.0,0.0,0.0,198107.0,RICHARD H GOLDMAN MEMORIAL FOUNDA TION,NEW YORK,NY,10021,150 E 69TH ST APT 7G,10021-5704,5000,0,2695,0,0,0,0,27255,27628,-19933,27344,2411,0,28167,0,0,28167,3300,27103,0,1642,0,2695,0,373,284,89,284,0,0,0,0,27103,0,24867,48,0,0,69,0,100,0,0,121,33300,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,0.0,3.0,1.0,1.0,4.0,2.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.6078819999999999,1997,NY,10021,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A80,,,,,,,A80,A
4208,112545501,1998,199805,3,40,6033,8183,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,40.0,0.0,0.0,198110.0,EDDIE BARNES MEMORIAL MUSIC SCHOLAR SHIP FOUNDATION,QUEENS VILLAGE,NY,11427,212 75 WHITEHALL TER,11427-1824,6000,33,0,0,0,0,0,5070,5541,492,5541,33,33,0,0,0,0,0,8183,0,391,0,33,33,471,0,471,0,0,0,0,0,8183,0,8183,0,0,0,0,0,0,0,0,0,7900,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1.0,1.0,4.0,1.0,11.0,0.0,1.0,5,,,36081.0,5602.0,5600.0,0.738661,1997,NY,11427,QUEENS VILLAGE,PF,O,AR,A,IN,,A,A,AR,AR,AR,A68,,,,,,,A68,A
4246,112620092,1997,199706,3,91,0,8048,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,91.0,93.0,123.0,198311.0,INSTITUTE FOR ADVANCED STUDIES OF CHINESE ART INC,FLUSHING,NY,11355,59 45 154TH PL,11355-5508,0,0,0,0,0,0,0,0,1677,-1677,0,0,0,0,0,0,0,67527,8048,0,394,0,0,0,1677,0,0,0,0,0,0,0,8048,0,-59479,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1.0,1.0,4.0,1.0,11.0,198706.0,1.0,6,,,36081.0,5602.0,5600.0,0.283931,1996,NY,11355,FLUSHING,PF,O,AR,A,IN,,A,A,AR,AR,AR,A25,,,,,,,T20,T
4257,112634917,1997,199706,3,349,53834,15852,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,349.0,0.0,0.0,198305.0,INSTITUTE FOR THEATRE LEARNING INC,FRESH MEADOWS,NY,11365,56 15A UTOPIA PKY,11365-1634,0,170,0,0,0,53664,10900,0,46232,7602,0,170,53534,0,0,0,0,3872,15852,0,0,0,170,53834,46232,0,0,0,300,0,0,0,15852,0,11980,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0.0,3.0,1.0,1.0,4.0,1.0,11.0,0.0,1.0,6,,,36081.0,5602.0,5600.0,0.0174024,1996,NY,11365,FRESH MEADOWS,PF,O,AR,A,IN,,A,A,AR,AR,AR,A6E,,,,,,,A6E,A
4353,112801382,1997,199706,3,124,0,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,124.0,209.0,0.0,198702.0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,BROOKLYN,NY,11206,31 LEONARD ST 1M,11206-3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1.0,1.0,4.0,1.0,11.0,0.0,1.0,6,,,36047.0,5602.0,5600.0,0.503052,1996,NY,11206,BROOKLYN,PF,O,AR,A,IN,,A,A,AR,AR,AR,A70,,,,,,,A70,A
