,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DOCLOCNO,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,REASON,P6UNRELB,P7INTXAT,P7DIVRIN,P7ESTRIN,P1RENTN,P7INVRIN,P1SECURN,P1OTHG,P1OTHC,P1OTHN,P1SPEVC,P1INVNTG,P1TOTREV,P1NETINC,P1CHGAS,P2TWAGES,P2TPYTAX,P4B_BOND,P4E_BOND,P4B_MORT,P4E_MORT,P4E_RET1,p4b_net,A4A_CNT,A4A_MEMT,A4A_BUST,A4A_IVST,A4A_TAXT,A4A_GVTT,A4A_OTHT,A4A_TOTT,A6OEXPB,A6NTLBB,A6NGLBB,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFFILCD,CLASSCD,RULEDATE,DEDUCTCD,PRFNDNCD,ACTIVCD1,ACTIVCD2,ACTIVCD3,ORGCD,DISTRICT,ADVRULDT,ASSETCD,INCOMECD,FILREQCD,ACCPERMO,ASSETS,INCOME,NEGINC,SEC_NAME,ZIP5,MSA_NECH,PMSA,FIPS,NTEECC,NTEE1,zipnew,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,STYEAR,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,ARED,FNDNCD,FRCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
102,1,3,1,43278959,199812,1998,199951,82490338071029,,N,Y,0,40,1998,1,6,4,0,40500,0,0,0,155865,0,0,0,190487,190487,230987,409678,3374489,0,0,3587915,3420300,34735,45811,0,0,0,0,0,0,0,0,0,0,0,0,0,34622,0,0,7,N,155865,0,0,0,0,0,0,0,0,0,0,230987,-178691,0,143431,27130,0,0,0,0,0,3553180,4082250,0,33189,381997,0,0,4497436,4464247,0,0,0,NEW ENGLAND CULTURAL FACILITIES FUND,,70 W 36TH ST,NEW YORK,NY,10018-8007,0.0,,1.0,199701.0,1.0,,,,,1.0,1.0,,,,,,0,0,,,10018.0,5602.0,5600.0,36061.0,A02,A,,,,PC,O,0.56108,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,,1998,,,,432789591998,A0261,A,12,0.0,0.0,0.0,3.0,0.0,17.0,20.0,PC,O,AR,A,OUT,S,A0261,A,541618.0
399,1,3,1,133544059,199906,1999,199952,82409261093279,,N,Y,0,40,1998,1,0,3,0,29003,0,0,0,0,0,0,0,0,0,29003,30037,-1034,0,0,0,-1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,N,0,0,0,0,0,0,0,0,0,0,0,29003,-1034,0,0,0,0,0,0,0,0,0,97051,0,0,0,0,0,97051,97051,0,0,0,NEW YORK TREBLE SINGERS,,210 W 89TH ST APT 4L,NEW YORK,NY,10024-1830,0.0,,1.0,199009.0,0.0,,,,,0.0,1.0,,,,,,0,0,,,10024.0,5602.0,5600.0,36061.0,A6B,A,,,,PC,O,0.8528600000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,,1998,,,,1335440591999,A6B,A,6,0.0,0.0,0.0,3.0,0.0,15.0,10.0,PC,O,AR,A,OUT,S,A6B,A,711130.0
454,1,7,1,133918457,199812,1998,199945,82490289168019,,N,Y,0,40,1998,1,1,3,0,0,32960,0,0,0,0,0,0,31132,31132,64092,71098,2491,8550,0,9497,2491,0,0,2491,0,0,0,0,0,0,0,0,0,0,0,0,31132,0,0,9,N,0,0,0,0,0,0,0,0,0,0,0,64092,-7006,0,0,0,0,0,0,0,9497,9497,0,35452,37847,0,0,0,73299,35452,0,0,0,OUT PROFESSIONALS,OUT PROFESSIONALS,332 BLEECKER ST PMB 16,NEW YORK,NY,10014-2980,0.0,,1.0,200009.0,2.0,,,,,1.0,1.0,,,,,,0,0,,NYACN,10014.0,5602.0,5600.0,36061.0,A30,A,,,,O,O,0.5356,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,1998,,,,1339184571998,A30,A,12,0.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,OUT,S,N50,N,713990.0
7734,1,4,1,61420853,199806,1998,199909,82490030050009,,N,Y,0,1,1997,1,5,4,121,321701,0,0,0,0,0,0,0,99663,99663,421364,388860,307861,1331,0,488322,507043,263335,199182,307861,0,0,0,0,0,0,0,0,0,0,0,0,76577,0,23086,0,N,0,0,0,0,0,0,0,0,0,0,0,421364,32504,50370,153337,0,0,0,263335,117900,224987,224987,0,0,0,0,0,0,0,0,0,0,0,AUSTRALIAN BROADCASTING CORPORATION,,630 FIFTH AVE STE 2220,NEW YORK,NY,10111-0100,0.0,3.0,3.0,199602.0,2.0,0.0,121.0,904.0,0.0,1.0,13.0,0.0,5.0,4.0,10.0,6.0,507043,421364,,,10111.0,5602.0,5600.0,36061.0,A30,A,10111.0,36061.0,,O,O,0.70911,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1997,NY,10111.0,NEW YORK,614208531998,A30,A,6,121.0,904.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
7920,1,4,1,112803536,199807,1998,199939,82490233045299,,N,Y,0,1,1997,1,4,4,119,3149,1805,0,0,493,0,917,2028,120062,119145,125016,38017,183483,0,0,189263,184018,535,535,181296,0,0,0,0,0,0,0,0,0,0,26999,64328,0,20781,315,0,Y,493,0,31200,4201,0,0,0,0,0,85109,2945,32772,-5245,0,0,0,0,0,0,0,188728,188728,0,0,0,0,0,0,0,0,0,0,0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,,46 02 30TH AVE,ASTORIA,NY,11103-1264,0.0,3.0,1.0,198707.0,2.0,0.0,119.0,0.0,0.0,1.0,11.0,0.0,4.0,4.0,10.0,7.0,184018,125016,,,11103.0,5602.0,5600.0,36081.0,A99,A,11103.0,36081.0,,O,O,0.13518,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,1997,NY,11103.0,ASTORIA,1128035361998,A23,B,7,119.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A23,A,710000.0
8010,1,4,1,130508050,199806,1998,199915,82490009265049,,N,Y,0,1,1997,1,5,4,298,120933,0,0,0,31334,0,0,0,-3318,-3318,117615,8654,554605,0,0,579030,629454,94411,74849,545620,0,0,0,0,0,0,0,0,0,0,0,38975,0,13595,-87222,7,N,22925,8409,0,0,0,0,0,0,0,52570,0,78640,69986,0,0,0,0,0,94411,74849,475634,484619,133174,0,112740,227451,0,0,370441,257701,0,0,0,BOHEMIAN BENEVOLENT & LITERARY ASSN OF NEW YORK CITY,JAN HIRD POKORNY PRESIDENT,321 E 73RD ST,NEW YORK,NY,10021-3705,0.0,3.0,3.0,196501.0,2.0,0.0,298.0,318.0,319.0,5.0,13.0,0.0,5.0,4.0,10.0,6.0,629454,117615,,,10021.0,5602.0,5600.0,36061.0,A70,A,10021.0,36061.0,,O,O,0.10217999999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10021.0,NEW YORK,1305080501998,A23,B,6,298.0,318.0,319.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A23,A,710000.0
8021,1,4,1,131673348,199902,1999,199939,82490226123149,,N,Y,0,1,1998,1,4,3,908,0,1156,0,0,15999,0,0,0,27244,27244,28400,36982,334527,0,0,971523,334527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11245,0,0,0,N,0,15999,0,0,0,0,0,0,0,0,0,28400,-8582,-628414,2814,340,0,0,0,0,0,971523,0,0,0,0,0,0,0,0,0,0,0,OLD GUARD OF THE CITY OF NEW YORK,,307 W 91ST ST,NEW YORK,NY,10024-1001,0.0,3.0,3.0,195203.0,2.0,0.0,908.0,0.0,0.0,1.0,13.0,0.0,4.0,3.0,10.0,2.0,334527,28400,,,10024.0,5602.0,5600.0,36061.0,A82,A,10024.0,36061.0,,O,O,0.45143,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10024.0,NEW YORK,1316733481999,W20,C,2,908.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,W20,W,813410.0
8022,1,4,1,131677485,199803,1998,199916,82490079314339,,N,Y,0,1,1997,1,6,6,121,262000,0,0,0,58700,0,0,0,4274800,4274800,4536800,4475900,2243200,4205,0,3421500,3613699,1269500,1370400,2243200,0,0,0,0,0,0,0,0,0,0,0,0,4179000,0,35600,0,N,0,58700,1500,1500,0,0,0,0,0,0,0,4536800,60900,30300,1148500,0,0,0,36700,25100,2152000,2152000,0,0,0,0,0,0,0,0,0,0,0,BRITISH BROADCASTING CORP,,1995 BROADWAY STE 505,NEW YORK,NY,10023-5882,0.0,3.0,1.0,199202.0,2.0,0.0,121.0,122.0,149.0,1.0,13.0,0.0,6.0,6.0,10.0,3.0,3613699,4536800,,,10023.0,5602.0,5600.0,36061.0,A30,A,10023.0,36061.0,,O,O,0.09802999999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1997,NY,10023.0,NEW YORK,1316774851998,A30,A,3,121.0,122.0,149.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
8034,1,4,1,131769475,199812,1998,199925,82490163012199,,N,Y,0,1,1998,1,4,3,319,0,4350,0,0,14651,0,0,0,86102,86102,90452,23178,261800,0,0,250756,261800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56230,0,15221,0,0,N,14651,0,0,0,0,0,0,0,0,71451,0,34222,11044,0,0,0,0,0,0,0,0,250756,0,0,0,0,0,0,0,0,0,0,0,THEATRICAL MUTUAL ASSOCIATION NEW YORK LODGE-1,,326 W 48TH ST,NYC,NY,10036-1314,0.0,3.0,3.0,195504.0,2.0,0.0,319.0,0.0,0.0,1.0,13.0,0.0,4.0,3.0,10.0,12.0,261800,90452,,,10036.0,5602.0,5600.0,36061.0,A65,A,10036.0,36061.0,,O,O,0.6685800000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10036.0,NYC,1317694751998,A65,B,12,319.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A65,A,711110.0
8045,1,4,1,132509176,199812,1998,199931,82490191073269,A50I,N,Y,0,1,1998,1,3,4,90,63095,0,0,0,131,0,18794,1103,37518,18724,100613,81860,20798,0,0,24796,29555,541,8757,0,0,0,0,0,0,0,0,0,0,0,0,3416,0,14074,0,9,N,131,0,0,0,0,0,0,0,0,17490,19897,78403,-3457,0,17139,1693,0,0,0,0,0,24255,259564,0,162826,272,0,0,422662,259836,0,0,0,PHOENIX GALLERY INC,,568 BROADWAY STE 607,NEW YORK,NY,10012-3225,0.0,3.0,1.0,199612.0,1.0,0.0,90.0,91.0,0.0,1.0,13.0,0.0,3.0,4.0,10.0,12.0,29555,100613,,,10012.0,5602.0,5600.0,36061.0,A40,A,10012.0,36061.0,,O,O,0.69375,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10012.0,NEW YORK,1325091761998,A40,A,12,90.0,91.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
