,EIN,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,TAXPER,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,FY_97,FISYR,BOND_BOY,BOND_EOY,CONT4,DUES4,GRREC4,GRTNONTX,GVTSRV4,INCPURP4,INVENTG,INVINC4,LOBNOTAX,LOBOTH,MRTG_BOY,MRTG_EOY,NETA_BOY,NETINC,NETRENT,NTEECC,NTEECC3D,OTHCHGS,OTHINC4,OTHINVST,OTHSAL,PAYTAX,RENTINC,RETE_BOY,SALEOTHE,SALEOTHG,SALEOTHN,SALESECN,SAVINT,SECINC,SPEVTG,TAXREV4,TOTREV2,ZIP5,LIBEOY97,LIB97,V_BOYAL,V_FB,V_REVEXP,V_EOYAL,NTEE4CD,NTEEDEC,NTEEMID,NTEE1,NTEECODE,V_FREXP,V_CONT,V_GREC,NTEECC4D,PMSA,NTEEIRS,REASON,RandNum,zipnew,nteeOld,MAJGRPB,NTEESRC,ntmaj10,fipsold,v_errorCd,NTmaj12,NCCSKEY2,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
178,10263908,1997,701207,0,2203290,1942080,284901,81852,3009,8278,2981420,1035840,3682630,1060500,8512140,0,0,7399370,8517770,2923,5634,0,0,0,0,0,0,0,0,0,0,0,0,112422,366290,0,0,,1624620,A25,A6EZ,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,,200 PARK AVE S 1116,NEW YORK,NY,10003-1503,0.0,3,3.0,2000.0,194707.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,46.0,119.0,30.0,B9710,,,IN,O,AR,A,PC,5.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,11.0,A,A25,,1997,0,0,0,0,0,0,0,0,11287,0,0,0,0,0,7396440,564127,0,A25,,551567,0,0,323786,24769,0,0,500,3227,2727,261219,0,284901,112422,0,1624620,10003.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,A25Z,2,0.441772,10003.0,A25,A,1,AR,36061.0,,AR,102639081997,A25,NY,10003.0,NEW YORK,A25,,0.0,3b,1998.0,0.0,3b,1998.0,3475963.0,3b,1998.0,949398.0,3b,1998.0,325052.0,3b,1998.0,4711036.0,3b,1998.0,0.0,3b,1998.0,0.0,3b,1998.0,701207.0,3b,1998.0,959051.0,3b,1998.0,AR,PC,O,AR,A,IN,,0.0,3b,1998.0,339121.0,3b,1998.0,5410455.0,3b,1998.0,355051.0,3b,1998.0,A25,A
625,10391592,1998,430,0,0,0,0,0,375,2320,75014,74639,75444,62415,21115,0,0,8461,21115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72319,0,0,,75069,A68,,MAINE JAZZ CAMP,,VAN BRUNT STATION BOX 150 597,BROOKLYN,NY,11215-0150,0.0,3,3.0,1000.0,198809.0,1.0,,1.0,11.0,0.0,199812,10.0,12,,149.0,319.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36047.0,5602.0,16.0,A,A68,,1998,0,0,12293,0,224416,0,0,12293,2695,0,0,0,0,0,8461,12654,0,A68,,0,236709,0,0,0,0,0,0,0,0,0,0,0,0,0,75069,11215.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,B99Z,9,0.8099609999999999,4344.0,A68,A,1,AR,,,AR,103915921998,A68,NY,11215.0,BROOKLYN,A68,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,6,2003.0,AR,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A68,A
1372,20223438,1998,739518,0,261873,72681,22403,0,0,0,284420,211739,1023940,174770,2261950,0,0,1502180,2261950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,,951257,A80,,ST GAUDENS MEMORIAL,% ROGER HOOKER,17 E 47TH ST,NEW YORK,NY,10017-1920,0.0,3,3.0,1000.0,194703.0,1.0,,1.0,13.0,0.0,199812,10.0,12,,62.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,2.0,3.0,0,,0,,0,36061.0,5602.0,17.0,A,A80,,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502180,776487,0,A80,,-16722,0,0,0,0,0,0,0,0,0,189192,3166,19237,0,0,951257,10017.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,,10,0.23724699999999999,10017.0,A80,A,1,AR,36061.0,,AR,202234381998,A80,NY,10017.0,NEW YORK,A80,,0.0,3a,1998.0,0.0,3a,1998.0,2196049.0,3a,1998.0,660015.0,3a,1998.0,65801.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,739518.0,3a,1998.0,0.0,3a,1998.0,AR,PC,O,AR,A,IN,,1586835.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,7800.0,3a,1998.0,A80,A
3207,36010806,1997,104316,0,0,0,12074,4816,0,0,32129,32129,136445,79898,197883,23419,0,176338,247506,42028,49623,0,0,0,0,0,0,0,0,0,0,0,0,0,20055,0,0,,136445,A31,,INTERNATIONAL FILM SEMINARS INC,,462 BROADWAY STE 510,NEW YORK,NY,10013-2618,0.0,3,3.0,2000.0,196308.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,59.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,1.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A31,,1997,0,0,228932,0,247832,0,0,259717,0,29458,0,0,0,0,134310,56547,0,A31,,7026,507549,0,0,2001,0,0,0,0,0,0,0,12074,0,0,136445,10013.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,,7,0.424986,10013.0,A31,A,1,AR,36061.0,,AR,360108061997,A31,NY,10013.0,NEW YORK,A31,,0.0,3b,1998.0,0.0,3b,1998.0,33807.0,3b,1998.0,2279.0,3b,1998.0,39420.0,3b,1998.0,124525.0,3b,1998.0,0.0,3b,1998.0,0.0,3b,1998.0,104316.0,3b,1998.0,2209.0,3b,1998.0,AR,PC,O,AR,A,IN,,195657.0,3b,1998.0,912.0,3b,1998.0,7407.0,3b,1998.0,0.0,3b,1998.0,A31,A
4804,42575633,1998,20000,0,0,0,350,0,0,0,61878,61878,81878,85954,-6127,0,0,118802,128548,120853,134675,0,0,0,0,0,0,0,0,0,0,0,0,0,19628,0,41900,,81878,A60,,SEVENARS CONCERTS INC,,30 E END AVE 3A,NEW YORK,NY,10028-7053,0.0,3,3.0,2000.0,197611.0,1.0,,1.0,13.0,0.0,199812,10.0,12,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A60,,1998,0,0,112422,0,0,0,0,236286,0,6390,0,0,0,0,-2051,-4076,0,A60,,0,236286,350,0,0,0,0,0,0,0,0,0,0,0,0,81878,10028.0,0,0,1,9,9,9,,,,A,,1,1,1,,5600.0,,7,0.40786,10028.0,A60,A,1.0,AR,36061.0,,AR,425756331998,A68,NY,10028.0,NEW YORK,A68,,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,AR,PC,O,AR,A,IN,,0.0,3b,1999.0,80087.0,6,2003.0,0.0,3b,1999.0,71976.0,3b,1999.0,A68,A
7492,43153122,1997,497091,0,0,0,203,0,0,0,121651,121651,618742,228744,472979,73100,0,105421,483185,22440,10206,0,0,0,0,0,0,0,0,0,0,0,0,0,113348,0,0,,618742,A30,,SOCIAL MEDIA PRODUCTIONS INC,% CASON & COMPANY,330 W 42ND ST 1303,NEW YORK,NY,10036-6902,0.0,3,3.0,1000.0,199402.0,1.0,,1.0,4.0,0.0,199803,10.0,3,,122.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,3.0,2.0,3.0,0,,0,,0,36061.0,5602.0,15.0,A,A30,,1998,0,0,1082620,0,0,0,0,1083150,0,533,0,0,0,0,82981,389998,8100,A30,,0,1083150,0,57000,10333,8100,0,0,0,0,0,203,0,0,0,618742,10036.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,A31Z,7,0.9984299999999999,10025.0,A30,A,1.0,AR,36061.0,,AR,431531221998,A30,NY,10036.0,NEW YORK,A30,,482088.0,3a,1998.0,0.0,3a,1998.0,900.0,3a,1998.0,1600.0,3a,1998.0,465188.0,3b,1999.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,15003.0,3a,1998.0,5001.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,9302.0,3a,1998.0,A30,A
12357,61240889,1997,21936,0,0,0,0,0,0,0,107436,107436,129372,125151,7668,0,0,3581,7668,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107436,0,0,,129372,A60,,THEATREMOVES INC,NEIL INTRAUB,PO BOX 1333,NEW YORK,NY,10009-8902,0.0,3,3.0,1000.0,199001.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A60,,1998,0,0,48898,0,264642,0,0,48898,0,0,0,0,0,0,3447,4221,0,A60,,0,313540,0,0,0,0,0,0,0,0,0,0,0,0,0,129372,10009.0,0,0,2,1,1,1,,,,A,,1,1,1,,5600.0,A6FZ,7,0.14934,10009.0,A60,A,1,AR,36061.0,,AR,612408891998,A65,NY,10009.0,NEW YORK,A65,,21936.0,3a,1998.0,0.0,3a,1998.0,7668.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,2965.0,3a,1998.0,A65,A
12430,61267752,1998,10133,0,0,0,0,0,0,0,58556,58556,68689,69352,-7413,0,0,5950,4887,12700,12300,0,0,0,0,0,0,0,0,0,0,0,0,0,58556,0,0,,68689,A65,,29TH STREET REPERTORY THEATRE INC,% TIMOTHY J CORCORAN,212 W 29TH ST,NEW YORK,NY,10001-5201,0.0,3,3.0,2000.0,199104.0,1.0,,1.0,13.0,0.0,199812,10.0,12,,88.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1998,0,0,32080,0,265389,0,0,32080,0,0,0,0,0,0,-6750,-663,0,A65,,0,297469,0,0,0,0,0,0,0,0,0,0,0,0,0,68689,10001.0,0,0,1,9,9,9,,,,A,,1,1,1,,5600.0,,9,0.125304,10001.0,A65,A,1,AR,36061.0,,AR,612677521998,A65,NY,10001.0,NEW YORK,A65,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,407.0,3a,1998.0,0.0,3a,1998.0,4480.0,3a,1998.0,A65,A
12466,61278112,1996,58421,0,0,0,56,0,0,0,56,56,58477,56229,10153,0,0,40448,38311,40448,28158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58477,A99,,CONSCIENTIOUS MUSICAL REVIEWS,% VALENCIA EMANUEL,100 ALCOTT PL 19L,BRONX,NY,10475-4130,0.0,3,3.0,1000.0,199405.0,1.0,,1.0,13.0,0.0,199612,10.0,12,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36005.0,5602.0,15.0,A,A99,,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247,0,A99,,7905,0,56,0,0,0,0,0,0,0,0,0,0,0,0,58477,10475.0,0,0,9,2,1,1,,,,A,,1,1,1,,5600.0,,0,0.9504049999999999,10475.0,A99,A,1,AR,36005.0,,AR,612781121996,A68,NY,10475.0,BRONX,A68,,0.0,6,2003.0,0.0,6,2003.0,,,,0.0,6,2003.0,,,,,,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,AR,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A68,A
12592,61313662,1997,170260,0,251055,134208,50666,0,0,0,301721,167513,471981,332783,3125100,28225,0,2332230,3129630,7030,4537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,337773,A26,,THE ELIZABETH FOUNDATION FOR THE ARTS,% JANE STEPHENSON,PO BOX 2670,NEW YORK,NY,10108-2670,0.0,3,3.0,1000.0,199211.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,91.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A26,,1997,0,0,243907,0,0,0,0,406185,0,162278,0,0,0,0,2325200,4990,0,A26,,794909,406185,0,5804,4772,0,0,0,0,0,116847,2761,47905,0,0,337773,10108.0,0,0,9,2,1,1,,,,A,,1,1,1,,5600.0,A51Z,7,0.194691,10108.0,A26,A,1,AR,36061.0,,AR,613136621997,A90,NY,10108.0,NEW YORK,A90,,0.0,1d,2098.0,0.0,1d,2098.0,3106880.0,3b,1998.0,10130.0,1d,2098.0,18154.0,3b,1998.0,0.0,3b,1998.0,2574799.0,1d,2098.0,0.0,1d,2098.0,170260.0,1d,2098.0,7549.0,1d,2098.0,AR,PC,O,AR,A,IN,,0.0,1d,2098.0,237403.0,1d,2098.0,153649.0,1d,2098.0,120180.0,1d,2098.0,A90,A
