,EIN,FisYr,STYEAR,TAXPER,NTEE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TX4940,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ZIP5,P6TEXCTX,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,randnum,nteeConf,FIPS,MSA_NECH,PMSA,stateOld1,zip5Old1,cityOld1,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
3230,53842834,1998,1997,199809,A23Z,3,60,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FREDERICK BROWN MUSEUM INC,% L WOLLIN,350 FIFTH AVE STE 2822,NEW YORK,NY,10118-2899,0.0,3.0,1.0,199511.0,1.0,4.0,60.0,0.0,0.0,1.0,13.0,0.0,1.0,9,,10118.0,0,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.10718599999999999,C,36061.0,5602.0,5600.0,NY,10118.0,NEW YORK,PF,S,AR,A,IN,,A50,A
4921,113121207,1998,1997,199802,A60Z,3,122,0,0,0,0,0,0,0,0,1,0,1,0,0,0,101510,0,0,0,0,75962,101510,1302,1302,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,890,0,0,101510,0,25548,0,0,0,0,0,0,0,0,0,26438,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B KING PRODUCTIONS INC,% STARR & CO,350 PARK AVE,NEW YORK,NY,10022-6022,0.0,3.0,1.0,199402.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,2,,10022.0,0,,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.668365,C,36061.0,5602.0,5600.0,NY,10022.0,NEW YORK,PF,S,AR,A,IN,,A60,A
4927,113131714,1998,1998,199812,A99Z,3,560,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEACE UNITY AND PROSPERITY FOUNDATION INC,% SARITA SACHOEUA,95 54 111TH ST,RICHMOND HILL,NY,11419-1023,0.0,3.0,1.0,199607.0,1.0,4.0,560.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,11419.0,0,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.6718930000000001,C,36081.0,5602.0,5600.0,NY,11419.0,RICHMOND HILL,PF,S,AR,A,IN,,A99,A
4939,113137086,1998,1998,199812,A99Z,3,560,90000,4499,0,0,0,0,0,75501,94499,76418,18081,75501,3582,3582,296916,0,0,0,0,0,296916,0,9497,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,4499,4499,917,917,0,917,917,296916,0,0,296916,0,296916,36,0,0,0,0,0,0,0,0,192837,9461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J Z L FOUNDATION,% MICKEY WOHL,87 09 CLIO ST,HOLLISWOOD,NY,11423-1229,0.0,3.0,1.0,199508.0,1.0,4.0,560.0,0.0,0.0,2.0,11.0,0.0,1.0,12,,11423.0,36,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.7132109999999999,C,36081.0,5602.0,5600.0,NY,11423.0,HOLLISWOOD,PF,S,AR,A,IN,,A99,A
4958,113162087,1998,1998,199812,,3,994,92509,0,0,0,0,118729,0,0,211238,237542,-26304,217540,0,105796,739707,0,569403,0,569403,14334,739707,0,46,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,118729,237542,0,217540,0,12933,0,0,0,739707,0,725373,0,0,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMERICAN MUSEUM FOR THE PRESERVATION OF HISTORIC AIRCRAFT,% AVIREX LTD,33 00 47TH AVE,LONG IS CITY,NY,11101-2430,0.0,3.0,1.0,199308.0,1.0,4.0,994.0,60.0,0.0,1.0,11.0,0.0,1.0,12,,11101.0,0,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.839986,B,36081.0,5602.0,5600.0,NY,11101.0,LONG IS CITY,PF,S,AR,A,IN,,A50,A
4966,113174234,1997,1997,199712,,3,602,46995,0,7194,0,0,0,0,3450,54189,4088,50101,4088,7194,0,156605,11037,0,60000,71037,0,156605,1996,6156,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,7194,0,638,0,638,0,0,0,0,0,156605,0,156605,72,0,0,0,0,72,0,0,0,125000,6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOUNDATION FOR THE ADVANCEMENT OF ARTS AND SCIENCES FROM INDIA INC,% RAVI S KULKARNI,150 56 MELBOURNE AVE,FLUSHING,NY,11367-1439,0.0,3.0,1.0,199310.0,1.0,4.0,602.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,11367.0,72,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.147971,B,36081.0,5602.0,5600.0,NY,11367.0,FLUSHING,PF,S,AR,A,IN,,A0123,A
5031,113227149,1998,1997,199806,A47P,3,91,0,0,0,0,0,52811,5000,150,52811,51202,1609,51202,0,0,10251,0,0,0,0,6234,10251,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,51052,0,51052,0,0,7667,0,0,10251,0,4017,0,0,0,0,0,0,0,0,0,8036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLAYWORKS ON COLUMBIA INC,,195 COLUMBIA STREET,BROOKLYN,NY,11231-0000,0.0,3.0,3.0,199612.0,1.0,4.0,91.0,149.0,59.0,1.0,11.0,0.0,1.0,6,,11231.0,0,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.607982,C,36047.0,5602.0,5600.0,NY,11231.0,BROOKLYN,PF,S,AR,A,IN,,A40,A
5148,113343213,1998,1997,199809,A25,3,0,74500,0,1194,42100,0,0,40000,4700,117794,48175,69619,26840,1194,1194,255252,0,0,0,0,20000,255252,0,6173,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,1194,1194,43475,0,22140,0,0,64112,0,0,255252,0,235272,24,0,0,0,0,0,0,0,0,125345,0,1194,1227,0,0,2421,26840,63063,0,0,89903,0,0,0,0,0,0,0,0,0,0,4115,2597,0,0,6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROY AND SHERRY DECARAVA FOUNDATION,% ROY & SHERRY & SUSAN W DECARAVA,81 HALSEY ST,BROOKLYN,NY,11216-1902,0.0,3.0,1.0,199904.0,1.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,9,,11216.0,24,,A25,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.09191410000000001,C,36047.0,5602.0,5600.0,NY,11216.0,BROOKLYN,PF,O,AR,A,IN,,A25,A
5678,131655152,1997,1997,199712,A41Z,3,59,18156,0,242051,268444,0,9196,65000,22600,953700,581079,372621,244400,654669,420168,5316783,0,0,0,0,80991,7106792,0,312590,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,415853,926348,691847,558479,271679,221800,271679,271679,23205,0,3935526,7106792,0,5235792,13093,0,0,0,0,0,0,0,0,6347004,0,312590,287845,73185,259895,933515,244400,284018,51725,377454,957597,7106792,6482795,6106387,6016869,25712843,533333,533333,533333,533333,2133332,208393,191897,48790,189805,638885,18156,12965,2260,25049,58430,18156,12965,2260,25049,58430,641669,492947,92993,294514,1522123,VAN ALEN INSTITUTE PROJECTS IN PUBLIC ARCHITECTURE,,30 W 22ND ST 6TH FLR,NEW YORK,NY,10010-5884,0.0,1.0,2.0,193804.0,1.0,3.0,59.0,0.0,0.0,1.0,13.0,200312.0,1.0,12,,10010.0,13093,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8602780000000001,A,36061.0,5602.0,5600.0,NY,10010.0,NEW YORK,PF,O,AR,A,IN,,A40,A
5721,131873289,1998,1998,199812,A50Z,3,119,12625,163,61352,237767,0,0,0,38767,311909,107259,204650,84656,276803,0,1676977,397519,838695,418975,1655189,418,2428507,0,110518,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,299284,0,68491,22481,45888,22481,0,0,0,0,2428507,0,1676559,5536,0,0,3000,0,0,0,0,0,2244038,104982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAGBY FOUNDATION FOR THE MUSICAL ARTS INC,,501 FIFTH AVE,NEW YORK,NY,10017-6103,0.0,3.0,1.0,194211.0,1.0,4.0,119.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,10017.0,5536,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.796243,C,36061.0,5602.0,5600.0,NY,10017.0,NEW YORK,PF,S,AR,A,IN,,A68,A
