,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DOCLOCNO,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,REASON,P6UNRELB,P7INTXAT,P7DIVRIN,P7ESTRIN,P1RENTN,P7INVRIN,P1SECURN,P1OTHG,P1OTHC,P1OTHN,P1SPEVC,P1INVNTG,P1TOTREV,P1NETINC,P1CHGAS,P2TWAGES,P2TPYTAX,P4B_BOND,P4E_BOND,P4B_MORT,P4E_MORT,P4E_RET1,p4b_net,A4A_CNT,A4A_MEMT,A4A_BUST,A4A_IVST,A4A_TAXT,A4A_GVTT,A4A_OTHT,A4A_TOTT,A6OEXPB,A6NTLBB,A6NGLBB,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFFILCD,CLASSCD,RULEDATE,DEDUCTCD,PRFNDNCD,ACTIVCD1,ACTIVCD2,ACTIVCD3,ORGCD,DISTRICT,ADVRULDT,ASSETCD,INCOMECD,FILREQCD,ACCPERMO,ASSETS,INCOME,NEGINC,SEC_NAME,ZIP5,ACCPER,ACTIV1,ACTIV2,ACTIV3,MSA_NECH,PMSA,FIPS,RandNum,NTEECC,NTEE1,zipnew,fipsold,v_errorCd,LEVEL1,LEVEL2,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,STYEAR,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,AFCD,ARED,FNDNCD,FRCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
3189,1,6,1,42977509,200006,2000,200041,29490253174270,,N,Y,0,1,1999,1,4,4,92,8700,66941,0,0,16007,0,0,112,85085,85085,160726,103069,284409,23649,0,264101,284409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37350,0,-6425,38040,0,N,16007,0,0,0,0,0,0,0,0,30925,112,123376,20307,0,0,3934,0,0,0,0,0,264101,0,0,0,0,0,0,0,0,0,0,0,SCIENCE FICTION WRITERS OF AMERICA INC,% IAN STROCK,1380 E 17TH ST STE 301,BROOKLYN,NY,11230-6011,0.0,3.0,2.0,198909.0,2.0,0.0,92.0,0.0,0.0,1.0,11.0,0.0,4.0,4.0,10.0,6.0,284409,160726,,,11230.0,6,92.0,0.0,0.0,5602.0,5600.0,36047.0,0.87361,A01,A,11230.0,36047.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36047.0,1999,NY,11230.0,BROOKLYN,429775092000,A0370,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0370,A,813920.0
5603,1,6,1,60993134,199912,1999,200052,29409344086240,,N,Y,0,1,1999,1,2,3,122,0,12030,0,0,267,0,0,0,34202,34202,46232,50106,16177,0,0,22818,16177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2767,17445,223,13500,0,N,0,0,0,0,267,0,0,0,0,2990,0,43465,-6641,0,0,0,0,0,0,0,0,22818,0,0,0,0,0,0,0,0,0,0,0,WOMEN EXECUTIVES IN PUBLIC RELATIONS,,PO BOX 7657 FDR STATION,NEW YORK,NY,10150-7657,0.0,3.0,2.0,198005.0,1.0,0.0,122.0,994.0,0.0,1.0,13.0,0.0,2.0,3.0,10.0,12.0,16177,46232,,,10150.0,12,122.0,994.0,0.0,5602.0,5600.0,36061.0,0.59625,A31,A,10150.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10150.0,NEW YORK,609931341999,A31,C,3.0,198805.0,15.0,20.0,PC,O,AR,A,IN,,A31,A,512110.0
6027,1,4,1,61420853,199906,1999,200017,29490092042310,,N,Y,0,1,1998,1,4,4,121,358515,0,0,0,0,0,0,0,77703,77703,436218,439365,317199,1261,0,507043,499447,199182,182248,317199,0,0,0,0,0,0,0,0,0,0,0,0,77703,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,436218,-3147,12485,175464,0,0,0,117900,94179,307861,307861,0,0,0,0,0,0,0,0,0,0,0,AUSTRALIAN BROADCASTING CORPORATION,,630 FIFTH AVE STE 2220,NEW YORK,NY,10111-0100,0.0,3.0,3.0,199602.0,2.0,0.0,121.0,904.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,6.0,499447,436218,,,10111.0,6,121.0,904.0,0.0,5602.0,5600.0,36061.0,0.9689399999999999,A30,A,10111.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10111.0,NEW YORK,614208531999,A30,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
6962,1,6,1,112022650,199912,1999,200029,29490183150010,,N,Y,0,1,1999,1,2,4,920,0,20580,0,0,22,0,0,0,122644,122644,143224,147575,16706,0,0,22527,18797,1471,2091,16706,0,0,0,0,0,0,0,0,0,0,0,0,121232,0,1590,0,Y,22,0,0,0,0,0,0,0,0,0,0,143224,-4352,0,23600,2099,0,0,0,0,21056,21056,0,0,0,0,0,0,0,0,0,0,0,AUTO BODY CRAFTSMENS GUILD INC,,654 RICHMOND RD,STATEN ISLAND,NY,10304-2428,0.0,3.0,2.0,196506.0,2.0,0.0,920.0,0.0,0.0,1.0,13.0,0.0,2.0,4.0,10.0,12.0,18797,143224,,,10304.0,12,920.0,0.0,0.0,5602.0,5600.0,36085.0,0.70555,A01,A,10304.0,36085.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36085.0,1999,NY,10304.0,STATEN ISLAND,1120226501999,A40,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
7218,1,12,1,112579110,199912,1999,200029,29490183149370,,N,Y,0,1,1999,1,2,3,200,0,33313,0,0,0,11464,0,0,0,0,33313,30501,13014,0,0,10202,13014,0,0,13014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,33313,2812,0,0,0,0,0,0,0,10202,10202,0,0,0,0,0,0,0,0,0,0,0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,% CHARLES WEINER,1110 BRONX RIVER AVE,BRONX,NY,10472-3102,0.0,3.0,1.0,198311.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,2.0,3.0,10.0,12.0,13014,33313,,,10472.0,12,200.0,0.0,0.0,5602.0,5600.0,36005.0,0.30122,A65,A,10472.0,36005.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36005.0,1999,NY,10472.0,BRONX,1125791101999,A65,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A65,A,711110.0
7235,1,6,1,112601204,199909,1999,200015,29409071022180,,N,N,0,1,1998,1,2,3,123,0,715,0,0,468,0,0,0,44383,44383,45098,62364,15526,0,0,32792,15526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43914,0,0,0,N,0,0,0,0,468,0,0,0,0,0,0,45098,-17266,0,0,0,0,0,0,0,0,32792,0,0,0,0,0,0,0,0,0,0,0,NASSAU-SUFFOLK CHAPTER OF THE FINANCIAL MANAGERS SOCIETY INC,% ASTORIA FED SAVNGS ATN A BLAZK JR,71 02 FOREST AVE,RIDGEWOOD,NY,11385-0000,0.0,3.0,1.0,198302.0,2.0,0.0,123.0,205.0,0.0,5.0,11.0,0.0,0.0,0.0,20.0,9.0,0,0,,,11385.0,9,123.0,205.0,0.0,5602.0,5600.0,36081.0,0.60756,A70,A,11385.0,36081.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,1998,NY,11385.0,RIDGEWOOD,1126012041999,S41,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,S41,S,813910.0
7354,1,4,1,112803536,199907,1999,200012,29490050058390,,N,N,0,1,1998,1,4,4,119,1118,1490,0,0,647,0,3090,-419,108775,105685,111383,19630,187940,0,0,181831,188475,535,535,187940,0,0,0,0,0,0,0,0,0,0,27452,54567,0,18265,0,0,Y,647,0,32625,5173,0,0,0,0,0,72832,2671,26274,6644,0,0,0,0,0,0,0,181296,181296,0,0,0,0,0,0,0,0,0,0,0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,,46 02 30TH AVE,ASTORIA,NY,11103-1264,0.0,3.0,1.0,198707.0,2.0,0.0,119.0,0.0,0.0,1.0,11.0,0.0,4.0,3.0,10.0,7.0,199024,90785,,,11103.0,7,119.0,0.0,0.0,5602.0,5600.0,36081.0,0.02078,A99,A,11103.0,36081.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36081.0,1998,NY,11103.0,ASTORIA,1128035361999,A23,B,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A23,A,710000.0
7584,1,6,1,113238845,199912,1999,200047,29409302008290,,N,Y,0,1,1999,1,3,3,205,0,10829,0,0,8023,0,0,0,36228,36228,47057,15058,64062,0,0,52027,64062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19964,0,6341,1900,9,N,0,0,0,0,8023,0,0,0,0,26305,0,27093,12035,0,0,0,0,0,0,0,0,52027,2000,38245,90400,3129,0,0,133774,43374,0,0,0,A I A QUEENS INC,% ANTHONY DIPROPERZIO,81 01 FURMANVILLE,MIDDLE VILLAGE,NY,11379-0000,0.0,3.0,2.0,199503.0,2.0,0.0,205.0,0.0,0.0,1.0,11.0,0.0,3.0,3.0,10.0,12.0,64062,47057,,,11379.0,12,205.0,0.0,0.0,5602.0,5600.0,36081.0,0.50255,A40,A,11379.0,36081.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,1999,NY,11379.0,MIDDLE VILLAGE,1132388451999,A40,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
7714,1,3,1,113489855,199909,1999,200047,29490246016250,,N,Y,0,40,1998,1,4,4,0,457165,43985,-5212,0,477,19306,0,0,-4735,-4735,496415,489923,80380,0,0,115426,215868,41538,135488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,477,0,0,0,0,-5212,0,0,0,0,0,496415,6492,0,0,0,0,0,0,0,0,73888,0,0,0,0,0,0,0,0,0,0,0,ST PATRICKS DAY PARADE INC,,PO BOX 295,BRONX,NY,10470-0271,0.0,,1.0,200111.0,1.0,,,,,1.0,1.0,,,,,,0,0,,,10470.0,9,0.0,0.0,0.0,5602.0,5600.0,36005.0,0.33334,A23,A,,,,PC,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,,1998,,,,1134898551999,A23,B,3.0,0.0,16.0,10.0,PC,O,AR,A,OUT,S,A23,A,710000.0
7954,1,6,1,130417765,199912,1999,200052,29490344088310,,N,Y,0,1,1999,1,6,6,919,0,1410214,633043,558513,49086,0,0,0,3418665,2858062,4828879,4413672,965675,599850,0,2436064,2118601,1328900,1152926,0,0,0,0,0,0,0,0,0,0,0,0,0,2735073,0,0,0,Y,49086,0,0,0,0,74530,1463,2090,-627,0,0,4268276,-145396,3907,541768,73730,0,0,0,0,0,1107164,0,0,0,0,0,0,0,0,0,0,0,ADVERTISING RESEARCH FOUNDATION INC,,641 LEXINGTON AVE 11TH FLR,NEW YORK,NY,10022-4503,0.0,3.0,1.0,194303.0,2.0,0.0,919.0,0.0,0.0,1.0,13.0,0.0,6.0,6.0,10.0,12.0,2118601,4828879,,,10022.0,12,919.0,0.0,0.0,5602.0,5600.0,36061.0,0.51562,A30,A,10022.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10022.0,NEW YORK,1304177651999,A03,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A03,A,813920.0
