,FIPS,MSA,PMSA,SRC1_UPD,CMSA,FIPSTATE,ZIP5,EIN,NTEECC,NTEE1,confiden,NteeCC4d,OutReas,Level2,Level4,MajGrpB,NtMaj10,NtMaj5,NtMaj12,Level1,Level3,NteeSrc,OutNCCS,RandNum,NTEEOLDA,TAXPER,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,VERIFY,TOTREV,SUBSECCD,REASON,RASCD,RREVCD,RINCCD,REXPCD,FISYR,STYEAR,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,MSA_NECH,V_FREXP,V_CONT,V_GREC,TOTLOB,V_BOYAL,V_EOYAL,V_FB,V_REVEXP,NTEE_CAT,LEVEL5,POP_NDX,NTEEDRAF,FIPSOLDA,SRC2_UPD,STATECHK,nteeConf,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
230,36047.0,,5600.0,,,,11232.0,112483897,A24,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A62,199808.0,24243,380,0,0,0,0,0,0,17602,17602,42225,36393,42505,0,0,36074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13381,0,4221,0,0,0,0,0,0,0,0,0,0,0,42225,5832,599,0,0,0,0,0,0,0,36074,46566,1825,58821,1967,0,0,121646,62825,0,0,0,,42225,3,9,0.0,1,1.0,1.0,1999,1998,POLISH AMERICAN FOLK DANCE COMPANY INC C O STANLEY PELE,% STANLEY PELC,659 41 ST APT 38,BROOKLYN,NY,11232-3135,0.0,3.0,1.0,197902.0,1.0,15.0,90.0,994.0,0.0,1.0,11.0,0.0,10.0,8,,5602.0,1,1,1,0,1.0,9,3,1,1,1,0,A24,,,1,B,A24,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3b,2000.0,,,,0.0,3b,2000.0,0.0,3b,2000.0,,,,0.0,3a,1999.0,0.0,3a,1999.0,,,,PC,O,AR,A,IN,,,,,,,,,,,,,,A24,A
255,36061.0,,5600.0,,,,10023.0,113145427,A80,A,B,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A80,199712.0,16712,9530,0,0,0,0,0,0,10508,10488,36750,20573,60680,0,0,53363,61329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8840,2904,-1345,29,0,0,0,0,0,0,80,20,60,7495,0,27890,7317,0,0,0,0,0,0,0,0,53363,11690,18069,111392,0,0,0,141151,29759,0,0,0,,27890,3,9,1.0,1,1.0,1.0,1999,1999,NATIONAL ASSOCIATION OF JEWISH CHILD HOLOCAUST SURVIVORS INC,% ELSE WIDMAN,PO BOX 1010 ANSONIA STATI,NEW YORK,NY,10023-1010,0.0,3.0,1000.0,199306.0,1.0,16.0,123.0,0.0,0.0,1.0,13.0,0.0,20.0,12,N A H O S - NY CHILD SURVIVORS,5602.0,1,1,1,0,9.0,1,1,1,1,3,0,,,,1,B,A80,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,600.0,3a,1999.0,0.0,3a,1999.0,60629.0,3a,1999.0,A80,A
265,36061.0,,5600.0,,,,10001.0,115347056,A65,A,B,,,O,A,A,AR,AR,AR,PC,AR,1,IN,1,A60,199808.0,56419,0,0,0,209,8512,0,0,55938,55938,112357,327673,0,35004,0,238464,0,22067,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,49279,5369,0,209,0,0,0,0,0,0,0,0,6450,0,111276,-216397,0,69844,9515,0,0,0,0,0,216397,1747656,0,625572,3262,0,0,2402824,1777252,0,0,0,,111276,3,7,1.0,2,2.0,2.0,1999,1998,EN GARDE ARTS INC,,259 W 30TH ST 14TH FLR,NEW YORK,NY,10001-2809,0.0,3.0,2.0,198604.0,1.0,15.0,90.0,0.0,0.0,1.0,13.0,0.0,10.0,8,,5602.0,1,1,1,0,1.0,9,2,9,1,1,0,A65,,,1,B,A65,,10604.0,3a,1999.0,0.0,3a,1999.0,0.0,3c,1998.0,0.0,3c,1998.0,0.0,3c,1998.0,0.0,3c,1998.0,0.0,3c,1998.0,0.0,3a,1999.0,45815.0,3a,1999.0,10903.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3c,1998.0,0.0,3c,1998.0,0.0,3c,1998.0,0.0,3c,1998.0,A65,A
278,36061.0,,5600.0,,,,10012.0,132767572,A40,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,1,A40,199712.0,0,0,0,0,0,0,0,0,89344,89344,89344,98059,11362,0,0,20077,11362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89185,0,159,0,0,0,0,0,0,0,0,0,0,0,89344,-8715,0,0,0,0,0,0,0,0,20077,0,0,909485,1126,0,0,910611,1126,0,0,0,,89344,3,9,1.0,1,1.0,1.0,1998,1998,URBAN INITIATIVES INC,,225 LAFAYETTE ST ROOM 1204,NEW YORK,NY,10012-4015,0.0,3.0,2.0,197309.0,1.0,15.0,994.0,59.0,350.0,1.0,13.0,0.0,10.0,12,,5602.0,1,1,1,0,9.0,1,1,9,1,2,0,,,,1,A,A40,,,,,,,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,,,,0.0,3a,1998.0,PC,O,AR,A,IN,,0.0,3a,1998.0,402.0,3a,1998.0,0.0,3a,1998.0,10960.0,3a,1998.0,A40,A
284,36061.0,,5600.0,,,,10003.0,132917939,A80,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A80,199901.0,17643,8215,0,0,12119,0,0,0,20339,20339,46197,30061,165474,0,0,142924,165474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5781,0,2438,0,0,0,0,0,12119,0,0,0,0,8220,0,40416,10355,12194,0,0,0,0,0,0,0,142924,82691,27158,95,17983,0,0,175049,174954,0,0,0,,40416,3,7,2.0,1,1.0,1.0,2000,1999,METROPOLITAN HISTORIC STRUCTURES ASSOCIATION INC,% NATIONAL ARTS CLUB,15 GRAMERCY PARK,NEW YORK,NY,10003-1705,0.0,3.0,2.0,197712.0,1.0,15.0,994.0,123.0,603.0,1.0,13.0,0.0,10.0,1,,5602.0,1,1,1,0,1.0,1,1,1,1,3,0,,,,1,A,A80,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,57926.0,3a,2000.0,0.0,3a,2000.0,107548.0,3a,2000.0,A80,A
285,36061.0,,5600.0,,,,10019.0,132977840,A65,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A65,199808.0,16320,0,0,0,0,0,0,0,81561,81561,97881,92573,5307,0,0,81,5307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81561,0,0,0,0,0,0,0,0,0,0,0,0,0,97881,5307,0,0,0,0,0,0,0,0,81,59240,0,262657,0,0,0,326734,64077,0,0,0,,97881,3,7,1.0,1,1.0,1.0,1999,1998,AMERICAN THEATER OF ACTORS INC,,314 W 54TH ST,NEW YORK,NY,10019-5102,0.0,3.0,1.0,197905.0,1.0,16.0,995.0,90.0,88.0,1.0,13.0,0.0,10.0,8,,5602.0,1,1,1,0,1.0,1,1,2,1,1,0,A65,,,1,B,A65,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3b,2000.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,A65,A
310,36061.0,,5600.0,,,,10013.0,133191816,A62,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A62,199806.0,10952,0,0,0,0,0,0,0,20615,20615,31567,32385,-2631,0,0,-61,-2631,1751,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,20615,0,0,0,0,0,0,0,0,0,0,0,0,0,31567,-818,0,0,0,0,0,0,0,0,-1812,36655,0,75609,0,0,0,112264,36655,0,0,0,,31567,3,9,0.0,1,1.0,1.0,1999,1998,NEW DANCE ALLIANCE INC,,182 DUANE ST,NEW YORK,NY,10013-3308,0.0,3.0,2.0,198710.0,1.0,16.0,90.0,995.0,0.0,1.0,13.0,0.0,20.0,6,,5602.0,1,1,1,0,9.0,9,9,9,1,1,0,,,,1,B,A62,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3b,2000.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3b,2000.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3b,2000.0,PC,O,AR,A,IN,,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,A62,A
319,36061.0,,5600.0,,,,10012.0,133453871,A99,A,B,,,O,A,A,AR,AR,AR,PC,AR,1,IN,1,A99,199912.0,79888,0,0,0,0,0,0,0,0,0,79888,73655,9527,0,0,4282,11200,988,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79888,6233,0,0,0,0,0,0,0,0,3294,134036,0,0,0,0,0,134036,134036,0,0,0,,79888,3,7,1.0,1,1.0,1.0,1999,1999,LESLIE LOHMAN GAY ART FOUNDATION INC,,131 PRINCE ST,NEW YORK,NY,10012-3154,0.0,3.0,2.0,198805.0,1.0,15.0,998.0,0.0,0.0,1.0,1.0,0.0,10.0,12,,5602.0,1,1,1,0,1.0,1,1,1,1,2,0,,,,1,B,A12,,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3b,2000.0,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,11200.0,3a,1999.0,A99,A
321,36047.0,,5600.0,,,,11215.0,133486145,A65,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A65,199806.0,48343,0,0,0,3,8869,0,0,78189,78189,126532,123424,2202,0,0,5094,2202,6000,0,2202,0,0,0,0,0,0,0,0,0,0,0,0,68359,9727,100,3,0,0,0,0,0,0,0,0,9727,0,126532,3108,0,5585,0,0,0,0,0,-906,-906,95290,0,54515,65,0,0,149870,95355,0,0,0,,126532,3,7,1.0,2,2.0,2.0,1999,1998,NATIONAL ASIAN-AMERICAN THEATRE COMPANY,% MIA KATIGBAK,674 PRESIDENT ST,BROOKLYN,NY,11215-1208,0.0,3.0,1.0,198905.0,1.0,15.0,90.0,0.0,0.0,1.0,11.0,0.0,10.0,6,,5602.0,1,1,1,0,9.0,1,1,1,1,1,0,A65,,,1,B,A65,,11010.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,37333.0,3a,1999.0,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,2202.0,3a,1999.0,A65,A
322,36061.0,,5600.0,,,,10003.0,133515233,A12,A,C,,,S,A,A,AR,AR,AR,PC,ZB,1,IN,0,A90,199812.0,140622,0,0,0,1107,0,0,0,1107,1107,141729,115796,88564,3400,0,29413,88564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,141729,25933,33218,0,0,0,0,0,0,0,29413,90902,0,0,847,0,0,91749,91749,0,0,0,,141729,3,9,1.0,2,2.0,2.0,1999,1999,AMERICAN INDIAN ARTIST AMERINDA INC,,AFSC 15 RUTHERFORD PL,NEW YORK,NY,10003-0000,0.0,3.0,1.0,198905.0,1.0,15.0,122.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,5602.0,1,1,1,0,1.0,1,2,1,1,2,0,,,,1,B,A90,,88714.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,2602.0,3a,1999.0,88564.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,51808.0,3a,1999.0,3201.0,3a,1999.0,PC,S,ZB,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,A90,A
