,EIN,TAXPER,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P6TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,p6ExmPF,p6DomOrg,p7Polit,p7Liquid,p7PoFClm,p7DisSal,p7DisBor,p7DisSer,p7DisPay,p7DisTra,p7PayGvt,p7UndInc,p7BusInt,p7JeoInv,p7Propag,p7Elect,p7IndGrt,p7OrgGrt,p7OthPur,P1GRENTS,pgoods,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TX4940,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6INVTAX,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,PF112,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,ASCD,INCCD,FRCD,ACCPER,ASSETS,INCOME,NEGINCOM,SEC_NAME,FIPS,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,CONVTOCO,SUBSEC2,ZIP5,ntee1,nteecc,RandNum,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,FisYr,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,ntmaj10,ntmaj12,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
2252,46124122,199912,200051,29491337036210,,N,Y,0,1,1999,3,5,3,3,602,0,0,35311,26820,0,0,45,0,48000,62176,59198,2978,48096,55215,1104,0,552719,199086,166196,0,365282,0,832644,0,40835,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,61833,0,11198,6618,96,6618,0,0,0,169270,832644,0,552719,1104,0,0,1120,0,1500,0,0,-1516,1516,829138,39731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NATHANIEL SALTONSTALL ARTS FUND,% BETHAN LING & RUTA,17 E 45TH ST 700,NEW YORK,NY,10017-2415,0.0,3.0,1000.0,196101.0,1.0,4.0,2.0,13.0,0.0,5.0,4.0,1.0,12,611879,183769,,,36061.0,602.0,0.0,0.0,B9710,,,3.0,10017,Z,Z99,0.24027300000000001,10017,5602.0,5600.0,36061.0,,1999,NY,10017,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A12,A
2923,53842834,199909,200020,29491113022050,A23Z,N,Y,0,1,1998,3,1,1,3,60,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FREDERICK BROWN MUSEUM INC,% L WOLLIN,450 7TH AVE,NEW YORK,NY,10123-0101,0.0,3.0,1000.0,199511.0,1.0,4.0,1.0,13.0,0.0,0.0,0.0,1.0,9,0,0,,,36061.0,60.0,0.0,0.0,B9710,,,3.0,10123,A,A23,0.06600189999999999,10123,5602.0,5600.0,36061.0,,1999,NY,10123,NEW YORK,PF,O,AR,A,A,IN,,AR,AR,AR,,,,,,,A50,A
3054,60742976,199906,200024,29491001142130,,N,Y,0,1,1998,2,4,4,3,59,207980,132,0,0,0,0,28990,0,0,237102,195139,41963,161764,132,1,133,270097,0,0,0,0,746,270097,0,0,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,132,29122,195139,0,161764,0,28989,45263,0,0,270097,0,269351,1,0,0,0,0,0,0,0,1,0,0,0,133,122,303,0,558,161764,164837,169935,89842,586378,270097,228601,237394,268534,1004626,270097,228601,237394,268534,1004626,1585,2063,1870,1603,7121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHITE BARN THEATRE FOUNDATION INC,% HECHT & CO,781 FIFTH AVE,NEW YORK,NY,10022-1012,0.0,3.0,2000.0,195207.0,1.0,3.0,1.0,13.0,0.0,4.0,4.0,1.0,6,268534,155811,,,36061.0,59.0,0.0,0.0,B9710,,,3.0,10022,Z,Z99,0.426461,10022,5602.0,5600.0,36061.0,,1999,NY,10022,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A65,A
3609,61532031,199912,200031,29491197064030,A12,N,Y,0,1,1999,3,4,4,3,0,420000,0,15729,0,0,0,0,0,0,435729,3884,431845,0,15729,315,0,431845,0,0,0,0,0,431845,15916,16231,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,15729,0,3884,0,0,0,0,431845,0,0,431845,0,431845,315,0,0,0,0,0,0,0,315,0,329561,15916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALEPH FOUNDATION FOR HUMANITIES,% JOEL ORNSTEIN,667 MADISON AVE 11TH FLR,NEW YORK,NY,10021-8029,0.0,3.0,1.0,199904.0,1.0,4.0,1.0,11.0,0.0,0.0,0.0,1.0,12,0,0,,,36061.0,0.0,0.0,0.0,bm991,,,3.0,10021,A,A12,0.873243,10021,5602.0,5600.0,36061.0,,1999,NY,10021,NEW YORK,PF,S,ZB,A,A,IN,,AR,AR,AR,,,,,,,A70,A
4106,112444997,199912,200045,29491288036180,,N,Y,0,2,1999,3,1,1,3,400,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLINTON HILL RESTORATION AND DEVELOPMENT CORP,,431 WASHINGTON AVE,BROOKLYN,NY,11238-1804,0.0,3.0,1000.0,197909.0,1.0,4.0,1.0,11.0,0.0,0.0,0.0,1.0,12,0,0,,,36047.0,400.0,402.0,404.0,B9710,,,3.0,11238,Z,Z99,0.0471129,11238,5602.0,5600.0,36047.0,,1999,NY,11238,BROOKLYN,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A82,A
4125,112538932,199912,200029,29491183095090,,N,Y,0,1,1999,3,1,1,3,40,8000,0,214,0,0,0,0,0,11200,8214,11349,-3135,11256,121,2,0,1726,0,0,0,0,0,1726,0,227,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,214,0,149,93,56,93,0,0,0,0,1726,0,1726,2,0,0,102,0,0,0,0,-100,100,4616,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RICHARD H GOLDMAN MEMORIAL FOUNDA TION,,150 E 69TH ST APT 7G,NEW YORK,NY,10021-5704,0.0,3.0,1000.0,198107.0,1.0,4.0,2.0,13.0,0.0,3.0,2.0,1.0,12,44800,24493,,,36061.0,40.0,0.0,0.0,B9710,,,3.0,10021,Z,Z99,0.8740049999999999,10021,5602.0,5600.0,36061.0,,1999,NY,10021,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A80,A
4129,112545501,200005,200051,29491337007160,,N,Y,0,20,1999,3,1,0,3,40,0,10,0,0,-5664,0,0,0,2150,-5654,2580,-8234,2580,10,0,10,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,10,10,430,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDDIE BARNES MEMORIAL MUSIC SCHOLAR SHIP FOUNDATION,,212 75 WHITEHALL TER,QUEENS VILLAGE,NY,11427-1824,0.0,3.0,1000.0,198110.0,1.0,4.0,1.0,11.0,0.0,1.0,1.0,1.0,5,9511,5075,,,36081.0,40.0,0.0,0.0,B9710,,,3.0,11427,Z,Z99,0.394425,11427,5602.0,5600.0,36081.0,,2000,NY,11427,QUEENS VILLAGE,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A68,A
4171,112634917,199906,200013,29491064019180,,N,Y,0,1,1998,3,2,3,3,349,2970,156,0,0,0,0,75373,22530,0,78499,74181,4318,0,156,3,75098,14818,0,0,0,0,4647,14818,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,156,75529,74181,0,0,0,431,1,0,0,14818,0,10171,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INSTITUTE FOR THEATRE LEARNING INC,,56 15A UTOPIA PKY,FRESH MEADOWS,NY,11365-1634,0.0,3.0,1000.0,198305.0,1.0,4.0,1.0,11.0,0.0,1.0,3.0,1.0,6,6772,42633,,,36081.0,349.0,0.0,0.0,B9710,,,3.0,11365,Z,Z99,0.220939,11365,5602.0,5600.0,36081.0,,1999,NY,11365,FRESH MEADOWS,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A6E,A
4253,112801382,199906,200011,29491043022110,,N,Y,0,1,1998,3,1,1,3,124,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,,31 LEONARD ST 1M,BROOKLYN,NY,11206-3040,0.0,3.0,1000.0,198702.0,1.0,4.0,1.0,11.0,0.0,0.0,0.0,1.0,6,0,0,,,36047.0,124.0,209.0,0.0,B9710,,,3.0,11206,Z,Z99,0.967648,11206,5602.0,5600.0,36047.0,,1999,NY,11206,BROOKLYN,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A70,A
4306,112879579,199912,200032,29491204112140,,N,Y,0,1,1999,3,2,1,3,90,9500,129,0,0,0,0,0,0,0,9629,3833,5796,0,0,0,0,10962,0,0,0,0,0,10962,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,3833,0,0,0,0,10962,0,0,10962,0,10962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASIAN AMERICAN FOUNDATION FOR THE ARTS INC,,517 W 113TH ST STE 54,NEW YORK,NY,10025-8052,0.0,3.0,1000.0,198810.0,1.0,4.0,1.0,13.0,0.0,2.0,1.0,1.0,12,10542,2000,,,36061.0,90.0,0.0,0.0,B9710,,,3.0,10025,Z,Z99,0.6435930000000001,10025,5602.0,5600.0,36061.0,,1999,NY,10025,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A23,A
