,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,REASON,Q78A,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,STYEAR,NteeOldA,Confidence,NteeCC4d,FipsOldA,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
3212,1,6,1,42977509,200106,2001,200149,29490286075361,,N,Y,0,1,2000,1,4,4,92,9117,63500,0,0,25712,0,0,0,103228,103228,175845,97757,326672,15236,0,289409,326672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40825,0,-14420,51111,0,N,25712,0,0,0,0,0,0,0,0,26405,0,135020,37263,0,0,5394,0,0,0,0,0,289409,0,0,0,0,0,0,0,0,0,0,0,11230.0,SCIENCE FICTION WRITERS OF AMERICA INC,% IAN STROCK,1380 E 17TH ST STE 301,BROOKLYN,NY,11230-6011,0.0,3.0,2.0,198909.0,2.0,0.0,92.0,0.0,0.0,1.0,11.0,0.0,10.0,6,,36047.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.60092,,2000,Z99,B,,36047.0,NY,11230.0,BROOKLYN,429775092001,A0370,A,PC,O,AR,A,IN,,A0370,A,813920.0
6058,1,4,1,61420853,200006,2000,200124,29490111077391,,N,Y,0,1,1999,1,4,4,121,360993,0,0,0,5947,0,0,0,67688,67688,428681,408875,299695,2041,0,499447,489699,182248,190004,299695,0,0,0,0,0,0,0,0,0,0,0,0,59034,0,2609,0,N,5473,0,0,0,474,0,98,0,98,0,0,428681,19806,-37310,184777,0,0,0,0,0,317199,317199,0,0,0,0,0,0,0,0,0,0,0,10111.0,AUSTRALIAN BROADCASTING CORPORATION,,630 FIFTH AVE STE 2220,NEW YORK,NY,10111-0100,0.0,3.0,3.0,199602.0,2.0,0.0,121.0,904.0,0.0,1.0,13.0,0.0,10.0,6,,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.48618999999999996,,1999,Z99,A,,36061.0,NY,10111.0,NEW YORK,614208532000,A30,A,PC,O,AR,A,IN,,A30,A,510000.0
7014,1,6,1,112022650,200012,2000,200128,29490167227401,,N,Y,0,1,2000,1,3,4,920,0,20484,0,0,0,0,0,0,114946,114946,135430,123293,28849,0,0,18797,28880,2091,31,28849,0,0,0,0,0,0,0,0,0,0,0,0,114237,0,715,0,Y,0,0,0,0,0,0,0,0,0,0,0,135430,12143,0,3840,394,0,0,0,0,16706,16706,0,0,0,0,0,0,0,0,0,0,0,10304.0,AUTO BODY CRAFTSMENS GUILD INC,,654 RICHMOND RD,STATEN ISLAND,NY,10304-2428,0.0,3.0,2.0,196506.0,2.0,0.0,920.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36085.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.66074,,2000,Z99,C,,36085.0,NY,10304.0,STATEN ISLAND,1120226502000,A40,A,PC,O,AR,A,IN,,A40,A,710000.0
7189,1,3,1,112475783,200006,2000,200108,29490008194121,,N,Y,0,40,1999,1,4,3,0,34971,0,0,0,9324,0,0,0,24680,24680,59651,46484,201242,0,0,188075,201242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13850,0,1506,2,N,9324,0,0,0,0,0,0,0,0,0,0,59651,13167,0,0,0,0,0,0,0,0,188075,0,0,0,0,0,0,0,0,0,0,0,11214.0,GREEK SCHOOL OF PLATO LTD,,1703 86TH ST,BROOKLYN,NY,11214-2817,0.0,3.0,1.0,200301.0,1.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,6,,36047.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.9915200000000001,C,1999,B94,B,,,,,,1124757832000,A23,B,PC,O,AR,A,OUT,S,A23,A,710000.0
7249,1,12,1,112579110,200012,2000,200123,29490139025001,,N,Y,0,1,2000,1,2,3,200,0,31845,0,0,0,13094,0,0,0,0,31845,30993,13866,0,0,13014,13866,0,0,13866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,N,0,0,0,0,0,0,0,0,0,0,0,31845,852,0,0,0,0,0,0,0,13014,13014,0,0,0,0,0,0,0,0,0,0,0,10472.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,% CHARLES WEINER,1110 BRONX RIVER AVE,BRONX,NY,10472-3102,0.0,3.0,1.0,198311.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36005.0,5602.0,5600.0,A65,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.82847,C,2000,A65,C,,36005.0,NY,10472.0,BRONX,1125791102000,A65,C,PC,O,AR,A,IN,,A65,A,711110.0
7609,1,6,1,113238845,200012,2000,200131,29409132030311,,N,Y,0,1,2000,1,3,3,205,8556,7058,0,0,5538,0,0,0,27228,27228,42842,25453,60945,0,0,64062,60945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14914,0,4441,2335,0,N,0,0,0,0,5538,0,0,0,0,19355,0,27928,2475,-5592,0,0,0,0,0,0,0,64062,0,0,0,0,0,0,0,0,0,0,0,11379.0,A I A QUEENS INC,% ANTHONY DIPROPERZIO,81 01 FURMANVILLE,MIDDLE VILLAGE,NY,11379-0000,0.0,3.0,2.0,199503.0,2.0,0.0,205.0,0.0,0.0,1.0,11.0,0.0,10.0,12,,36081.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.38794,C,2000,A40,C,,36081.0,NY,11379.0,MIDDLE VILLAGE,1132388452000,A40,C,PC,O,AR,A,IN,,A40,A,710000.0
7996,1,6,1,130452445,200006,2000,200115,29490062157231,,N,Y,0,1,1999,1,6,7,59,0,3578665,0,0,97300,0,0,0,1670026,1670026,5248691,3894515,1408211,532800,0,1813821,2203348,691270,795137,0,0,0,0,0,0,0,0,0,0,0,0,1036732,0,228573,307421,0,N,0,97300,0,0,0,0,0,0,0,1265305,0,4211959,317444,-31784,515461,66089,0,0,0,0,0,1122551,0,0,0,0,0,0,0,0,0,0,0,10017.0,AMERICAN BUSINESS PRESS INC,,675 THIRD AVE,NEW YORK,NY,10017-5704,0.0,3.0,2.0,193504.0,2.0,0.0,59.0,200.0,0.0,1.0,13.0,0.0,10.0,6,,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.9943799999999999,,1999,Z99,C,,36061.0,NY,10017.0,NEW YORK,1304524452000,A0330,A,PC,O,AR,A,IN,,S41,S,813910.0
8004,1,6,1,130453230,200011,2000,200149,29490321100351,,N,Y,0,1,1999,1,6,7,919,0,5343090,1339991,1263627,48704,0,0,0,4296876,3033249,9639966,8801462,-1128266,1404439,0,4820938,4539757,5258901,5668023,0,0,0,0,0,0,0,0,0,0,0,0,0,2908181,0,0,0,Y,48704,0,0,0,0,76364,0,0,0,0,0,8376339,-425123,-265180,1623016,153015,0,0,232652,176593,0,-437963,0,0,0,0,0,0,0,0,0,0,0,10017.0,ASSOCIATION OF NATIONAL ADVERTISERS INC,,708 THIRD AVE,NEW YORK,NY,10017-4201,0.0,3.0,2.0,194208.0,2.0,0.0,919.0,205.0,0.0,5.0,13.0,0.0,10.0,11,,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.55586,,1999,Z99,C,,36061.0,NY,10017.0,NEW YORK,1304532302000,S41,A,PC,O,AR,A,IN,,S41,S,813910.0
8073,1,6,1,130951470,200008,2000,200134,29490216077271,,N,Y,0,1,1999,1,6,7,119,0,2268045,0,0,135300,0,0,0,2735444,2735444,5003489,5098197,2011494,1080449,0,2512353,2973606,346343,962112,0,0,0,0,0,250,0,0,0,0,0,0,0,2600144,0,0,0,N,135300,0,0,0,0,0,0,0,0,0,0,5003489,-94708,-59808,1007565,148237,0,0,0,0,0,2166010,0,0,0,0,0,0,0,0,0,0,0,10036.0,LEAGUE OF AMERICAN THEATRES AND PRODUCERS INC,,226 W 47TH ST,NEW YORK,NY,10036-1413,0.0,3.0,2.0,194210.0,2.0,0.0,119.0,205.0,279.0,1.0,13.0,0.0,10.0,8,,36061.0,5602.0,5600.0,A99,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.17676,,1999,Z99,C,,36061.0,NY,10036.0,NEW YORK,1309514702000,A0365,A,PC,O,AR,A,IN,,A0365,A,813920.0
8075,1,7,1,130971750,200006,2000,200104,29490365077070,A6AZ,N,Y,0,1,1999,1,3,4,319,0,0,0,0,0,0,0,0,290723,290723,290723,286398,29406,0,0,31110,35435,6029,6029,0,0,0,0,0,0,0,0,0,0,0,0,0,290723,0,0,9,N,0,0,0,0,0,0,0,0,0,0,0,290723,4325,0,174944,16920,0,0,0,0,0,25081,7420,5162,752676,182,0,0,765440,12764,0,0,0,10128.0,LIEDERKRANZ OF THE CITY OF NEW YORK,,6 E 87TH ST,NEW YORK,NY,10128-0505,0.0,3.0,1.0,193907.0,2.0,0.0,319.0,0.0,0.0,1.0,13.0,0.0,10.0,6,,36061.0,5602.0,5600.0,A6A,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.96455,N,1999,A6A,A,,36061.0,NY,10128.0,NEW YORK,1309717502000,A6A,A,PC,O,AR,A,IN,,A6A,A,711130.0
