,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,TOTLOB,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEECC4D,NTEE2,NTEE,NTMAJ12,NTMAJ5,msa,PMSA,FIPS,RandNum,MSA_NECH,NTEESRC,nteeConf,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
179,10263908,199912,1999,856471,0,2248075,1779891,286843,66315,4907,7536,3092264,1307466,3948735,1196952,10085682,0,0,9624980,10095282,19484,9600,0,0,0,0,0,0,0,0,0,0,0,0,172356,372547,0,0,,1991581,3,2,0,9248,277595,0,0,0,468184,0,0,0,172356,12443,1991581,794629,-314443,354710,27135,0,0,0,0,0,9605496,0,0,0,0,0,0,0,0,0,0,0,46.0,N,8.0,1.0,200104.0,29490007256291.0,1.0,1999,6.0,Y,1.0,N,1.0,0.0,1999.0,10003-1503,10003.0,10263908199912.0,102639081999.0,12,46.0,119.0,30.0,200 PARK AVE S 1116,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,1.0,194707.0,,NY,RTF00PC,,4.0,4.0,4.0,A,A25,IN,,AR,A,PC,O,AR,A,,A6EZ,A25Z,AR,AR,5602.0,5600.0,36061.0,0.00606978,5602.0,1,N,A25,NY,10003.0,NEW YORK,A25,,22002.0,3a,1999.0,0.0,3a,1999.0,4030733.0,3a,1999.0,1126109.0,3a,1999.0,455704.0,3a,1999.0,5599146.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,834469.0,3a,1999.0,1072809.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,333503.0,3a,1999.0,7723563.0,3a,1999.0,354503.0,3a,1999.0,A25,A
632,10391592,200012,2000,120,0,0,0,0,0,0,0,78076,78076,78196,79070,22996,0,0,23870,22996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78076,0,0,,78196,3,9,0,0,0,0,0,0,0,0,0,0,0,0,78196,-874,0,0,0,0,0,0,0,0,23870,6260,0,281267,0,0,0,287527,6260,0,0,0,149.0,N,2.0,1.0,200132.0,29409209009141.0,1.0,2000,3.0,Y,1.0,N,1.0,0.0,2000.0,11215-0150,11215.0,10391592200012.0,103915922000.0,12,149.0,319.0,0.0,VAN BRUNT STATION BOX 150 597,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,16.0,10.0,0.0,MAINE JAZZ CAMP,1.0,198809.0,,NY,RTF00PC,1.0,1.0,1.0,1.0,A,A68,IN,,AR,A,PC,O,AR,A,,,A68Z,AR,AR,5602.0,5600.0,36047.0,0.278589,5602.0,1,N,A68,NY,11215.0,BROOKLYN,A68,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,22996.0,3a,2000.0,A68,A
976,10485254,200012,2000,365344,0,0,0,16160,59274,1677,16237,85733,83454,451077,128701,378812,0,0,69606,383364,1472,4552,357047,0,0,0,0,0,0,0,0,0,0,9419,0,0,31957,0,,439379,3,10,0,15,5496,19202,9783,10649,0,500,602,-102,31957,17914,439379,310678,0,55063,4919,0,0,0,0,46369,68134,0,0,0,0,0,0,0,0,0,0,0,60.0,N,4.0,1.0,200144.0,29490167169341.0,1.0,2000,4.0,Y,1.0,N,1.0,0.0,2000.0,11375-6133,11375.0,10485254200012.0,104852542000.0,12,60.0,119.0,0.0,382 BURNS ST,3.0,0.0,FOREST HILLS,1.0,% MARY BOYD HIGGINS,1.0,11.0,15.0,10.0,0.0,WILHELM REICH INFANT TRUST,1.0,199409.0,,NY,RTF00PC,2.0,2.0,2.0,2.0,A,A20,IN,,AR,A,PC,O,AR,A,,,A20Z,AR,AR,5602.0,5600.0,36081.0,0.5886680000000001,5602.0,1,N,A11,NY,11375.0,FOREST HILLS,A11,56.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,198533.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,365344.0,3a,2000.0,62305.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,8601.0,3a,2000.0,0.0,3a,2000.0,2500.0,3a,2000.0,A1156,A
1532,20223438,200012,2000,101361,0,239863,89789,7537,0,0,0,255868,166079,357229,139546,2244036,0,0,2331693,2244036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8468,,267440,3,10,0,1230,6307,0,0,0,150074,0,0,0,0,0,267440,127894,-215551,0,0,0,0,0,0,0,2331693,0,0,0,0,0,0,0,0,0,0,0,62.0,N,6.0,1.0,200133.0,29490195130071.0,1.0,2000,4.0,Y,1.0,N,1.0,0.0,2000.0,10017-1920,10017.0,20223438200012.0,202234382000.0,12,62.0,0.0,0.0,17 E 47TH ST,3.0,0.0,NEW YORK,1.0,% ROGER HOOKER,1.0,13.0,17.0,10.0,0.0,ST GAUDENS MEMORIAL,1.0,194703.0,,NY,RTF00PC,4.0,2.0,2.0,2.0,A,A80,IN,,AR,A,PC,O,AR,A,,,A80Z,AR,AR,5602.0,5600.0,36061.0,0.6982729999999999,5602.0,1,N,A80,NY,10017.0,NEW YORK,A80,,0.0,3a,2000.0,0.0,3a,2000.0,2244036.0,3a,2000.0,769912.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,101361.0,3a,2000.0,769931.0,3a,2000.0,PC,O,AR,A,IN,,1437623.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,1600.0,3a,2000.0,A80,A
3666,36010806,199912,1999,117129,0,0,0,57097,0,0,0,107068,107068,224197,126645,249224,0,0,217246,307427,65574,58203,0,0,0,0,0,0,0,0,0,0,0,0,0,49771,0,200,,224197,3,7,0,261,10900,0,0,45936,0,0,0,0,0,0,224197,97552,0,46173,4123,0,0,0,0,0,151672,232759,0,176262,79199,0,0,499540,323278,0,0,0,59.0,N,4.0,1.0,200104.0,29490008097171.0,1.0,1999,4.0,Y,1.0,N,1.0,0.0,1999.0,10013-2618,10013.0,36010806199912.0,360108061999.0,12,59.0,0.0,0.0,462 BROADWAY STE 510,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,INTERNATIONAL FILM SEMINARS INC,1.0,196308.0,,NY,RTF00PC,2.0,2.0,2.0,2.0,A,A31,IN,,AR,A,PC,O,AR,A,,,A31Z,AR,AR,5602.0,5600.0,36061.0,0.180646,5602.0,1,N,A31,NY,10013.0,NEW YORK,A31,,26507.0,3a,1999.0,0.0,3a,1999.0,65106.0,3a,1999.0,1800.0,3a,1999.0,88609.0,3a,1999.0,95409.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,90622.0,3a,1999.0,2000.0,3a,1999.0,PC,O,AR,A,IN,,207018.0,3a,1999.0,800.0,3a,1999.0,4600.0,3a,1999.0,0.0,3a,1999.0,A31,A
4366,42163004,200006,1999,955680,277914,29726256,0,7602657,0,1244467,114244,39152519,37908052,40386113,8320099,290617979,315000,0,273459402,291814194,665684,1196215,0,0,0,0,0,0,0,0,0,0,0,0,0,323139,0,318,,39141646,3,10,0,7602657,0,141438,141438,0,29726256,0,0,0,0,1358711,39141646,30821547,-12997286,2476801,197877,0,0,0,0,0,272793718,0,0,0,0,0,0,0,0,0,0,0,119.0,N,9.0,1.0,200103.0,29490006238251.0,1.0,2000,8.0,Y,1.0,N,1.0,0.0,1999.0,10165-0006,10165.0,42163004200006.0,421630042000.0,6,119.0,0.0,0.0,60 E 42ND ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,17.0,10.0,0.0,STERLING & FRANCINE CLARK ART INST,1.0,195109.0,VALERIE SCHUECKLER,NY,RTF00PC,6.0,,,5.0,A,A51,IN,,AR,A,PC,O,AR,A,,,A51Z,AR,AR,5602.0,5600.0,36061.0,0.694947,5602.0,1,N,A51,NY,10165.0,NEW YORK,A51,,230542.0,1d,2001.0,0.0,1d,2001.0,2039301.0,3a,2000.0,0.0,1d,2001.0,345900.0,3a,2000.0,288232778.0,3a,2000.0,12883872.0,1d,2001.0,0.0,1d,2001.0,724849.0,1d,2001.0,6268923.0,1c,2099.0,PC,O,AR,A,IN,,10340926.0,1d,2001.0,0.0,1d,2001.0,264561329.0,1d,2001.0,290818.0,1d,2001.0,A51,A
5196,42575633,200012,2000,25489,0,0,0,332,0,0,0,54608,54608,80097,81742,-6863,0,0,145940,158073,151158,164936,0,0,0,0,0,0,0,0,0,0,0,0,0,18881,0,35395,,80097,3,7,0,0,0,0,0,332,0,0,0,0,0,0,80097,-1645,0,0,0,0,0,0,0,0,-5218,0,0,0,0,0,0,0,0,0,0,0,90.0,N,4.0,1.0,200124.0,29409097094311.0,1.0,2000,3.0,Y,1.0,N,1.0,0.0,2000.0,10028-7053,10028.0,42575633200012.0,425756332000.0,12,90.0,0.0,0.0,30 E END AVE 3A,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,SEVENARS CONCERTS INC,1.0,197611.0,,NY,RTF00PC,2.0,1.0,1.0,1.0,A,A60,IN,,AR,A,PC,O,AR,A,,,A60Z,AR,AR,5602.0,5600.0,36061.0,0.0802297,5602.0,1,N,A68,NY,10028.0,NEW YORK,A68,,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,PC,O,AR,A,IN,,0.0,3b,2001.0,116964.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,A68,A
7830,43153122,200003,1999,30000,0,0,0,1004,0,0,0,9446,9446,39446,494309,24756,37650,0,506836,66434,27217,41678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8442,,39446,3,7,0,0,1004,0,0,0,0,0,0,0,0,0,39446,-454863,0,133600,12297,0,0,0,0,0,479619,975440,0,224477,57425,0,0,1257342,1032865,0,0,0,122.0,N,3.0,1.0,200103.0,29490006188161.0,1.0,2000,3.0,Y,1.0,N,1.0,0.0,1999.0,10036-6902,10036.0,43153122200003.0,431531222000.0,3,122.0,0.0,0.0,330 W 42ND ST 1303,3.0,0.0,NEW YORK,1.0,% CASON & COMPANY,1.0,13.0,15.0,10.0,0.0,SOCIAL MEDIA PRODUCTIONS INC,1.0,199402.0,,NY,RTF00PC,1.0,1.0,1.0,2.0,A,A30,IN,,AR,A,PC,O,AR,A,,,A30Z,AR,AR,5602.0,5600.0,36061.0,0.8601840000000001,5602.0,1,N,A30,NY,10036.0,NEW YORK,A30,,30000.0,3a,2000.0,0.0,3a,2000.0,18041.0,3a,2000.0,300.0,3a,2000.0,11752.0,3b,2001.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,1000.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,10806.0,3a,2000.0,A30,A
8619,43278959,199912,1999,23717,0,0,0,150472,0,0,0,163522,163522,187239,467829,3093899,0,0,3420300,4133633,45811,1039734,0,0,0,0,0,0,0,0,0,0,0,0,0,13050,0,0,,187239,3,7,0,150472,0,0,0,0,0,0,0,0,0,0,187239,-280590,0,190793,40764,0,0,0,0,0,3374489,4122750,0,67811,537862,0,0,4728423,4660612,0,0,0,,,,,,,,1999,,,,,,,,10018-8007,10018.0,,,12,0.0,0.0,0.0,70 W 36TH ST 11TH FLR,3.0,0.0,NEW YORK,1.0,,1.0,13.0,17.0,10.0,0.0,NEW ENGLAND CULTURAL FACILITIES FUND,1.0,199701.0,,NY,CORE99PC,4.0,2.0,2.0,2.0,A,A23,IN,,AR,A,PC,O,AR,A,Z,,,AR,AR,5602.0,5600.0,36061.0,0.24036999999999997,5602.0,1,N,A02,NY,10018.0,NEW YORK,A02,61,0.0,3a,1999.0,0.0,3a,1999.0,93803.0,3a,1999.0,17200.0,3a,1999.0,3000096.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,23717.0,3a,1999.0,23600.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,1764714.0,3a,1999.0,A0261,A
9774,43444069,200006,1999,879746,0,324131,300000,2639,151552,0,0,326770,26770,1206516,566264,408246,242267,0,73202,434025,0,25779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,906516,3,7,0,2639,0,0,0,0,24131,0,0,0,0,0,906516,340252,-5208,51214,12255,0,0,0,0,0,73202,21930,0,0,30,0,0,21960,21960,0,0,0,0.0,N,4.0,1.0,200133.0,29490195186291.0,1.0,2000,6.0,Y,1.0,N,1.0,0.0,1999.0,10022-3211,10022.0,43444069200006.0,434440692000.0,6,0.0,0.0,0.0,550 MADISON AVE STE 1120,3.0,200212.0,NEW YORK,1.0,% HALE AND DORR LLP,1.0,13.0,15.0,10.0,0.0,SILK ROAD PROJECT INC,1.0,199904.0,,NY,RTF00PC,2.0,3.0,4.0,3.0,A,A23,IN,,AR,A,PC,O,AR,A,,,A23,AR,AR,5602.0,5600.0,36061.0,0.755568,5602.0,1,N,A23,NY,10022.0,NEW YORK,A23,,0.0,3a,2000.0,0.0,3a,2000.0,378243.0,3a,2000.0,0.0,3a,2000.0,30003.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,879746.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,A23,A
