,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P6INVTAX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,randnum,nteeConf,LEVEL1,LEVEL2,LEVEL3,LEVEL4,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
3330,53842834,200009,2000,200115.0,29491076049141.0,A23Z,N,Y,0.0,1.0,1999,3.0,1.0,1.0,3,60,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10118.0,FREDERICK BROWN MUSEUM INC,% L WOLLIN,350 FIFTH AVE STE 2822,NEW YORK,NY,10118-2899,0.0,3.0,1.0,199511.0,1.0,4.0,60.0,0.0,0.0,1.0,13.0,0.0,1.0,9,,36061.0,5602.0,5600.0,A23,A,A,IN,,1,AR,AR,AR,0.247011,N,PF,O,AR,A,NY,10118.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A50,A
4075,61551999,200106,2001,200148.0,29491307038041.0,A68,N,Y,0.0,1.0,2000,2.0,4.0,2.0,3,0,5368,727,6042,46,0,0,1750,0,26400,13933,52648,-38715,40642,3528,71,0,167508,0,162226,0,162226,0,167508,0,9994,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,6815,8519,26248,3287,14242,3287,8519,420,0,0,167508,0,167508,71,0,0,122,0,0,0,0,-51,51,202915,0,1,0,0,0,1,14242,19600,0,0,33842,1,0,0,0,1,0,0,0,0,0,6663,3779,0,0,10442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10463.0,JOYCE DUTKA ARTS FOUNDATION INC,% JOYCE DUTKA,PO BOX 630053,BRONX,NY,10463-0800,0.0,3.0,1.0,200004.0,1.0,3.0,0.0,0.0,0.0,1.0,75.0,0.0,1.0,6,,36005.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.382641,N,PF,O,AR,A,NY,10463.0,BRONX,core2000pf_ver1,PF,O,AR,A,IN,,A1261,A
5037,113131714,200012,2000,200120.0,29491118061071.0,A99Z,N,Y,0.0,1.0,2000,3.0,1.0,1.0,3,560,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11419.0,PEACE UNITY AND PROSPERITY FOUNDATION INC,% SARITA SACHOEUA,95 54 111TH ST,RICHMOND HILL,NY,11419-1023,0.0,3.0,1.0,199607.0,1.0,4.0,560.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,36081.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.41818999999999995,N,PF,O,AR,A,NY,11419.0,RICHMOND HILL,core2000pf_ver1,PF,S,AR,A,IN,,A99,A
5070,113162087,199912,1999,200107.0,29491006052151.0,,N,Y,0.0,1.0,1999,3.0,5.0,4.0,3,994,45887,0,0,0,0,0,93875,0,0,139762,263019,-123257,236133,0,0,73998,750279,0,568963,0,568963,148163,750279,0,202,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,93875,263019,0,236133,0,19877,8181,0,0,750279,0,602116,0,0,0,0,0,0,0,0,0,0,4091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11101.0,AMERICAN MUSEUM FOR THE PRESERVATION OF HISTORIC AIRCRAFT,% AVIREX LTD,33 00 47TH AVE,LONG IS CITY,NY,11101-2430,0.0,3.0,1.0,199308.0,1.0,4.0,994.0,60.0,0.0,1.0,11.0,0.0,1.0,12,,36081.0,5602.0,5600.0,A50,A,A,IN,,1,AR,AR,AR,0.730453,N,PF,O,AR,A,NY,11101.0,LONG IS CITY,core2000pf_ver1,PF,S,AR,A,IN,,A50,A
5078,113174234,200012,2000,200141.0,29491265088031.0,,N,Y,0.0,1.0,2000,3.0,4.0,4.0,3,602,105175,2280,10032,0,0,0,0,0,61625,117487,63615,53872,61938,10635,106,0,282292,0,0,0,0,0,319297,11519,11625,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,12312,0,1990,1677,313,1677,0,0,0,60000,319297,0,282292,106,0,0,0,0,246,0,0,-140,140,236035,11519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11367.0,FOUNDATION FOR THE ADVANCEMENT OF ARTS AND SCIENCES FROM INDIA INC,% RAVI S KULKARNI,150 56 MELBOURNE AVE,FLUSHING,NY,11367-1439,0.0,3.0,1.0,199310.0,1.0,4.0,602.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,36081.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.0702218,N,PF,O,AR,A,NY,11367.0,FLUSHING,core2000pf_ver1,PF,S,AR,A,IN,,A0123,A
5142,113227149,200006,2000,200106.0,29491013029231.0,A47P,N,Y,0.0,1.0,1999,3.0,2.0,3.0,3,91,0,0,0,0,0,0,50268,4000,130,50268,49620,648,49620,0,0,0,12268,0,0,0,0,6870,12268,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,49490,0,49490,0,0,8593,0,0,12268,0,5398,0,0,0,0,0,0,0,0,0,0,7460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11231.0,CLAYWORKS ON COLUMBIA INC,,195 COLUMBIA STREET,BROOKLYN,NY,11231-0000,0.0,3.0,3.0,199612.0,1.0,4.0,91.0,149.0,59.0,1.0,11.0,0.0,1.0,6,,36047.0,5602.0,5600.0,A19,A,A,IN,,1,AR,AR,AR,0.345642,N,PF,O,AR,A,NY,11231.0,BROOKLYN,core2000pf_ver1,PF,S,AR,A,IN,,A40,A
5259,113343213,199909,1999,200105.0,29491351010230.0,A25,N,Y,0.0,1.0,1998,2.0,4.0,3.0,3,0,17700,1538,0,12000,0,0,0,20000,0,31238,33211,-1973,41251,1538,31,1538,243299,0,0,0,0,10000,243299,0,6744,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1538,1538,33211,0,412510,0,0,10116,0,0,243299,0,233299,31,0,0,0,0,24,0,0,7,0,136932,0,-1973,1194,1227,0,448,41251,26840,63063,0,131154,1,0,0,0,1,0,0,0,0,0,4496,4115,2597,0,11208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11216.0,ROY AND SHERRY DECARAVA FOUNDATION,% ROY & SHERRY & SUSAN W DECARAVA,81 HALSEY ST,BROOKLYN,NY,11216-1902,0.0,3.0,1.0,199904.0,1.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,9,,36047.0,5602.0,5600.0,A25,A,A,IN,,1,AR,AR,AR,0.220164,N,PF,O,AR,A,NY,11216.0,BROOKLYN,core2000pf_ver1,PF,O,AR,A,IN,,A25,A
5986,131655152,199912,1999,200106.0,29491365037240.0,A41Z,N,Y,0.0,25.0,1999,2.0,7.0,6.0,3,59,64342,0,178639,225003,0,0,102452,75000,29592,1042175,747600,294575,425594,555925,0,437531,5680625,0,0,0,0,111889,6680007,0,329358,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,471739,0,875381,756987,718008,319456,396002,319456,319456,53303,0,4249271,6680007,0,5568736,0,0,0,0,0,0,0,0,0,0,6687467,0,329358,326695,312590,287845,1256488,425594,428242,244400,284018,1382254,7404731,7115553,7106792,6482795,28109871,533333,533333,533333,533333,2133332,219572,217797,208393,191897,837659,64342,36180,18156,12965,131643,64342,36180,18156,12965,131643,327948,296445,641669,492947,1759009,10010.0,VAN ALEN INSTITUTE PROJECTS IN PUBLIC ARCHITECTURE,,30 W 22ND ST 6TH FLR,NEW YORK,NY,10010-5884,0.0,1.0,2.0,193804.0,1.0,3.0,59.0,0.0,0.0,1.0,13.0,200312.0,1.0,12,,36061.0,5602.0,5600.0,A40,A,A,IN,,1,AR,AR,AR,0.7267140000000001,N,PF,O,AR,A,NY,10010.0,NEW YORK,core2000pf_ver1,PF,O,AR,A,IN,,A40,A
6031,131873289,200012,2000,200132.0,29491132186001.0,A50Z,N,Y,0.0,1.0,2000,3.0,6.0,4.0,3,119,18435,118,74887,169528,0,0,0,0,32209,262969,109712,153257,84845,219789,4396,0,2005027,445598,908803,632413,1986814,525,2675189,43605,143130,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,244534,0,77502,24744,52635,24744,0,17578,0,0,2675189,0,2004501,4396,0,0,4000,0,0,0,0,396,0,2906199,138734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017.0,BAGBY FOUNDATION FOR THE MUSICAL ARTS INC,,501 FIFTH AVE,NEW YORK,NY,10017-6103,0.0,3.0,1.0,194211.0,1.0,4.0,119.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A50,A,A,IN,,1,AR,AR,AR,0.573148,N,PF,O,AR,A,NY,10017.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A68,A
6543,133150248,200012,2000,200132.0,29491188012151.0,,N,Y,0.0,1.0,2000,3.0,6.0,4.0,3,149,2940,9187,110710,90597,0,0,0,0,76000,213434,154243,59191,146802,209027,2090,0,2528466,1393158,991032,0,2384190,9767,3532913,81595,166847,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,0,0,210494,0,78243,1467,70802,1467,0,0,0,0,3532913,0,2518699,2090,0,0,5200,0,0,0,0,-3110,3110,3387761,164757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10128.0,SOCIETE DES PROFESSEORS FRANCAIS EN AMERIQUE,,PO BOX 6641,NEW YORK,NY,10128-0015,0.0,3.0,2.0,199410.0,1.0,4.0,149.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A70,A,A,IN,,1,AR,AR,AR,0.5831850000000001,N,PF,O,AR,A,NY,10128.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,B82,B
