,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,TOTLOB,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEECC4D,NTEE2,NTEE,NTMAJ12,NTMAJ5,msa,PMSA,FIPS,RandNum,NTEESRC,nteeConf,Auspice,MailName,MailStreet,MailCity,CBSA,DIVCODE,MSA_NECH,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
179,10263908,200012,2000,565470,0,3808687,3481421,381433,71827,4315,4313,4708048,1222312,5273518,1288294,10524862,0,0,10095282,10547369,9600,22507,0,0,0,0,0,0,0,0,0,0,0,0,122749,366879,0,19672,,1665033,3,2,0,9525,371908,0,0,0,327266,0,0,0,122749,8628,1665033,376739,62441,374465,28647,0,0,0,0,0,10085682,0,0,0,0,0,0,0,0,0,0,0,46.0,N,8.0,1.0,200211.0,29490054030132.0,1.0,2000,7.0,Y,1.0,N,1.0,0.0,2000.0,10003-1503,10003.0,10263908200012.0,102639082000.0,12,46.0,119.0,30.0,200 PARK AVE S 1116,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,1.0,194707.0,,NY,RTF01PC,,4.0,5.0,4.0,A,A25,IN,,AR,A,PC,O,AR,A,,A6EZ,A25Z,AR,AR,5602.0,5600.0,36061.0,0.24089499999999997,1,N,Z,Skowhegan School of Painting and Sculpture Inc.,200 Park Ave. S. 1116,New York,35620.0,35644.0,5602.0,A25,NY,10003.0,NEW YORK,A25,,12001.0,3a,2000.0,0.0,3a,2000.0,4261725.0,3a,2000.0,1104707.0,3a,2000.0,604604.0,3a,2000.0,5658533.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,553469.0,3a,2000.0,1126109.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,137801.0,3a,2000.0,8276854.0,3a,2000.0,145201.0,3a,2000.0,A25,A
632,10391592,200112,2001,960,0,0,0,0,0,0,0,78792,78792,79752,88908,13840,0,0,22996,13840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78792,0,0,,79752,3,9,0,0,0,0,0,0,0,0,0,0,0,0,79752,-9156,0,0,0,0,0,0,0,0,22996,3420,0,296774,0,0,0,300194,3420,0,0,0,149.0,N,2.0,1.0,200234.0,29409201171272.0,1.0,2001,3.0,Y,1.0,N,1.0,0.0,2001.0,11215-0150,11215.0,10391592200112.0,103915922001.0,12,149.0,319.0,0.0,VAN BRUNT STATION BOX 150 597,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,16.0,10.0,0.0,MAINE JAZZ CAMP,1.0,198809.0,,NY,RTF01PC,1.0,1.0,1.0,1.0,A,A68,IN,,AR,A,PC,O,AR,A,,,A68Z,AR,AR,5602.0,5600.0,36047.0,0.680592,1,N,Z,Maine Jazz Camp,Van Brunt Station Box 150 597,Brooklyn,35620.0,35644.0,5602.0,A68,NY,11215.0,BROOKLYN,A68,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,A68,A
972,10485254,200112,2001,74495,0,0,0,12328,69031,2150,12329,57230,55080,131725,147051,354291,0,0,383364,355134,4552,843,332526,0,0,0,0,0,0,0,0,0,0,7045,0,0,14079,0,,122530,3,7,0,8,4036,16344,9299,8284,0,0,0,0,14079,14479,122530,-24521,0,67665,3960,0,0,0,0,357047,378812,523771,0,53769,115905,0,0,774474,720705,0,0,0,60.0,N,4.0,1.0,200230.0,29490131055052.0,1.0,2001,4.0,Y,1.0,N,1.0,0.0,2001.0,11375-6133,11375.0,10485254200112.0,104852542001.0,12,60.0,119.0,0.0,382 BURNS ST,3.0,0.0,FOREST HILLS,1.0,% MARY BOYD HIGGINS,1.0,11.0,15.0,10.0,0.0,WILHELM REICH INFANT TRUST,1.0,199409.0,,NY,RTF01PC,2.0,2.0,2.0,2.0,A,A20,IN,,AR,A,PC,O,AR,A,,,A20Z,AR,AR,5602.0,5600.0,36081.0,0.455425,1,N,Z,Wilhelm Reich Infant Trust,PO Box 687,Rabgeley,,,5602.0,A11,NY,11375.0,FOREST HILLS,A11,56.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,247024.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,74495.0,3a,2001.0,198533.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,8601.0,3a,2001.0,0.0,3a,2001.0,35603.0,3a,2001.0,A1156,A
1637,20223438,200112,2001,42374,0,90000,84440,4431,0,0,0,103028,18588,145402,135587,2093614,25440,0,2244036,2093615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8597,,60962,3,10,0,1219,3212,0,0,0,5560,0,0,0,0,0,60962,-74625,-75797,0,0,0,0,0,0,0,2244036,0,0,0,0,0,0,0,0,0,0,0,62.0,N,6.0,1.0,200233.0,29490209096072.0,1.0,2001,4.0,Y,1.0,N,1.0,0.0,2001.0,10017-1920,10017.0,20223438200112.0,202234382001.0,12,62.0,0.0,0.0,17 E 47TH ST,3.0,0.0,NEW YORK,1.0,% ROGER HOOKER,1.0,13.0,17.0,10.0,0.0,ST GAUDENS MEMORIAL,1.0,194703.0,,NY,RTF01PC,4.0,1.0,2.0,2.0,A,A80,IN,,AR,A,PC,O,AR,A,,,A80Z,AR,AR,5602.0,5600.0,36061.0,0.8033239999999999,1,N,A,Saint-Gaudens Memorial,17 E. 47th St.,New York,35620.0,35644.0,5602.0,A80,NY,10017.0,NEW YORK,A80,,0.0,3a,2001.0,0.0,3a,2001.0,2093614.0,3a,2001.0,772206.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,42374.0,3a,2001.0,769912.0,3a,2001.0,PC,O,AR,A,IN,,1277709.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,8400.0,3a,2001.0,A80,A
2600,20501122,200106,2000,22966,0,0,0,144,0,0,0,10564,10564,33530,20396,24921,3600,0,11787,24921,0,0,24921,0,0,0,0,0,0,0,0,0,0,0,0,10420,0,0,,33530,3,0,0,144,0,0,0,0,0,0,0,0,0,0,33530,13134,0,0,0,0,0,0,0,11787,11787,0,0,0,0,0,0,0,0,0,0,0,0.0,N,2.0,1.0,200222.0,29490019152202.0,1.0,2001,3.0,Y,1.0,N,1.0,0.0,2000.0,10023-6049,10023.0,20501122200106.0,205011222001.0,6,0.0,0.0,0.0,74 W 68TH ST APT 1C,3.0,200306.0,NEW YORK,1.0,% DAVID SEGAL,1.0,11.0,15.0,20.0,0.0,WATERVILLE VALLEY MUSIC CENTER,5.0,199904.0,,NY,RTF01PC,1.0,1.0,1.0,1.0,A,A68,IN,,AR,A,PC,O,AR,A,,,A68,AR,AR,5602.0,5600.0,36061.0,0.8634729999999999,1,N,Z,Waterville Valley Music Center,74 W. 68th St. Apt 1c,New York,35620.0,35644.0,5602.0,A68,NY,10023.0,NEW YORK,A68,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,22966.0,3a,2001.0,0.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,24921.0,3a,2001.0,A68,A
3915,36010806,200012,2000,96410,0,0,0,56772,0,0,0,115269,115269,211679,247615,176863,50000,0,307427,380822,58203,203959,0,0,0,0,0,0,0,0,0,0,0,0,0,58497,0,0,,211679,3,7,0,0,14058,0,0,42714,0,0,0,0,0,0,211679,-35936,-36425,20474,5588,0,0,0,0,0,249224,314519,0,173249,128389,0,0,626980,453731,0,0,0,59.0,N,4.0,1.0,200213.0,29490068379102.0,1.0,2000,4.0,Y,1.0,N,1.0,0.0,2000.0,10013-2618,10013.0,36010806200012.0,360108062000.0,12,59.0,0.0,0.0,462 BROADWAY STE 510,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,INTERNATIONAL FILM SEMINARS INC,1.0,196308.0,,NY,RTF01PC,2.0,2.0,2.0,2.0,A,A31,IN,,AR,A,PC,O,AR,A,,,A31Z,AR,AR,5602.0,5600.0,36061.0,0.5533319999999999,1,N,Z,International Film Seminars Inc.,198 Broadway Ste. 1206,New York,35620.0,35644.0,5602.0,A31,NY,10013.0,NEW YORK,A31,,20002.0,3a,2000.0,0.0,3a,2000.0,2401.0,3a,2000.0,3400.0,3a,2000.0,78928.0,3a,2000.0,95434.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,76408.0,3a,2000.0,1800.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,400.0,3a,2000.0,168910.0,3a,2000.0,172310.0,3a,2000.0,A31,A
5421,42575633,200112,2001,25078,0,0,0,0,0,0,0,58774,58774,83852,82236,-5247,0,0,158073,91947,164936,97194,0,0,0,0,0,0,0,0,0,0,0,0,0,17882,0,40620,,83852,3,7,0,0,0,0,0,0,0,0,0,0,0,0,83852,1616,0,0,0,0,0,0,0,0,-6863,170939,0,0,1249,0,0,298224,298224,0,0,0,90.0,N,3.0,1.0,200220.0,29409117129442.0,1.0,2001,3.0,Y,1.0,N,1.0,0.0,2001.0,10028-7053,10028.0,42575633200112.0,425756332001.0,12,90.0,0.0,0.0,30 E END AVE 3A,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,SEVENARS CONCERTS INC,1.0,197611.0,,NY,RTF01PC,1.0,1.0,1.0,1.0,A,A60,IN,,AR,A,PC,O,AR,A,,,A60Z,AR,AR,5602.0,5600.0,36061.0,0.786438,1,N,Z,Sevenars Concerts Inc.,30 E. End Ave. Apt 3a Ste. 3a,New York,35620.0,35644.0,5602.0,A68,NY,10028.0,NEW YORK,A68,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,68035.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,A68,A
8020,43153122,200103,2000,0,0,0,0,198,0,0,0,199293,199293,199293,166740,57309,36000,0,66434,83476,41678,26167,0,0,0,0,0,0,0,0,0,0,0,0,0,107500,0,91595,,199293,3,7,0,198,0,0,0,0,0,0,0,0,0,0,199293,32553,0,28057,0,0,0,0,0,0,24756,914493,0,232919,58162,0,0,1205574,972655,0,0,0,122.0,N,3.0,1.0,200216.0,29490075265292.0,1.0,2001,4.0,Y,1.0,N,1.0,0.0,2000.0,10036-6902,10036.0,43153122200103.0,431531222001.0,3,122.0,0.0,0.0,330 W 42ND ST 1303,3.0,0.0,NEW YORK,1.0,% CASON & COMPANY,1.0,13.0,15.0,10.0,0.0,SOCIAL MEDIA PRODUCTIONS INC,1.0,199402.0,,NY,RTF01PC,1.0,2.0,2.0,2.0,A,A30,IN,,AR,A,PC,O,AR,A,,,A30Z,AR,AR,5602.0,5600.0,36061.0,0.14368499999999998,1,N,Z,Social Media Productions Inc.,435 1st St.,Brooklyn,35620.0,35644.0,5602.0,A30,NY,10036.0,NEW YORK,A30,,0.0,3c,2000.0,0.0,3c,2000.0,30105.0,3a,2001.0,0.0,3a,2001.0,27204.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3c,2000.0,300.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,10409.0,3a,2001.0,A30,A
8808,43278959,200112,2001,193887,0,0,0,131134,0,0,0,251527,251527,445414,451299,3122833,0,0,5219262,4193293,2090544,1070460,0,0,0,0,0,0,0,0,0,0,0,0,0,120393,0,0,,445414,3,7,0,131134,0,0,0,0,0,0,0,0,0,0,445414,-5885,0,175080,35507,0,0,0,0,0,3128718,364500,0,225287,571290,0,0,1161077,935790,0,0,0,0.0,N,6.0,1.0,200247.0,29490306012182.0,1.0,2001,4.0,Y,1.0,N,1.0,0.0,2001.0,10018-8007,10018.0,43278959200112.0,432789592001.0,12,0.0,0.0,0.0,70 W 36TH ST 11TH FLR,3.0,0.0,NEW YORK,1.0,,1.0,13.0,17.0,10.0,0.0,NEW ENGLAND CULTURAL FACILITIES FUND,1.0,199701.0,,NY,RTF01PC,4.0,2.0,2.0,2.0,A,A23,IN,,AR,A,PC,O,AR,A,,,A23Z,AR,AR,5602.0,5600.0,36061.0,0.29557,1,N,Z,New England Cultural Facilities Fund,70 W. 36th St. 11th Flr,New York,35620.0,35644.0,5602.0,A02,NY,10018.0,NEW YORK,A02,61,94242.0,3a,2001.0,0.0,3a,2001.0,67801.0,3a,2001.0,11900.0,3a,2001.0,3055032.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,99645.0,3a,2001.0,12600.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,1412431.0,3a,2001.0,A0261,A
9999,43444069,200106,2000,6457948,0,207196,199793,48097,352596,0,0,255293,55500,6713241,1529481,5392213,352367,0,434025,5777641,25779,385428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6513448,3,7,0,48097,0,0,0,0,7403,0,0,0,0,0,6513448,4983967,0,294690,25202,0,0,0,0,0,408246,726676,0,0,2669,0,0,729345,729345,0,0,0,0.0,N,7.0,1.0,200231.0,29490201307222.0,1.0,2001,7.0,Y,1.0,N,1.0,0.0,2000.0,10022-3211,10022.0,43444069200106.0,434440692001.0,6,0.0,0.0,0.0,550 MADISON AVE STE 1120,3.0,200212.0,NEW YORK,1.0,% HALE AND DORR LLP,1.0,13.0,15.0,10.0,0.0,SILK ROAD PROJECT INC,1.0,199904.0,,NY,RTF01PC,5.0,5.0,5.0,4.0,A,A23,IN,,AR,A,PC,O,AR,A,,,A23,AR,AR,5602.0,5600.0,36061.0,0.402223,1,N,Z,Silk Road Project Inc.,550 Madison Ave. Ste. 1120,New York,35620.0,35644.0,5602.0,A23,NY,10022.0,NEW YORK,A23,,0.0,3a,2001.0,0.0,3a,2001.0,2327006.0,3a,2001.0,60200.0,3a,2001.0,3065107.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,6457948.0,3a,2001.0,0.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,A23,A
