,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,REASON,Q78A,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,TOTREV,V1SECURN,V1OTHN,V1SPEVN,V1INVNTN,V1TOTREV,V1NETINC,V1NASEOY,VBS_EOY,VBS_BOY,VASSTLIA,VLIABEOY,VLIABBOY,VGCONT,VGPROGREV,VGDUES,VGINVINC,VGRENTEXP,VGNETRENT,VGSECUR,VGSALESEXP,VGSALESECN,VGSALEOTHG,VGSALEOTHE,VGSALEOTHN,VGSPEVTG,VGDIREXP,VGFUNDINC,VGINVENTG,VGGOODS,VGGRPROF,VGOTHINC,VGTOTREV2,VGSOLICIT,VGEXPS,VGNETINC,VGOTHCHGS,VGFUNDBAL,VGCOMPENS,VGOTHSAL,VGPAYTAX,VGFUNDFEES,VGASS_BOY,VGBOND_BOY,VGMRTG_BOY,VGLIAB_BOY,VGRETE_BOY,VGNETA_BOY,VGASS_EOY,VGBOND_EOY,VGMRTG_EOY,VGLIAB_EOY,VGRETEARN,CNAB,ASSTSALE,CGR2NET,CTOTREVM,CTOTREVB,CNAO,CNAM,CRERATIO,IERATIO,vIncExp,VBS,VOK,STYEAR,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeOldA,Confidence,NteeCC4d,FipsOldA,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
6233,1,6,1.0,60993134,200212,2002,200322.0,29409130055323,,N,Y,0.0,1.0,2002.0,1.0,2.0,3.0,122,0,11705,0,0,128,0,0,0,18388,18388,30093,30487,22067,0,0,22461,22067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18260,0,N,0,0,0,0,128,0,0,0,0,0,0,30093,-394,0,0,0,0,0,0,0,0,22461,0,0,0,0,0,0,0,0,0,0,0,10150.0,WOMEN EXECUTIVES IN PUBLIC RELATIONS,,PO BOX 7657 FDR STATION,NEW YORK,NY,10150-7657,0.0,3.0,2.0,198005.0,1.0,0.0,1.0,13.0,0.0,10.0,12,,122.0,994.0,0.0,30093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1,1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,-394,0,0,30093,30093,-394,-394,1,0,1,0,0,2002,36061.0,5602.0,5600.0,A31,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.24661,N,A31,C,,36061.0,NY,10150.0,NEW YORK,609931342002,A31,C,core2002co_ver1,PC,O,AR,A,IN,,A31,A,512110.0,9
6673,1,4,1.0,61420853,200206,2002,200320.0,29490116074123,,N,Y,0.0,1.0,2001.0,1.0,4.0,4.0,121,400545,0,0,0,3937,0,0,0,83694,83173,484239,439889,277640,2898,0,416424,495994,181742,218354,277640,0,0,0,0,0,0,0,0,0,0,0,0,58839,0,20492,0,N,3937,0,0,0,0,0,426,521,-95,0,0,483718,43829,-871,153377,0,0,0,0,0,234682,234682,0,0,0,0,0,0,0,0,0,0,0,10017.0,AUSTRALIAN BROADCASTING CORPORATION,,747 THIRD AVE STE 8C,NEW YORK,NY,10017-2803,0.0,3.0,3.0,199602.0,2.0,0.0,1.0,13.0,0.0,10.0,6,,121.0,904.0,0.0,483718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,7,7,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,42958,-95,521,483718,482847,43829,43829,0,1,1,0,0,2001,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.6764,,Z99,A,,36061.0,NY,10017.0,NEW YORK,614208532002,A30,A,core2002co_ver1,PC,O,AR,A,IN,,A30,A,510000.0,90
7695,1,6,1.0,112022650,200212,2002,200320.0,29490109141013,,N,Y,0.0,1.0,2002.0,1.0,3.0,4.0,920,0,15875,0,0,0,0,0,0,146215,146215,162090,140147,76303,0,0,54360,76302,0,0,76302,0,0,0,0,0,0,0,0,0,0,0,0,143280,0,2935,0,Y,0,0,0,0,0,0,0,0,0,0,0,162090,21943,0,0,0,0,0,0,0,54360,54360,0,0,0,0,0,0,0,0,0,0,0,11223.0,AUTO BODY CRAFTSMENS GUILD INC,,2366 CONEY ISLAND AVE,BROOKLYN,NY,11223-5002,0.0,3.0,2.0,196506.0,2.0,0.0,1.0,11.0,0.0,10.0,12,,920.0,0.0,0.0,162090,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,2,1,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,21942,0,0,162090,162089,21943,21943,0,1,1,0,0,2002,36047.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.14670999999999998,,Z99,C,,36047.0,NY,11223.0,BROOKLYN,1120226502002,A40,A,core2002co_ver1,PC,O,AR,A,IN,,A40,A,710000.0,90
7947,1,12,1.0,112579110,200212,2002,200325.0,29490137174083,,N,Y,0.0,1.0,2002.0,1.0,2.0,3.0,200,0,40648,0,0,0,11312,0,0,0,0,40648,37891,17819,0,0,15719,17819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,40648,2757,-657,0,0,0,0,0,0,0,15719,0,0,0,0,0,0,0,0,0,0,0,10472.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,CHARLES WEINER,1110 BRONX RIVER AVE,BRONX,NY,10472-3102,0.0,3.0,1.0,198311.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,200.0,0.0,0.0,40648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2100,0,0,40648,39991,2757,2757,0,1,1,0,0,2002,36005.0,5602.0,5600.0,A65,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.33747,C,A65,C,,36005.0,NY,10472.0,BRONX,1125791102002,A65,C,core2002co_ver1,PC,O,AR,A,IN,,A65,A,711110.0,90
8236,1,4,1.0,113110485,200212,2002,200323.0,29490075007003,,N,Y,0.0,1.0,2002.0,1.0,3.0,4.0,328,107268,0,0,0,0,0,0,0,0,0,107268,98548,-9179,8530,0,-17898,89370,0,98548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,107268,8719,0,28112,16869,0,0,0,0,0,-17898,0,0,0,0,0,0,0,0,0,0,0,11691.0,ROCKAWAY PENINSULA CIVIC ASSOC INC,,1848 CORNAGA AVE,FAR ROCKAWAY,NY,11691-4304,0.0,3.0,1.0,199211.0,2.0,0.0,1.0,11.0,0.0,10.0,12,DAVID N DINKINS CTR PHYS CULTURE,328.0,0.0,0.0,107268,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1.0,2,7,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,8720,0,0,107268,107268,8720,8720,1,1,1,1,1,2002,36081.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.22049000000000002,,Z99,A,,36081.0,NY,11691.0,FAR ROCKAWAY,1131104852002,A40,A,core2002co_ver1,PC,O,AR,A,IN,,A40,A,710000.0,90
8381,1,6,1.0,113395787,200212,2002,200322.0,29490137038163,,N,Y,0.0,1.0,2002.0,1.0,3.0,4.0,200,0,44000,0,0,0,0,7168,-6041,228611,221443,272611,54063,32728,40000,0,24624,32728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203276,0,24208,0,0,N,0,0,0,0,0,0,0,0,0,227485,1127,62167,8104,0,191,3314,0,0,0,0,0,24624,0,0,0,0,0,0,0,0,0,0,0,10016.0,MEDICAL ADVERTISING HALL OF FAME INC,WILLIAM G CASTAGNOLI,200 MADISON AVE,NEW YORK,NY,10016-3903,0.0,3.0,2.0,199808.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,200.0,0.0,0.0,62167,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1,1,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8104,0,210444,62167,62167,8104,8104,1,1,1,0,0,2002,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.44916000000000006,,Z99,C,,36061.0,NY,10016.0,NEW YORK,1133957872002,A50,A,core2002co_ver1,PC,O,AR,A,IN,,A50,A,712110.0,90
8496,1,3,1.0,113635991,200206,2002,200331.0,29490198000053,,N,Y,0.0,40.0,2001.0,1.0,3.0,4.0,0,131500,90,0,0,1319,5370,0,0,1319,1319,132909,80631,54906,0,3059,2628,54906,0,0,54906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,N,0,0,0,0,1319,0,0,0,0,0,0,132909,52278,0,44422,5001,0,0,0,0,2628,2628,21250,0,2550,0,0,0,23800,21250,0,0,0,11432.0,CULTURAL COLLABORATIVE JAMAICA INC,TYRA K EMERSON,161 04 JAMAICA AVE,JAMAICA,NY,11432-6112,0.0,3.0,1.0,200312.0,1.0,16.0,1.0,11.0,200806.0,10.0,6,,0.0,0.0,0.0,132909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,52278,0,0,132909,132909,52278,52278,1,1,1,1,1,2001,36081.0,5602.0,5600.0,A01,A,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.53474,C,A20,C,,36081.0,NY,11432.0,JAMAICA,1136359912002,A0123,A,core2002co_ver1,PC,O,AR,A,IN,,A0123,A,813319.0,90
8723,1,6,1.0,130417765,200212,2002,200349.0,29490319048063,,N,Y,0.0,1.0,2002.0,1.0,6.0,7.0,919,0,1665293,94932,140437,28206,0,0,0,3400245,3259808,5065538,4709991,628879,704079,0,1330317,1451302,853482,822423,0,0,0,0,0,0,0,0,0,0,0,0,0,3127107,0,150000,0,Y,4857,23349,0,0,0,-45505,0,0,0,0,0,4925101,215110,-63066,759869,97536,0,0,0,0,0,476835,0,0,0,0,0,0,0,0,0,0,0,10022.0,ADVERTISING RESEARCH FOUNDATION INC,,641 LEXINGTON AVE,NEW YORK,NY,10022-4503,0.0,3.0,1.0,194303.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,919.0,0.0,0.0,4925101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,7,7,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,152044,-45505,140437,4925101,4862035,215110,215110,0,1,1,0,0,2002,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.22233000000000003,,Z99,C,,36061.0,NY,10022.0,NEW YORK,1304177652002,A03,A,core2002co_ver1,PC,O,AR,A,IN,,A03,A,813920.0,90
8743,1,6,1.0,130452445,200306,2003,200348.0,29490312189043,,N,Y,0.0,1.0,2002.0,1.0,6.0,7.0,59,0,3857007,-15294,0,77535,0,0,0,1471687,1471687,5328694,3911344,2066140,500675,0,2506121,3328963,866200,1262823,0,0,0,0,0,0,0,0,0,0,0,0,825046,0,396461,187939,0,N,0,77535,0,0,0,-15294,0,0,0,1221507,0,4503648,592304,-166085,710674,243361,0,0,0,0,0,1639921,0,0,0,0,0,0,0,0,0,0,0,10017.0,AMERICAN BUSINESS MEDIA INC,,675 THIRD AVE,NEW YORK,NY,10017-5704,0.0,3.0,2.0,193504.0,2.0,0.0,1.0,13.0,0.0,10.0,6,,59.0,200.0,0.0,4503648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,b,7,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,426219,-15294,825046,4503648,4337563,592304,592304,0,1,1,0,0,2002,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.6725399999999999,,Z99,C,,36061.0,NY,10017.0,NEW YORK,1304524452003,A0330,A,core2002co_ver1,PC,O,AR,A,IN,,S41,S,813910.0,90
8751,1,6,1.0,130453230,200211,2002,200340.0,29490256049053,,N,Y,0.0,1.0,2001.0,1.0,6.0,8.0,919,0,5805491,1034228,1195807,46013,0,0,0,4321221,3125414,10126712,9684225,-2617775,1472551,0,4438784,2614617,6322828,5232392,0,0,0,0,0,0,0,0,0,0,0,0,0,3240980,0,0,0,Y,46013,0,0,0,0,-161579,0,0,0,0,0,8930905,-753320,19589,1644023,168610,0,0,643470,0,0,-1884044,0,0,0,0,0,0,0,0,0,0,0,10017.0,ASSOCIATION OF NATIONAL ADVERTISERS INC,,708 3RD AVE,NEW YORK,NY,10017-4201,0.0,3.0,2.0,194208.0,2.0,0.0,5.0,13.0,0.0,10.0,11,,919.0,205.0,0.0,8930905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,b,b,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,-733731,-161579,1195807,8930905,8950494,-753320,-753320,0,0,1,0,0,2001,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.56374,,Z99,C,,36061.0,NY,10017.0,NEW YORK,1304532302002,S41,A,core2002co_ver1,PC,O,AR,A,IN,,S41,S,813910.0,90
