,fincheckv,VerifyBy,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,TOTLOB,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,NTEE,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEECC4D,NTEE2,NTMAJ12,NTMAJ5,RandNum,CNAB,ASSTSALE,CGR2NET,CTOTREVM,CTOTREVB,CNAO,CNAM,CRERATIO,IERATIO,VINCEXP,VBS,VOK,FIPS,MSA,PMSA,V1SECURN,verfail,V1OTHN,V1SPEVN,V1INVNTN,V1TOTREV,V1NETINC,V1NASEOY,VBS_BOY,VBS_EOY,VASSTLIA,VGRENTEXP,VGCOMPENS,VGOTHSAL,VGPAYTAX,VGFUNDFEES,VGSOLICIT,VGBOND_BOY,VGMRTG_BOY,VGBOND_EOY,VGMRTG_EOY,TOTREV_F,GRREC_F,GRINC_F,SALES_F,FUNDB_F,TOTREV_O,GRREC_O,GRINC_O,SALES_O,FUNDB_O,CRINC_F,MSA_NECH,NTEESRC,nteeConf,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
177,,,10263908,200212,2002,621426,0,0,0,357149,77162,5085,32205,945913,940828,1567339,1417097,10631297,156910,0,11136294,10644283,22691,12986,0,0,0,0,0,0,0,0,0,0,0,0,160549,371545,0,19380,,1401705,3,2,0,467,194482,0,0,162200,0,0,0,0,160549,37290,1401705,-15392,-466914,281668,33552,0,0,0,0,0,11113603,0,0,0,0,0,0,0,0,0,0,0,46,N,8,1,200352,29490347094013,1,2002,6,Y,1,N,1,0,2002,10003-1503,10003.0,10263908200212,102639082002,12,46.0,119.0,30.0,200 PARK AVE S 1116,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,1.0,194707.0,,NY,RTF02PC,,4.0,4.0,4.0,A,A25,IN,,AR,A,A25Z,PC,O,AR,A,,A6EZ,AR,AR,0.443083,-482306,0,165634,1401705,934791,-15392,-15392,31,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,2,2,0,2,0,0,0,0,N,N,N,N,N,1401705,1567339,940828,945913,10631297,,5602.0,1,N,A25,NY,10003.0,NEW YORK,A25,,8000.0,3a,2002.0,0.0,3a,2002.0,4322339.0,3a,2002.0,1060508.0,3a,2002.0,579105.0,3a,2002.0,5729752.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,613426.0,3a,2002.0,1120209.0,3a,2002.0,PC,O,AR,A,IN,,2724221.0,3a,2002.0,10000.0,3a,2002.0,6282249.0,3a,2002.0,296402.0,3a,2002.0,A25,A
633,,,10391592,200212,2002,3740,0,0,0,0,0,0,0,78870,78870,82610,80944,15506,0,0,13840,15506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78870,0,0,,82610,3,9,0,0,0,0,0,0,0,0,0,0,0,0,82610,1666,0,0,0,0,0,0,0,0,13840,5130,0,309879,0,0,0,315009,5130,0,0,0,149,N,2,1,200329,29409179027183,1,2002,3,Y,1,N,1,0,2002,11215-0150,11215.0,10391592200212,103915922002,12,149.0,319.0,0.0,VAN BRUNT STATION BOX 150,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,16.0,10.0,0.0,MAINE JAZZ CAMP,1.0,198809.0,,NY,RTF02PC,1.0,1.0,1.0,1.0,A,A68,IN,,AR,A,A68Z,PC,O,AR,A,,,AR,AR,0.76698,1666,0,0,82610,82610,1666,1666,1,1,1,0,0,36047.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,82610,82610,78870,78870,15506,,5602.0,1,N,A68,NY,11215.0,BROOKLYN,A68,,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,A68,A
1666,,,10621206,200306,2002,27447,0,0,0,0,0,0,0,3318,3318,30765,29380,-2586,0,0,1838,8873,5809,11459,0,0,0,0,0,0,0,0,0,0,0,0,0,3302,0,16,,30765,3,9,0,0,0,0,0,0,0,0,0,0,0,0,30765,1385,0,0,0,0,0,0,0,0,-3971,670,0,915,0,0,0,1585,670,0,0,0,0,N,1,1,200351,29409333000313,1,2003,3,Y,1,N,1,0,2002,10024-6893,10024.0,10621206200306,106212062003,6,0.0,0.0,0.0,46 RIVERSIDE DR STE 2N,3.0,200606.0,NEW YORK,2.0,STEPHANIE CHASE,1.0,13.0,16.0,10.0,0.0,MUSIC OF THE SPHERES SOCIETY INC,1.0,200212.0,,NY,RTF02PC,1.0,1.0,1.0,1.0,A,A68,IN,,AR,A,,PC,O,AR,A,,,AR,AR,0.33661599999999997,1385,0,0,30765,30765,1385,1385,1,1,1,1,1,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,30765,30765,3318,3318,-2586,,5602.0,1,C,A68,NY,10024.0,NEW YORK,A68,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A68,A
1676,,,10627379,200212,2002,124936,0,0,0,0,10216,0,0,0,0,124936,113939,10997,0,0,0,12197,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,124936,3,7,0,0,0,0,0,0,0,0,0,0,0,0,124936,10997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,2,1,200352,29490333339153,1,2002,4,Y,1,N,1,0,2002,10011-0000,10011.0,10627379200212,106273792002,12,0.0,0.0,0.0,130 SEVEMTJ AVE STE 221,3.0,0.0,NEW YORK,1.0,ROGERS & CO CPAS PC,1.0,13.0,15.0,10.0,0.0,ZANGDOKPALRI FOUNDATION INC,1.0,200307.0,,NY,RTF02PC,1.0,2.0,2.0,2.0,A,A23,IN,,AR,A,,PC,O,AR,A,,,AR,AR,0.41553,10997,0,0,124936,124936,10997,10997,1,1,1,1,1,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,N,N,N,N,N,124936,124936,0,0,10997,,5602.0,1,C,A23,NY,10011.0,NEW YORK,A23,,0.0,3a,2002.0,0.0,3a,2002.0,10997.0,3a,2002.0,2218.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,124936.0,3a,2002.0,0.0,3b,2003.0,PC,O,AR,A,IN,,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,9979.0,3a,2002.0,A23,A
1724,,,10647938,200212,2002,62650,0,0,0,265,28608,0,0,107044,107044,169694,146662,23032,10640,0,0,23032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106779,0,0,,169694,3,7,0,265,0,0,0,0,0,0,0,0,0,0,169694,23032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,2,1,200336,29490228183213,1,2002,4,Y,1,N,1,0,2002,10018-4212,10018.0,10647938200212,106479382002,12,0.0,0.0,0.0,336 W 37TH ST STE B,3.0,200612.0,NEW YORK,1.0,THE BELT THEATER,1.0,13.0,15.0,10.0,0.0,ART PARTY INC,1.0,200208.0,,NY,RTF02PC,1.0,2.0,2.0,2.0,A,A65,IN,,AR,A,,PC,O,AR,A,,,AR,AR,0.639624,23032,0,0,169694,169694,23032,23032,1,1,1,1,1,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,0,0,0,2,0,0,0,0,N,N,N,N,N,169694,169694,107044,107044,23032,,5602.0,1,C,A65,NY,10018.0,NEW YORK,A65,,0.0,3a,2002.0,0.0,3a,2002.0,23032.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,62650.0,3a,2002.0,0.0,3b,2003.0,PC,O,AR,A,IN,,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,17224.0,3a,2002.0,A65,A
1815,,,10708733,200212,2002,358286,0,0,0,0,695,8253,80536,439305,431052,797591,392677,396661,64100,0,0,484658,0,87997,0,0,0,0,0,0,0,0,0,0,0,0,0,348336,0,2180,,789338,3,7,0,0,0,0,0,0,0,0,0,0,0,88789,789338,396661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,4,1,200352,29490333369073,1,2002,5,Y,1,N,1,0,2002,10013-4410,10013.0,10708733200212,107087332002,12,0.0,0.0,0.0,87 LAFAYETTE ST,3.0,200612.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,DEMOCRACY NOW PRODUCTIONS INC,1.0,200303.0,,NY,RTF02PC,2.0,3.0,3.0,2.0,A,A30,IN,,AR,A,,PC,O,AR,A,,,AR,AR,0.171206,396661,0,8253,789338,789338,396661,396661,1,2,1,1,1,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,0,0,0,2,0,0,0,0,N,N,N,N,N,789338,797591,431052,439305,396661,,5602.0,1,C,A30,NY,10013.0,NEW YORK,R24,,0.0,3a,2002.0,0.0,3a,2002.0,222434.0,3a,2002.0,7201.0,3a,2002.0,174127.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,358286.0,3a,2002.0,0.0,3b,2003.0,PC,O,AR,A,IN,,0.0,3a,2002.0,8201.0,3a,2002.0,0.0,3a,2002.0,211025.0,3a,2002.0,R24,R
1818,,,10708923,200306,2002,194527,0,2385,0,977,0,0,0,3362,3362,197889,2070,204789,0,0,0,204789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,197889,3,10,0,0,977,0,0,0,2385,0,0,0,0,0,197889,195819,8970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,4,1,200349,29490319090103,1,2003,4,Y,1,N,1,0,2002,10022-1302,10022.0,10708923200306,107089232003,6,0.0,0.0,0.0,130 E 59TH ST STE 737,3.0,0.0,NEW YORK,1.0,UJA-FEDERATION,1.0,13.0,17.0,10.0,0.0,L AVERICK FOUNDATION,1.0,200210.0,,NY,RTF02PC,2.0,2.0,2.0,1.0,A,A11,IN,,AR,A,,PC,S,ZA,A,,,AR,AR,0.8459049999999999,204789,2385,0,197889,206859,195819,195819,1,95,1,1,1,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,197889,197889,3362,3362,204789,,5602.0,1,C,A11,NY,10022.0,NEW YORK,X30,,0.0,3a,2003.0,0.0,3a,2003.0,204789.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,194527.0,3a,2003.0,,,,PC,S,ZA,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,203889.0,3a,2003.0,900.0,3a,2003.0,X30,X
2116,,,20223438,200212,2002,29111,0,330481,418352,3149,0,0,0,337752,-80600,366863,137630,1694607,25440,0,2093614,1694607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4122,,-51489,3,10,0,96,3053,0,0,0,-87871,0,0,0,0,0,-51489,-189119,-209888,0,0,0,0,0,0,0,2093614,0,0,0,0,0,0,0,0,0,0,0,62,N,6,1,200319,29490102057083,1,2002,4,Y,1,N,1,0,2002,10017-1920,10017.0,20223438200212,202234382002,12,62.0,0.0,0.0,17 E 47TH ST,3.0,0.0,NEW YORK,1.0,ROGER HOOKER,1.0,13.0,17.0,10.0,0.0,SAINT-GAUDENS MEMORIAL,1.0,194703.0,,NY,RTF02PC,4.0,0.0,2.0,2.0,A,A80,IN,,AR,A,A80Z,PC,O,AR,A,,,AR,AR,0.170101,-399007,-87871,418352,-51489,-261377,-189119,-189119,2,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,N,N,N,N,N,-51489,366863,-80600,337752,1694607,,5602.0,1,N,A80,NY,10017.0,NEW YORK,A80,,0.0,3a,2002.0,0.0,3a,2002.0,1694607.0,3a,2002.0,772203.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,29111.0,3a,2002.0,772205.0,3a,2002.0,PC,S,AR,A,IN,,763503.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,8700.0,3a,2002.0,A80,A
3088,,,20501122,200206,2001,0,0,0,0,114,0,0,0,47690,47690,47690,45188,27423,0,0,24921,27423,0,0,27423,0,0,0,0,0,0,0,0,0,0,0,0,47576,0,0,,47690,3,0,0,114,0,0,0,0,0,0,0,0,0,0,47690,2502,0,0,0,0,0,0,0,24921,24921,0,0,0,0,0,0,0,0,0,0,0,0,N,3,1,200341,29490152036163,1,2002,3,Y,1,N,1,0,2001,10023-6049,10023.0,20501122200206,205011222002,6,0.0,0.0,0.0,74 W 68TH ST APT 1C,3.0,0.0,NEW YORK,1.0,DAVID SEGAL,1.0,13.0,4.0,1.0,0.0,WATERVILLE VALLEY MUSIC CENTER,5.0,199904.0,,NY,RTF02PC,1.0,1.0,1.0,1.0,A,A68,IN,,AR,A,A68,PF,O,AR,A,,,AR,AR,0.43673,2502,0,0,47690,47690,2502,2502,1,1,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,47690,47690,47690,47690,27423,,5602.0,1,N,A68,NY,10023.0,NEW YORK,A68,,0.0,3b,2003.0,0.0,3b,2003.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3b,2003.0,0.0,3a,2002.0,PF,S,AR,A,IN,,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,27423.0,3a,2002.0,A68,A
3427,,,20590437,200302,2002,38864,0,0,0,0,0,0,0,45200,45200,84064,14292,6425,0,0,0,8442,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,63347,0,-18147,0,,20717,3,7,0,0,0,0,0,0,0,0,0,0,45200,0,20717,6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,1,1,200349,29409312071383,1,2003,3,Y,1,N,1,0,2002,10021-6018,10021.0,20590437200302,205904372003,2,0.0,0.0,0.0,210 E 68TH ST STE 5L,3.0,200612.0,NEW YORK,2.0,ABBY RUSSELL,1.0,13.0,15.0,10.0,0.0,HAMPTONS COMEDY FESTIVAL INC,1.0,200208.0,DBA LAUGH FOR A CURE,NY,RTF02PC,1.0,1.0,1.0,1.0,A,A40,IN,,AR,A,,PC,O,AR,A,,,AR,AR,0.705508,6425,0,63347,20717,20717,6425,6425,1,1,1,1,1,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,20717,84064,45200,45200,6425,,5602.0,1,C,A40,NY,10021.0,NEW YORK,G01,54.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,,,,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,G0154,G
