,fincheckv,VerifyBy,STYEAR,EIN,NAME,STATE,NTEE1,NTEECC,ADDRESS,CITY,ZIP5,ZIP,FIPS,MSA_NECH,PMSA,TAXPER,FisYr,OUTNCCS,OUTREAS,SUBSECCD,NTMAJ5,NTMAJ10,NTMAJ12,NTEESRC,MAJGRPB,ACTIV,ACTIV1,ACTIV2,ACTIV3,P1INTREV,P1DIVID,P1NGASTS,P1TCONT,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P1GRENTS,P6DOMORG,P7POLIT,P1INVRV,P7LIQUID,P1NADJRV,P7POFCLM,P1ADMEXP,P7DISSAL,P7DISBOR,P1INVEXP,P7DISSER,P1CHAEXP,P7DISPAY,P1TINVEX,P7DISTRA,P1TADJEX,P7PAYGVT,P2CASHBV,P7UNDINC,P2MORTG,P7BUSINT,P2EYOTIN,P7JEOINV,P2EYASST,P7PROPAG,P2MTGNTS,P7ELECT,P3EYTFND,P7INDGRT,P6TX4940,P7ORGGRT,P6TX511,P7OTHPUR,P6TXSUBA,P6ESTTX,P6TEXCTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,NTEE,RULEDATE,FNDNCD,FRCD,AFCD,ARED,CONTACT,SEC_NAME,GEN,DISTRICT,LEVEL1,LEVEL2,LEVEL3,LEVEL4,CLASSCD,DEDUCTCD,ORGCD,P1GOODS,DLN,ARC,RandNum,ACCPER,TFLD,P6TXRFD,CALC4940,V1P6TX49,verify,V1P1TOTR,verfail,V1P1TOTE,V1P1EXCR,V1P1NETI,V1P1NADI,V1P3EYTF,V1P6TEXC,V1P14NAD,V1P14TNA,V1P14TQD,V1P14TAS,V1P14T49,V1P14TEN,V1P14TTS,V1P14TPS,V1P14TGI,V1P10MIR,VGOFCOMP,VGADMEXP,VGCONTPD,VGINVEXP,VGCHAEXP,VGTINVEX,VGTADJEX,VGTEXMEX,VGCASHBV,VGGVTINV,VGCRPSTK,VGCRPBND,VGMORTG,VGEYOTIN,VGMTGNTS,VGTASFMV,VGTOTAST,VGTASST,VIDIVID,VINGASTS,VIOTHINC,VITCONT,VIINTREV,VIGRENTS,VIGINVPF,VMREVEXP,VMASSETS,VMPOFCLM,nteeConf,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
178,,,2001,10548602,PETER AND CYNTHIA WILSON ART FOUNDATION INC,NY,A,A51,350 FIFTH AVE STE 2822,NEW YORK,10118.0,10118-2896,36061.0,5602.0,5600.0,200209,2002,IN,,3,AR,AR,AR,1,A,0,0.0,0.0,0.0,0,12004,0,721101,0,0,0,0,733105,9445,723660,0,12004,12004,723660,0,0,0,0,0,723660,0,35414,N,0,N,N,12004,N,12004,Y,9445,N,N,0,N,0,N,0,N,0,N,688660,N,0,N,0,N,723660,N,0,N,723660,N,240,N,0,N,0,0,240,0,0,0,0,0,719059,0,12004,0,0,0,12004,35000,0,0,0,35000,1,0,0,0,1,0,0,0,0,0,23609,0,0,0,23609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A51,200207.0,3.0,1.0,3.0,0.0,L WOLLIN,,0.0,13.0,PF,O,AR,A,2.0,1.0,1.0,0,2,-5,0.396253,9,240,0,240,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,U,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,C,NY,10118.0,NEW YORK,core2002pf_ver1,PF,O,AR,A,IN,,A51,A
332,,,2002,10733159,FELIX GONZALEZ-TORRES FOUNDATION,NY,A,A70,525 W 24TH ST,NEW YORK,10011.0,10011-1104,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,0,0.0,0.0,0.0,0,0,0,176000,0,0,0,0,176000,10,175990,0,0,0,175990,0,0,0,0,0,175990,0,5343,N,0,N,N,0,N,0,N,10,N,N,0,N,0,N,0,N,0,N,79990,N,0,N,0,N,175990,N,0,N,175990,N,0,N,0,N,0,0,0,0,0,0,0,0,175990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A70,200307.0,3.0,1.0,3.0,0.0,ANDREA M ROSEN,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.9620770000000001,12,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,C,NY,10011.0,NEW YORK,core2002pf_ver1,PF,O,AR,A,IN,,A70,A
496,GS,JDD,2002,16186903,MERCE CUNNINGHAM TRUST,NY,A,A6E,55 BETHUNE ST,NEW YORK,10014.0,10014-2010,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,0,0.0,0.0,0.0,0,0,0,20000,0,0,0,0,20000,0,20000,0,0,0,20000,0,0,0,0,0,20000,0,0,N,0,N,N,0,N,0,Y,0,N,N,0,N,0,N,0,N,0,N,20000,N,0,N,0,N,20000,N,0,N,20000,N,0,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T23,200212.0,3.0,1.0,3.0,0.0,CUNNINGHAM MERCE TTEE,CUNNINGHAM MERCE TTEE,0.0,13.0,PF,O,AR,A,1.0,1.0,2.0,0,2,-5,0.0607346,12,0,0,0,1.0,M,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,7,1,1,1,1,1,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,C,NY,10014.0,NEW YORK,core2002pf_ver1,PF,O,AR,A,IN,,T23,T
2602,,,2002,43649708,PISANO CHASE CATALOGUE RAISONNE PROJECT INC,NY,A,A51,375 RIVERSIDE DR ATE 13B,NEW YORK,10025.0,10025-2149,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,0,0.0,0.0,0.0,15,0,0,18750,0,0,0,0,18765,312,18453,169,0,0,18453,0,0,0,0,0,18453,0,0,N,0,N,N,15,N,0,N,312,N,N,143,N,169,N,143,N,0,N,18453,N,0,N,0,N,18453,N,0,N,18453,N,0,N,0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A51,200302.0,3.0,1.0,3.0,0.0,D FREDERICK BAKER,,0.0,13.0,PF,O,AR,A,2.0,1.0,1.0,0,2,-5,0.666158,12,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2,U,U,U,U,U,U,U,U,1,0.0,3.0,0.0,3.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,C,NY,10025.0,NEW YORK,core2002pf_ver1,PF,O,AR,A,IN,,A51,A
4090,,,2001,53842834,FREDERICK BROWN MUSEUM INC,NY,A,A23,350 FIFTH AVE STE 2822,NEW YORK,10118.0,10118-2899,36061.0,5602.0,5600.0,200209,2002,IN,,3,AR,AR,AR,1,A,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A23Z,199511.0,4.0,1.0,3.0,0.0,L WOLLIN,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.695489,9,0,0,0,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1,U,U,U,U,U,U,U,U,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,10118.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A50,A
4813,,,2002,61532031,ALEPH FOUNDATION FOR HUMANITIES,NY,A,A12,667 MADISON AVE 11TH FLR,NEW YORK,10021.0,10021-8029,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,0,0.0,0.0,0.0,142,0,0,0,0,0,0,75262,142,75262,-75120,75262,142,0,1634300,0,0,0,0,0,1634300,8492,83755,N,0,Y,N,142,N,0,N,0,N,N,0,N,0,N,0,N,0,N,9300,N,0,N,0,N,1634300,N,0,N,1634300,N,1,Y,0,N,0,0,1,0,0,0,0,0,1700611,83754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A12,199904.0,4.0,1.0,3.0,0.0,JOEL ORNSTEIN,,0.0,13.0,PF,S,ZB,A,1.0,1.0,1.0,0,2,-5,0.0783143,12,1,0,1,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,4.0,N,NY,10021.0,NEW YORK,core2002pf_ver1,PF,S,ZB,A,IN,,A70,A
4857,,,2002,61551999,JOYCE DUTKA ARTS FOUNDATION INC,NY,A,A99,PO BOX 630053,BRONX,10463.0,10463-0800,36005.0,5602.0,5600.0,200306,2003,IN,,3,AR,AR,AR,1,A,0,0.0,0.0,0.0,2,2811,-28943,11622,0,1225,0,13000,-13283,38083,-51366,34045,499,0,101190,0,0,0,0,0,101190,0,5597,N,0,Y,N,2813,N,4038,Y,25083,N,N,2314,N,21045,N,2314,N,4038,N,609,N,0,N,96086,N,101190,N,0,N,101190,Y,5,N,0,N,0,39,5,0,0,0,0,34,113650,0,1,0,0,0,1,21045,21365,14242,19600,76252,1,0,0,0,1,0,0,0,0,0,3731,4950,6663,3779,19123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A68,200004.0,3.0,1.0,3.0,0.0,JOYCE DUTKA,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.9531879999999999,6,-34,0,5,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2,1,1,1,1,1,1,1,1,U,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,N,NY,10463.0,BRONX,core2002pf_ver1,PF,O,AR,A,IN,,A1261,A
5453,,,2002,66356055,THE STEPHEN HAHN FOUNDATION,NY,A,A99,350 FIFTH AVE STE 1000,NEW YORK,10118.0,10118-1000,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,91,91.0,0.0,0.0,0,444134,-39690,1300000,0,0,20000,284670,1704444,323144,1381300,294030,415020,444134,7808387,4132612,0,3232505,7365117,0,8077319,0,365439,N,0,N,N,444134,N,444134,N,38474,N,N,29114,N,9360,N,29114,N,0,N,15903,N,0,N,0,N,8077319,N,0,N,7808387,N,8300,N,0,N,0,4947,8300,0,0,0,0,0,7420090,357139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A40,199108.0,4.0,1.0,3.0,0.0,ISRAELOFF TRATTNER AND CO PC,HAHN STEPHEN R TTEE,0.0,13.0,PF,O,AR,A,1.0,1.0,2.0,0,2,-5,0.955464,12,3353,0,8300,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,7,U,U,U,U,U,U,U,U,4,2.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,10118.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A40,A
5916,,,2002,113027025,SJMS HUMANITIES ARTS AND SCIENCES CHARITY INC,NY,A,A70,340 E 74TH ST,NEW YORK,10021.0,10021-3737,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,119,119.0,0.0,0.0,2,1078,-291,0,0,0,0,510,789,2933,-2144,2010,197,1080,25318,0,0,0,0,0,22870,0,1177,N,0,N,N,1080,N,1080,N,2423,N,N,883,N,1500,N,883,N,0,N,115,N,0,N,21883,N,22870,N,0,N,25318,N,4,N,0,N,0,0,4,0,0,0,0,0,23890,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A23Z,199108.0,4.0,1.0,3.0,0.0,MELVIN ROSEN,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.47309700000000005,12,4,0,4,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,7,U,U,U,U,U,U,U,U,2,0.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,N,NY,10021.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A70,A
5965,,,2002,113121207,B KING PRODUCTIONS INC,NY,A,A60,350 PARK AVE,NEW YORK,10022.0,10022-6022,36061.0,5602.0,5600.0,200302,2003,IN,,3,AR,AR,AR,1,A,122,122.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,101510,0,0,0,0,75962,101510,0,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,N,0,N,0,N,0,Y,0,N,0,N,101510,N,0,N,25548,N,0,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A60Z,199402.0,4.0,1.0,3.0,0.0,STARR & CO,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.17566500000000002,2,0,0,0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,10022.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A60,A
