,CODE990,SUBSECCD,EIN,TAXPER,DLN,NTEE,ACTIV,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,REASON,Q78A,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,STYEAR,FISYR,verify,TOTREV,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,FIPS,MSA_NECH,PMSA,NteeDraft,ConfidenceDraft,NteeOldA,Confidence,NteeCC4d,FipsOldA,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
6258,1,6,60993134,200312,29409136257014,,122,0,9815,0,0,96,0,0,0,21716,21716,31531,35053,18545,0,0,22067,18555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21620,0,N,0,0,0,0,96,0,0,0,0,0,0,31531,-3522,0,0,0,0,0,0,0,0,22067,0,0,0,0,0,0,0,0,0,0,0,10150.0,WOMEN EXECUTIVES IN PUBLIC RELATIONS,,PO BOX 7657 FDR STATION,NEW YORK,NY,10150-7657,0.0,3.0,2.0,198005.0,1.0,0.0,1.0,13.0,0.0,10.0,12,,122.0,994.0,0.0,2003,2003,,31531,A31,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.58436,C,36061.0,5602.0,5600.0,A31,C,A31,C,,36061.0,NY,10150.0,NEW YORK,609931342003.0,A31,C,core2003co_ver1,PC,O,AR,A,IN,,A31,A,512110.0,9
6673,1,4,61420853,200306,29490136384104,,121,489298,0,0,0,4433,0,0,0,97595,95499,586893,546831,354303,2613,0,495994,639792,218354,285489,354303,0,0,0,0,0,0,0,0,0,0,0,0,76515,0,16266,0,N,4433,0,0,0,0,0,381,2096,-1715,0,0,584797,37966,38697,193343,0,0,0,0,0,277640,277640,0,0,0,0,0,0,0,0,0,0,0,10017.0,AUSTRALIAN BROADCASTING CORPORATION,,747 THIRD AVE STE 8C,NEW YORK,NY,10017-2803,0.0,3.0,3.0,199602.0,2.0,0.0,1.0,13.0,0.0,10.0,6,,121.0,904.0,0.0,2002,2003,,584797,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.9917799999999999,,36061.0,5602.0,5600.0,A30,A,Z99,A,,36061.0,NY,10017.0,NEW YORK,614208532003.0,A30,A,core2003co_ver1,PC,O,AR,A,IN,,A30,A,510000.0,90
7690,1,6,112022650,200312,29490052227114,,920,0,16443,0,0,171,0,0,0,161996,161996,178439,153910,100832,0,0,76302,102548,0,1716,100832,0,0,0,0,0,0,0,0,0,0,0,0,161335,0,490,0,Y,171,0,0,0,0,0,0,0,0,0,0,178439,24529,1716,4950,606,0,0,0,0,76302,76302,0,0,0,0,0,0,0,0,0,0,0,11223.0,AUTO BODY CRAFTSMENS GUILD INC,,2366 CONEY ISLAND AVE,BROOKLYN,NY,11223-5002,0.0,3.0,2.0,196506.0,2.0,0.0,1.0,11.0,0.0,10.0,12,,920.0,0.0,0.0,2003,2003,,178439,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.04828,,36047.0,5602.0,5600.0,A01,C,Z99,C,,36047.0,NY,11223.0,BROOKLYN,1120226502003.0,A40,A,core2003co_ver1,PC,O,AR,A,IN,,A40,A,710000.0,90
7938,1,12,112579110,200312,29490129115224,,200,0,38208,0,0,0,0,0,0,0,0,38208,37301,18726,0,0,17819,18726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,N,0,0,0,0,0,0,0,0,0,0,0,38208,907,0,0,0,0,0,0,0,0,17819,0,0,0,0,0,0,0,0,0,0,0,10472.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,CHARLES WEINER,1110 BRONX RIVER AVE,BRONX,NY,10472-3102,0.0,3.0,1.0,198311.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,200.0,0.0,0.0,2003,2003,,38208,A65,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.055439999999999996,C,36005.0,5602.0,5600.0,Y99,A,A65,C,,36005.0,NY,10472.0,BRONX,1125791102003.0,A65,C,core2003co_ver1,PC,O,AR,A,IN,,A65,A,711110.0,90
8065,1,4,112803536,200307,29490073029094,,119,0,0,0,0,0,0,0,0,49595,49595,49595,0,165402,0,0,163952,166473,535,535,165938,0,0,0,0,0,0,0,0,0,0,10300,37310,0,6330,0,0,Y,0,0,5955,-4345,0,0,0,0,0,43640,0,1985,1985,0,0,0,0,0,0,0,163417,163417,0,0,0,0,0,0,0,0,0,0,0,11103.0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,,46 02 30TH AVE,ASTORIA,NY,11103-1264,0.0,3.0,1.0,198707.0,2.0,0.0,1.0,11.0,0.0,10.0,7,,119.0,0.0,0.0,2002,2003,,1985,A99,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.13354000000000002,,36081.0,5602.0,5600.0,A99,B,Z99,B,,36081.0,NY,11103.0,ASTORIA,1128035362003.0,A23,B,core2003co_ver1,PC,O,AR,A,IN,,A23,A,710000.0,90
8270,1,6,113238845,200312,29409157029104,,205,19766,10077,0,0,325,0,0,0,1001,1001,30844,25398,57668,0,0,52222,57668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,9,N,0,0,0,0,325,0,0,0,0,676,0,30844,5446,0,0,0,0,0,0,0,0,52222,26151,37928,76551,9490,0,0,150120,73569,0,0,0,11356.0,A I A QUEENS INC,GINO O LONGO,129 20 20TH AVE,COLLEGE POINT,NY,11356-2404,0.0,3.0,2.0,199503.0,2.0,0.0,1.0,11.0,0.0,10.0,12,,205.0,0.0,0.0,2003,2003,,30844,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9593,C,36081.0,5602.0,5600.0,A40,C,A40,C,,36081.0,NY,11356.0,COLLEGE POINT,1132388452003.0,A40,C,core2003co_ver1,PC,O,AR,A,IN,,A40,A,710000.0,9
8337,1,6,113395787,200312,29490066163234,,200,0,42000,0,0,0,0,0,701,263915,263915,305915,56583,85412,40000,0,32728,85412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196648,0,66566,0,0,N,0,0,0,0,0,0,0,0,0,263215,701,109267,52684,0,0,3454,0,0,0,0,0,32728,0,0,0,0,0,0,0,0,0,0,0,10016.0,MEDICAL ADVERTISING HALL OF FAME INC,WILLIAM G CASTAGNOLI,200 MADISON AVE,NEW YORK,NY,10016-3903,0.0,3.0,2.0,199808.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,200.0,0.0,0.0,2003,2003,,109267,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.29993000000000003,,36061.0,5602.0,5600.0,A01,C,Z99,C,,36061.0,NY,10016.0,NEW YORK,1133957872003.0,A50,A,core2003co_ver1,PC,O,AR,A,IN,,A50,A,712110.0,90
8690,1,6,130417765,200312,29490304076184,,919,0,1778076,110379,116724,27270,0,0,0,2295257,2178533,4073333,4508652,238607,353500,0,1451302,1154692,822423,916085,0,0,0,0,0,0,0,0,0,0,0,0,0,2114109,0,43499,0,Y,17132,10138,0,0,0,-6345,0,0,0,0,0,3956609,-552043,161771,1082419,105524,0,0,0,0,0,628879,0,0,0,0,0,0,0,0,0,0,0,10022.0,ADVERTISING RESEARCH FOUNDATION INC,,641 LEXINGTON AVE,NEW YORK,NY,10022-4503,0.0,3.0,1.0,194303.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,919.0,0.0,0.0,2003,2003,,3956609,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.0029,,36061.0,5602.0,5600.0,A30,C,Z99,C,,36061.0,NY,10022.0,NEW YORK,1304177652003.0,A03,A,core2003co_ver1,PC,O,AR,A,IN,,A03,A,813920.0,90
8712,1,6,130452445,200406,29490332198044,,59,0,3968178,33934,0,95886,0,0,0,1690157,1690157,5658335,4277759,2946307,721282,0,3328963,3892118,1262823,945811,0,0,0,0,0,0,0,0,0,0,0,0,957957,0,404533,197847,0,N,0,95886,0,0,0,33934,0,0,0,1362490,0,4700378,422619,457548,532813,76330,0,0,0,0,0,2066140,0,0,0,0,0,0,0,0,0,0,0,10017.0,AMERICAN BUSINESS MEDIA INC,,675 THIRD AVENUE,NEW YORK,NY,10017-5704,0.0,3.0,2.0,193504.0,2.0,0.0,1.0,13.0,0.0,10.0,6,,59.0,200.0,0.0,2003,2004,,4700378,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.94315,,36061.0,5602.0,5600.0,A01,C,Z99,C,,36061.0,NY,10017.0,NEW YORK,1304524452004.0,A0330,A,core2003co_ver1,PC,O,AR,A,IN,,S41,S,813910.0,90
8720,1,6,130453230,200311,29490255042114,,919,0,5766212,0,0,9179,0,0,0,6580467,6580467,12346679,11628598,-561270,1276606,0,2614617,4968787,5232392,5530057,0,0,0,0,0,0,0,0,0,0,0,0,0,6571288,0,0,0,Y,9179,0,0,0,0,0,0,0,0,0,0,12346679,718081,1338424,1505040,184565,0,0,0,0,0,-2617775,0,0,0,0,0,0,0,0,0,0,0,10017.0,ASSOCIATION OF NATIONAL ADVERTISERS INC,,708 3RD AVE,NEW YORK,NY,10017-4201,0.0,3.0,2.0,194208.0,2.0,0.0,5.0,13.0,0.0,10.0,11,,919.0,205.0,0.0,2002,2003,,12346679,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.76358,,36061.0,5602.0,5600.0,A30,C,Z99,C,,36061.0,NY,10017.0,NEW YORK,1304532302003.0,S41,A,core2003co_ver1,PC,O,AR,A,IN,,S41,S,813910.0,90
