,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,TOTLOB,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,NTEE,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEECC4D,NTEE2,NTMAJ12,NTMAJ5,MSA,PMSA,FIPS,Randnum,MSA_NECH,NTEESRC,nteeConf,nteedraft,Ntee2005b,Confidence2005b,ntee42005b,LAT,LON,FipsOldA,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
177,10263908,200312,2003,646006,0,6751680,6937987,365121,86338,1860,29868,7690280,750433,8336286,1448706,11896268,162934,0,10644283,11908466,12986,12198,0,0,0,0,0,0,0,0,0,0,0,0,139764,375050,0,26937,,1256675,3,2,0,312,364809,0,0,0,-186307,0,0,0,139764,31728,1256675,-192031,1457002,280660,33935,0,0,0,0,0,10631297,0,0,0,0,0,0,0,0,0,0,0,46,1.0,29490339209124,2003,N,10003-1512,10003.0,10263908200312,102639082003,12,46.0,119.0,30.0,200 PARK AVE S 1116,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,1.0,194707.0,,NY,RTF03PC,,4.0,5.0,4.0,A,A25,IN,,AR,A,A25Z,PC,O,AR,A,,A6EZ,AR,AR,5602.0,5600.0,36061.0,0.631057,5602.0,1,A,A25,A25,,,-73.97883,40.751490000000004,36061.0,NY,10003.0,NEW YORK,A25,,11000.0,3a,2003.0,0.0,3a,2003.0,5153029.0,3a,2003.0,1028506.0,3a,2003.0,988406.0,3a,2003.0,5754733.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,635006.0,3a,2003.0,1060508.0,3a,2003.0,PC,O,AR,A,IN,,351302.0,3a,2003.0,10000.0,3a,2003.0,9901955.0,3a,2003.0,0.0,3a,2003.0,A25,A
631,10391592,200312,2003,0,0,0,0,0,0,0,0,77223,77223,77223,80606,12123,0,0,15506,12123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77223,0,0,,77223,3,9,0,0,0,0,0,0,0,0,0,0,0,0,77223,-3383,0,0,0,0,0,0,0,0,15506,4820,0,312941,0,0,0,317761,4820,0,0,0,149,1.0,29409164219374,2003,N,11215-0150,11215.0,10391592200312,103915922003,12,149.0,319.0,0.0,VAN BRUNT STATION BOX 150,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,16.0,10.0,0.0,MAINE JAZZ CAMP,1.0,198809.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A68,IN,,AR,A,A68Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36047.0,0.00770873,5602.0,1,B,A68,A68,,,0.0,0.0,36047.0,NY,11215.0,BROOKLYN,A68,,0.0,3c,2002.0,0.0,3c,2002.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3c,2002.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A68,A
1814,10621206,200306,2002,27447,0,0,0,0,0,0,0,3318,3318,30765,29380,-2586,0,0,1838,8873,5809,11459,0,0,0,0,0,0,0,0,0,0,0,0,0,3302,0,16,,30765,3,9,0,0,0,0,0,0,0,0,0,0,0,0,30765,1385,0,0,0,0,0,0,0,0,-3971,670,0,915,0,0,0,1585,670,0,0,0,0,,29409333000313,2003,N,10024-6893,10024.0,10621206200306,106212062003,6,0.0,0.0,0.0,46 RIVERSIDE DR STE 2N,3.0,200606.0,NEW YORK,2.0,STEPHANIE CHASE,1.0,13.0,16.0,10.0,0.0,MUSIC OF THE SPHERES SOCIETY INC,1.0,200212.0,,NY,CORE02PC,,,,,A,A68,IN,,AR,A,,PC,O,AR,A,,,AR,AR,,5600.0,36061.0,0.418679,5602.0,1,C,A68,A68,,,-73.9841766357422,40.7834815979004,36061.0,NY,10024.0,NEW YORK,A68,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A68,A
1839,10627379,200312,2003,30103,0,0,0,0,0,0,0,0,0,30103,34038,7062,0,0,12197,9266,1200,2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30103,3,7,0,0,0,0,0,0,0,0,0,0,0,0,30103,-3935,0,0,0,0,0,0,0,0,10997,124936,0,0,0,0,0,124936,124936,0,0,0,0,1.0,29490199105164,2003,N,10011-1803,10011.0,10627379200312,106273792003,12,0.0,0.0,0.0,130 7TH AVE 221,3.0,0.0,NEW YORK,1.0,ROGERS & CO CPAS PC,1.0,13.0,15.0,10.0,0.0,ZANGDOKPALRI FOUNDATION INC,1.0,200307.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A23,IN,,AR,A,,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.08995449999999999,5602.0,1,C,A23,A23,,,-74.00053,40.73578,36061.0,NY,10011.0,NEW YORK,A23,,0.0,3a,2003.0,0.0,3a,2003.0,7062.0,3a,2003.0,1712.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,30103.0,3a,2003.0,2218.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,6446.0,3a,2003.0,A23,A
1918,10647938,200312,2003,64377,0,0,0,205,13913,0,0,21550,21550,85927,53673,35298,0,0,23032,35298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19988,1357,0,0,,65939,3,7,0,205,0,0,0,0,0,0,0,0,19988,0,65939,12266,0,0,0,0,0,0,0,0,23032,62650,0,101020,265,0,0,163935,62915,0,0,0,0,1.0,29490227053014,2003,N,10020-0000,10020.0,10647938200312,106479382003,12,0.0,0.0,0.0,1270 AVE OF THE AMERICAS,3.0,200612.0,NEW YORK,1.0,JACOB MEDINGER FINNEGAN,1.0,13.0,15.0,10.0,0.0,ART PARTY INC,1.0,200208.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A65,IN,,AR,A,,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.992009,5602.0,1,C,A65,A65,,,-73.98159,40.75882,36061.0,NY,10020.0,NEW YORK,A65,,0.0,3a,2003.0,0.0,3a,2003.0,35298.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,64377.0,3a,2003.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,27175.0,3a,2003.0,A65,A
1996,10671151,200312,2003,149900,0,0,0,0,24090,0,0,0,0,149900,126393,46483,0,0,22976,46483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,149900,3,9,0,0,0,0,0,0,0,0,0,0,0,0,149900,23507,0,0,0,0,0,0,0,0,22976,23100,0,0,0,0,0,23100,23100,0,0,0,0,1.0,29490227199064,2003,N,10017-5001,10017.0,10671151200312,106711512003,12,0.0,0.0,0.0,330 MADISON AVE STE 2900,3.0,200612.0,NEW YORK,1.0,MERLE & BROWN PC,1.0,13.0,15.0,10.0,0.0,AMERICAN FRIENDS OF LUCERNE FESTIVAL INC,1.0,200205.0,,NY,RTF03PC,1.0,2.0,2.0,2.0,A,A69,IN,,AR,A,,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.744423,5602.0,1,C,A69,A69,,,-73.98108,40.75083,36061.0,NY,10017.0,NEW YORK,Q21,,0.0,3a,2003.0,0.0,3a,2003.0,46483.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,149900.0,3a,2003.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,46483.0,3a,2003.0,Q21,Q
2048,10685066,200307,2002,108554,0,0,0,106,0,0,0,106,106,108660,5308,103352,0,0,0,103352,0,0,103352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,108660,3,7,0,106,0,0,0,0,0,0,0,0,0,0,108660,103352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,29490003116194,2003,N,10033-8520,10033.0,10685066200307,106850662003,7,0.0,0.0,0.0,739 W 186TH ST STE 1-A,3.0,200612.0,NEW YORK,1.0,JONATHAN TASINI,1.0,13.0,16.0,10.0,0.0,CREATORS FEDERATION,1.0,200211.0,,NY,RTF03PC,2.0,2.0,2.0,1.0,A,A11,IN,,AR,A,,PC,S,ZA,A,,,AR,AR,5602.0,5600.0,36061.0,0.732463,5602.0,1,C,A11,A11,,,-73.93358,40.853559999999995,36061.0,NY,10033.0,NEW YORK,A11,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,108554.0,3a,2003.0,,,,PC,S,ZA,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,103352.0,3a,2003.0,A11,A
2145,10708733,200312,2003,1194388,0,58265,54904,2704,27299,0,0,1078318,1023414,2272706,1313390,1301073,58204,0,484658,1331943,87997,30870,0,0,0,0,0,0,0,0,0,0,0,0,0,1017169,0,180,,2217802,3,7,0,2704,0,0,0,0,3361,0,0,0,0,0,2217802,904412,0,407406,44546,0,0,0,0,0,396661,358286,0,428872,0,0,0,789338,360466,0,0,0,0,1.0,29490171254014,2003,N,10013-4410,10013.0,10708733200312,107087332003,12,0.0,0.0,0.0,87 LAFAYETTE ST,3.0,200612.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,DEMOCRACY NOW PRODUCTIONS INC,1.0,200303.0,,NY,RTF03PC,4.0,4.0,4.0,4.0,A,A30,IN,,AR,A,,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.58532,5602.0,1,C,A30,A30,,,-74.00412,40.714729999999996,36061.0,NY,10013.0,NEW YORK,R24,,0.0,3a,2003.0,0.0,3a,2003.0,1196067.0,3a,2003.0,68902.0,3a,2003.0,105006.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,1194388.0,3a,2003.0,7201.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,6900.0,3a,2003.0,0.0,3a,2003.0,446614.0,3a,2003.0,R24,R
2149,10708923,200306,2002,194527,0,2385,0,977,0,0,0,3362,3362,197889,2070,204789,0,0,0,204789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,197889,3,10,0,0,977,0,0,0,2385,0,0,0,0,0,197889,195819,8970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29490319090103,2003,N,10022-1302,10022.0,10708923200306,107089232003,6,0.0,0.0,0.0,130 E 59TH ST STE 737,3.0,0.0,NEW YORK,1.0,UJA-FEDERATION,1.0,13.0,17.0,10.0,0.0,L AVERICK FOUNDATION,1.0,200210.0,,NY,CORE02PC,,,,,A,A11,IN,,AR,A,,PC,S,ZA,A,,,AR,AR,,5600.0,36061.0,0.9821270000000001,5602.0,1,C,A11,A11,,,-73.97314,40.7649,36061.0,NY,10022.0,NEW YORK,X30,,0.0,3a,2003.0,0.0,3a,2003.0,204789.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,194527.0,3a,2003.0,,,,PC,S,ZA,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,203889.0,3a,2003.0,900.0,3a,2003.0,X30,X
2231,10730531,200306,2002,27725,0,0,0,0,0,0,0,0,0,27725,25625,14180,0,0,0,14180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27725,3,7,0,0,0,0,0,0,0,0,0,0,0,0,27725,2100,12080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,29409157201104,2003,N,11354-4342,11354.0,10730531200306,107305312003,6,0.0,0.0,0.0,PO BOX 506 149-15 NORTHER,3.0,200606.0,FLUSHING,1.0,ALBERT STERN,1.0,11.0,15.0,10.0,0.0,FRIENDS OF THE NEW YORK CITY HALL OF FAME,1.0,200210.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A50,IN,,AR,A,,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36081.0,0.67491,5602.0,1,C,A50,A50,,,0.0,0.0,36081.0,NY,11354.0,FLUSHING,A11,50.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,,,,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A1150,A
