,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,TFLD,P6TXRFD,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,randnum,nteeConf,FIPS,MSA_NECH,PMSA,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
174,10547898,200312,2003,200451.0,29491311026054,A80,N,Y,0.0,1.0,2003,3.0,4.0,2.0,3,0,20000,0,0,0,0,0,0,0,20000,2244,17756,2244,0,0,135325,0,0,0,0,125000,135325,0,0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,2244,2244,2244,2244,0,10325,0,0,135325,0,10325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003.0,WTC PLATFORM FOUNDATION INC,MILGROM GALUSKIN BALMUTH & CO CPA,5 UNION SQ W,NEW YORK,NY,10003-3306,0.0,3.0,1.0,200205.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,0.0,0.0,0.0,0,0,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.489726,C,36061.0,5602.0,5600.0,NY,10003.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A80,A
177,10548602,200309,2003,200431.0,29491143244214,A51,N,Y,0.0,1.0,2002,2.0,6.0,5.0,3,0,500000,4130,19738,0,0,0,0,0,523868,8047,515821,0,23868,23868,1239481,0,0,0,0,0,1237419,51919,52158,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,23868,23868,8047,0,0,0,0,0,0,1102960,1237419,0,1239481,477,0,0,0,0,1100,0,0,623,477,1059039,51919,23868,12004,0,0,35872,50000,35000,0,0,85000,1,0,0,0,1,0,0,0,0,0,34772,23609,0,0,58381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10118.0,PETER AND CYNTHIA WILSON ART FOUNDATION INC,L WOLLIN,350 FIFTH AVE STE 2822,NEW YORK,NY,10118-2896,0.0,3.0,2.0,200207.0,1.0,3.0,1.0,13.0,0.0,1.0,9,,0.0,0.0,0.0,-623,0,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.026045099999999998,C,36061.0,5602.0,5600.0,NY,10118.0,NEW YORK,core2003pf_ver1,PF,O,AR,A,IN,,A51,A
353,10733159,200312,2003,200426.0,29491164220004,A70,N,Y,0.0,1.0,2003,2.0,4.0,1.0,3,0,0,0,0,0,0,1547,20625,0,1547,53313,-51766,51764,0,0,124223,0,0,0,0,0,124223,0,0,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,0,1547,53313,0,51764,0,1549,28223,0,0,124223,0,124223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,51764,0,0,0,51764,124223,0,0,0,124223,0,0,0,0,0,1941,3562,0,0,5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011.0,FELIX GONZALEZ-TORRES FOUNDATION,ANDREA M ROSEN,525 W 24TH ST,NEW YORK,NY,10011-1104,0.0,3.0,1.0,200307.0,1.0,3.0,1.0,13.0,0.0,1.0,12,,0.0,0.0,0.0,0,0,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.417724,C,36061.0,5602.0,5600.0,NY,10011.0,NEW YORK,core2003pf_ver1,PF,O,AR,A,IN,,A70,A
2757,43649708,200312,2003,200425.0,29491157013084,A51,N,Y,0.0,1.0,2003,2.0,3.0,3.0,3,0,79968,192,0,0,0,0,0,0,80160,6485,73675,4913,0,0,92128,0,0,0,0,0,92128,0,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,192,0,6485,1572,4913,1572,0,92128,0,0,0,0,92128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10025.0,PISANO CHASE CATALOGUE RAISONNE PROJECT INC,D FREDERICK BAKER,375 RIVERSIDE DR ATE 13B,NEW YORK,NY,10025-2149,0.0,3.0,2.0,200302.0,1.0,3.0,1.0,13.0,0.0,1.0,12,,0.0,0.0,0.0,0,0,M,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9567680000000001,C,36061.0,5602.0,5600.0,NY,10025.0,NEW YORK,core2003pf_ver1,PF,O,AR,A,IN,,A51,A
4230,50523809,200312,2003,200451.0,29491332097194,A51,N,Y,0.0,1.0,2003,2.0,8.0,6.0,3,0,3697876,2247,0,0,0,1912,0,27204,3707035,3173406,533629,3243050,2127,9039,38594354,0,0,0,0,1868161,38594354,0,15888,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5000,0,2247,9159,3146202,120,120,120,120,203970,0,0,38594354,0,36726193,21,0,0,0,0,21,0,0,0,21,322593,0,9039,500,0,0,9539,9039,500,0,0,9539,37585088,37496250,0,0,75081338,37585088,37496250,0,0,75081338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,DORIS DUKE FOUNDATION FOR ISLAMIC ART,DORIS DUKE CHARITABLE FOUNDATION,650 FIFTH AVE 19TH FLR,NEW YORK,NY,10019-6108,0.0,3.0,1.0,200312.0,1.0,3.0,1.0,13.0,0.0,1.0,12,,0.0,0.0,0.0,0,0,M,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.218111,C,36061.0,5602.0,5600.0,NY,10019.0,NEW YORK,core2003pf_ver1,PF,O,AR,A,IN,,X40,X
4994,61532031,200312,2003,200429.0,29491178149094,A12,N,Y,0.0,1.0,2003,3.0,6.0,1.0,3,0,0,50,0,0,0,0,0,95000,50,99001,-98951,99000,50,0,1535349,0,0,0,0,0,1535349,0,78053,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,0,0,50,0,4001,0,4000,0,0,5349,0,0,1535349,0,1535349,1,0,0,0,0,0,0,0,0,1,1584825,78052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10021.0,ALEPH FOUNDATION FOR HUMANITIES,JOEL ORNSTEIN,667 MADISON AVE 11TH FLR,NEW YORK,NY,10021-8029,0.0,3.0,1.0,199904.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,0.0,0.0,0.0,1,0,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.25185599999999997,C,36061.0,5602.0,5600.0,NY,10021.0,NEW YORK,core2003pf_ver1,PF,S,ZB,A,IN,,A70,A
5039,61551999,200406,2004,200446.0,29491297046074,A68,N,Y,0.0,1.0,2003,2.0,3.0,4.0,3,0,20146,204,1569,-619,0,3640,0,23500,24940,50754,-25814,45341,0,0,75319,0,0,0,0,0,75319,0,4715,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1773,5413,27254,2114,21841,2114,5413,2050,0,0,75319,0,75319,0,0,0,0,0,0,0,0,0,0,95732,0,1,0,0,0,1,21841,21045,21365,14242,78493,1,0,0,0,1,0,0,0,0,0,3143,3731,4950,6663,18487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10463.0,JOYCE DUTKA ARTS FOUNDATION INC,JOYCE DUTKA,PO BOX 630053,BRONX,NY,10463-0800,0.0,3.0,1.0,200004.0,1.0,3.0,1.0,13.0,0.0,1.0,6,,0.0,0.0,0.0,0,0,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.578432,C,36005.0,5602.0,5600.0,NY,10463.0,BRONX,core2003pf_ver1,PF,O,AR,A,IN,,A1261,A
6114,113024142,200212,2002,200446.0,29491297019074,B99Z,N,Y,0.0,1.0,2002,3.0,1.0,0.0,3,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11358.0,COMMITTEE TO SAVE THE RKO KEITHS THEATRE OF FLUSHING INC,GERARD S ROTONDI,33 47 165TH ST,FLUSHING,NY,11358-1443,0.0,3.0,1.0,199106.0,1.0,4.0,1.0,11.0,0.0,1.0,12,,352.0,0.0,0.0,0,0,,A65,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.10491700000000001,C,36081.0,5602.0,5600.0,NY,11358.0,FLUSHING,core2003pf_ver1,PF,S,AR,A,IN,,A65,A
6115,113027025,200312,2003,200439.0,29491255028104,A23Z,N,Y,0.0,1.0,2003,3.0,2.0,1.0,3,119,0,3,712,-668,0,0,0,835,47,4948,-4901,3767,0,715,20417,0,0,0,0,0,18614,0,1022,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,715,715,4113,874,2932,874,0,1159,0,16222,18614,0,20417,0,0,0,0,0,0,0,0,0,0,20743,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10021.0,SJMS HUMANITIES ARTS AND SCIENCES CHARITY INC,MELVIN ROSEN,340 E 74TH ST,NEW YORK,NY,10021-3737,0.0,3.0,1.0,199108.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,119.0,0.0,0.0,0,0,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.325471,A,36061.0,5602.0,5600.0,NY,10021.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A70,A
6171,113121207,200402,2004,200451.0,29491332098244,A60Z,N,Y,0.0,1.0,2003,3.0,4.0,1.0,3,122,0,0,0,0,0,0,0,0,1,0,1,0,0,0,101510,0,0,0,0,75962,101510,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,101510,0,25548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10022.0,B KING PRODUCTIONS INC,STARR & CO,350 PARK AVE,NEW YORK,NY,10022-6022,0.0,3.0,1.0,199402.0,1.0,4.0,1.0,13.0,0.0,1.0,2,,122.0,0.0,0.0,0,0,,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.465242,C,36061.0,5602.0,5600.0,NY,10022.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A60,A
