,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,SOURCE,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,NTEE,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,FIPS,MSA_NECH,PMSA,FipsOldA,stateOld1,zip5Old1,cityOld1,NteeDraft,Nccskey2,Ntee2007a,Confidence2007a,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
7623,112579110,200412,2004,0,48556,0,0,0,0,0,0,0,0,48556,43463,23819,0,0,18726,23819,0,0,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48556,12,0,0,0,0,0,0,0,0,0,0,0,0,48556,5093,0,0,0,0,0,0,0,0,18726,0,0,0,0,0,0,0,0,0,0,0,200,1,29490169132425,2004,N,10472-3102,10472.0,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,BRONX,1.0,CHARLES WEINER,2.0,13.0,0.0,10.0,0.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,1.0,198311.0,,NY,,A65,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.58099,C,36005.0,5602.0,5600.0,36005.0,NY,10472.0,BRONX,Y99,1125791102004.0,A65,C,O,O,AR,A,IN,,A65,A,711110.0,90
7877,113110485,200412,2004,56368,0,0,0,0,0,0,0,0,0,56368,78925,530,0,0,23087,14270,0,13740,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56368,4,7,0,0,0,0,0,0,0,0,0,0,0,56368,-22557,0,37447,6366,0,0,0,0,0,23087,408548,0,0,0,0,0,408548,408548,0,0,0,328,1,29490309227185,2004,N,11691-2327,11691.0,12,328.0,0.0,0.0,2382 DICKENS ST,3.0,0.0,FAR ROCKAWAY,1.0,,2.0,11.0,0.0,10.0,0.0,ROCKAWAY PENINSULA CIVIC ASSOC INC,1.0,199211.0,DAVID N DINKINS CTR PHYS CULTURE,NY,,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.82719,A,36081.0,5602.0,5600.0,36081.0,NY,11691.0,FAR ROCKAWAY,S22,1131104852004.0,A40,A,O,O,AR,A,IN,,A40,A,710000.0,90
7907,113163244,200504,2004,3826,1100,0,0,40,0,0,0,45529,45529,50455,10316,27508,0,0,25014,27508,0,0,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,37645,0,7844,0,,12810,4,0,0,0,0,0,40,0,0,0,0,45489,0,12810,2494,0,0,0,0,0,0,0,0,25014,0,0,0,0,0,0,0,0,0,0,0,0,1,29409232120465,2005,N,10008-2222,10008.0,4,0.0,0.0,0.0,P O BOX 2222 CHURCH STREET STATION,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,1.0,200201.0,,NY,,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.68475,C,36061.0,5602.0,5600.0,36061.0,NY,10008.0,NEW YORK,A23,1131632442005.0,A23,B,O,O,AR,A,IN,,A23,A,710000.0,9
7944,113238845,200412,2004,13171,16360,0,0,426,0,0,0,6526,6526,36057,37683,55210,0,0,57668,55210,0,0,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,5097,0,1003,0,,30960,6,9,0,0,0,0,426,0,0,0,0,6100,0,30960,-6723,4265,0,0,0,0,0,0,0,57668,45917,37176,49022,7384,0,0,139499,90477,0,0,0,205,1,29409239077335,2004,N,11356-2404,11356.0,12,205.0,0.0,0.0,129 20 20TH AVE,3.0,0.0,COLLEGE POINT,2.0,GINO O LONGO,2.0,11.0,0.0,10.0,0.0,A I A QUEENS INC,1.0,199503.0,,NY,,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.54966,C,36081.0,5602.0,5600.0,36081.0,NY,11356.0,COLLEGE POINT,A40,1132388452004.0,A40,C,O,O,AR,A,IN,,A40,A,710000.0,9
8425,130623590,200412,2004,3225,0,33132535,32833855,1262264,0,0,0,36831723,3988336,36834948,8415286,75710257,347857,0,76474567,77482191,1650519,1771934,RTF04CO,75457193,0,0,0,0,0,0,0,0,0,0,0,0,2266889,0,2535,,3991561,4,0,0,1262264,55000,55000,0,298680,112500,9532,102968,0,0,3991561,-4423725,5309934,2844742,364851,0,0,6603,4090,74570984,74824048,0,0,0,0,0,0,0,0,0,0,0,0,1,29490323145135,2004,N,10016-5336,10016.0,12,0.0,0.0,0.0,45 E 33RD ST,3.0,0.0,NEW YORK,1.0,SAMUEL NORICH,2.0,13.0,0.0,10.0,0.0,FORWARD ASSOC INC,1.0,200108.0,RADIO BROADCASTING & PUBLISHING DIV,NY,,A33,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.11217,C,36061.0,5602.0,5600.0,36061.0,NY,10016.0,NEW YORK,A33,1306235902004.0,A33,A,O,O,AR,A,IN,,A33,A,511100.0,90
8468,130971750,200506,2004,156722,2315,0,0,0,0,0,0,179325,179325,338362,250665,16491,0,0,56244,24824,40365,8333,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,87085,0,91417,823,,251277,7,9,0,0,0,0,0,0,0,0,0,178502,0,251277,612,0,199498,21012,0,0,0,0,0,15879,0,1203499,0,39,0,0,1203538,1203538,0,0,0,319,1,29490337020235,2005,N,10128-0505,10128.0,6,319.0,0.0,0.0,6 E 87TH ST,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,LIEDERKRANZ OF THE CITY OF NEW YORK,1.0,193907.0,,NY,A6AZ,A6A,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.41153,A,36061.0,5602.0,5600.0,36061.0,NY,10128.0,NEW YORK,A6A,1309717502005.0,A6A,A,O,O,AR,A,IN,,A6A,A,711130.0,90
8782,131783842,200412,2004,0,289877,0,0,2103,0,0,0,641308,641308,931185,478230,657304,56125,0,813560,661467,2169,4163,RTF04CO,657304,0,0,0,0,0,0,0,0,0,0,0,627679,0,11526,0,,303506,6,0,2103,0,0,0,0,0,0,0,0,639205,0,303506,-174724,20637,40717,7976,0,0,0,0,811391,811391,0,0,0,0,0,0,0,0,0,0,0,200,1,29490345087105,2004,N,10036-6604,10036.0,12,200.0,0.0,0.0,20 W 44TH ST 4TH FLR,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,ANTIQUARIAN BOOKSELLERS ASSOC OF AMERICA INC SHOP 2 CONCOURSE,1.0,195109.0,,NY,A33C,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.74005,A,36061.0,5602.0,5600.0,36061.0,NY,10036.0,NEW YORK,A03,1317838422004.0,A0333,A,O,O,AR,A,IN,,A0333,A,813920.0,90
8886,131951979,200408,2003,0,40610,1822973,1816914,132385,0,0,0,7454979,5345636,7495589,6231163,3320429,448038,0,5863057,4628495,1940133,1308066,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,0,5200708,0,6484,,5386246,6,0,132385,0,0,0,0,6059,292429,292429,0,0,0,5386246,-844917,242422,0,0,0,0,0,0,0,3922924,0,0,0,0,0,0,0,0,0,0,0,205,1,29490225169055,2004,N,10019-2211,10019.0,8,205.0,0.0,0.0,111 W 57TH ST,6.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,3005.0,NATIONAL ACADEMY OF TELEVISION ARTS AND SCIENCES,5.0,197610.0,,NY,A32C,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9355700000000001,A,36061.0,5602.0,5600.0,36061.0,NY,10019.0,NEW YORK,A32,1319519792004.0,A0332,A,O,O,AR,A,IN,,A0332,A,813920.0,90
8897,131959701,200412,2004,5,30271,0,0,3279,0,0,0,3279,3279,33555,19282,202461,0,0,184517,202461,0,0,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33555,6,0,0,0,0,0,3279,0,0,0,0,0,0,33555,14273,3671,0,0,0,0,0,0,0,184517,0,0,0,0,0,0,0,0,0,0,0,59,1,29409120097285,2004,N,10032-7501,10032.0,12,59.0,0.0,0.0,613 W 155TH ST,3.0,0.0,NEW YORK,1.0,COOPER FINANCIAL GROUP INC,1.0,13.0,0.0,10.0,0.0,INTERNATIONAL LINGUISTIC ASSOCIATION,1.0,195004.0,,NY,A75Z,A70,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9934200000000001,B,36061.0,5602.0,5600.0,36061.0,NY,10032.0,NEW YORK,A70,1319597012004.0,A70,A,O,O,AR,A,IN,,A70,A,710000.0,9
9911,133918457,200412,2004,0,81890,0,0,0,0,0,0,35772,35772,117662,120044,6192,14360,0,8574,6192,0,0,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,0,35772,0,0,,117662,7,0,0,0,0,0,0,0,0,0,0,0,0,117662,-2382,0,0,0,0,0,0,0,0,8574,0,0,0,0,0,0,0,0,0,0,0,0,1,29490211223235,2004,N,10014-2980,10014.0,12,0.0,0.0,0.0,332 BLEECKER ST PMB 16,3.0,0.0,NEW YORK,1.0,OUT PROFESSIONALS,2.0,13.0,0.0,10.0,0.0,NEW YORK ADVERTISING & COMMUNICATIONS NETWORK,1.0,200009.0,NYACN,NY,A30Z,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.6726300000000001,C,36061.0,5602.0,5600.0,36061.0,NY,10014.0,NEW YORK,N60,1339184572004.0,A30,A,O,O,AR,A,IN,,N50,N,713990.0,90
