,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,FIPS,MSA_NECH,PMSA,FipsOldA,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
75732,20659543,200412,2004,200624.0,29491042039076,T22,N,Y,0.0,1.0,2004,2.0,4.0,4.0,3,0,154500,189,0,0,0,275608,0,185140,430297,381655,48642,185140,189,275797,154181,0,0,0,0,34000,154181,0,3730,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,189,275797,196515,0,0,0,0,154181,0,0,0,120181,2,0,0,0,0,2,0,0,0,2,75740,0,3730,0,0,0,3730,370279,0,0,0,370279,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017.0,U S - MEXICO FOUNDATION FOR CULTURE INC,GRANT HERMANN SCHWARTZ & KLINGER,675 THIRD AVE STE 1200,NEW YORK,NY,10017-5704,0.0,3.0,1.0,200308.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,T23,A,PF,S,ZC,A,A,IN,,,AR,AR,AR,0.773667,B,36061.0,5602.0,5600.0,,,,,core2005pf,PC,S,ZB,A,IN,,T23,T
75746,30453739,200503,2005,200635.0,29491217084086,B05,N,Y,0.0,1.0,2004,2.0,1.0,1.0,3,0,115,0,0,0,0,0,0,0,115,115,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,115,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,117,117,111,90,435,117,117,111,90,435,117,117,111,90,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11352.0,GLOBE CONSULTATIVE REVIEW FOUNDATION M S ED DIRECTOR,FRANK HOPE,PO BOX 520694,FLUSHING,NY,11352-0694,0.0,3.0,1.0,200510.0,1.0,3.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,3,,,A33,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.702092,A,36081.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A33,A
75933,133031485,200412,2004,200605.0,29491007087176,,N,Y,0.0,1.0,2004,3.0,7.0,7.0,3,119,1949132,37981,3115,-7598,0,2674419,300000,90050,4657049,2037297,2619752,1352008,41096,2713755,6673958,1650000,0,0,1650000,27714,6673958,0,142558,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,41096,2715515,1947247,0,1261958,0,1760,512430,0,0,0,6646244,822,0,0,0,0,0,0,5,0,822,2894570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,0,10019.0,BARYSHNIKOV DANCE FOUNDATION INC,PNFW,156 W 56TH ST 4TH FL,NEW YORK,NY,10019-3877,0.0,3.0,1.0,197911.0,1.0,4.0,119.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A62,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.807615,A,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A62,A
75941,133171936,200505,2005,200607.0,29491014032006,,N,Y,0.0,1.0,2004,2.0,5.0,4.0,3,90,200000,1161,49525,13328,0,282,0,68226,264296,94644,169652,94644,64014,58212,931417,0,446940,0,446940,90000,1434501,0,63875,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,64014,58212,26418,0,26418,0,0,1013,0,0,0,841417,1280,0,0,607,0,0,0,0,0,1280,1296963,0,58212,40703,36863,19818,155596,94644,242649,187646,232489,757428,1434501,1159424,907017,1083143,4584085,1434501,1159424,907017,1083143,4584085,42583,33924,32671,34229,143407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,10021.0,HERRICK THEATRE FOUNDATION INC,,605 PARK AVE APT 7A,NEW YORK,NY,10021-7055,0.0,3.0,2.0,198310.0,1.0,3.0,90.0,994.0,0.0,1.0,13.0,198405.0,1.0,5,,,A65,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.98031,B,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A65,A
75944,133201819,200506,2005,200621.0,29491070051236,,N,Y,0.0,1.0,2004,3.0,6.0,5.0,3,119,23300,366,20354,-30690,0,16963,0,24200,30293,44914,-14621,44692,20720,0,1627029,585608,861442,861442,2308492,891,1627029,0,83371,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,20720,0,20714,0,20492,0,0,520688,0,244899,0,1626138,414,0,0,0,0,0,0,0,0,414,1670810,82957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,10027.0,PERSIAN HERITAGE FOUNDATION,,450 RIVERSIDE DRIVE,NEW YORK,NY,10027-6821,0.0,3.0,1.0,198406.0,1.0,4.0,119.0,602.0,0.0,1.0,13.0,0.0,1.0,6,,M,A23,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.9345979999999999,A,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A23,A
75972,133573737,200412,2004,200609.0,29491035031116,A23Z,N,Y,0.0,1.0,2004,3.0,4.0,5.0,3,92,548613,1128,0,0,0,0,46800,0,549741,391337,158404,387381,389,0,198536,0,0,0,0,2663,198536,0,8308,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1128,0,391337,739,387381,739,0,0,0,0,0,195873,8,0,0,0,0,0,0,0,0,8,168693,8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10003.0,FINNISH CULTURAL INSTITUTE IN NEW YORK,CHRISTY & VIENER,799 BROADWAY - ROOM 527,NEW YORK,NY,10003-6815,0.0,3.0,1.0,199011.0,1.0,4.0,92.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A23,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.113765,A,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A23,A
76023,134033257,200412,2004,200618.0,29491105007046,A68,N,Y,0.0,1.0,2004,3.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10027.0,MOEBIUS CORPORATION,DEBORAH J BRADLEY,25 CLAREMONT AVE STE 4B,NEW YORK,NY,10027-6813,0.0,3.0,2.0,199901.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A68,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.8892620000000001,B,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A68,A
76042,134103203,200506,2005,200611.0,29491056099226,A51,N,Y,0.0,1.0,2004,3.0,3.0,3.0,3,0,55000,853,0,0,0,0,0,211426,55853,214081,-158228,214081,853,853,97842,0,0,0,0,0,97842,0,5927,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,853,853,2655,0,2655,0,0,0,0,0,0,97842,17,0,0,0,0,17,0,0,0,17,120354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017.0,AMERICAN FRIENDS OF THE PUSHKIN MUSEUM INC,IMOWITZ KOENIG & CO LLP,622 THIRD AVE 33RD FLR,NEW YORK,NY,10017-6707,0.0,3.0,1.0,200003.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,,A11,A,PF,S,ZA,A,A,IN,,,AR,AR,AR,0.538654,A,36061.0,5602.0,5600.0,,,,,core2005pf,PC,S,ZA,A,IN,,A1150,A
76242,201547673,200412,2004,200617.0,29491344195075,T23,N,Y,0.0,1.0,2004,2.0,3.0,4.0,3,0,251000,47,0,0,0,0,0,100500,251047,183335,67712,183335,0,0,67712,0,0,0,0,0,67712,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,47,47,82835,82835,82835,82835,82835,67712,0,0,0,67712,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017.0,GAETANO FILANGIERI PHILOSOPHICAL SOCIETY OF AMERICA INC,LAWRENCE AURIANA,140 E 45TH ST,NEW YORK,NY,10017-3144,0.0,3.0,2.0,200512.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A70,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.176756,A,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A70,A
76266,201781329,200509,2005,200633.0,29491112036216,A23,N,Y,0.0,1.0,2004,3.0,1.0,3.0,3,0,31855,0,0,0,0,0,0,0,31855,26100,5755,0,0,0,5755,0,0,0,0,0,5755,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,26100,0,0,0,0,5755,0,0,0,5755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10002.0,US FUZHOU LANG QU HAI YU UNITED ASSOCIATION INC,LIN GUAN ZHOU,43 MARKET ST,NEW YORK,NY,10002-7203,0.0,3.0,1.0,200603.0,1.0,15.0,0.0,0.0,0.0,1.0,13.0,200812.0,10.0,9,,,A23,A,PC,O,AR,A,A,IN,,,AR,AR,AR,0.630375,B,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A23,A
