,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,NteeOldB,NTEECC,NTEECC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,FIPS,MSA_NECH,PMSA,Ntee2007a,Confidence2007a,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
3704,42565109,200512,2005,0,38692,0,0,0,0,0,0,195583,195583,234275,241168,-6375,0,0,6614,3991,6096,10366,-6375,0,0,0,0,0,0,0,0,177162,0,18421,,234275,234275,0,0,0,0,0,0,0,-6893,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,518,200.0,1.0,29490175033006.0,2005,N,10016-5010,10016.0,12,200.0,0.0,0.0,347 FIFTH AVE,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,1.0,197704.0,,NY,rtf05CO,,A23,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.10337,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,90.0
7688,61420853,200506,2004,577088,0,0,0,5827,0,0,0,153666,125222,730754,677106,503466,2332,0,710647,739889,232385,236423,25204,0,0,0,0,0,0,0,0,101470,0,19491,,702310,702310,0,0,26878,28444,-1566,0,0,25204,0,173517,0,0,0,0,0,478262,0,0,0,0,5827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0,121.0,1.0,29490008366256.0,2005,N,10017-2803,10017.0,6,121.0,904.0,0.0,747 THIRD AVE STE 8C,3.0,0.0,NEW YORK,3.0,,2.0,13.0,0.0,10.0,0.0,AUSTRALIAN BROADCASTING CORPORATION,1.0,199602.0,,NY,rtf05CO,,A30,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.2391,36061.0,5602.0,5600.0,A30,A,PC,O,AR,A,IN,,A30,A,510000.0,90.0
7800,61520064,200512,2005,0,3600,0,0,108,0,0,0,77220,77220,80820,24237,19905,0,0,26560,19905,0,0,0,0,0,0,0,0,0,0,63238,0,13874,0,,17582,17582,0,0,0,0,0,77112,0,-6655,0,0,0,0,0,0,0,26560,175,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,1.0,29409252049396.0,2005,N,11377-5063,11377.0,12,0.0,0.0,0.0,6701 WOODSIDE AVE,3.0,0.0,WOODSIDE,1.0,DAVE K PRATT,2.0,11.0,0.0,10.0,0.0,NEW ENGLAND ANTIQUE ARMS SOCIETY INC,1.0,199905.0,,NY,rtf05CO,,A82,,B,A,A,AR,AR,AR,IN,,O,O,AR,A,0.0003,36081.0,5602.0,5600.0,A82,B,PC,O,AR,A,IN,,N50,N,713990.0,9.0
7876,61597372,200412,2004,0,0,0,0,46380,0,0,0,8222871,8222871,8222871,1990193,74612057,0,0,71042477,74810171,745556,198114,5395866,0,0,0,0,0,0,0,0,8176491,0,0,,8222871,8222871,0,0,0,0,0,0,0,6232678,-1917542,0,0,0,0,0,0,70296921,0,0,0,0,46380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,19548608,0.0,1.0,29490212062225.0,2004,N,10163-5005,10163.0,12,0.0,0.0,0.0,PO BOX 5005,3.0,0.0,NEW YORK,1.0,JP MORGAN INVESTMENT MANAGEMENT I,2.0,13.0,0.0,10.0,0.0,LAKEMONT INDUSTRIAL HOLDING COMPANY,1.0,200108.0,,NY,rtf05CO,,A60,,C,A,A,AR,AR,AR,IN,,O,O,AR,A,0.1518,36061.0,5602.0,5600.0,A60,C,PC,O,AR,A,IN,,A60,A,711100.0,90.0
8594,111195683,200512,2005,0,70273,0,0,259012,0,0,0,274092,274092,344365,649611,1073115,129148,0,5905663,5548314,4508849,4475199,0,0,0,0,0,0,0,0,0,0,0,15080,,344365,344365,0,0,0,0,0,0,0,-305246,-18453,0,0,0,0,0,0,1396814,0,0,0,0,0,0,0,259012,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,0,279.0,1.0,29490175288206.0,2005,N,11222-0000,11222.0,12,279.0,265.0,349.0,LOCAL,6.0,0.0,BROOKLYN,1.0,,2.0,11.0,0.0,10.0,653.0,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,5.0,194401.0,,NY,rtf05CO,,A23,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.37735,36047.0,5602.0,5600.0,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,90.0
8779,111854964,200512,2005,0,0,593040,597324,68012,0,0,0,1864358,1267034,1864358,697544,2165290,0,0,1771859,2352446,140484,187156,2165290,0,0,0,0,0,0,0,0,1071554,0,131752,,1267034,1267034,0,-4284,0,0,0,0,0,569490,-35575,0,0,0,0,0,0,1631375,0,0,0,0,15058,52954,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,1631375,264.0,1.0,29490315096066.0,2005,N,10003-9502,10003.0,12,264.0,0.0,0.0,730 BROADWAY,3.0,0.0,NEW YORK,1.0,BENSERCO INC,2.0,13.0,0.0,10.0,0.0,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,5.0,196502.0,,NY,rtf05CO,,A40,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.16460999999999998,36061.0,5602.0,5600.0,A40,A,PC,O,AR,A,IN,,A40,A,710000.0,90.0
8882,112022650,200512,2005,0,5500,0,0,124,0,0,0,132214,132214,137714,150310,82502,0,0,95316,82682,257,218,82464,0,0,0,0,0,0,0,0,132030,0,60,,137714,137714,0,0,0,0,0,0,0,-12596,39,2860,333,0,0,0,0,95050,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,95050,920.0,1.0,29490091076116.0,2005,Y,11223-5002,11223.0,12,920.0,0.0,0.0,2366 CONEY ISLAND AVE,3.0,0.0,BROOKLYN,2.0,,2.0,11.0,0.0,10.0,0.0,AUTO BODY CRAFTSMENS GUILD INC,1.0,196506.0,,NY,rtf05CO,,A40,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.8892,36047.0,5602.0,5600.0,A40,A,PC,O,AR,A,IN,,A40,A,710000.0,90.0
8941,112212446,200412,2004,0,693240,0,0,0,0,0,0,0,0,693240,636513,116704,134658,0,209252,256281,246146,139577,116704,0,0,0,0,0,0,0,0,0,0,0,,693240,693240,0,0,0,0,0,0,0,56727,96871,90552,18669,0,0,0,0,-36894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,-36894,263.0,1.0,29490120035075.0,2004,N,10011-7168,10011.0,12,263.0,264.0,279.0,265 W 14TH ST STE 1003,9.0,0.0,NEW YORK,3.0,JOSEPH GIORDANO,2.0,13.0,0.0,10.0,444.0,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES 1974,5.0,194107.0,1974,NY,rtf05CO,,A40,,C,A,A,AR,AR,AR,IN,,O,O,AR,A,0.69145,36061.0,5602.0,5600.0,A40,C,PC,O,AR,A,IN,,S99,S,813410.0,90.0
9150,112579110,200512,2005,0,56167,0,0,0,0,0,0,0,0,56167,48412,31574,0,0,23819,31574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56167,56167,0,0,0,0,0,0,0,7755,0,0,0,0,0,0,0,23819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,10.0,0,200.0,1.0,29490196362036.0,2005,N,10472-3102,10472.0,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,BRONX,1.0,CHARLES WEINER,2.0,13.0,0.0,10.0,0.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,1.0,198311.0,,NY,rtf05CO,,A65,,C,A,A,AR,AR,AR,IN,,O,O,AR,A,0.6462,36005.0,5602.0,5600.0,A65,C,PC,O,AR,A,IN,,A65,A,711110.0,90.0
9301,112803536,200507,2004,0,0,0,0,35690,0,0,0,70989,70989,70989,30535,154745,0,0,150388,154745,0,0,0,0,0,0,0,0,0,0,36097,0,-798,0,,34892,34892,0,0,0,0,0,35299,0,4357,0,0,0,0,0,0,0,150388,0,0,0,0,0,0,0,35690,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0,119.0,1.0,29409014025236.0,2005,Y,11103-1264,11103.0,7,119.0,0.0,0.0,4602 30TH AVE,3.0,0.0,ASTORIA,1.0,,2.0,11.0,0.0,10.0,0.0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,1.0,198707.0,,NY,rtf05CO,,A23,,B,A,A,AR,AR,AR,IN,,O,O,AR,A,0.37356999999999996,36081.0,5602.0,5600.0,A23,B,PC,O,AR,A,IN,,A23,A,710000.0,9.0
