,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,NTEECC4d,NTEEconf,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEE2,NTEE,NTMAJ12,NTMAJ5,MSA,PMSA,FIPS,RANDNUM,NTEESRC,MSA_NECH,Ntee2007a,Ntee42007a,NteeOldB,DirSupEstimate,DirSupCode,DirSupYr,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
177,10263908,200512,2005,1106547,0,1591060,1565731,187377,91428,2023,52026,2407999,840245,3514546,1515235,12888326,162933,0,12038294,12905837,12384,17511,0,0,0,0,0,0,0,0,159998,413460,0,2055,,1786794,1786794,0,25329,0,0,0,159998,54049,271559,590857,305390,41893,0,0,0,0,12025910,0,0,0,0,21750,165627,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,46.0,1.0,29490253011166.0,2005,N,10003-1512,10003.0,10263908200512,102639082005,12,46.0,119.0,30.0,200 PARK AVE S 1116,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,1.0,194707.0,,NY,rtf05PC,,4.0,4.0,4.0,A,A25,,A,IN,,AR,A,PC,O,AR,A,A6EZ,A25Z,AR,AR,5602.0,5600.0,36061.0,0.304083,1,5602.0,A25,,A25,1083924.0,2,2006.0,22623.0,2,2006.0,0.0,2,2006.0,5585063.0,2,2006.0,770029.0,2,2006.0,1413335.0,2,2006.0,5889834.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,718267.0,4,2006.0,PC,O,AR,A,IN,,380725.0,6,2003.0,10838.0,6,2003.0,10731274.0,6,2003.0,0.0,6,2003.0,A25,A
641,10391592,200512,2005,1786,0,0,0,0,0,0,0,91057,91057,92843,89075,18160,0,0,14392,18160,0,0,0,0,0,0,0,0,0,0,0,91057,0,0,,92843,92843,0,0,0,0,0,0,0,3768,0,0,0,0,0,0,0,14392,0,0,0,0,0,0,0,0,0,0,0,5040,0,319585,0,0,0,324625,5040,3,9,0,0,149.0,1.0,29409196324246.0,2005,N,11215-0150,11215.0,10391592200512,103915922005,12,149.0,319.0,0.0,BOX 150 597,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,16.0,10.0,0.0,MAINE JAZZ CAMP,1.0,198809.0,,NY,rtf05PC,1.0,1.0,1.0,1.0,A,A68,,A,IN,,AR,A,PC,O,AR,A,,A68Z,AR,AR,5602.0,5600.0,36047.0,0.0595918,1,5602.0,A68,,A68,,,,,,,,,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A68,A
1735,10583271,200506,2004,45106,0,0,0,0,850,0,0,11084,11084,56190,52248,6226,0,0,4534,10776,2250,4550,0,0,0,0,0,0,0,0,0,7431,0,3653,,56190,56190,0,0,0,0,0,0,0,3942,0,0,0,0,0,0,0,2284,0,0,0,0,0,0,0,0,0,0,0,201896,0,0,0,0,0,238918,238918,3,7,0,0,0.0,1.0,29490084262076.0,2005,N,10451-4519,10451.0,10583271200506,105832712005,6,0.0,0.0,0.0,790 ELTON AVE,3.0,200606.0,BRONX,2.0,REBECCA RADILLO,1.0,13.0,15.0,20.0,0.0,INSTITUTO LATINO DE CUIDADO PASTORAL,1.0,200311.0,,NY,rtf05PC,1.0,1.0,1.0,1.0,A,A23,,C,IN,,AR,A,PC,O,AR,A,,,AR,AR,,5600.0,36005.0,0.0852365,1,5602.0,A23,,X99,45106.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,6226.0,2,2006.0,0.0,8,2005.0,0.0,2,2006.0,0.0,2,2006.0,0.0,8,2005.0,0.0,2,2006.0,0.0,2,2005.0,PC,O,AR,A,IN,,,,,,,,,,,,,,X99,X
1837,10598781,200512,2005,43743,0,0,0,0,0,0,0,1600,1600,45343,47597,1660,0,0,3914,1660,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,,45343,45343,0,0,0,0,0,0,0,-2254,0,0,0,0,0,0,0,3914,0,0,0,0,0,0,0,0,0,0,0,21559,0,0,0,0,0,21559,21559,3,7,0,0,0.0,1.0,29409112033086.0,2005,N,10040-1594,10040.0,10598781200512,105987812005,12,0.0,0.0,0.0,12 DONGAN PL APT 602,3.0,200512.0,NEW YORK,2.0,THEODORE L THOMAS,1.0,13.0,15.0,20.0,0.0,TED THOMAS DANCE FOUNDATION FOR THE PUBLIC INC,1.0,200304.0,,NY,rtf05PC,1.0,1.0,1.0,1.0,A,A62,,A,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.959276,1,5602.0,A62,,A62,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,,A62,A
1966,10622887,200412,2004,25304,0,0,0,0,0,0,0,0,0,25304,22483,6935,0,0,4114,7699,0,764,0,0,0,0,0,0,0,0,0,0,0,0,,25304,25304,0,0,0,0,0,0,0,2821,0,0,0,0,0,0,0,4114,0,0,0,0,0,0,0,0,0,0,0,25671,988,2054,2,0,0,28715,26661,3,9,0,0,,,,2004,N,10023-4419,10023.0,10622887200412,106228872004,12,0.0,0.0,0.0,155 W 70TH ST STE PH3B,3.0,200612.0,NEW YORK,1.0,MIRIAM K SCOTT,1.0,13.0,16.0,10.0,0.0,MANHATTAN PLAYWRIGHTS INC,1.0,200204.0,,NY,core04PC,,,,,A,A65,,A,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.15785,1,5602.0,A65,,A65,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,,A65,A
1985,10627379,200512,2005,141879,0,0,0,0,0,0,0,0,0,141879,125192,15530,0,0,1543,18301,2700,2771,0,0,0,0,0,0,0,0,0,0,0,0,,141879,141879,0,0,0,0,0,0,0,16687,0,0,0,0,0,0,0,-1157,0,0,0,0,0,0,0,0,0,0,0,155039,0,0,0,0,0,155039,155039,3,7,0,0,0.0,1.0,29490224225006.0,2005,N,10011-1803,10011.0,10627379200512,106273792005,12,0.0,0.0,0.0,130 7TH AVE 221,3.0,0.0,NEW YORK,1.0,ROGERS & CO CPAS PC,1.0,13.0,15.0,10.0,0.0,ZANGDOKPALRI FOUNDATION INC,1.0,200307.0,,NY,rtf05PC,1.0,2.0,2.0,2.0,A,A23,,B,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.324574,1,5602.0,A23,,A23,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,15530.0,2,2006.0,3728.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,314.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,12731.0,6,2003.0,A23,A
2013,10632725,200312,2003,32400,0,0,0,0,163,0,0,0,0,32400,18382,15769,0,0,6104,17017,4353,1248,0,0,0,0,0,0,0,0,0,0,0,0,,32400,32400,0,0,0,0,0,0,0,14018,0,0,0,0,0,0,0,1751,0,0,0,0,0,0,0,0,0,0,0,12660,0,0,0,0,0,12660,12660,3,7,0,0,,,,2003,N,11220-1305,11220.0,10632725200312,106327252003,12,0.0,0.0,0.0,526 44TH ST 3RD FLR,3.0,200612.0,BROOKLYN,2.0,MOSS RICHARD D,1.0,11.0,15.0,10.0,0.0,GAMETOPHYTE INC,1.0,200205.0,,NY,core04PC,,,,,A,A60,,B,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36047.0,0.08265299999999999,Q,5602.0,A60,,Z99,32400.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,15769.0,6,2003.0,5405.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,5404.0,6,2003.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,11512.0,6,2003.0,A60,A
2029,10635574,200506,2004,229363,0,0,0,0,9563,0,0,0,0,229363,72543,359170,3333,0,206850,368170,4500,9000,0,0,0,0,0,0,0,0,0,0,0,0,,229363,229363,0,0,0,0,0,0,0,156820,0,0,0,0,0,0,0,202350,0,0,0,0,0,0,0,0,0,0,0,196894,0,0,0,0,0,196894,196894,3,7,0,0,0.0,1.0,29490070296216.0,2005,N,10023-2065,10023.0,10635574200506,106355742005,6,0.0,0.0,0.0,7 1/2 W 75TH ST STE 4B,3.0,200612.0,NEW YORK,1.0,BARBARA C ROMER,1.0,13.0,15.0,10.0,0.0,GLOBE THEATRE INC,1.0,200311.0,,NY,rtf05PC,2.0,2.0,2.0,1.0,A,A65,,B,IN,,AR,A,PC,O,AR,A,,,AR,AR,,5600.0,36061.0,0.421158,1,5602.0,A65,,A65,229363.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,,,,,,,,,,,,,,,,,,,,,,PC,O,AR,A,IN,,,,,,,,,,,,,,A65,A
2094,10647938,200312,2003,64377,0,0,0,205,13913,0,0,21550,21550,85927,53673,35298,0,0,23032,35298,0,0,0,0,0,0,0,0,0,0,19988,1357,0,0,,65939,65939,0,0,0,0,0,19988,0,12266,0,0,0,0,0,0,0,23032,0,0,0,0,205,0,0,0,0,0,0,62650,0,101020,265,0,0,163935,62915,3,7,0,0,,,,2003,N,10020-0000,10020.0,10647938200312,106479382003,12,0.0,0.0,0.0,1270 AVE OF THE AMERICAS,3.0,200612.0,NEW YORK,1.0,JACOB MEDINGER FINNEGAN,1.0,13.0,15.0,10.0,0.0,ART PARTY INC,1.0,200208.0,,NY,core04PC,,,,,A,A65,,B,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.2477,1,5602.0,A65,,A65,64377.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,35298.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,27175.0,6,2003.0,A65,A
2210,10671893,200512,2005,0,0,0,0,0,0,0,0,57723,57723,57723,60406,-5106,0,0,171,2818,2594,7924,0,0,0,0,0,0,0,0,0,57723,0,0,,57723,57723,0,0,0,0,0,0,0,-2683,0,0,0,0,0,0,0,-2423,0,0,0,0,0,0,0,0,0,0,0,44643,0,0,0,0,0,44643,44643,3,7,0,0,0.0,1.0,29409217229466.0,2005,N,10303-2548,10303.0,10671893200512,106718932005,12,0.0,0.0,0.0,134 MARINERS LN,3.0,200612.0,STATEN ISLAND,2.0,,1.0,13.0,15.0,10.0,0.0,ALEXANDRIA & AKEAS PLAYHOUSE INC,1.0,200208.0,,NY,rtf05PC,1.0,1.0,1.0,1.0,A,A61,,A,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36085.0,0.531247,1,5602.0,A61,,A61,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,,A61,A
