,EIN,FisYr,TAXPER,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,verify,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,FIPS,MSA_NECH,PMSA,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
177,10548602,2005,200509,200642.0,29491168076116.0,A51,N,Y,0.0,1.0,2004,2.0,6.0,0.0,3,0.0,0,0,2437,463187,0,-145870,0,78500,319754,96135,223619,5326,461322,169305,1471034,0,188246,0,188246,0,1685660,0,70667,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,0,465624,173607,17635,4302,5326,4302,4302,0,0,0,0,1471034,9226,0,0,0,0,1,0,19,0,9226,1434866,0,70667,61205,23868,12004,167744,5326,65500,50000,35000,155826,0,0,0,0,0,0,0,0,0,0,47111,40803,34772,23609,146295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9244,0,10118.0,PETER AND CYNTHIA WILSON ART FOUNDATION INC,L WOLLIN,350 FIFTH AVE STE 2822,NEW YORK,NY,10118-2896,0.0,3.0,2.0,200207.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,9,,,,A12,,B,A,A,AR,AR,AR,IN,,PF,S,ZB,A,0.172474,36061.0,5602.0,5600.0,core2005pf_ver1,PC,S,ZB,A,IN,,A51,A
189,10553351,2005,200512,200634.0,29491217040026.0,T22,N,Y,0.0,1.0,2005,3.0,8.0,6.0,3,0.0,1712375,0,12,0,0,0,0,640333,1712387,655617,1056770,647143,12,0,13090749,0,0,0,0,0,13090749,0,613072,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,12,0,15284,0,0,0,0,0,0,0,0,13090749,0,0,0,0,0,0,0,0,0,0,12448158,613072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016.0,DANCING TIDES FOUNDATION INC,FRANKEL LOUGHRAN STARR & VALLONE,404 PARK AVE S,NEW YORK,NY,10016-8404,0.0,3.0,1.0,200209.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,ARNELL NATHAN E TTEE,,,A62,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.596877,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A62,A
353,10733159,2005,200512,200626.0,29491162312026.0,A70,N,Y,0.0,1.0,2005,2.0,4.0,2.0,3,0.0,10000,0,0,0,0,2392,0,0,12392,36901,-24509,34509,0,0,192115,0,0,0,0,0,192115,0,5691,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,2392,0,0,0,0,2392,96115,0,0,0,192115,0,0,0,0,0,0,0,0,0,0,115546,0,1,0,0,0,1,34509,10099,51764,0,96372,192115,216624,124223,175990,708952,96000,96000,96000,96000,384000,3794,1112,1941,3562,10409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011.0,FELIX GONZALEZ-TORRES FOUNDATION,ANDREA M ROSEN,525 W 24TH ST,NEW YORK,NY,10011-1104,0.0,3.0,1.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,,A70,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.722093,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A70,A
823,20659543,2004,200412,200624.0,29491042039076.0,T22,N,Y,0.0,1.0,2004,2.0,4.0,4.0,3,0.0,154500,189,0,0,0,275608,0,185140,430297,381655,48642,185140,189,275797,154181,0,0,0,0,34000,154181,0,3730,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,189,275797,196515,0,0,0,0,154181,0,0,0,120181,2,0,0,0,0,2,0,0,0,2,75740,0,3730,0,0,0,3730,370279,0,0,0,370279,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017.0,U S - MEXICO FOUNDATION FOR CULTURE INC,GRANT HERMANN SCHWARTZ & KLINGER,675 THIRD AVE STE 1200,NEW YORK,NY,10017-5704,0.0,3.0,1.0,200308.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,,T23,,B,A,A,AR,AR,AR,IN,,PF,S,ZC,A,0.875138,36061.0,5602.0,5600.0,core2005pf_ver1,PC,S,ZB,A,IN,,T23,T
1214,30453739,2005,200503,200635.0,29491217084086.0,B05,N,Y,0.0,1.0,2004,2.0,1.0,1.0,3,0.0,115,0,0,0,0,0,0,0,115,115,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,115,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,117,117,111,90,435,117,117,111,90,435,117,117,111,90,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11352.0,GLOBE CONSULTATIVE REVIEW FOUNDATION M S ED DIRECTOR,FRANK HOPE,PO BOX 520694,FLUSHING,NY,11352-0694,0.0,3.0,1.0,200510.0,1.0,3.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,3,,,,A33,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.674222,36081.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A33,A
2832,43649708,2005,200512,200648.0,29491315045036.0,A51,N,Y,0.0,1.0,2005,2.0,4.0,3.0,3,0.0,33750,472,0,0,0,0,0,0,34222,51353,-17131,50770,0,0,119983,0,0,0,0,0,119983,0,6331,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,472,0,51353,583,50770,583,0,119983,0,0,0,119983,0,0,0,0,0,0,0,0,0,0,128549,6331,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10025.0,PISANO CHASE CATALOGUE RAISONNE PROJECT INC,D FREDERICK BAKER,375 RIVERSIDE DR ATE 13B,NEW YORK,NY,10025-2149,0.0,3.0,2.0,200302.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,,A51,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.11413800000000002,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A51,A
4395,53842834,2005,200509,200638.0,29491238012146.0,A23Z,N,Y,0.0,1.0,2004,3.0,1.0,1.0,3,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10118.0,FREDERICK BROWN MUSEUM INC,L WOLLIN,350 FIFTH AVE STE 2822,NEW YORK,NY,10118-2899,0.0,3.0,1.0,199511.0,1.0,4.0,60.0,0.0,0.0,1.0,13.0,0.0,1.0,9,,M,,A50,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.674763,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A50,A
4534,60742976,2005,200506,200613.0,29491070095016.0,,N,Y,0.0,1.0,2004,2.0,3.0,1.0,3,59.0,0,5,0,0,0,0,0,0,5,36860,-36855,9677,5,5,28883,0,0,0,0,0,28883,0,146,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,5,5,36860,0,9677,0,0,0,0,0,0,28883,0,0,0,0,0,0,0,0,0,0,2968,0,5,9,75,162,251,9677,62655,374568,601020,1047920,28883,65738,86786,147618,329025,26065,53238,81656,125247,286206,97,95,753,657,1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001.0,WHITE BARN THEATRE FOUNDATION INC,HECHT AND COMPANY P C,322 8TH AVENUE,NEW YORK,NY,10001-8001,0.0,3.0,2.0,195207.0,1.0,3.0,59.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,,,A65,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.920855,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A65,A
5064,61532031,2005,200512,200648.0,29491315048006.0,A12,N,Y,0.0,1.0,2005,3.0,6.0,1.0,3,0.0,0,125,0,0,0,0,0,60000,125,60250,-60125,60250,125,0,1400263,0,0,0,0,4000,1400263,0,71676,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,125,0,250,0,250,0,0,5263,0,0,0,1396263,3,0,0,0,0,0,0,0,0,3,1455351,71673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10021.0,ALEPH FOUNDATION FOR HUMANITIES,JOEL ORNSTEIN,667 MADISON AVE 11TH FLR,NEW YORK,NY,10021-8029,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,,A70,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.365021,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A70,A
5109,61551999,2006,200606,200649.0,29491329025176.0,A68,N,Y,0.0,1.0,2005,2.0,3.0,3.0,3,0.0,30641,1467,0,0,0,2831,0,23650,34939,47216,-12277,44379,1467,1467,44692,0,0,0,0,0,44692,0,2788,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,1467,4298,23566,0,20729,0,2831,3522,0,0,0,44692,15,0,0,0,0,0,0,0,0,15,56605,0,1467,0,0,0,1467,21879,19583,21841,21045,84348,0,0,0,0,0,0,0,0,0,0,1859,2239,3143,3731,10972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10463.0,JOYCE DUTKA ARTS FOUNDATION INC,JOYCE DUTKA,PO BOX 630053,BRONX,NY,10463-0800,0.0,3.0,1.0,200004.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,,,A12,61.0,B,A,A,AR,AR,AR,IN,,PF,S,ZB,A,0.338854,36005.0,5602.0,5600.0,core2005pf_ver1,PC,S,ZB,A,IN,,A1261,A
