,EIN,TAXPER,CYCLE,DLN,NTEEIRS,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,verfail,vMagS,vMagP,NTEECC,NteeCC4d,NTEEconf,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,ntmaj10,ntmaj12,ntmaj5,RandNum,FIPS,MSA_NECH,PMSA,NteeOldB,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
2528,30560682,200612,200750.0,29490230203137,A23,2006,32580,0,0,0,0,19803,0,0,0,0,32580,22233,27155,0,0,16808,25264,0,0,15222,0,0,0,0,0,0,0,0,0,0,0,,32580,32580,0,0,0,0,0,0,0,10347,0,0,0,0,0,0,0,16808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10042,0,1,2006,N,11426-1317,11426.0,30560682200612.0,305606822006.0,12,0.0,0.0,0.0,83-47 242ND ST 1ST FL,3.0,0.0,BELLROSE,3.0,RANJIT S JANJUA,2.0,1.0,0.0,10.0,0.0,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,1.0,200707.0,S B NIDHAN SINGH JI CULTURAL SOC,NY,rtf06co,1.0,1.0,1.0,1.0,,,,A23,,B,A,O,O,AR,A,A,IN,,AR,AR,AR,0.85574,36081.0,5602.0,5600.0,,PC,O,AR,A,OUT,S,A23,A,710000.0,90
3913,42565109,200512,,29490175033006,,2005,0,38692,0,0,0,0,0,0,195583,195583,234275,241168,-6375,0,0,6614,3991,6096,10366,-6375,0,0,0,0,0,0,0,0,177162,0,18421,,234275,234275,0,0,0,0,0,0,0,-6893,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,518,200,1,2005,N,10016-5010,10016.0,,,12,200.0,0.0,0.0,347 FIFTH AVE,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,1.0,197704.0,,NY,CORE05co,,,,,,,,A23,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.37558,36061.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,90
8110,61420853,200606,200717.0,29490097043087,,2005,574730,0,0,0,7055,0,0,0,138822,138822,713552,689772,527524,2208,0,739889,751762,236423,224238,49262,0,0,0,0,0,0,0,0,111432,0,20335,,713552,713552,0,0,0,0,0,0,0,23780,278,179813,0,0,0,0,0,503466,0,0,0,0,7055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25204,121,1,2006,N,10017-2803,10017.0,61420853200606.0,614208532006.0,6,121.0,904.0,0.0,747 THIRD AVE STE 8C,3.0,0.0,NEW YORK,3.0,,2.0,13.0,0.0,10.0,0.0,AUSTRALIAN BROADCASTING CORPORATION,1.0,199602.0,,NY,rtf06co,3.0,3.0,3.0,3.0,,,,A30,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.27166,36061.0,5602.0,5600.0,,PC,O,AR,A,IN,,A30,A,510000.0,90
8230,61520064,200612,200739.0,29409251132207,N50,2006,200,6570,0,0,33,0,0,0,67311,67311,74081,22216,25267,0,0,19905,25267,0,0,0,0,0,0,0,0,0,0,46503,0,20775,0,,27578,27578,0,0,0,0,0,67278,0,5362,0,0,0,0,0,0,0,19905,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2006,N,11377-5063,11377.0,61520064200612.0,615200642006.0,12,0.0,0.0,0.0,6701 WOODSIDE AVE,3.0,0.0,WOODSIDE,1.0,DAVE K PRATT,2.0,11.0,0.0,10.0,0.0,NEW ENGLAND ANTIQUE ARMS SOCIETY INC,1.0,199905.0,,NY,rtf06co,1.0,1.0,1.0,1.0,,,,A82,,B,A,O,O,AR,A,A,IN,,AR,AR,AR,0.02561,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,N50,N,713990.0,9
8305,61597372,200512,200704.0,29490007129217,,2005,0,0,0,0,48721,0,0,0,8418270,8418270,8418270,2019403,75635574,0,0,74810171,75965166,198114,329592,6208366,0,0,0,0,0,0,0,0,8369549,0,0,,8418270,8418270,0,0,0,0,0,0,0,6398867,-5375350,0,0,0,0,0,0,74612057,0,0,0,0,48721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5395866,0,1,2005,N,10163-5005,10163.0,61597372200512.0,615973722005.0,12,0.0,0.0,0.0,PO BOX 5005,3.0,0.0,NEW YORK,1.0,JP MORGAN FLEMING ASSET MNGMENT,2.0,13.0,0.0,10.0,0.0,LAKEMONT INDUSTRIAL HOLDING COMPANY,1.0,200108.0,,NY,rtf06co,,5.0,5.0,4.0,,,,A60,,C,A,O,O,AR,A,A,IN,,AR,AR,AR,0.07499,36061.0,5602.0,5600.0,,PC,O,AR,A,IN,,A60,A,711100.0,90
8472,61776328,200612,200739.0,29490251326007,Y43,2006,0,0,0,0,309715,0,0,0,19026916,19026916,19026916,16146144,7491090,0,0,4610318,7491090,0,0,7491090,0,0,0,0,0,0,0,0,18717201,0,0,,19026916,19026916,0,0,0,0,0,0,0,2880772,0,0,0,0,0,0,0,4610318,0,0,0,0,0,309715,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4610318,0,1,2006,N,10016-1901,10016.0,61776328200612.0,617763282006.0,12,0.0,0.0,0.0,600 THIRD AVE,3.0,0.0,NEW YORK,1.0,L-3 COMMUNICATIONS CORP-PAT HEMPH,2.0,13.0,0.0,10.0,0.0,L-3 COMMUNICATIONS GROUP HEALTH PLAN SERVICE CONTRACT ACT VEBA,2.0,200707.0,,NY,rtf06co,5.0,,,,,,,A30,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.25106999999999996,36061.0,5602.0,5600.0,,PC,O,AR,A,IN,,A30,A,510000.0,90
9086,111195683,200612,200737.0,29490168223107,,2006,0,67658,0,221,197992,0,0,0,221930,221709,289588,637522,760487,129990,0,5548314,5231295,4475199,4470808,0,0,0,0,0,0,0,0,0,0,0,23938,,289367,289367,0,-221,0,0,0,0,0,-348155,35527,0,0,0,0,0,0,1073115,0,0,0,0,0,0,0,197992,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,279,1,2006,N,11222-0022,11222.0,111195683200612.0,1111956832006.0,12,279.0,265.0,349.0,PO BOX 22,6.0,0.0,BROOKLYN,1.0,,2.0,11.0,0.0,10.0,653.0,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,5.0,194401.0,,NY,rtf06co,5.0,2.0,2.0,3.0,,,,A23,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.11649000000000001,36047.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,90
9275,111854964,200612,200750.0,29490300108097,,2006,0,0,6225467,6312860,103473,0,0,0,7722768,1409908,7722768,1073653,2539224,0,0,2352446,2737391,187156,198167,2539224,0,0,0,0,0,0,0,0,1323925,0,69903,,1409908,1409908,0,-87393,0,0,0,0,0,336255,37679,0,0,0,0,0,0,2165290,0,0,0,0,52600,50873,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2165290,264,1,2006,N,10003-9502,10003.0,111854964200612.0,1118549642006.0,12,264.0,0.0,0.0,730 BROADWAY,3.0,0.0,NEW YORK,1.0,BENSERCO INC,2.0,13.0,0.0,10.0,0.0,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,5.0,196502.0,,NY,rtf06co,4.0,4.0,5.0,4.0,,,,A40,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.44796,36061.0,5602.0,5600.0,,PC,O,AR,A,IN,,A40,A,710000.0,90
9377,112022650,200612,200719.0,29490111073147,,2006,0,9650,0,0,0,0,0,0,163097,163097,172747,162322,93460,0,0,82681,93460,218,671,92769,0,0,0,0,0,0,0,0,162498,0,599,,172747,172647,0,0,0,0,0,0,0,10325,672,4315,473,0,0,0,0,82463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,82463,920,1,2006,Y,11223-5002,11223.0,112022650200612.0,1120226502006.0,12,920.0,0.0,0.0,2366 CONEY ISLAND AVE,3.0,0.0,BROOKLYN,2.0,,2.0,11.0,0.0,10.0,0.0,AUTO BODY CRAFTSMENS GUILD INC,1.0,196506.0,,NY,rtf06co,1.0,2.0,2.0,2.0,,,,A40,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.54281,36047.0,5602.0,5600.0,,PC,O,AR,A,IN,,A40,A,710000.0,90
9402,112099939,200610,200704.0,29409006001037,,2005,0,21220,0,0,1459,0,0,0,4959,4959,26179,29972,44256,0,0,52674,66937,4625,22681,0,0,0,0,0,0,0,0,0,0,0,3500,,26179,26179,0,0,0,0,0,0,0,-3793,0,0,0,0,0,0,0,48049,0,0,0,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,401,1,2006,N,11432-1434,11432.0,112099939200610.0,1120999392006.0,10,401.0,0.0,0.0,8115 SURREY PL,3.0,0.0,JAMAICA,1.0,HOWARD ROSENTHAL,2.0,11.0,0.0,20.0,0.0,JAMAICA ESTATES ASSOCIATION INC,1.0,199610.0,,NY,rtf06co,1.0,1.0,1.0,1.0,,,,A23,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.03007,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,9
