,EIN,CYCLE,DLN,NTEEIRS,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,FIPS,MSA_NECH,PMSA,NteeFinal,nteeFinal1,DirSupEstimate,DirSupCode,DirSupYr,GovGtEstimate,GovGtCode,GovGtYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,IndSupEstimate,IndSupCode,IndSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LONGITUDE,LATITUDE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr
175,10263908,200750.0,29490300091157.0,A250,200612,2006,733735,0,1155953,1240498,92667,88537,1361,13234,1893054,651195,2626789,1592889,13760788,165266,0,12905837,13768500,17511,7712,0,0,0,0,0,0,0,0,205030,422422,0,2387,,1179900,1179900,0,-84545,0,0,0,205030,14595,-412989,1285451,316169,44175,0,0,0,0,12888326,0,0,0,0,11877,80790,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,46.0,1.0,2006,N,10003-1538,10003.0,10263908200612,102639082006,12,46.0,119.0,30.0,200 PARK AVE S STE 1116,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,1.0,194707.0,,NY,rtf06pc,,4.0,4.0,4.0,,A25,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.9016549999999999,36061.0,5602.0,5600.0,A25,A,718734,4,2006.0,15001.0,4,2006.0,5963138.0,4,2006.0,821587.0,8,2006.0,1509010.0,4,2006.0,6288540.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,770029.0,2,2006.0,-73.9891,40.7316,PC,O,AR,A,IN,,406173.0,6,2003.0,11562.0,6,2003.0,11448583.0,6,2003.0,0.0,6,2003.0
645,10391592,200730.0,29409195003027.0,B99Z,200612,2006,525,0,0,0,0,0,0,0,89642,89642,90167,97130,11197,0,0,18160,11197,0,0,0,0,0,0,0,0,0,0,0,89642,0,0,,90167,90167,0,0,0,0,0,0,0,-6963,0,0,0,0,0,0,0,18160,0,0,0,0,0,0,0,0,0,0,0,5866,0,331850,0,0,0,337716,5866,3,9,0,0,149.0,1.0,2006,N,11231-1317,11231.0,10391592200612,103915922006,12,149.0,319.0,0.0,150 VAN BRUNT ST # 597,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,16.0,10.0,0.0,MAINE JAZZ CAMP,1.0,198809.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A68,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.9933770000000001,36047.0,5602.0,5600.0,A68,A,0,,,,,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,,,,0.0,6,2003.0,-74.0047,40.6775,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
1751,10583271,200706.0,29490020232297.0,X99,200606,2005,10548,0,0,0,0,0,0,0,15158,15158,25706,29525,2407,0,0,10776,3907,4550,1500,0,0,0,0,0,0,0,0,0,15158,0,0,,25706,25706,0,0,0,0,0,0,0,-3819,0,0,0,0,0,0,0,6226,0,0,0,0,0,0,0,0,0,0,0,247002,0,0,0,0,0,295108,295108,3,7,0,0,0.0,1.0,2006,N,10011-7701,10011.0,10583271200606,105832712006,6,0.0,0.0,0.0,201 W 13TH ST,3.0,0.0,NEW YORK,2.0,REBECCA RADILLO,1.0,13.0,15.0,10.0,0.0,INSTITUTO LATINO DE CUIDADO PASTORAL,1.0,200311.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A23,,C,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.42482200000000003,36061.0,5602.0,5600.0,X99,X,10548,2,2007.0,0.0,2,2007.0,2407.0,2,2007.0,0.0,8,2006.0,0.0,2,2007.0,0.0,2,2007.0,0.0,0,2006.0,0.0,2,2007.0,0.0,2,2007.0,0.0,8,2005.0,-73.9997,40.7409,PC,O,AR,A,IN,,,,,,,,,,,,,
1855,10598781,200733.0,29409216011037.0,A62,200612,2006,67037,0,0,0,0,0,0,0,0,0,67037,58838,9859,0,0,1660,9859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,67037,67037,0,0,0,0,0,0,0,8199,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,88596,0,0,0,0,0,88596,88596,3,7,0,0,0.0,1.0,2006,N,10040-1594,10040.0,10598781200612,105987812006,12,0.0,0.0,0.0,12 DONGAN PL APT 602,3.0,0.0,NEW YORK,2.0,T THOMAS L THOMAS,1.0,13.0,15.0,10.0,0.0,TED THOMAS DANCE FOUNDATION FOR THE PUBLIC INC,1.0,200304.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A62,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.103675,36061.0,5602.0,5600.0,A62,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9293,40.8585,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
1989,10622887,,,,200412,2004,25304,0,0,0,0,0,0,0,0,0,25304,22483,6935,0,0,4114,7699,0,764,0,0,0,0,0,0,0,0,0,0,0,0,,25304,25304,0,0,0,0,0,0,0,2821,0,0,0,0,0,0,0,4114,0,0,0,0,0,0,0,0,0,0,0,25671,988,2054,2,0,0,28715,26661,3,9,0,0,,,2004,N,10023-4419,10023.0,10622887200412,106228872004,12,0.0,0.0,0.0,155 W 70TH ST STE PH3B,3.0,200612.0,NEW YORK,1.0,MIRIAM K SCOTT,1.0,13.0,16.0,20.0,0.0,MANHATTAN PLAYWRIGHTS INC,1.0,200204.0,,NY,core05pc,,,,,,A65,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.8812120000000001,36061.0,5602.0,5600.0,A65,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9841,40.7761,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
2012,10627379,200731.0,29490195231107.0,A23,200612,2006,130999,0,0,0,0,0,0,0,0,0,130999,134197,12332,0,0,18301,16296,2771,3964,0,0,0,0,0,0,0,0,0,0,0,0,,130999,130999,0,0,0,0,0,0,0,-3198,0,0,0,0,0,0,0,15530,0,0,0,0,0,0,0,0,0,0,0,445673,0,0,0,0,0,445673,445673,3,7,0,0,0.0,1.0,2006,N,10011-1803,10011.0,10627379200612,106273792006,12,0.0,0.0,0.0,130 7TH AVE 221,3.0,0.0,NEW YORK,1.0,ROGERS & CO CPAS PC,1.0,13.0,15.0,10.0,0.0,ZANGDOKPALRI FOUNDATION INC,1.0,200307.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A23,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.118547,36061.0,5602.0,5600.0,A23,A,0,4,2006.0,0.0,4,2006.0,12332.0,4,2006.0,3308.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,3728.0,2,2006.0,-73.9997,40.7409,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,11336.0,6,2003.0
2056,10635574,200730.0,29490195106057.0,A65,200606,2005,97823,0,0,0,0,52037,0,0,0,0,97823,155092,301901,17287,0,368170,360378,9000,58477,0,0,0,0,0,0,0,0,0,0,0,0,,97823,97823,0,0,0,0,0,0,0,-57269,0,0,7966,0,0,0,0,359170,0,0,0,0,0,0,0,0,0,0,0,426257,0,0,0,0,0,426257,426257,3,7,0,0,0.0,1.0,2006,N,10023-2065,10023.0,10635574200606,106355742006,6,0.0,0.0,0.0,7 1/2 W 75TH ST,3.0,200612.0,NEW YORK,1.0,BARBARA C ROMER,1.0,13.0,15.0,10.0,0.0,GLOBE THEATRE INC,1.0,200311.0,,NY,rtf06pc,2.0,1.0,1.0,2.0,,A65,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.783609,36061.0,5602.0,5600.0,A65,A,97823,4,2006.0,0.0,4,2006.0,,,,0.0,8,2006.0,,,,,,,0.0,0,2006.0,,,,0.0,4,2006.0,,,,-73.9841,40.7761,PC,O,AR,A,IN,,,,,,,,,,,,,
2247,10671893,,29409217229466.0,,200512,2005,0,0,0,0,0,0,0,0,57723,57723,57723,60406,-5106,0,0,171,2818,2594,7924,0,0,0,0,0,0,0,0,0,57723,0,0,,57723,57723,0,0,0,0,0,0,0,-2683,0,0,0,0,0,0,0,-2423,0,0,0,0,0,0,0,0,0,0,0,44643,0,0,0,0,0,44643,44643,3,7,0,0,0.0,,2005,N,10303-2548,10303.0,10671893200512,106718932005,12,0.0,0.0,0.0,134 MARINERS LN,3.0,200612.0,STATEN ISLAND,2.0,,1.0,13.0,15.0,10.0,0.0,ALEXANDRIA & AKEAS PLAYHOUSE INC,1.0,200208.0,,NY,core05pc,,,,,,A61,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.07020710000000001,36085.0,5602.0,5600.0,A61,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-74.1722,40.6311,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
2514,10717344,200723.0,29490132071097.0,A40,200612,2006,200274,0,0,0,50,0,0,0,31361,31361,231635,98375,159460,0,0,60625,162128,2704,2668,159460,0,0,0,0,0,0,0,31721,0,-410,0,,199914,199914,0,0,0,0,0,31311,0,101539,0,22962,2928,0,0,0,0,57921,0,0,0,0,0,0,0,50,0,0,0,7589,0,0,0,0,0,7589,7589,3,9,0,57921,0.0,1.0,2006,N,10014-3259,10014.0,10717344200612,107173442006,12,0.0,0.0,0.0,88 PERRY ST APT 4R,3.0,0.0,NEW YORK,1.0,SUMMA,1.0,13.0,15.0,10.0,0.0,BLUEBERRY POND ARTS CENTER INC,1.0,200306.0,,NY,rtf06pc,2.0,2.0,2.0,1.0,,A20,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.446118,36061.0,5602.0,5600.0,A20,A,197473,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,159858.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,2801.0,4,2006.0,59765.0,2,2006.0,-74.0071,40.733000000000004,PC,O,AR,A,IN,,,,,,,,,,,,,
2589,10728746,200745.0,29409300020067.0,A20,200608,2005,45416,0,0,0,0,0,0,34455,39902,39902,85318,72863,23255,0,0,14319,24868,2986,1613,0,0,0,0,0,0,0,0,0,0,0,5447,,85318,85318,0,0,0,0,0,0,34455,12455,-533,0,0,0,0,0,0,11333,0,0,0,0,0,0,0,0,0,0,0,41571,0,46763,0,0,0,88334,41571,3,7,0,0,0.0,1.0,2006,N,10026-3727,10026.0,10728746200608,107287462006,8,0.0,0.0,0.0,126 W 112TH ST APT 5B,3.0,0.0,NEW YORK,1.0,GREGORY L FORD,1.0,13.0,15.0,10.0,0.0,UGLY DUCKLING PRESSE LTD,1.0,200404.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A20,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.8707540000000001,36061.0,5602.0,5600.0,A20,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9536,40.8031,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
