,EIN,TAXPER,CYCLE,DLN,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,STYEAR,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,FIPS,MSA_NECH,PMSA,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,NteeFinal,nteeFinal1
192,10548602,200609,200726.0,29491161238027.0,A51,N,Y,0.0,1.0,2.0,6.0,0.0,3,0.0,0,0,42280,0,0,-141451,0,88980,-99171,107829,-207000,90130,42280,42280,1264034,0,0,0,0,0,1670111,0,77474,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,42280,42280,18849,0,1150,0,0,0,0,-3205,1670111,0,1264034,846,0,0,1638,0,500,0,0,1292,846,1573081,76628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,10548602200609.0,105486022006.0,rtf06pf,-1292,0,10118.0,PETER AND CYNTHIA WILSON ART FOUNDATION INC,L WOLLIN,350 5TH AVE STE 2822,NEW YORK,NY,10118-2896,0.0,3.0,2.0,200207.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,9,,,0.0,N,M,36061.0,5602.0,5600.0,,A51,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.6776800000000001,PC,O,AR,A,,,A51,A
206,10553351,200512,,,,,,,,,,,3,,1712375,0,12,0,0,0,0,640333,1712387,655617,1056770,647143,12,0,13090749,0,0,0,0,0,13090749,0,613072,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,12,0,15284,0,0,0,0,0,0,0,0,0,13090749,0,0,0,0,0,0,0,0,0,0,12448158,613072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,10553351200512.0,105533512005.0,core05pf,0,0,10016.0,DANCING TIDES FOUNDATION INC,FRANKEL LOUGHRAN STARR & VALLONE,404 PARK AVE S,NEW YORK,NY,10016-8404,0.0,3.0,1.0,200209.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,ARNELL NATHAN E TTEE,,0.0,N,,36061.0,5602.0,5600.0,,A62,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.01899,PC,O,AR,A,,,A62,A
392,10733159,200612,200728.0,29491153193147.0,A70,N,Y,0.0,1.0,2.0,4.0,1.0,3,0.0,0,0,0,0,0,1627,0,0,1627,50615,-48988,48988,0,0,143127,0,0,0,0,0,143127,0,3676,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,1627,50615,0,48988,0,1627,47127,0,0,143127,0,143127,0,0,0,0,0,0,0,0,0,0,74646,0,1,0,0,0,1,48988,34509,10099,51764,145360,143127,192115,216624,124223,676089,96000,96000,96000,96000,384000,2451,3794,1112,1941,9298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,10733159200612.0,107331592006.0,rtf06pf,0,0,10011.0,FELIX GONZALEZ-TORRES FOUNDATION,ANDREA M ROSEN,525 W 24TH ST,NEW YORK,NY,10011-1104,0.0,3.0,1.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A70,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.23116,PC,O,AR,A,,,A70,A
766,20501122,200606,200708.0,29491034039227.0,A68,N,Y,0.0,1.0,3.0,2.0,3.0,3,0.0,5650,0,0,0,0,49690,3000,0,55340,52259,3081,0,10,0,14759,0,0,0,0,0,14795,651,651,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,10,0,52259,0,0,0,0,14759,0,0,14795,0,14759,0,0,0,0,0,0,0,0,0,0,13219,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,20501122200606.0,205011222006.0,rtf06pf,0,0,10023.0,WATERVILLE VALLEY MUSIC CENTER,DAVID SEGAL,74 W 68TH ST APT 1C,NEW YORK,NY,10023-6049,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,5.0,13.0,0.0,1.0,6,,,0.0,N,,36061.0,5602.0,5600.0,,A68,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.9900700000000001,PC,O,AR,A,,,A68,A
1356,30453739,200703,200745.0,29491293086057.0,B05,N,Y,0.0,1.0,2.0,0.0,1.0,3,0.0,125,0,0,0,0,0,0,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2007,30453739200703.0,304537392007.0,rtf06pf,0,0,11352.0,GLOBE CONSULTATIVE REVIEW FOUNDATION M S ED DIRECTOR,F HOPE,PO BOX 520694,FLUSHING,NY,11352-0694,0.0,3.0,1.0,200510.0,1.0,3.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,3,,,0.0,N,,36081.0,5602.0,5600.0,,A33,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.26258000000000004,PC,O,AR,A,,,A33,A
3125,43649708,200612,200741.0,29491153186137.0,A51,N,Y,0.0,1.0,2.0,3.0,3.0,3,0.0,25000,447,0,0,0,0,0,25000,25447,92593,-67146,91821,0,0,77837,0,0,0,0,0,77837,0,4871,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,447,0,57593,772,66821,772,0,77837,0,0,77837,0,77837,0,0,0,0,0,0,0,0,0,0,98911,4871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,43649708200612.0,436497082006.0,rtf06pf,0,0,10025.0,PISANO CHASE CATALOGUE RAISONNE PROJECT INC,D FREDERICK BAKER,375 RIVERSIDE DR APT 13B,NEW YORK,NY,10025-2149,0.0,3.0,2.0,200302.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,M,36061.0,5602.0,5600.0,,A51,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.80515,PC,O,AR,A,,,A51,A
3800,46124122,200612,200750.0,29491335008017.0,,N,Y,0.0,1.0,3.0,5.0,4.0,3,602.0,0,0,8910,46171,0,22661,0,45332,77742,58251,19491,48117,62469,0,628044,0,513537,0,513537,0,929773,0,42228,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,72348,0,12919,9879,2785,9879,0,0,0,92486,929773,0,628044,625,0,0,791,0,709,0,0,875,625,857425,40709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,46124122200612.0,461241222006.0,rtf06pf,-875,0,10001.0,NATHANIEL SALTONSTALL ARTS FUND,BEHAN LING & RUTA CPAS PC,358 FIFTH AVE NO 9TH FL,NEW YORK,NY,10001-2209,0.0,3.0,1.0,196101.0,1.0,4.0,602.0,0.0,0.0,2.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A12,,B,A,T,PU,OT,PU,IN,,PF,S,ZC,T,0.69129,PF,S,ZC,T,,,A12,A
4811,53842834,200509,,,,,,,,,,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2005,53842834200509.0,538428342005.0,core05pf,0,0,10118.0,FREDERICK BROWN MUSEUM INC,L WOLLIN,350 5TH AVE STE 2822,NEW YORK,NY,10118-2899,0.0,3.0,1.0,199511.0,1.0,4.0,60.0,0.0,0.0,1.0,13.0,0.0,1.0,9,,,0.0,N,,36061.0,5602.0,5600.0,,A50,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.51866,PC,O,AR,A,,,A50,A
4966,60742976,200606,200714.0,29491069052077.0,,N,Y,0.0,1.0,2.0,3.0,1.0,3,59.0,0,4,0,0,0,1072,0,0,1076,725,351,25,4,376,29234,0,0,0,0,0,3870,0,150,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,4,1076,725,0,25,0,700,0,0,0,3870,0,29234,0,0,0,0,0,0,0,0,0,0,3047,0,150,5,9,75,239,25,9677,62655,374568,446925,29234,28883,65738,86786,210641,29234,26065,53238,81656,190193,100,97,95,753,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,60742976200606.0,607429762006.0,rtf06pf,0,0,10018.0,WHITE BARN THEATRE FOUNDATION INC,HECHT AND COMPANY P C,111 W 40TH ST,NEW YORK,NY,10018-2506,0.0,3.0,2.0,195207.0,1.0,3.0,59.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,,0.0,N,,36061.0,5602.0,5600.0,,A65,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.64315,PC,O,AR,A,,,A65,A
5463,61507432,200606,200726.0,29491160242107.0,A20Z,N,Y,0.0,1.0,3.0,1.0,1.0,3,994.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,61507432200606.0,615074322006.0,rtf06pf,0,0,10003.0,WYOMING ARTS INC,HOWARD GUTTENPLAN,5 E 3RD ST,NEW YORK,NY,10003-0800,0.0,3.0,2.0,199808.0,1.0,4.0,994.0,90.0,91.0,1.0,13.0,0.0,1.0,6,,,0.0,N,,36061.0,5602.0,5600.0,,A20,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.42423999999999995,PC,O,AR,A,,,A20,A
