,EIN,NteeIrs,EOY,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,DocCd,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,Verifyby,fincheckv
2616,30560682,A23,7.0,200712,2007,72618.0,0,0,0,0,0.0,0,0,0,0,72618.0,54281.0,43601,0,0,25264,43601,0,0,43601.0,0,0,0,0,0,0,0,0,0,0,0,,72618.0,72618,0,0,0,0,0,0,0,18337.0,0,0,0,0,0,0,0,25264.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25264.0,0,N,3.0,1,200839.0,29490251142188,90,1.0,2007,3.0,Y,1.0,N,1.0,0.0,2007.0,11426-1317,11426.0,30560682200712.0,305606822007.0,12,0.0,0.0,0.0,8347 242ND ST,3.0,0.0,BELLROSE,3.0,RANJIT S JANJUA,2.0,11.0,0.0,10.0,0.0,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,1.0,200707.0,S B NIDHAN SINGH JI CULTURAL SOC,NY,rtf07co,1.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.08664,B,O,O,AR,A,IN,,A23,A,,,
4037,42565109,,7.0,200712,2007,0.0,56320,0,0,89,0.0,0,0,195506,195506,251826.0,250560.0,8295,70000,0,17395,8295,10366,0,8295.0,0,0,0,0,0,0,0,0,194677,0,740,,251826.0,251826,0,0,0,0,0,0,0,1266.0,0,0,0,0,0,0,0,7029.0,0,0,0,0,89.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7029.0,200,N,1.0,1,200839.0,29490251125048,90,1.0,2007,4.0,Y,1.0,N,1.0,0.0,2007.0,10016-5010,10016.0,42565109200712.0,425651092007.0,12,200.0,0.0,0.0,347 FIFTH AVE,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,1.0,197704.0,,NY,rtf07co,1.0,2.0,2.0,2.0,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.38899,A,O,O,AR,A,IN,,A23,A,,,
8333,61420853,A300,7.0,200706,2006,691623000.0,9879000,0,0,0,0.0,0,0,148352000,148352000,849854000.0,830838000.0,659706000,2528000,0,751762000,904466000,224238000,244760000,68277.0,0,0,0,0,0,0,0,0,128485000,0,19867000,M,849854000.0,849854000,0,0,0,0,0,0,0,19016000.0,113166000,221857000,0,0,0,90561000,87144000,527524000.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,49262.0,121,N,5.0,1,200810.0,29490040204258,90,1.0,2007,5.0,Y,1.0,N,1.0,0.0,2006.0,10017-2803,10017.0,61420853200706.0,614208532007.0,6,121.0,904.0,0.0,747 THIRD AVE STE 8C,3.0,0.0,NEW YORK,3.0,,2.0,13.0,0.0,10.0,0.0,AUSTRALIAN BROADCASTING CORPORATION,1.0,199602.0,,NY,SOI,3.0,3.0,3.0,3.0,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.88936,A,O,O,AR,A,IN,,A30,A,,SOI,SOI
8524,61597372,,7.0,200712,2007,0.0,0,0,0,47937,0.0,0,0,8694155,8694155,8694155.0,2144017.0,92859020,0,0,86072838,93063642,218494,204622,23431812.0,0,0,0,0,0,0,0,0,8646218,0,0,,8694155.0,8694155,0,0,0,0,0,0,0,6550138.0,454538,0,0,0,0,0,0,85854344.0,0,0,0,0,47937.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16427136.0,0,N,9.0,1,200836.0,29490215241048,90,1.0,2007,7.0,Y,1.0,N,1.0,0.0,2007.0,10163-5005,10163.0,61597372200712.0,615973722007.0,12,0.0,0.0,0.0,PO BOX 5005,3.0,0.0,NEW YORK,1.0,JP MORGAN INVESTMENT MANAGEMENT I,2.0,13.0,0.0,10.0,0.0,LAKEMONT INDUSTRIAL HOLDING COMPANY,1.0,200108.0,,NY,rtf07co,,5.0,5.0,4.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.75195,C,O,O,AR,A,IN,,A60,A,,,
8684,61776328,Y43,7.0,200712,2007,0.0,0,0,0,216294,0.0,0,0,17781879,17781879,17781879.0,23563689.0,1709280,0,0,7491090,1709280,0,0,1709280.0,0,0,0,0,0,0,0,0,17565585,0,0,,17781879.0,17781879,0,0,0,0,0,0,0,-5781810.0,0,0,0,0,0,0,0,7491090.0,0,0,0,0,0.0,216294,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7491090.0,0,N,6.0,1,200828.0,29490180044158,90,1.0,2007,8.0,Y,1.0,N,1.0,0.0,2007.0,10016-1901,10016.0,61776328200712.0,617763282007.0,12,0.0,0.0,0.0,600 THIRD AVE,3.0,0.0,NEW YORK,1.0,L-3 COMMUNICATIONS CORP-PAT HEMPH,2.0,13.0,0.0,10.0,0.0,L-3 COMMUNICATIONS GROUP HEALTH PLAN SERVICE CONTRACT ACT VEBA,2.0,200707.0,,NY,rtf07co,4.0,,,,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.0928,A,O,O,AR,A,IN,,A30,A,,,
9342,111195683,,,200612,2006,0.0,67658,0,221,197992,0.0,0,0,221930,221709,289588.0,637522.0,760487,129990,0,5548314,5231295,4475199,4470808,0.0,0,0,0,0,0,0,0,0,0,0,23938,,289367.0,289367,0,-221,0,0,0,0,0,-348155.0,35527,0,0,0,0,0,0,1073115.0,0,0,0,0,0.0,0,0,197992.0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0,279,,,1,200737.0,29490168223107,90,,2006,,,,N,,,,11222-0022,11222.0,111195683200612.0,1111956832006.0,12,279.0,265.0,349.0,PO BOX 22,6.0,0.0,BROOKLYN,1.0,,2.0,11.0,0.0,10.0,653.0,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,5.0,194401.0,,NY,CORE06co,5.0,2.0,2.0,3.0,36047.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.15721,A,O,O,AR,A,IN,,A23,A,,,
9531,111854964,,7.0,200712,2007,0.0,0,3710903,3727938,118885,0.0,0,0,5250928,1522990,5250928.0,1114131.0,3002091,0,0,2737391,3194606,198167,192515,3002091.0,0,0,0,0,0,0,0,0,1420831,0,309,,1522990.0,1522990,0,-17035,0,0,0,0,0,408859.0,54008,0,0,0,0,0,0,2539224.0,0,0,0,0,29465.0,89420,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2539224.0,264,N,6.0,1,200849.0,29490313101078,90,1.0,2007,7.0,Y,1.0,N,1.0,0.0,2007.0,10003-9502,10003.0,111854964200712.0,1118549642007.0,12,264.0,0.0,0.0,730 BROADWAY,3.0,0.0,NEW YORK,1.0,BENSERCO INC,2.0,13.0,0.0,10.0,0.0,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,5.0,196502.0,,NY,rtf07co,4.0,4.0,5.0,4.0,36061.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.8761399999999999,A,O,O,AR,A,IN,,A40,A,,,
9637,112022650,,7.0,200712,2007,0.0,9052,0,0,133517,0.0,0,207,133724,133724,142776.0,173986.0,61580,0,0,93437,63584,671,2004,61580.0,0,0,0,0,0,0,0,0,0,0,0,,142776.0,142776,0,0,0,0,0,0,207,-31210.0,0,12480,1204,0,0,0,0,92789.0,0,0,0,0,0.0,0,0,133517.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,92789.0,920,N,3.0,1,200818.0,29490089208068,90,1.0,2007,4.0,Y,1.0,Y,1.0,0.0,2007.0,11223-5002,11223.0,112022650200712.0,1120226502007.0,12,920.0,0.0,0.0,2366 CONEY ISLAND AVE,3.0,0.0,BROOKLYN,2.0,,2.0,11.0,0.0,10.0,0.0,AUTO BODY CRAFTSMENS GUILD INC,1.0,196506.0,,NY,rtf07co,1.0,2.0,2.0,2.0,36047.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.0815,A,O,O,AR,A,IN,,A40,A,,,
9661,112099939,,,200610,2005,0.0,21220,0,0,1459,0.0,0,0,4959,4959,26179.0,29972.0,44256,0,0,52674,66937,4625,22681,0.0,0,0,0,0,0,0,0,0,0,0,3500,,26179.0,26179,0,0,0,0,0,0,0,-3793.0,0,0,0,0,0,0,0,48049.0,0,0,0,0,0.0,0,0,1459.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,401,,,1,200704.0,29409006001037,9,,2006,,,,N,,,,11432-1434,11432.0,112099939200610.0,1120999392006.0,10,401.0,0.0,0.0,8115 SURREY PL,3.0,0.0,JAMAICA,1.0,HOWARD ROSENTHAL,2.0,11.0,0.0,20.0,0.0,JAMAICA ESTATES ASSOCIATION INC,1.0,199610.0,,NY,CORE06co,1.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9480200000000001,A,O,O,AR,A,IN,,A23,A,,,
9706,112224061,,7.0,200706,2006,0.0,183786,66760,57466,5136,1346.0,0,0,71896,14430,255682.0,383280.0,-293206,168801,0,392434,413549,513435,706755,0.0,0,0,0,0,0,0,0,0,0,0,0,,198216.0,198216,0,9294,0,0,0,0,0,-185064.0,12859,14322,12704,0,0,0,0,-121001.0,0,0,0,0,1888.0,3248,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,566,N,4.0,1,200803.0,29490335012207,90,1.0,2007,4.0,Y,1.0,N,1.0,0.0,2006.0,10016-8804,10016.0,112224061200706.0,1122240612007.0,6,566.0,0.0,0.0,386 PARK AVE S FL 13,3.0,0.0,NEW YORK,3.0,,2.0,13.0,0.0,10.0,0.0,EXHIBITION EMPLOYEES LOCAL 829 HIRING HALL FUND,2.0,197111.0,,NY,rtf07co,2.0,2.0,2.0,2.0,36061.0,5602.0,5600.0,A114,A,O,S,ZA,A,A,IN,,1,AR,AR,AR,0.47338,B,O,S,ZA,A,IN,,A1140,A,,,
