,EIN,TAXPER,CYCLE,DLN,DocCd,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,nteeFinal1
194,10548602,200709,200834.0,29491215078158,91,A51,N,Y,0.0,1.0,2006,2.0,6.0,3.0,3,0.0,0,34402,0,0,0,0,0,74046,48352,86122,-37770,75296,45107,45107,1226264,0,0,0,0,0,1115405,0,71013,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,13950,0,48352,48352,12076,3245,1250,3245,3245,0,0,1978,1115405,0,1226264,902,0,0,0,0,1050,0,0,148,902,1441884,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,10548602200709,105486022007,rtf07pf,-148,0,10118.0,SHEPARDS CORNERSTONE FOUNDATION INC,L WOLLIN,350 5TH AVE STE 2822,NEW YORK,NY,10118-2896,0.0,3.0,2.0,200207.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,9.0,,P14,3,N,M,36061.0,5602.0,5600.0,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.84355,B,A51,A
207,10553351,200712,200852.0,29491348137128,91,T22,N,Y,0.0,1.0,2007,3.0,8.0,6.0,3,0.0,4700000,25,2053,0,0,0,0,1170500,4702078,1172334,3529744,1172334,0,0,16661498,0,0,0,0,0,24185607,1172313,1043621,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2078,0,1834,0,1834,0,0,129572,0,0,24185607,0,16661498,21,0,0,0,0,0,0,0,0,21,21190264,1043600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,10553351200712,105533512007,rtf07pf,22,0,10016.0,DANCING TIDES FOUNDATION INC,FRANKEL LOUGHRAN STARR & VALLONE,404 PARK AVE S,NEW YORK,NY,10016-8404,0.0,3.0,1.0,200209.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,ARNELL NATHAN E TTEE,,2,N,M,36061.0,5602.0,5600.0,A62,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8770399999999999,A,A62,A
415,10730531,200712,200825.0,29491152289088,91,A50,N,Y,0.0,1.0,2007,3.0,1.0,3.0,3,0.0,50305,0,0,0,0,0,0,0,50305,71606,-21301,71606,0,0,4487,0,0,0,0,0,4487,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,71606,0,71606,0,0,4487,0,0,4487,0,4487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,10730531200712,107305312007,rtf07pf,0,0,11354.0,FRIENDS OF THE NEW YORK CITY HALL OF FAME,ALBERT STERN,PO BOX 541398,FLUSHING,NY,11354-7398,0.0,3.0,1.0,200210.0,1.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,12.0,,,0,N,,36081.0,5602.0,5600.0,A115,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.77604,A,A1150,A
418,10733159,200712,200826.0,29491153035048,91,A70,N,Y,0.0,1.0,2007,2.0,4.0,4.0,3,0.0,300000,6041,0,0,0,1925,0,100000,307966,178554,129412,176604,6041,6041,272539,0,0,0,0,0,272539,0,4003,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,6041,7966,78554,0,76604,0,1925,0,0,0,272539,0,272539,60,0,0,0,0,0,0,0,0,60,81280,0,4003,0,0,0,4003,76604,48988,34509,10099,170200,272539,143127,192115,216624,824405,96000,96000,96000,96000,384000,2669,2451,3794,1112,10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,10733159200712,107331592007,rtf07pf,60,0,10011.0,FELIX GONZALEZ-TORRES FOUNDATION,ANDREA M ROSEN,525 W 24TH ST,NEW YORK,NY,10011-1104,0.0,3.0,1.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.50012,B,A70,A
809,20501122,200706,200815.0,29491082038078,91,A68,N,Y,0.0,1.0,2006,3.0,3.0,3.0,3,0.0,8550,20,0,0,0,70706,6250,0,79276,50266,29010,0,20,0,43769,0,0,0,0,0,43769,916,916,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,20,0,0,50266,0,0,0,43769,0,0,43769,0,43769,0,0,0,0,0,0,0,0,0,0,18590,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,20501122200706,205011222007,rtf07pf,0,0,10023.0,WATERVILLE VALLEY MUSIC CENTER,DAVID SEGAL,74 W 68TH ST APT 1C,NEW YORK,NY,10023-6049,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,5.0,13.0,0.0,1.0,6.0,,,0,N,,36061.0,5602.0,5600.0,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.19595,A,A68,A
1432,30453739,200803,200825.0,29491145292028,91,B05,N,Y,0.0,1.0,2007,2.0,1.0,1.0,3,0.0,126,0,0,0,0,0,0,0,120,128,-8,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,30453739200803,304537392008,rtf07pf,0,0,11352.0,GLOBE CONSULTATIVE REVIEW FOUNDATION M S ED DIRECTOR,F HOPE,PO BOX 520694,FLUSHING,NY,11352-0694,0.0,3.0,1.0,200510.0,1.0,3.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,3.0,,,0,N,,36081.0,5602.0,5600.0,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.014369999999999999,A,A33,A
1526,30562344,200703,200807.0,29491026035218,91,A50,N,Y,0.0,1.0,2006,2.0,1.0,1.0,3,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,30562344200703,305623442007,rtf07pf,0,0,10003.0,SYLVIA WALD AND PO KIM ART GALLERY,PO KIM,417 LAFAYETTE ST,NEW YORK,NY,10003-7005,0.0,3.0,2.0,200606.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,3.0,,YF.,3,N,M,36061.0,5602.0,5600.0,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.15835,A,A51,A
3228,43649708,200712,200832.0,29491194052188,91,A51,N,Y,0.0,1.0,2007,2.0,3.0,3.0,3,0.0,35000,270,0,0,0,0,0,0,35270,42752,-7482,41869,0,0,70355,0,0,0,0,0,69683,0,3633,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,270,0,42752,715,41869,715,0,69683,0,0,69683,0,70355,0,0,0,0,0,0,0,0,0,0,73761,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,43649708200712,436497082007,rtf07pf,0,0,10025.0,PISANO CHASE CATALOGUE RAISONNE PROJECT INC,D FREDERICK BAKER,375 RIVERSIDE DR APT 13B,NEW YORK,NY,10025-2149,0.0,3.0,2.0,200302.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,GS,0,N,M,36061.0,5602.0,5600.0,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.01769,B,A51,A
3916,46124122,200712,200849.0,29491320083138,91,,N,Y,0.0,1.0,2007,3.0,5.0,4.0,3,602.0,0,0,12109,47025,0,6921,0,55014,66055,64947,1108,55049,51577,0,629152,0,528173,0,528173,0,1064237,0,49489,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,59913,0,9933,8336,35,8336,0,0,0,78905,1064237,0,629152,516,0,0,1500,0,700,0,0,1684,516,1004851,47898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,46124122200712,461241222007,rtf07pf,-1684,0,10016.0,NATHANIEL SALTONSTALL ARTS FUND,BEHAN JLING & RUTA CPAS PC,475 PARK AVE S STE 31ST F,NEW YORK,NY,10016-6901,0.0,3.0,1.0,196101.0,1.0,4.0,602.0,0.0,0.0,2.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.36368,B,A12,A
5111,60742976,200706,200826.0,29491152374118,91,,N,Y,0.0,1.0,2006,2.0,1.0,1.0,3,59.0,0,3,0,0,0,0,0,3872,3,29237,-29234,3872,3,0,1,0,0,0,0,0,1,0,191,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,0,0,3,0,25365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3871,0,0,150,5,9,164,0,25,9677,62655,72357,0,29234,28883,65738,123855,0,29234,26065,53238,108537,127,100,97,95,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,60742976200706,607429762007,rtf07pf,0,0,10018.0,WHITE BARN THEATRE FOUNDATION INC,HECHT AND COMPANY P C,111 W 40TH ST,NEW YORK,NY,10018-2506,0.0,3.0,2.0,195207.0,1.0,3.0,59.0,0.0,0.0,1.0,13.0,0.0,1.0,6.0,,,0,N,,36061.0,5602.0,5600.0,A65,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9089799999999999,B,A65,A
