,EIN,TAXPER,ARC,ASS_CODE,EOSTATUS,INC_CODE,LRC,POPCD,RECCODE,RESERVED,SOIYR,CYCLE,NTEEIRS,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,NAICS,DocCd
915,10902003,200812,N,9,1,6,Y,1,1,0,2008,200948,S47,2008,0,0,0,0,0,0,0,0,0,0,3175515,3175515,54001000,0,0,54001000,54001000,0,0,0,0,0,0,0,0,0,0,0,3175515,0,0,,3175515,3175515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,29493171062029,2008,N,10167-0002,10167.0,10902003200812,109020032008,12.0,0.0,0.0,0.0,245 PARK AVE,3.0,0.0,NEW YORK,1.0,CHARLES KILBY,2.0,1.0,0.0,10.0,0.0,PHOENIX CORPORATE TOWER FUNDING COMPANY INC,1.0,200909,,NY,rtf08co,,4.0,4.0,4.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.78147,C,A60,A,711100.0,93
916,10902004,200812,N,8,40,6,Y,1,1,0,2008,200948,,2008,0,0,0,0,0,0,0,0,0,0,2492000,2492000,40001000,0,0,40001000,40001000,0,0,0,0,0,0,0,0,0,0,0,2492000,0,0,,2492000,2492000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,29493164102199,2008,N,10163-0000,10163.0,10902004200812,109020042008,12.0,0.0,0.0,0.0,PO BOX 5005,3.0,0.0,NEW YORK,1.0,CHARLES KILBY,2.0,1.0,0.0,10.0,0.0,CORNERSTONE TERRACE FUNDING COMPANY INC,1.0,201002,,NY,rtf08co,,4.0,4.0,4.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.98161,C,A60,A,711100.0,93
917,10902008,200812,N,8,40,6,Y,1,1,0,2008,200949,,2008,0,0,0,0,0,0,0,0,0,0,2842000,2842000,49001000,0,0,49001000,49001000,0,0,0,0,0,0,0,0,0,0,0,2842000,0,0,,2842000,2842000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,29493171060059,2008,N,10163-0000,10163.0,10902008200812,109020082008,12.0,0.0,0.0,0.0,PO BOX 5005,3.0,0.0,NEW YORK,1.0,CHARLES KILBY,2.0,1.0,0.0,10.0,0.0,DULLES STATION FUNDING COMPANY INC,1.0,201002,,NY,rtf08co,,4.0,4.0,4.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.56365,C,A60,A,711100.0,93
2650,30560682,200712,N,3,1,3,Y,1,1,0,2007,200839,A23,2007,72618,0,0,0,0,0,0,0,0,0,72618,54281,43601,0,0,25264,43601,0,0,43601,0,0,0,0,0,0,0,0,0,0,0,,72618,72618,0,0,0,0,0,0,0,18337,0,0,0,0,0,0,0,25264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25264,0,1,29490251142188,2007,N,11426-1317,11426.0,30560682200712,305606822007,12.0,0.0,0.0,0.0,8347 242ND ST,3.0,0.0,BELLROSE,3.0,RANJIT S JANJUA,2.0,11.0,0.0,10.0,0.0,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,1.0,200707,S B NIDHAN SINGH JI CULTURAL SOC,NY,CORE07co,1.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.29108,B,A23,A,710000.0,90
4091,42565109,200812,N,1,1,4,Y,1,1,0,2008,200938,,2008,0,45136,0,0,0,0,0,0,0,0,286190,291270,3215,0,0,8295,3215,0,0,0,0,0,0,0,0,0,0,0,240942,0,112,,286190,286190,0,0,0,0,0,0,0,-5080,0,0,0,0,0,0,0,8295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,1,29492248007189,2008,N,10016-5432,10016.0,42565109200812,425651092008,12.0,200.0,0.0,0.0,166 MADISON AVE FL 5,3.0,0.0,NEW YORK,2.0,,2.0,1.0,0.0,10.0,0.0,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,1.0,197704,,NY,rtf08co,1.0,2.0,2.0,2.0,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.03437,A,A23,A,710000.0,92
8442,61420853,200806,N,6,1,6,Y,1,1,0,2007,200909,,2007,797433000,0,0,0,12713000,0,0,0,214404000,214404000,1011837000,1000160000,867790000,2737000,0,904466000,1143253000,244760000,275463000,276361,0,0,0,0,0,0,0,0,168426000,0,33265000,M,1011837000,1011837000,0,0,0,0,0,0,0,11677000,196407000,269540000,0,0,0,87144000,76496000,659706000,0,0,0,0,12713000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,68277,121,1,29490038018019,2008,N,10017-2803,10017.0,61420853200806,614208532008,6.0,121.0,904.0,0.0,747 THIRD AVE STE 8C,3.0,0.0,NEW YORK,3.0,,2.0,1.0,0.0,10.0,0.0,AUSTRALIAN BROADCASTING CORPORATION,1.0,199602,,NY,rtf08co,6.0,6.0,6.0,6.0,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.42783999999999994,A,A30,A,510000.0,90
8624,61597372,200812,N,9,1,7,Y,1,1,0,2008,200950,,2008,0,0,0,0,28950,0,0,0,0,0,7390692,2241019,86985795,0,0,93063642,87187997,204622,202202,17465906,0,0,0,0,0,0,0,0,7361742,0,0,,7390692,7390692,0,0,0,0,0,0,0,5149673,0,0,0,0,0,0,0,92859020,0,0,0,0,0,28950,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,23431812,0,1,29493325000039,2008,N,10163-5005,10163.0,61597372200812,615973722008,12.0,0.0,0.0,0.0,PO BOX 5005,3.0,0.0,NEW YORK,1.0,JP MORGAN INVESTMENT MANAGEMENT I,2.0,1.0,0.0,10.0,0.0,LAKEMONT INDUSTRIAL HOLDING COMPANY,1.0,200108,,NY,rtf08co,,5.0,5.0,4.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.53293,C,A60,A,711100.0,93
8771,61776328,200812,N,5,1,8,Y,1,1,0,2008,200940,Y43,2008,0,0,0,0,24909,0,0,0,0,0,21392487,22543295,558472,0,0,1709280,558472,0,0,558472,0,0,0,0,0,0,0,0,21367578,0,0,,21392487,21392487,0,0,0,0,0,0,0,-1150808,0,0,0,0,0,0,0,1709280,0,0,0,0,0,24909,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1709280,0,1,29493262180079,2008,N,10016-1901,10016.0,61776328200812,617763282008,12.0,0.0,0.0,0.0,600 THIRD AVE,3.0,0.0,NEW YORK,1.0,L-3 COMMUNICATIONS CORP-PAT HEMPH,2.0,1.0,0.0,10.0,0.0,L-3 COMMUNICATIONS GROUP HEALTH PLAN SERVICE CONTRACT ACT VEBA,2.0,200707,,NY,rtf08co,3.0,,,,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.73241,A,A30,A,510000.0,93
9462,111195683,200612,N,7,1,4,Y,1,1,0,2006,200737,,2006,0,67658,0,221,197992,0,0,0,221930,221709,289588,637522,760487,129990,0,5548314,5231295,4475199,4470808,0,0,0,0,0,0,0,0,0,0,0,23938,,289367,289367,0,-221,0,0,0,0,0,-348155,35527,0,0,0,0,0,0,1073115,0,0,0,0,0,0,0,197992,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,279,1,29490168223107,2006,N,11222-0022,11222.0,111195683200612,1111956832006,12.0,279.0,265.0,349.0,PO BOX 22,6.0,0.0,BROOKLYN,1.0,,2.0,11.0,0.0,10.0,653.0,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,5.0,194401,,NY,CORE07co,5.0,2.0,2.0,3.0,36047.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.90896,A,A23,A,710000.0,90
9651,111854964,200712,N,6,1,7,Y,1,1,0,2007,200849,,2007,0,0,3710903,3727938,118885,0,0,0,5250928,1522990,5250928,1114131,3002091,0,0,2737391,3194606,198167,192515,3002091,0,0,0,0,0,0,0,0,1420831,0,309,,1522990,1522990,0,-17035,0,0,0,0,0,408859,54008,0,0,0,0,0,0,2539224,0,0,0,0,29465,89420,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2539224,264,1,29490313101078,2007,N,10003-9502,10003.0,111854964200712,1118549642007,12.0,264.0,0.0,0.0,730 BROADWAY,3.0,0.0,NEW YORK,1.0,BENSERCO INC,2.0,13.0,0.0,10.0,0.0,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,5.0,196502,,NY,CORE07co,4.0,4.0,5.0,4.0,36061.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.7227,A,A40,A,710000.0,90
