,EIN,TAXPER,CYCLE,DLN,DocCd,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,EOY,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,nteeFinal,nteeFinal1,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,Verifyby,fincheckv,VERIFY
165,10548602,200809,200937,29491241049179,91,A51,N,Y,0,1,2007,2,6,3,3,0,0,14060,0,0,0,24412,0,72999,48823,104377,-55554,74249,15264,0,1171561,0,0,0,0,850,1157485,0.0,59091,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10351,0,38472,0,31378,23208,1250,23208,0.0,0,0,16390,1157485,0,1170711,153,0,0,1742,0,1200,0,0,600,153,1199813,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,10548602200809,105486022008,rtf08pf,8,-2789,2189,10118.0,SHEPARDS CORNERSTONE FOUNDATION INC,L WOLLIN,350 FIFTH AVE,NEW YORK,NY,10118-0000,0.0,3.0,2.0,200207.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9,,36061.0,5600.0,PMSA,A51,A,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.69998,B,,,
355,10730531,200812,200924,29491150169029,91,A50,N,Y,0,1,2008,3,1,3,3,0,57000,0,0,0,0,0,0,0,57000,60650,-3650,35115,0,0,837,0,0,0,0,0,837,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,60650,0,35115,0,0.0,837,0,0,837,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,10730531200812,107305312008,rtf08pf,8,0,0,11354.0,FRIENDS OF THE NEW YORK CITY HALL OF FAME,ALBERT STERN,PO BOX 541398,FLUSHING,NY,11354-7398,0.0,3.0,1.0,200210.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36081.0,5600.0,PMSA,A1150,A,A115,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.28187,A,,,
1333,30420728,200810,200912,93491075000009,91,A50,N,Y,0,1,2007,2,5,6,3,0,1572975,84,0,0,0,11738,0,0,1584797,445522,1139275,292030,84,0,779843,0,0,0,0,290000,779843,0.0,1532,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,84,11822,445522,0,292030,0,153492.0,88925,0,0,779843,40000,489843,1,0,0,0,0,0,0,0,0,1,31096,0,1,0,0.0,0,1,292030,414372,203492,114633,1024527,779843,800627,995144,1093096,3668710,690918,788685,939708,1089242,3508553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,30420728200810,304207282008,rtf08pf,8,1,0,10010.0,COURAGEOUS FOUNDATION,CRAIG J MILLARD,C/O STEPHEN GLASCOCK 206 5TH AVE NO,NEW YORK,NY,10010-0000,0.0,3.0,2.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10,,36061.0,5600.0,PMSA,A50,A,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.01116,B,,,
1352,30453739,200903,200926,29491157235169,91,B05,N,Y,0,1,2008,2,1,1,3,0,305,0,0,0,0,0,0,0,405,225,180,0,0,0,1,0,0,0,0,0,1,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,225,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,30453739200903,304537392009,rtf08pf,9,0,0,11352.0,GLOBE CONSULTATIVE REVIEW FOUNDATION M S ED DIRECTOR,F HOPE,PO BOX 520694,FLUSHING,NY,11352-0694,0.0,3.0,1.0,200510.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3,,36081.0,5600.0,PMSA,A33,A,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.38159,A,,,
1440,30562344,200903,200933,29491213005219,91,A50,N,Y,0,1,2008,2,3,3,3,0,32533,20,0,0,0,0,0,0,32553,2837,29716,2828,20,20,59748,0,0,0,0,0,59748,0.0,2211,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,20,20,2837,0,2828,0,0.0,37712,0,0,59748,0,59748,0,0,0,0,0,0,0,0,0,0,44890,0,20,186,254.0,0,460,2828,69,1941,5658,10496,59748,30032,16642,17842,124264,0,0,0,0,0,1474,766,563,302,3105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,30562344200903,305623442009,rtf08pf,9,0,0,10018.0,SYLVIA WALD AND PO KIM ART GALLERY,ANCHIN BLOCK & ANCHIN LLP,1375 BROADWAY,NEW YORK,NY,10018-7001,0.0,3.0,2.0,200606.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3,,36061.0,5600.0,PMSA,A51,A,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.036039999999999996,A,,,
2965,43649708,200812,200941,29491276022199,91,A51,N,Y,0,1,2008,2,3,3,3,0,50000,319,0,0,0,0,0,12910,50319,55146,-4827,54360,0,0,65528,0,0,0,0,0,65528,0.0,3320,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,319,0,42236,517,41450,517,0.0,65125,0,0,65528,0,65528,0,0,0,0,0,0,0,0,0,0,67405,0,1,0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,43649708200812,436497082008,rtf08pf,8,0,0,10025.0,PISANO CHASE CATALOGUE RAISONNE PROJECT INC,D FREDERICK BAKER,375 RIVERSIDE DR APT 13B,NEW YORK,NY,10025-2149,0.0,3.0,2.0,200302.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A51,A,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.21777,B,,,
3082,43789287,200812,200925,29491094065019,91,A20,N,Y,0,1,2008,3,2,1,3,0,0,102,0,0,0,0,0,0,102,2609,-2507,0,0,0,12403,0,0,0,0,0,12403,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,102,102,2609,2609,0,2609,2609.0,0,0,0,12403,0,12403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,43789287200812,437892872008,rtf08pf,8,0,0,10002.0,STAEDEL FRIENDS INC,PAUL B GROSSE,291 SOUTH AVENUE 5TH FLOOR,NEW YORK,NY,10002-0000,0.0,3.0,2.0,200405.0,1.0,15.0,0.0,0.0,0.0,1.0,1.0,200712.0,20.0,12,,36061.0,5600.0,PMSA,A20,A,A20,A,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.25440999999999997,B,,,
3662,46124122,200812,200949,29491325190089,91,,N,Y,0,1,2008,3,5,5,3,602,0,0,6746,17414,0,27586,0,56508,51746,82252,-30506,64541,33436,0,598646,0,347355,67698,415053,0,576775,0.0,40183,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,49139,0,25744,15703,8033,15703,0.0,0,0,72607,576775,0,598646,334,0,0,1684,0,0,0,0,1350,334,815897,39608,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,46124122200812,461241222008,rtf08pf,8,-1350,0,10016.0,NATHANIEL SALTONSTALL ARTS FUND,BEHAN LING & RUTA CPAS PC,475 PARK AVE S 31ST F,NEW YORK,NY,10016-0000,0.0,3.0,1.0,196101.0,1.0,4.0,602.0,0.0,0.0,2.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A12,A,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.5729,B,,,
5291,61507432,200806,200924,29491150284089,91,A20Z,N,Y,0,1,2007,3,1,1,3,994,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,61507432200806,615074322008,rtf08pf,8,0,0,10003.0,WYOMING ARTS INC,HOWARD GUTTENPLAN,5 E 3RD ST,NEW YORK,NY,10003-0800,0.0,3.0,2.0,199808.0,1.0,4.0,994.0,90.0,91.0,1.0,1.0,0.0,1.0,6,,36061.0,5600.0,PMSA,A20,A,A20,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.1075,B,,,
5369,61532031,200712,200903,29491362013198,91,A12,N,Y,0,1,2007,3,6,1,3,0,0,226,0,0,0,0,0,71000,226,71000,-70774,71000,226,0,1314434,0,0,0,0,54000,1314434,0.0,65679,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,226,0,0,0,0,0,0.0,4434,0,0,1314434,0,1260434,2,0,0,0,0,0,0,0,0,2,1333580,65677,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,61532031200712,615320312007,rtf08pf,7,2,0,10065.0,ALEPH FOUNDATION FOR HUMANITIES,EURISTATES INC,667 MADISON AVE 11TH FL,NEW YORK,NY,10065-8029,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A70,A,A70,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.36562,A,,,
