,EIN,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,DocCd,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NAICS,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NumEmpEstimate,NumEmpCode,NumEmpYr
908,10902003,9.0,200912,2009,S47,0,0,0,0,0,0,0,0,0,0,3202200,3202200,54001000,0,0,54001000,54001000,0,0,0,0,0,0,0,0,0,0,0,3202200,0,0,,3202200,3202200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,N,9,1,201028,29493177247020,93,1,2009,6,Y,1,N,1,0,2009,10167-0002,10167.0,IN,,10902003200912,109020032009,12,0.0,0.0,0.0,245 PARK AVE,3.0,0.0,NEW YORK,1.0,CHARLES KILBY,2.0,0.0,10.0,0.0,PHOENIX CORPORATE TOWER FUNDING COMPANY INC,1.0,200909.0,,NY,rtf09co,,4.0,4.0,4.0,A60,A,711100.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,1,AR,AR,AR,0.78214,C,0.0,Z,2009.0
909,10902004,9.0,200912,2009,S47,0,0,0,0,0,0,0,0,0,0,2492000,2492000,1000,0,0,40001000,1000,0,0,0,0,0,0,0,0,0,0,0,2492000,0,0,,2492000,2492000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,N,1,1,201045,29493191204390,93,1,2009,6,Y,1,N,1,0,2009,10167-0002,10167.0,IN,,10902004200912,109020042009,12,0.0,0.0,0.0,245 PARK AVE,3.0,0.0,NEW YORK,1.0,CHARLES KILBY,2.0,0.0,10.0,0.0,CORNERSTONE TERRACE FUNDING COMPANY INC,1.0,201002.0,,NY,rtf09co,1.0,4.0,4.0,4.0,A60,A,711100.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,1,AR,AR,AR,0.82963,C,0.0,Z,2009.0
910,10902008,9.0,200912,2009,S47,0,0,0,0,0,0,0,0,0,0,203609,203609,1000,0,0,49001000,1000,0,0,0,0,0,0,0,0,0,0,0,203609,0,0,,203609,203609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,N,1,1,201045,29493191205020,93,1,2009,4,Y,1,N,1,0,2009,10167-0002,10167.0,IN,,10902008200912,109020082009,12,0.0,0.0,0.0,245 PARK AVE,3.0,0.0,NEW YORK,1.0,CHARLES KILBY,2.0,0.0,10.0,0.0,DULLES STATION FUNDING COMPANY INC,1.0,201002.0,,NY,rtf09co,1.0,2.0,2.0,2.0,A60,A,711100.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,1,AR,AR,AR,0.80174,C,0.0,Z,2009.0
1809,20630328,,200906,2008,A99,85240,0,0,0,0,0,0,0,0,0,93611,34773,545197,0,0,486359,545197,0,0,0,0,0,0,0,0,0,0,0,0,0,8371,,93651,93611,0,0,0,0,0,0,0,58878,0,0,0,0,0,0,0,486359,0,85240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,N,5,1,200940,29492262139019,92,36,2009,3,Y,1,N,1,0,2008,11373-3445,11373.0,IN,,20630328200906,206303282009,6,0.0,0.0,0.0,8824 43RD AVE,3.0,0.0,ELMHURST,1.0,THOMAS F MCKENZIE,1.0,16.0,10.0,0.0,ELMHURST MEMORIAL LEAGUE INC,1.0,201002.0,,NY,CORE08co,3.0,1.0,1.0,1.0,A80,A,712120.0,36081.0,5602.0,5600.0,A80,A,O,O,AR,A,A,1,AR,AR,AR,0.23031,C,0.0,Z,2009.0
2682,30560682,,200712,2007,A23,72618,0,0,0,0,0,0,0,0,0,72618,54281,43601,0,0,25264,43601,0,0,43601,0,0,0,0,0,0,0,0,0,0,0,,72618,72618,0,0,0,0,0,0,0,18337,0,0,0,0,0,0,0,25264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25264,0,N,3,1,200839,29490251142188,90,1,2007,3,Y,1,N,1,0,2007,11426-0001,11426.0,IN,,30560682200712,305606822007,12,0.0,0.0,0.0,PO BOX 260001,3.0,0.0,BELLROSE,3.0,RANJIT S JANJUA,2.0,0.0,20.0,0.0,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,1.0,200707.0,S B NIDHAN SINGH JI CULTURAL SOC,NY,CORE08co,1.0,1.0,1.0,1.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.00899,B,0.0,Z,2007.0
4125,42565109,9.0,200912,2009,,0,0,0,0,0,0,0,0,0,0,273163,275273,1105,0,0,3215,1105,0,0,0,0,0,0,0,0,0,0,0,203984,0,124,,273163,273163,0,0,0,0,0,0,0,-2110,0,0,0,0,0,0,0,3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,N,1,1,201033,93492221006060,92,1,2009,4,Y,1,N,1,0,2009,10016-5432,10016.0,IN,,42565109200912,425651092009,12,200.0,0.0,0.0,166 MADISON AVE FL 5,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,1.0,197704.0,,NY,rtf09co,1.0,2.0,2.0,2.0,A23,A,710000.0,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.00235,A,0.0,Z,2009.0
5496,43724612,9.0,200912,2009,,42867,0,0,0,88,0,0,0,0,0,42955,49893,131381,0,0,137986,131381,4481,0,0,0,0,0,0,0,0,0,0,0,0,0,,42955,42955,0,0,0,0,0,0,0,-6938,0,0,0,0,0,0,0,133505,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,907,N,4,1,201034,93492228011480,92,1,2009,3,Y,1,N,1,0,2009,11693-1048,11693.0,IN,,43724612200912,437246122009,12,907.0,908.0,0.0,209 CROSS BAY BLVD,9.0,0.0,BROAD CHANNEL,1.0,,1.0,0.0,10.0,925.0,AMERICAN LEGION,5.0,194603.0,1404 BROAD CHANNEL POST,NY,rtf09co,2.0,1.0,1.0,1.0,A32,A,513120.0,36081.0,5602.0,5600.0,A32,A,O,O,AR,A,A,1,AR,AR,AR,0.7917,A,0.0,Z,2009.0
8514,61420853,,200806,2007,,797433000,0,0,0,12713000,0,0,0,214404000,214404000,1011837000,1000160000,867790000,2737000,0,904466000,1143253000,244760000,275463000,276361,0,0,0,0,0,0,0,0,168426000,0,33265000,M,1011837000,1011837000,0,0,0,0,0,0,0,11677000,196407000,269540000,0,0,0,87144000,76496000,659706000,0,0,0,0,12713000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,68277,121,N,6,1,200909,29490038018019,90,1,2008,6,Y,1,N,1,0,2007,10017-2803,10017.0,IN,,61420853200806,614208532008,6,121.0,904.0,0.0,747 THIRD AVE STE 8C,3.0,0.0,NEW YORK,3.0,,2.0,0.0,10.0,0.0,AUSTRALIAN BROADCASTING CORPORATION,1.0,199602.0,,NY,CORE08co,6.0,6.0,6.0,6.0,A30,A,510000.0,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,1,AR,AR,AR,0.05483,A,1.0,S,2008.0
8695,61597372,9.0,200912,2009,,0,0,0,0,11848,0,0,0,0,0,6591232,2286505,75964437,0,0,87187997,76210899,202202,246462,6099130,0,0,0,0,0,0,0,0,6579384,0,0,,6591232,6591232,0,0,0,0,0,0,0,4304727,0,0,0,0,0,0,0,86985795,0,0,0,0,0,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,N,9,1,201052,29493331078170,93,1,2009,7,Y,1,N,1,0,2009,10163-5005,10163.0,IN,,61597372200912,615973722009,12,0.0,0.0,0.0,PO BOX 5005,3.0,0.0,NEW YORK,1.0,JP MORGAN INVESTMENT MANAGEMENT I,2.0,0.0,10.0,0.0,LAKEMONT INDUSTRIAL HOLDING COMPANY,1.0,200108.0,,NY,rtf09co,,5.0,5.0,4.0,A60,A,711100.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,1,AR,AR,AR,0.38179,C,0.0,Z,2009.0
8838,61776328,,200812,2008,Y43,0,0,0,0,24909,0,0,0,0,0,21392487,22543295,558472,0,0,1709280,558472,0,0,558472,0,0,0,0,0,0,0,0,21367578,0,0,,21392487,21392487,0,0,0,0,0,0,0,-1150808,0,0,0,0,0,0,0,1709280,0,0,0,0,0,24909,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1709280,0,N,5,1,200940,29493262180079,93,1,2008,8,Y,1,N,1,0,2008,10016-1901,10016.0,IN,,61776328200812,617763282008,12,0.0,0.0,0.0,600 THIRD AVE,3.0,0.0,NEW YORK,1.0,L-3 COMMUNICATIONS CORP-PAT HEMPH,2.0,0.0,10.0,0.0,L-3 COMMUNICATIONS GROUP HEALTH PLAN SERVICE CONTRACT ACT VEBA,2.0,200707.0,,NY,CORE08co,3.0,,,,A30,A,510000.0,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,1,AR,AR,AR,0.07318999999999999,A,0.0,Z,2008.0
