,EIN,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,DocCd,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,fincheckv,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NumEmpEstimate,NumEmpCode,NumEmpYr,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,PayAfflEstimate,PayAfflCode,PayAfflYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,NetLandEstimate,NetLandCode,NetLandYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,PermRnaEstimate,PermRnaCode,PermRnaYr,TempRnaEstimate,TempRnaCode,TempRnaYr,GovGtEstimate,GovGtCode,GovGtYr,AdminExpEstimate,AdminExpCode,AdminExpYr,ProgExpEstimate,ProgExpCode,ProgExpYr,Verifyby,NAICS,epostcard
177,10263908,8,200812,2008,A250,831620,0,3705114,3419277,268571,0,993,17302,0,0,5211097,1746952,12571273,207809,0,15312739,12586274,6898,15001,0,0,0,0,0,0,0,0,0,383580,0,3917,,1790827,1790827,0,285837,0,0,0,0,18295,43875,0,359140,48712,0,0,0,0,15305841,0,0,0,0,0,268571,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,46,N,8,1,201003,29493002514030,93,1,2008,7,Y,1,N,1,0,2008,10003-1503,10003.0,IN,,10263908200812,102639082008,12,46.0,119.0,30.0,200 PARK AVE SOUTH,3.0,0.0,NEW YORK,2.0,,1.0,1.0,11.0,10.0,0.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,1.0,194707.0,,NY,rtf09pc,,,4.0,5.0,4.0,A25,A,7,M,2006,36061.0,5600.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.33409,A,814618.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,5447670.0,4,2006.0,371297.0,6,2003.0,10569.0,6,2003.0,10465556.0,6,2003.0,0.0,6,2003.0,750962.0,4,2006.0,913637.0,3,2006.0,5744944.0,4,2006.0,1378567.0,4,2006.0,17002.0,4,2006.0,468216.0,4,2006.0,1181671.0,4,2006.0,,611610.0,
645,10391592,9,200912,2009,B99Z,459,0,0,0,0,0,0,0,0,0,73944,74771,7640,0,0,8547,7640,0,0,0,0,0,0,0,0,0,0,0,72975,0,0,,73864,73864,0,0,510,80,430,0,0,-907,0,0,0,0,0,0,0,8547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,149,N,1,1,201020,93492132011190,92,1,2009,3,Y,1,N,1,0,2009,11231-0000,11231.0,IN,,10391592200912,103915922009,12,149.0,319.0,0.0,VAN BRUNT STATION BOX 150-597,3.0,0.0,BROOKLYN,1.0,,1.0,1.0,16.0,10.0,0.0,MAINE JAZZ CAMP,1.0,198809.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A68,A,0,L,0,36047.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.22801999999999997,A,,,,,,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,,,,0.0,6,2003.0,0.0,6,2003.0,,711130.0,
1624,10569203,9,200906,2008,A50,32550,0,0,0,0,0,0,0,0,0,32550,31000,1559369,0,0,1557819,1559369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32550,32550,0,0,0,0,0,0,0,1550,0,0,0,0,0,0,0,1557819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,6,1,201043,29492261365160,92,1,2009,3,Y,1,N,1,0,2008,10027-4436,10027.0,IN,,10569203200906,105692032009,6,0.0,0.0,0.0,163 W 125TH ST STE 903,3.0,0.0,NEW YORK,2.0,,1.0,1.0,15.0,10.0,0.0,MUSEUM OF AFRICAN AMERICAN CINEMA INC,1.0,200506.0,MOAAC,NY,rtf09pc,,4.0,1.0,1.0,1.0,A50,A,0,L,0,36061.0,5600.0,5600.0,A50,A,PC,O,AR,A,A,1,AR,AR,AR,0.99236,A,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,712110.0,
1922,10621206,8,200806,2007,A68,21838,1948,0,0,0,0,0,0,2084,2084,25870,28219,-6386,0,0,679,5164,4716,11550,0,0,0,0,0,0,0,0,0,2084,0,0,,25870,25870,0,0,0,0,0,0,0,-2349,0,0,0,0,0,0,0,-4037,0,0,0,0,0,0,0,0,0,0,0,66365,0,21115,0,0,0,87480,66365,3,9,0,0,0,N,1,1,200929,29409178000099,9,1,2008,3,Y,1,N,1,0,2007,10024-6893,10024.0,IN,,10621206200806,106212062008,6,0.0,0.0,0.0,46 RIVERSIDE DR APT 2N,3.0,0.0,NEW YORK,2.0,STEPHANIE CHASE,1.0,1.0,15.0,20.0,0.0,MUSIC OF THE SPHERES SOCIETY INC,1.0,200212.0,,NY,CORE08pc,,1.0,1.0,1.0,1.0,A68,A,0,L,0,36061.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.68116,A,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,,711130.0,
1955,10627379,9,200912,2009,A23,160356,0,0,0,0,0,0,0,0,0,160356,164141,1721,0,0,6702,3193,1196,1472,0,0,0,0,0,0,0,0,0,0,0,0,,160356,160356,0,0,0,0,0,0,0,-3785,0,0,0,0,0,0,0,5506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,1,1,201023,93493137005200,93,1,2009,4,Y,1,N,1,0,2009,10011-1803,10011.0,IN,,10627379200912,106273792009,12,0.0,0.0,0.0,130 7TH AVE,3.0,0.0,NEW YORK,1.0,ROGERS & CO CPAS PC,1.0,1.0,15.0,10.0,0.0,ZANGDOKPALRI FOUNDATION INC,1.0,200307.0,,NY,rtf09pc,,1.0,2.0,2.0,2.0,A23,A,0,L,0,36061.0,5600.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.23398000000000002,B,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,1721.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,2221.0,6,2003.0,650.0,4,2006.0,1365.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,3672.0,4,2006.0,160469.0,4,2006.0,,710000.0,
1993,10632725,9,200912,2009,A60,57621,0,0,0,0,0,0,0,0,0,81805,69099,42179,0,0,29473,42179,0,0,0,0,0,0,0,0,0,0,0,24184,0,0,,81805,81805,0,0,0,0,0,0,0,12706,0,0,0,0,0,0,0,29473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201034,29492212312090,92,1,2009,3,Y,1,N,1,0,2009,11231-3657,11231.0,IN,,10632725200912,106327252009,12,0.0,0.0,0.0,383 CLINTON ST,3.0,0.0,BROOKLYN,2.0,DEAN MOSS,1.0,1.0,15.0,10.0,0.0,GAMETOPHYTE INC,1.0,200205.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A60,A,0,L,0,36047.0,5600.0,5600.0,A60,A,PC,O,AR,A,A,1,AR,AR,AR,0.78385,B,57621.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,42179.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,28533.0,6,2003.0,13398.0,6,2003.0,26091.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,10195.0,6,2003.0,58526.0,6,2003.0,,711100.0,
2007,10635574,9,200906,2008,A65,145824,0,0,0,0,0,0,0,0,0,145824,77437,427854,0,0,359466,427854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,145824,145824,0,0,0,0,0,0,0,68387,0,0,0,0,0,0,0,359466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201013,29492065111130,92,1,2009,4,Y,1,N,1,0,2008,10014-5242,10014.0,IN,,10635574200906,106355742009,6,0.0,0.0,0.0,306 W 4TH ST APT C3,3.0,0.0,NEW YORK,1.0,BARBARA C ROMER,1.0,1.0,15.0,10.0,0.0,GLOBE THEATRE INC,1.0,200311.0,,NY,rtf09pc,,2.0,2.0,2.0,1.0,A65,A,0,L,0,36061.0,5600.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.7317100000000001,B,145824.0,4,2006.0,0.0,4,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4,2006.0,,,,,,,,711110.0,
2168,10668318,9,200912,2009,A68,72630,0,0,0,214,0,0,0,0,0,87432,97122,29856,0,0,39546,29856,0,0,0,0,0,0,0,0,0,0,0,14588,0,0,,87432,87432,0,0,0,0,0,0,0,-9690,0,0,0,0,0,0,0,39546,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201031,29492205007110,92,1,2009,3,Y,1,N,1,0,2009,10025-5610,10025.0,IN,,10668318200912,106683182009,12,0.0,0.0,0.0,229 W 97TH ST APT 1B,3.0,0.0,NEW YORK,2.0,JEROME ROSE,1.0,1.0,16.0,10.0,0.0,INTERNATIONAL KEYBOARD INSTITUTE AND FESTIVAL,1.0,200207.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A68,A,0,L,0,36061.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.30508,B,72630.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,29856.0,4,2006.0,,,,,,,,,,,,,1971.0,4,2006.0,2610.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,6070.0,4,2006.0,91052.0,4,2006.0,,711130.0,
2185,10671893,9,200912,2009,A61,0,0,0,0,0,0,0,0,0,0,85698,88437,-9813,0,0,513,1736,7587,11549,0,0,0,0,0,0,0,0,0,85698,0,0,,85698,85698,0,0,0,0,0,0,0,-2739,0,0,0,0,0,0,0,-7074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,1,1,201023,29492121177150,92,1,2009,3,Y,1,N,1,0,2009,10303-2548,10303.0,IN,,10671893200912,106718932009,12,0.0,0.0,0.0,134 MARINERS LN,3.0,0.0,STATEN ISLAND,2.0,,1.0,1.0,15.0,10.0,0.0,ALEXANDRIA & AKEAS PLAYHOUSE INC,1.0,200208.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A61,A,0,L,0,36085.0,5600.0,5600.0,A61,A,PC,O,AR,A,A,1,AR,AR,AR,0.28079,A,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,711100.0,
2525,10728746,9,200908,2008,A20,28899,0,0,0,0,0,0,0,0,0,147214,126203,124783,0,0,78262,124783,0,0,41551,0,0,0,0,0,0,0,0,118315,0,0,,147214,147214,0,0,0,0,0,0,0,21011,0,0,0,0,0,0,0,78262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201026,29493107001050,93,1,2009,4,Y,1,N,1,0,2008,11215-2704,11215.0,IN,,10728746200908,107287462009,8,0.0,0.0,0.0,232 THIRD ST STE E002,3.0,0.0,BROOKLYN,1.0,GREGORY L FORD,1.0,1.0,15.0,10.0,0.0,UGLY DUCKLING PRESSE LTD,1.0,200404.0,,NY,rtf09pc,,2.0,2.0,2.0,2.0,A20,A,0,L,0,36047.0,5600.0,5600.0,A20,A,PC,O,AR,A,A,1,AR,AR,AR,0.70458,B,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,710000.0,
