,EIN,TAXPER,CYCLE,DLN,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA
192,10548602,200909,201023.0,29491142055210,A51,N,Y,0.0,1.0,2008,2.0,5.0,0.0,3,0.0,0,0,1606,-88423,0,-31119,0,58682,-92136,104239,-196375,60082,0,0,975185,0,311577,0,311577,850,932277,0,53011,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25800,0,-3713,0,45557,30423,1400,30423,0,566,0,-54729,932277,0,974335,0,0,0,0,0,500,0,0,500,0,1076371,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,10548602200909,105486022009,rtf09pf,-500,0,10118.0,SHEPARDS CORNERSTONE FOUNDATION INC,L WOLLIN,350 FIFTH AVE,NEW YORK,NY,10118-0000,0.0,3.0,2.0,200207.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9,,,3,N,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.07627,B,A51,A,36061.0,5602.0,5600.0
446,10730531,200912,201024.0,29491149282090,A50,N,Y,0.0,1.0,2009,3.0,1.0,1.0,3,0.0,9500,0,0,0,0,0,0,0,9500,7799,1701,4999,0,0,2538,0,0,0,0,0,2538,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,7799,0,4999,0,0,2538,0,0,2538,0,2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,10730531200912,107305312009,rtf09pf,0,0,11354.0,FRIENDS OF THE NEW YORK CITY HALL OF FAME,ALBERT STERN,PO BOX 541398,FLUSHING,NY,11354-7398,0.0,3.0,1.0,200210.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A115,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.68075,A,A1150,A,36081.0,5602.0,5600.0
450,10733159,200912,201024.0,29491150095000,A70,N,Y,0.0,1.0,2009,2.0,4.0,1.0,3,0.0,0,1168,0,0,0,568,0,5000,1736,49657,-47921,46796,908,0,205890,0,0,0,0,790,205890,0,6047,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1168,1736,44657,260,41796,260,1736,0,0,0,205890,0,205100,18,0,0,0,0,0,0,0,0,18,122777,0,0,4664,4003,0,8667,46796,24122,76604,48988,196510,205890,253021,272539,143127,874577,96000,96000,96000,96000,384000,4031,5549,2669,0,12249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,10733159200912,107331592009,rtf09pf,18,0,10011.0,FELIX GONZALEZ-TORRES FOUNDATION,ANDREA M ROSEN,525 W 24TH ST,NEW YORK,NY,10011-1104,0.0,3.0,1.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.49483999999999995,B,A70,A,36061.0,5602.0,5600.0
1618,30420728,200910,201012.0,93491070005000,A50,N,Y,0.0,1.0,2008,2.0,5.0,4.0,3,0.0,394500,0,0,0,0,0,0,0,394500,464524,-70024,306382,0,0,549819,0,0,0,0,130000,549819,0,182,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,464524,0,306382,0,158142,17043,0,0,549819,30000,419819,0,0,0,0,0,0,0,0,0,0,3705,0,1,0,0,0,1,306382,292030,414372,203492,1216276,1,779843,800627,995144,2575615,0,690918,788685,939708,2419311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,30420728200910,304207282009,rtf09pf,0,0,10010.0,COURAGEOUS FOUNDATION,CRAIG J MILLARD,C/O STEPHEN GLASCOCK 206 5TH AVE NO,NEW YORK,NY,10010-0000,0.0,3.0,2.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10,,,0,N,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.6372,B,A50,A,36061.0,5602.0,5600.0
1648,30453739,201003,201037.0,29491233099220,B05,N,Y,0.0,1.0,2009,2.0,1.0,1.0,3,0.0,1200,0,0,0,0,0,0,0,1200,1025,175,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,30453739201003,304537392010,rtf09pf,0,0,11352.0,GLOBE CONSULTATIVE REVIEW FOUNDATION M S ED DIRECTOR,F HOPE,PO BOX 520694,FLUSHING,NY,11352-0694,0.0,3.0,1.0,200510.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3,,,3,N,,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.65879,A,A33,A,36081.0,5602.0,5600.0
1759,30562344,201003,201048.0,29491317005230,A50,N,Y,0.0,1.0,2009,2.0,3.0,2.0,3,0.0,12000,8,0,0,0,0,0,0,12008,42760,-30752,41521,8,0,28996,0,0,0,0,0,28996,0,2810,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,8,8,42760,0,41521,0,8,6246,0,0,28996,0,28996,0,0,0,0,0,0,0,0,0,0,57050,0,1,20,186,254,461,41521,2828,69,1941,46359,28996,59748,30032,16642,135418,0,0,0,0,0,1873,1474,766,563,4676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,30562344201003,305623442010,rtf09pf,0,0,10018.0,SYLVIA WALD AND PO KIM ART GALLERY,ANCHIN BLOCK & ANCHIN LLP,1375 BROADWAY,NEW YORK,NY,10018-7001,0.0,3.0,2.0,200606.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3,,,0,N,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.40884000000000004,A,A51,A,36061.0,5602.0,5600.0
3470,43649708,200912,201024.0,29491149331140,A51,N,Y,0.0,1.0,2009,2.0,3.0,3.0,3,0.0,25000,96,0,0,0,0,0,17500,25096,29203,-4107,28448,0,0,61421,0,0,0,0,0,61421,0,3110,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,96,0,11703,594,10948,594,0,61179,0,0,61421,0,61421,0,0,0,0,0,0,0,0,0,0,63153,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,43649708200912,436497082009,rtf09pf,0,0,10025.0,PISANO CHASE CATALOGUE RAISONNE PROJECT INC,D FREDERICK BAKER,375 RIVERSIDE DR APT 13B,NEW YORK,NY,10025-2149,0.0,3.0,2.0,200302.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.72132,B,A51,A,36061.0,5602.0,5600.0
3622,43789287,200912,201023.0,93491147005000,A20,N,Y,0.0,1.0,2009,3.0,2.0,1.0,3,0.0,0,31,0,0,0,0,0,0,31,932,-901,0,0,0,11502,0,0,0,0,1,11502,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,31,31,932,932,0,932,932,0,0,0,11502,0,11502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12403,0,0,12403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,43789287200912,437892872009,rtf09pf,0,0,10002.0,STAEDEL FRIENDS INC,PAUL B GROSSE,291 SOUTH AVENUE 5TH FLOOR,NEW YORK,NY,10002-0000,0.0,3.0,2.0,200405.0,1.0,15.0,0.0,0.0,0.0,1.0,1.0,200712.0,20.0,12,,,3,N,,A20,A,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.4529,B,A20,A,36061.0,5602.0,5600.0
4285,46124122,200912,201049.0,29491324094140,,N,Y,0.0,1.0,2009,3.0,5.0,4.0,3,602.0,0,0,9841,-13743,0,3674,0,21323,-228,33852,-34080,24858,967,0,564566,0,376255,68782,445037,0,706955,0,30918,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,9786,0,12529,8819,3535,8819,0,0,0,70086,706955,0,564566,19,0,0,1350,0,0,0,0,1331,19,627770,30447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,46124122200912,461241222009,rtf09pf,-1331,0,10016.0,NATHANIEL SALTONSTALL ARTS FUND,BEHAN LING & RUTA CPAS PC,475 PARK AVE S 31ST F,NEW YORK,NY,10016-0000,0.0,3.0,1.0,196101.0,1.0,4.0,602.0,0.0,0.0,2.0,1.0,0.0,1.0,12,,,0,N,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.39801,B,A12,A,36061.0,5602.0,5600.0
6115,61507432,200906,201041.0,29491268014000,A20Z,N,Y,0.0,1.0,2008,3.0,1.0,1.0,3,994.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,61507432200906,615074322009,rtf09pf,0,0,10003.0,WYOMING ARTS INC,HOWARD GUTTENPLAN,5 E 3RD ST,NEW YORK,NY,10003-0800,0.0,3.0,2.0,199808.0,1.0,4.0,994.0,90.0,91.0,1.0,1.0,0.0,1.0,6,,,0,N,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.58077,B,A20,A,36061.0,5602.0,5600.0
