,EIN,DocCD,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,FUNDBALx,ASS_EOYx,LIAB_EOYx,RETEARNx,BOND_EOYx,MRTG_EOYx,FISYRx,BOND_BOY_OLD,MRTG_BOY_OLD,RETE_BOY_OLD,fincheckv,DuesFlg,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA
877,10902003,93,10.0,201012,2010,S47,0,0,0,0,0,0,0,0,0,0,3202200,3202200,54001000,0,0,54001000,54001000,0,0,0,0,0,0,0,0,0,0,0,3202200,0,0,,3202200,3202200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,N,9.0,1.0,201128.0,29493169083171,1.0,2010,6.0,Y,1.0,N,1.0,0.0,2010,10017-2014,10017.0,10902003201012,109020032010,12.0,0.0,0.0,0.0,270 PARK AVE,3.0,0.0,NEW YORK,1.0,CHARLES KILBY,2.0,0.0,10.0,0.0,PHOENIX CORPORATE TOWER FUNDING COMPANY INC,1.0,200909.0,,NY,rtf10co,,4.0,4.0,4.0,54001000,54001000,0,0,0,0,2009.0,0,0,0,,0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.67065,C,A60,A,36061.0,5602.0,5600.0
878,10902004,93,9.0,200912,2009,S47,0,0,0,0,0,0,0,0,0,0,2492000,2492000,1000,0,0,40001000,1000,0,0,0,0,0,0,0,0,0,0,0,2492000,0,0,,2492000,2492000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,N,1.0,1.0,201045.0,29493191204390,1.0,2009,6.0,Y,1.0,N,1.0,0.0,2009,10167-0002,10167.0,10902004200912,109020042009,12.0,0.0,0.0,0.0,245 PARK AVE,3.0,0.0,NEW YORK,1.0,CHARLES KILBY,2.0,0.0,10.0,0.0,CORNERSTONE TERRACE FUNDING COMPANY INC,1.0,201002.0,,NY,CORE09co,1.0,4.0,4.0,4.0,1000,1000,0,0,0,0,2009.0,0,0,0,,0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.69833,C,A60,A,36061.0,5602.0,5600.0
879,10902008,93,9.0,200912,2009,S47,0,0,0,0,0,0,0,0,0,0,203609,203609,1000,0,0,49001000,1000,0,0,0,0,0,0,0,0,0,0,0,203609,0,0,,203609,203609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,N,1.0,1.0,201045.0,29493191205020,1.0,2009,4.0,Y,1.0,N,1.0,0.0,2009,10167-0002,10167.0,10902008200912,109020082009,12.0,0.0,0.0,0.0,245 PARK AVE,3.0,0.0,NEW YORK,1.0,CHARLES KILBY,2.0,0.0,10.0,0.0,DULLES STATION FUNDING COMPANY INC,1.0,201002.0,,NY,CORE09co,1.0,2.0,2.0,2.0,1000,1000,0,0,0,0,2009.0,0,0,0,,0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.47968,C,A60,A,36061.0,5602.0,5600.0
2658,30560682,93,10.0,201012,2010,A23,56918,0,0,0,0,0,0,0,0,0,56918,53857,52039,0,0,48645,52039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56918,56918,0,0,0,0,0,0,0,3061,0,0,0,0,0,0,0,48645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,N,3.0,1.0,201134.0,29493218004201,1.0,2010,3.0,Y,1.0,N,1.0,0.0,2010,11426-0001,11426.0,30560682201012,305606822010,12.0,0.0,0.0,0.0,PO BOX 260001,3.0,0.0,BELLROSE,3.0,RANJIT S JANJUA,2.0,0.0,10.0,0.0,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,1.0,200707.0,S B NIDHAN SINGH JI CULTURAL SOC,NY,rtf10co,1.0,1.0,1.0,1.0,43601,43601,0,43601,0,0,2007.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.60924,B,A23,A,36081.0,5602.0,5600.0
4071,42565109,92,9.0,200912,2009,,0,69055,0,0,0,0,0,0,0,0,273163,275273,1105,0,0,3215,1105,0,0,0,0,0,0,0,0,0,0,0,203984,0,124,,273163,273163,0,0,0,0,0,0,0,-2110,0,0,0,0,0,0,0,3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200.0,N,1.0,1.0,201033.0,93492221006060,1.0,2009,4.0,Y,1.0,N,1.0,0.0,2009,10016-5432,10016.0,42565109200912,425651092009,12.0,200.0,0.0,0.0,166 MADISON AVE FL 5,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,1.0,197704.0,,NY,CORE09co,1.0,2.0,2.0,2.0,1105,1105,0,0,0,0,2009.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9064,A,A23,A,36061.0,5602.0,5600.0
5396,43724612,92,10.0,201012,2010,,37311,0,0,0,0,0,0,0,0,0,37311,31991,136701,0,0,131381,136701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37311,37311,0,0,0,0,0,0,0,5320,0,0,0,0,0,0,0,131381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,907.0,N,4.0,1.0,201122.0,93492143005041,1.0,2010,3.0,Y,1.0,N,1.0,0.0,2010,11693-1048,11693.0,43724612201012,437246122010,12.0,907.0,908.0,0.0,209 CROSS BAY BLVD,9.0,0.0,BROAD CHANNEL,1.0,,1.0,0.0,20.0,925.0,AMERICAN LEGION,5.0,194603.0,1404 BROAD CHANNEL POST,NY,rtf10co,2.0,1.0,1.0,1.0,131381,131381,0,0,0,0,2009.0,0,0,0,,0,A32,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.5361899999999999,A,A32,A,36081.0,5602.0,5600.0
8310,61420853,93,10.0,201006,2009,,781130,0,0,0,7396,0,0,0,0,0,939020,939921,771656,2558,0,951191,998339,224134,226683,234151,0,0,0,0,0,0,0,0,129189,0,21305,,939020,939020,0,0,0,0,0,0,0,-901,0,257333,0,0,0,0,0,727057,0,0,0,0,0,7396,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,121.0,N,5.0,1.0,201141.0,29493267083141,1.0,2010,5.0,Y,1.0,N,1.0,0.0,2009,10017-2803,10017.0,61420853201006,614208532010,6.0,121.0,904.0,0.0,747 THIRD AVE STE 8C,3.0,0.0,NEW YORK,3.0,,2.0,0.0,10.0,0.0,AUSTRALIAN BROADCASTING CORPORATION,1.0,199602.0,,NY,rtf10co,3.0,3.0,3.0,3.0,867790000,1143253000,275463000,276361,0,76496000,2008.0,0,0,0,,0,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.94571,A,A30,A,36061.0,5602.0,5600.0
8478,61597372,93,10.0,201012,2010,,0,0,0,0,3738,0,0,0,0,0,7217511,2348899,69437737,0,0,76179279,69715941,278082,278204,-1097332,0,0,0,0,0,0,0,0,7213773,0,0,,7217511,7217511,0,0,0,0,0,0,0,4868612,0,0,0,0,0,0,0,75901197,0,0,0,0,0,3738,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.0,N,9.0,1.0,201151.0,29493330003111,1.0,2010,7.0,Y,1.0,N,1.0,0.0,2010,10163-5005,10163.0,61597372201012,615973722010,12.0,0.0,0.0,0.0,PO BOX 5005,3.0,0.0,NEW YORK,1.0,JP MORGAN INVESTMENT MANAGEMENT I,2.0,0.0,10.0,0.0,LAKEMONT INDUSTRIAL HOLDING COMPANY,1.0,200108.0,,NY,rtf10co,,5.0,5.0,4.0,75964437,76210899,246462,6099130,0,0,2009.0,0,0,0,,0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.45296000000000003,C,A60,A,36061.0,5602.0,5600.0
8605,61776328,93,,200812,2008,Y43,0,0,0,0,24909,0,0,0,0,0,21392487,22543295,558472,0,0,1709280,558472,0,0,558472,0,0,0,0,0,0,0,0,21367578,0,0,,21392487,21392487,0,0,0,0,0,0,0,-1150808,0,0,0,0,0,0,0,1709280,0,0,0,0,0,24909,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1709280,0.0,N,5.0,1.0,200940.0,29493262180079,1.0,2008,8.0,Y,1.0,N,1.0,0.0,2008,10016-1901,10016.0,61776328200812,617763282008,12.0,0.0,0.0,0.0,600 THIRD AVE,3.0,0.0,NEW YORK,1.0,L-3 COMMUNICATIONS CORP-PAT HEMPH,2.0,0.0,10.0,0.0,L-3 COMMUNICATIONS GROUP HEALTH PLAN SERVICE CONTRACT ACT VEBA,2.0,200707.0,,NY,CORE09co,3.0,,,,558472,558472,0,558472,0,0,2008.0,0,0,1709280,,0,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.14379,A,A30,A,36061.0,5602.0,5600.0
9569,112022650,92,10.0,201012,2010,,0,7294,0,0,0,0,0,0,0,0,141330,150060,53742,0,0,62949,54492,477,750,0,0,0,0,0,0,0,0,0,132336,0,1700,,141330,141330,0,0,0,0,0,0,0,-8730,0,0,0,0,0,0,0,62472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,920.0,N,3.0,1.0,201115.0,29492078340071,1.0,2010,4.0,Y,1.0,Y,1.0,0.0,2010,11223-5002,11223.0,112022650201012,1120226502010,12.0,920.0,0.0,0.0,2366 CONEY ISLAND AVE,3.0,0.0,BROOKLYN,2.0,,2.0,0.0,10.0,0.0,AUTO BODY CRAFTSMENS GUILD INC,1.0,196506.0,,NY,rtf10co,1.0,2.0,2.0,2.0,62472,62949,477,0,0,0,2009.0,0,0,0,,1,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.15002000000000001,A,A40,A,36047.0,5602.0,5600.0
