,EIN,DocCD,TAXPER,TaxPer_OLD,ARC,ASS_CODE,EOSTATUS,INC_CODE,LRC,POPCD,RECCODE,RESERVED,SOIYR,CYCLE,NTEEIRS,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NumEmpEstimate,NumEmpCode,NumEmpYr,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,PayAfflEstimate,PayAfflCode,PayAfflYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,NetLandEstimate,NetLandCode,NetLandYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,PermRnaEstimate,PermRnaCode,PermRnaYr,TempRnaEstimate,TempRnaCode,TempRnaYr,GovGtEstimate,GovGtCode,GovGtYr,AdminExpEstimate,AdminExpCode,AdminExpYr,ProgExpEstimate,ProgExpCode,ProgExpYr,NAICS,LONGITUDE,LATITUDE,ProffeesEstimate,ProffeesCode,ProffeesYr,OccuEstimate,OccuCode,OccuYr,InterEstimate,InterCode,InterYr,GrantEstimate,GrantCode,GrantYr,DepRecEstimate,DepRecCode,DepRecYr,CommEstimate,CommCode,CommYr,AssIndEstimate,AssIndCode,AssIndYr,compothestimate,compothcode,compothyr,EmpBenEstimate,EmpBenCode,EmpBenYr,SupplyEstimate,SupplyCode,SupplyYr,PensionEstimate,PensionCode,PensionYr,benmemestimate,benmemCode,benmemYr,othexpestimate,othexpCode,othexpYr,epostcard
176,10263908,93,201012,201012,N,8,1,6,Y,1,1,0,2010,201147,A250,2010,854020,0,430600,325776,224148,0,5319,99181,0,0,2206335,1648296,14871303,207446,0,13668452,14907646,33938,36343,0,0,0,0,0,0,0,0,139956,449300,0,3811,,1735284,1735284,0,104824,0,0,0,139956,104500,86988,0,463573,68279,0,0,0,0,13634514,0,0,0,0,0,224148,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,46,1,93493319037931,2010,N,10003-1503,10003.0,IN,,10263908201012,102639082010.0,12,46.0,119.0,30.0,200 PARK AVE SOUTH,3.0,0.0,NEW YORK,2.0,,1.0,11.0,10.0,0.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,1.0,194707.0,,NY,rtf10pc,,4.0,4.0,4.0,A25,A,7,M,2006,36061.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,,AR,AR,AR,0.36405,A,838616,j4,2008,0,j4,2008,0,j4,2008,6444480.0,c4,2006.0,0,j4,2008,20372,j4,2008,13480273,j4,2008,0,j4,2008,927301,j4,2008,782982.0,j1,2008.0,6796034.0,c4,2006.0,1630789.0,c4,2006.0,15404,j4,2008,,,,,,,611610.0,-73.9891683,40.73698677,,u,,116884,j4,2008,0,j4,2008,0,j4,2008,89956,j4,2008,54726,j4,2008,,u,,,u,,66490,j4,2008,44129,j4,2008,13502,j4,2008,,u,,,u,,
642,10391592,92,201012,201012,N,1,1,3,Y,1,1,0,2010,201120,B99Z,2010,1085,0,0,0,0,0,65,235,0,0,60127,66549,1153,0,0,7640,1153,0,0,0,0,0,0,0,0,0,0,0,58742,0,0,,60062,60062,0,0,0,0,0,0,300,-6487,0,0,0,0,0,0,0,7640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,149,1,93492131021511,2010,N,11231-0000,11231.0,IN,,10391592201012,103915922010.0,12,149.0,319.0,0.0,VAN BRUNT STATION BOX 150-597,3.0,0.0,BROOKLYN,1.0,,1.0,16.0,10.0,0.0,MAINE JAZZ CAMP,1.0,198809.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A68,A,0,L,0,36047.0,5602.0,5600.0,A68,A,PC,O,AR,A,A,,AR,AR,AR,0.34988,A,1085,ez,2010,0,ez,2010,0,j7,2009,,ez,0.0,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0.0,dd,2003.0,,ez,0.0,,ez,0.0,0,ez,2010,,,,,,,711130.0,-74.006075,40.6826445,,u,,26764,j7,2009,0,j7,2009,0,j7,2009,0,j7,2009,712,j7,2009,,u,,,u,,0,j7,2009,0,j7,2009,0,j7,2009,,u,,,u,,
1580,10569203,92,200906,200906,N,6,1,3,Y,1,1,0,2008,201043,A50,2008,32550,0,0,0,0,0,0,0,0,0,32550,31000,1559369,0,0,1557819,1559369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32550,32550,0,0,0,0,0,0,0,1550,0,0,0,0,0,0,0,1557819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492261365160,2009,N,10027-4436,10027.0,IN,,10569203200906,105692032009.0,6,0.0,0.0,0.0,163 W 125TH ST STE 903,3.0,0.0,NEW YORK,2.0,,1.0,15.0,10.0,0.0,MUSEUM OF AFRICAN AMERICAN CINEMA INC,1.0,200506.0,MOAAC,NY,CORE09pc,,,,,A50,A,0,L,0,36061.0,5602.0,5600.0,A50,A,PC,O,AR,A,A,,AR,AR,AR,0.80501,A,32550,ez,2009,0,ez,2009,0,ag,0,,u,,40864,av,0,354807,av,0,264243,av,0,94053,av,0,532243,av,0,532243.0,av,0.0,,u,,,u,,0,ez,2009,,,,,,,712110.0,-73.947289118,40.808560891999996,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
1910,10627379,93,201012,201012,N,1,1,3,Y,1,1,0,2010,201120,A23,2010,29790,0,0,0,0,0,0,0,0,0,29790,24485,7026,0,0,3193,7210,1472,184,0,0,0,0,0,0,0,0,0,0,0,0,,29790,29790,0,0,0,0,0,0,0,5305,0,0,0,0,0,0,0,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93493131029551,2010,N,10011-1803,10011.0,IN,,10627379201012,106273792010.0,12,0.0,0.0,0.0,130 7TH AVE,3.0,0.0,NEW YORK,1.0,ROGERS & CO CPAS PC,1.0,15.0,20.0,0.0,ZANGDOKPALRI FOUNDATION INC,1.0,200307.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A23,A,0,L,0,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,,AR,AR,AR,0.20840999999999998,B,29790,c4,2006,0,c4,2006,0,dd,2003,7026.0,c4,2006.0,0,dd,2003,0,dd,2003,0,dd,2003,5016,dd,2003,1332,dd,2003,590.0,dd,2003.0,0.0,c4,2006.0,0.0,c4,2006.0,0,c4,2006,,,,,,,710000.0,-73.998127357,40.741191929,,u,,504,dd,2003,0,dd,2003,12963,dd,2003,288,dd,2003,864,dd,2003,,u,,,u,,0,dd,2003,2376,dd,2003,0,dd,2003,,u,,,u,,
1945,10632725,92,201012,201012,N,3,1,3,Y,1,1,0,2010,201133,A60,2010,47408,0,0,0,0,0,0,0,0,0,91214,115938,12815,0,0,42179,47815,0,35000,0,0,0,0,0,0,0,0,0,43806,0,0,,91214,91214,0,0,0,0,0,0,0,-24724,0,0,0,0,0,0,0,42179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492204038291,2010,N,11231-3657,11231.0,IN,,10632725201012,106327252010.0,12,0.0,0.0,0.0,383 CLINTON ST,3.0,0.0,BROOKLYN,2.0,DEAN MOSS,1.0,15.0,10.0,0.0,GAMETOPHYTE INC,1.0,200205.0,,NY,rtf10pc,1.0,1.0,1.0,2.0,A60,A,0,L,0,36047.0,5602.0,5600.0,A60,A,PC,O,AR,A,A,,AR,AR,AR,0.5962,B,47408,ez,2010,0,ez,2010,0,dd,2003,,ez,0.0,0,dd,2003,0,dd,2003,0,dd,2003,32345,dd,2003,15188,dd,2003,13398.0,dd,2003.0,,ez,0.0,,ez,0.0,0,ez,2010,,,,,,,711100.0,-73.99732,40.683111,,u,,0,dd,2003,0,dd,2003,0,dd,2003,16472,dd,2003,1901,dd,2003,,u,,,u,,0,dd,2003,3801,dd,2003,0,dd,2003,,u,,,u,,
1958,10635574,92,200906,201106,N,4,1,4,Y,1,1,0,2008,201013,A65,2008,145824,0,0,0,0,0,0,0,0,0,145824,77437,427854,0,0,359466,427854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,145824,145824,0,0,0,0,0,0,0,68387,0,0,0,0,0,0,0,359466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492065111130,2009,N,10014-5242,10014.0,IN,,10635574200906,106355742009.0,6,0.0,0.0,0.0,306 W 4TH ST APT C3,3.0,0.0,NEW YORK,1.0,BARBARA C ROMER,1.0,15.0,20.0,0.0,GLOBE THEATRE INC,1.0,200311.0,,NY,CORE09pc,,,,,A65,A,0,L,0,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,,AR,AR,AR,0.06819,B,145824,c4,2006,0,c4,2006,0,ag,0,,ez,0.0,0,av,0,33017,av,0,64952,av,0,38269,av,0,123622,av,0,123622.0,av,0.0,,ez,0.0,,ez,0.0,0,c4,2006,,,,,,,711110.0,-74.003665233,40.737603123,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
2114,10668318,92,201012,201012,N,3,1,3,Y,1,1,0,2010,201125,A68,2010,79641,0,0,0,72,0,0,0,0,0,95522,100059,25319,0,0,29856,25319,0,0,0,0,0,0,0,0,0,0,0,15809,0,0,,95522,95522,0,0,0,0,0,0,0,-4537,0,0,0,0,0,0,0,29856,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492155056371,2010,N,10025-5610,10025.0,IN,,10668318201012,106683182010.0,12,0.0,0.0,0.0,229 W 97TH ST APT 1B,3.0,0.0,NEW YORK,2.0,VOORHEES,1.0,16.0,10.0,0.0,INTERNATIONAL KEYBOARD INSTITUTE AND FESTIVAL,1.0,200207.0,,NY,rtf10pc,1.0,1.0,1.0,2.0,A68,A,0,L,0,36061.0,5602.0,5600.0,A68,A,PC,O,AR,A,A,,AR,AR,AR,0.27609,B,79641,c4,2006,0,c4,2006,0,ag,0,25319.0,c4,2006.0,0,av,0,1954,av,0,3844,av,0,2265,av,0,7316,av,0,8626.0,av,0.0,0.0,c4,2006.0,0.0,c4,2006.0,0,c4,2006,,,,,,,711130.0,-73.970976137,40.795148849,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
2131,10671893,92,201012,201012,N,1,1,4,Y,1,1,0,2010,201117,A61,2010,0,0,0,0,0,0,0,0,0,0,102158,91728,617,0,0,1736,4087,11549,3470,0,0,0,0,0,0,0,0,0,102158,0,0,,102158,102158,0,0,0,0,0,0,0,10430,0,0,0,0,0,0,0,-9813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492092044401,2010,N,10303-2548,10303.0,IN,,10671893201012,106718932010.0,12,0.0,0.0,0.0,134 MARINERS LN,3.0,0.0,STATEN ISLAND,2.0,,1.0,15.0,10.0,0.0,ALEXANDRIA & AKEAS PLAYHOUSE INC,1.0,200208.0,,NY,rtf10pc,1.0,2.0,2.0,1.0,A61,A,0,L,0,36085.0,5602.0,5600.0,A61,A,PC,O,AR,A,A,,AR,AR,AR,0.36804000000000003,A,0,a,2010,0,a,2010,0,ag,0,,u,,0,av,0,315,av,0,620,av,0,366,av,0,1181,av,0,502.0,av,0.0,,u,,,u,,0,a,2010,,,,,,,711100.0,-74.15286478899999,40.63556,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
2460,10728746,93,201008,201108,N,4,1,4,Y,1,1,0,2009,201104,A20,2009,71034,0,0,0,0,0,0,0,0,0,165685,182668,107350,0,0,124783,109866,0,2516,22865,0,0,0,0,0,0,0,0,94651,0,0,,165685,165685,0,0,0,0,0,0,0,-16983,0,0,0,0,0,0,0,124783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,41551,0,1,29493008286011,2010,N,11215-0000,11215.0,IN,,10728746201008,107287462010.0,8,0.0,0.0,0.0,232 THIRD STREET E002,3.0,0.0,BROOKLYN,1.0,,1.0,15.0,10.0,0.0,UGLY DUCKLING PRESSE LTD,1.0,200404.0,,NY,rtf10pc,2.0,2.0,2.0,2.0,A20,A,0,L,0,36047.0,5602.0,5600.0,A20,A,PC,O,AR,A,A,,AR,AR,AR,0.84455,B,71034,ag,0,0,ag,0,0,ag,0,,u,,0,av,0,4863,av,0,7049,av,0,9713,av,0,64224,av,0,72944.0,av,0.0,,u,,,u,,0,ag,0,,,,,,,710000.0,-73.987505,40.67477,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
2504,10734181,92,201012,201012,N,3,1,3,Y,1,1,0,2010,201134,A032,2010,34625,20017,0,0,0,0,0,0,0,0,87983,43448,52575,0,0,8040,52575,0,0,0,0,0,0,0,0,0,0,0,33341,0,0,,87983,87983,0,0,0,0,0,0,0,44535,0,0,0,0,0,0,0,8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93492227015391,2010,N,10003-0000,10003.0,IN,,10734181201012,107341812010.0,12,0.0,0.0,0.0,C/O H MANDEL 151 1ST AVENUE,3.0,0.0,NEW YORK,1.0,H MANDEL,1.0,15.0,10.0,0.0,JAZZ JOURNALISTS ASSOCIATION,1.0,200406.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A6C,A,0,L,0,36061.0,5602.0,5600.0,A6C,A,PC,O,AR,A,A,,AR,AR,AR,0.08788,A,34625,ez,2010,0,ez,2010,0,ag,0,,u,,0,av,0,4057,av,0,7981,av,0,4703,av,0,15191,av,0,2323.0,av,0.0,,u,,,u,,0,ez,2010,,,,,,,711130.0,-73.98487758600001,40.728774214,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
