,EIN,DocCD,TAXPER,CYCLE,DLN,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,EOY,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,ARED,FRCD,ACCPER,SEC_NAME,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA,VERIFY
165,10548602,91,201009,201136.0,29491232112181,A51,N,Y,0.0,1.0,2009,2.0,5.0,3.0,3,0.0,0,0,7430,25570,0,2120,0,55100,56170,92720,-36550,55800,23197,0,938635,33192,305100,0,338292,850,866895,0,67363,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,21050,0,54333,0,37620,31136,700,31136,0,4662,0,-96485,866895,0,937785,464,0,0,500,0,10,0,0,46,464,1367776,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,10548602201009,105486022010,rtf10pf,10,-46,0,10003.0,SHEPARDS CORNERSTONE FOUNDATION INC,L WOLLIN,89 5TH AVE STE 400,NEW YORK,NY,10003-3020,0.0,3.0,2.0,200207.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,9,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9808,B,A51,A,36061.0,5602.0,5600.0,
378,10730531,91,201012,201123.0,29491141121041,A50,N,Y,0.0,1.0,2010,3.0,1.0,1.0,3,0.0,1000,0,0,0,0,0,0,0,1000,3138,-2138,3138,0,0,400,0,0,0,0,0,400,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,3138,0,3138,0,0,400,0,0,400,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,10730531201012,107305312010,rtf10pf,10,0,0,11354.0,FRIENDS OF THE NEW YORK CITY HALL OF FAME,ALBERT STERN,PO BOX 541398,FLUSHING,NY,11354-7398,0.0,3.0,1.0,200210.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,12,,A115,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.6627,A,A1150,A,36081.0,5602.0,5600.0,
381,10733159,91,201012,201124.0,29491141264051,A70,N,Y,0.0,1.0,2010,2.0,5.0,4.0,3,0.0,200000,11,0,0,0,3858,0,0,203869,92016,111853,83361,0,0,725949,0,0,0,0,4996,725949,0,4981,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,3869,3869,92016,4419,83361,4419,3869,0,0,0,725949,0,720953,0,0,0,0,0,0,0,0,0,0,101133,0,0,0,4664,4003,8667,83361,46796,24122,76604,230883,321949,205890,253021,272539,1053399,96000,96000,96000,96000,384000,3321,4031,5549,2669,15570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,10733159201012,107331592010,rtf10pf,10,0,0,10011.0,FELIX GONZALEZ-TORRES FOUNDATION,ANDREA M ROSEN,525 W 24TH ST,NEW YORK,NY,10011-1104,0.0,3.0,1.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,12,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.26291,B,A70,A,36061.0,5602.0,5600.0,
1425,30420728,91,201010,201147.0,93491318002141,A50,N,Y,0.0,1.0,2009,2.0,4.0,4.0,3,0.0,464502,0,0,0,0,0,0,0,464502,555707,-91205,398286,0,0,408614,0,0,0,0,80000,408614,0,1566,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,555707,0,398286,0,157421,24602,0,0,408614,30000,328614,0,0,0,0,0,0,0,0,0,0,31792,0,1,0,0,0,1,398286,306382,292030,414372,1411070,1,0,779843,800627,1580470,0,0,690918,788685,1479603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,30420728201010,304207282010,rtf10pf,10,0,0,10019.0,COURAGEOUS FOUNDATION,CRAIG J MILLARD,712 FIFTH AVE NO 11,NEW YORK,NY,10019-4108,0.0,3.0,2.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,10,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9726799999999999,B,A50,A,36061.0,5602.0,5600.0,
1451,30453739,91,201103,201139.0,29491253061061,B05,N,Y,0.0,1.0,2010,2.0,1.0,1.0,3,0.0,20,0,0,0,0,0,0,0,20,155,-135,0,0,0,20,0,0,0,0,0,20,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,155,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,30453739201103,304537392011,rtf10pf,11,0,0,11352.0,GLOBE CONSULTATIVE REVIEW FOUNDATION M S ED DIRECTOR,F HOPE,PO BOX 520694,FLUSHING,NY,11352-0694,0.0,3.0,1.0,200510.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3,,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.79042,A,A33,A,36081.0,5602.0,5600.0,
3207,43789287,91,201012,201125.0,93491165000011,A20,N,Y,0.0,1.0,2010,3.0,2.0,1.0,3,0.0,1350,27,0,0,0,0,0,0,1377,900,477,0,27,27,11979,0,0,0,0,1,1,551,551,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,27,27,900,0,0,0,0,0,0,0,0,0,11979,0,0,0,0,0,0,0,0,0,0,11179,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,43789287201012,437892872010,rtf10pf,10,0,0,10103.0,STAEDEL FRIENDS INC,STEVEN H THAL,666 FIFTH AVE,NEW YORK,NY,10103-0001,0.0,3.0,2.0,200405.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,12,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.19422,B,A20,A,36061.0,5602.0,5600.0,
3808,46124122,91,201012,201150.0,29491330036121,,N,Y,0.0,1.0,2010,3.0,5.0,2.0,3,602.0,0,10952,0,22315,0,13862,0,39862,47129,53504,-6375,43397,23480,0,558191,0,444221,24896,469117,0,777829,0,34442,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,33277,0,13642,9797,3535,9797,0,0,0,26426,777829,0,558191,235,0,0,1331,0,0,0,0,1096,235,699332,30733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,46124122201012,461241222010,rtf10pf,10,-1096,0,10016.0,NATHANIEL SALTONSTALL ARTS FUND,BEHAN LING & RUTA CPAS PC,475 PARK AVE S 31ST F,NEW YORK,NY,10016-0000,0.0,3.0,1.0,196101.0,1.0,4.0,602.0,0.0,0.0,2.0,0.0,1.0,12,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.40687,B,A12,A,36061.0,5602.0,5600.0,
3818,46128361,91,201012,201133.0,29491211039021,,N,Y,0.0,1.0,2010,3.0,6.0,4.0,3,119.0,50000,0,42276,8351,0,0,0,23250,100627,77521,23106,60569,37615,0,1342478,345190,267593,229525,842308,0,1398252,0,64467,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,50627,0,54271,13012,37319,13012,0,106199,0,393971,1398252,0,1342478,752,0,0,1188,0,0,0,0,436,752,1308983,71715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,46128361201012,461283612010,rtf10pf,10,-436,0,10001.0,KOUSSEVITZKY MUSIC FOUNDATION INC,LAW OFFICES OF JAMES M KENDRICK L,254 W 31ST ST FL 15,NEW YORK,NY,10001-2813,0.0,3.0,1.0,194206.0,1.0,4.0,119.0,40.0,0.0,1.0,0.0,1.0,12,,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.10392,A,A68,A,36061.0,5602.0,5600.0,
5492,61507432,91,201106,201144.0,29491288030211,A20Z,N,Y,0.0,1.0,2010,3.0,1.0,1.0,3,994.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,61507432201106,615074322011,rtf10pf,11,0,0,10003.0,WYOMING ARTS INC,HOWARD GUTTENPLAN,5 E 3RD ST,NEW YORK,NY,10003-0801,0.0,3.0,2.0,199808.0,1.0,4.0,994.0,90.0,91.0,1.0,0.0,1.0,6,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.57267,B,A20,A,36061.0,5602.0,5600.0,
5571,61532031,91,201012,201138.0,93491257001051,A12,N,Y,0.0,1.0,2010,3.0,6.0,1.0,3,0.0,0,0,0,0,0,0,0,60000,1,60250,-60249,60000,0,0,1133512,0,0,0,0,54000,1133512,0,58545,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,250,0,0,0,0,3512,0,0,1133512,0,1079512,0,0,0,0,0,0,0,0,0,0,1188737,58545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,61532031201012,615320312010,rtf10pf,10,0,0,10106.0,ALEPH FOUNDATION FOR HUMANITIES,EURISTATES INC,888 7TH AVE STE 1101,NEW YORK,NY,10106-0206,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,12,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8937200000000001,A,A70,A,36061.0,5602.0,5600.0,
