,EIN,NAME,SEC_NAME,ADDRESS,CITY,STATE,ZIP,ZIP5,CONTACT,NTEEIRS,SUBSECCD,FNDNCD,RULEDATE,ORGCD,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,CLASSCD,DEDUCTCD,EOSTATUS,FRCD,GEN,TAXPER,FISYR,SOIYR,STYEAR,subcd,CONT,PROGREV,INVINC,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,RENTINC,rntlexpnsreal,rntlexpnsprsnl,RENTEXP,rntlincreal,rntlincprsnl,NETRENT,SECUR,SALEOTHG,SALESEXP,SALEOTHE,SALESECN,SALEOTHN,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,SPEVTG,DIREXP,FUNDINC,INVENTG,GOODS,GRPROF,OTHINC,TOTREV2,TOTREV,GRREC,COMPENS,OTHSAL,PAYTAX,FUNDFEES,EXPS,NETINC,OTHCHGS,ASS_BOY,ASS_EOY,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,unsecurednotesend,LIAB_BOY,LIAB_EOY,RETE_BOY,RETEARN,NETA_BOY,FUNDBAL,Q78A,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,REASON,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,inPrior,inPriorSrc,taxperP,fisyrP,doccdP,contP,progrevP,duesP,invincP,netrentP,salesecnP,saleothnP,fundincP,grprofP,othincP,totrevP,expsP,netincP,compensP,othsalP,paytaxP,fundfeesP,DocCD,FileName,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,nteeFinal,nteeFinal1,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NAICS,LONGITUDE,LATITUDE,epostcard,SOURCE,KeyID,VERIFY
680,116042353,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,1502 NY LOC NYC BROOKLYN MUSEUM EMP,200 EASTERN PKWY,BROOKLYN,NY,11238-0000,11238.0,WILSON SOUFFRANT,,5,0.0,195708.0,5.0,9.0,263.0,59.0,264.0,9.0,3.0,2.0,1.0,10.0,1381.0,201109,2011,2010,2010,5.0,0,113906,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,113970,113970,113970,0.0,4008.0,553.0,0.0,113590,380,0.0,40205.0,40540,0.0,0.0,0.0,0.0,0.0,4078.0,4033,0.0,0.0,36127.0,36507,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rtf10co,201009.0,2010.0,93.0,0.0,115674.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,115765.0,115951.0,-186.0,0.0,4228.0,585.0,0.0,93,116042353_201109_990O,IN,,116042353201109,1160423532011,A50,A,36047.0,5602.0,5600.0,A50,A,O,O,AR,A,A,1,AR,AR,AR,0.77054,A,712110.0,-73.962251,40.6713095,0,NCCS_Form990_2012_Extract_Final,1487,
2217,203132925,AMERICAN ASSOCIATION OF INDEPENDENT MUSIC INC,,29 W 17TH ST FL 10,NEW YORK,NY,10011-5507,10011.0,RICHARD BENGLOFF,S41,6,0.0,200509.0,1.0,6.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,10.0,0.0,201106,2011,2010,2010,6.0,828707,0,2686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,831393,831393,831393,294000.0,0.0,28508.0,0.0,631121,200272,0.0,508657.0,817629,0.0,0.0,0.0,0.0,0.0,16373.0,125073,0.0,0.0,492284.0,692556,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rtf10co,201006.0,2010.0,93.0,630160.0,0.0,0.0,4468.0,0.0,0.0,0.0,0.0,0.0,0.0,634628.0,608617.0,26011.0,296500.0,92690.0,30060.0,0.0,93,203132925_201106_990O,IN,,203132925201106,2031329252011,A68,A,36061.0,5602.0,5600.0,A68,A,O,O,AR,A,A,1,AR,AR,AR,0.6493,A,711130.0,-73.990824,40.734724799999995,0,NCCS_Form990_2012_Extract_Final,3758,
3474,131520977,ART & ANTIQUE DEALERS LEAGUE OF AMERICA INC,,PO BOX 2066,NEW YORK,NY,10021-0052,10021.0,,,6,0.0,197601.0,1.0,9.0,119.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201109,2011,2010,2010,6.0,0,77675,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1564815,1642490,1642490,1642490,0.0,0.0,0.0,0.0,1586704,55786,0.0,270401.0,136173,0.0,0.0,0.0,0.0,0.0,190266.0,252,0.0,0.0,80135.0,135921,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rtf10co,201009.0,2010.0,93.0,0.0,69584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69584.0,68485.0,1099.0,0.0,0.0,0.0,0.0,93,131520977_201109_990O,IN,,131520977201109,1315209772011,A0380,A,36061.0,5602.0,5600.0,A038,A,O,O,AR,A,A,1,AR,AR,AR,0.89423,A,813920.0,-73.9597,40.768,0,NCCS_Form990_2012_Extract_Final,5418,
4090,136170369,EXHIBITION EMPLOYEES-829 VACATION FUND,,386 PARK AVE S STE 520,NEW YORK,NY,10016-0000,10016.0,,,9,0.0,196506.0,2.0,6.0,269.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201106,2011,2010,2010,9.0,0,256221,-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,256213,256213,256213,0.0,0.0,4580.0,0.0,259902,-3689,0.0,174996.0,214619,0.0,0.0,0.0,0.0,0.0,226144.0,269456,0.0,0.0,-51148.0,-54837,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rtf10co,201006.0,2010.0,92.0,0.0,0.0,209176.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,209170.0,220051.0,-10881.0,0.0,0.0,0.0,0.0,93,136170369_201106_990O,IN,,136170369201106,1361703692011,A1140,A,36061.0,5602.0,5600.0,A114,A,O,S,ZA,A,A,1,AR,AR,AR,0.33936,B,813219.0,-73.98478399999999,40.743047,0,NCCS_Form990_2012_Extract_Final,6167,
4137,132509231,AUTHORS GUILD INC,,31 E 32ND ST FL 7,NEW YORK,NY,10016-5509,10016.0,,,6,0.0,199603.0,1.0,9.0,200.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201109,2011,2010,2010,6.0,899897,249294,40677,0.0,2398910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674865,0.0,664312,0.0,10553,10553.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,780,3600111,3600111,4264423,313739.0,680411.0,90378.0,0.0,2199128,1400983,-73433.0,4363586.0,5405161,0.0,0.0,0.0,0.0,0.0,610794.0,324819,0.0,0.0,3752792.0,5080342,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,soi09ot9,201009.0,2010.0,93.0,926216.0,226687.0,,33097.0,0.0,9298.0,0.0,0.0,0.0,1012867.0,2208165.0,1931676.0,276489.0,332819.0,579392.0,82016.0,0.0,93,132509231_201109_990O,IN,,132509231201109,1325092312011,A0370,A,36061.0,5602.0,5600.0,A037,A,O,O,AR,A,A,1,AR,AR,AR,0.08096,A,813920.0,-73.98391091100001,40.746714089,0,NCCS_Form990_2012_Extract_Final,6223,
4986,113216404,CARIBBEAN CUP INC,,3206 CLARENDON RD,BROOKLYN,NY,11226-6418,11226.0,FREDERICK BALLENTYNE,,4,0.0,199609.0,1.0,9.0,317.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201109,2011,2010,2010,4.0,14300,118666,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,133182,133182,133182,15000.0,0.0,0.0,0.0,131412,1770,0.0,44303.0,45073,0.0,0.0,0.0,0.0,0.0,1000.0,0,38467.0,40237.0,43303.0,45073,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rtf10co,201009.0,2010.0,93.0,28395.0,99516.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,128130.0,144106.0,-15976.0,10200.0,0.0,0.0,0.0,93,113216404_201109_990O,IN,,113216404201109,1132164042011,A23,A,36047.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.76653,C,710000.0,-73.94653000000001,40.643353000000005,0,NCCS_Form990_2012_Extract_Final,7204,
7705,133071647,KOREAN PRODUCE ASSOCIATION INC,,NY TERMINAL MARKET RM C27,BRONX,NY,10474-0000,10474.0,,,6,0.0,198405.0,1.0,12.0,200.0,229.0,0.0,3.0,2.0,2.0,1.0,10.0,0.0,201112,2011,2011,2011,6.0,134907,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,134907,134907,134907,0.0,0.0,0.0,0.0,134907,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rtf2012_990,201012.0,2010.0,93.0,0.0,97995.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97995.0,97859.0,136.0,0.0,0.0,0.0,0.0,93,133071647_201112_990O,IN,,133071647201112,1330716472011,A23,A,36005.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.0005,A,710000.0,-73.8845,40.8106,0,NCCS_Form990_2012_Extract_Final,10245,
9642,521902671,BRITISH-AMERICAN BUSINESS COUNCIL,,50 VANDERBILT ST 20TH FL,NEW YORK,NY,10017-3803,10017.0,T R MURPHY GEN COUNSEL,,6,0.0,199608.0,1.0,6.0,200.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201106,2011,2010,2010,6.0,95656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,95656,95656,95656,0.0,0.0,0.0,0.0,145915,-50259,1.0,139949.0,89691,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,139949.0,89691,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rtf10co,201006.0,2010.0,93.0,106361.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106561.0,152972.0,-46411.0,0.0,0.0,0.0,0.0,93,521902671_201106_990O,IN,,521902671201106,5219026712011,A23,A,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.59008,A,710000.0,-73.977355,40.75424,0,NCCS_Form990_2012_Extract_Final,12343,
11359,10857925,SAUGUS PLAZA FUNDING COMPANY,,270 PARK AVE,NEW YORK,NY,10017-2014,10017.0,DANIEL SANG,Z99,2,0.0,200706.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201112,2011,2011,2011,2.0,0,1551142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1551142,1551142,1551142,0.0,0.0,0.0,0.0,1551142,0,-348265.0,22001000.0,21652735,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22001000.0,21652735,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rtf10co,201012.0,2010.0,93.0,0.0,1210000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210000.0,1210000.0,0.0,0.0,0.0,0.0,0.0,93,010857925_201112_990O,IN,,10857925201112,108579252011,A1960,A,36061.0,5602.0,5600.0,A196,A,O,O,AR,A,A,1,AR,AR,AR,0.22516,C,813219.0,-73.9753911,40.755807399999995,0,NCCS_Form990_2012_Extract_Final,14164,
11361,133698552,QUEENRHIS FUNDING COMPANY,,270 PARK AVE,NEW YORK,NY,10017-2014,10017.0,J P MORGAN INVESTMENT MANAGEMENT,,2,0.0,199304.0,1.0,12.0,912.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201112,2011,2011,2011,2.0,0,3440000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3440000,3440000,3440000,0.0,0.0,0.0,0.0,3440000,0,0.0,40001000.0,40001000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,40001000.0,40001000,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rtf10co,201012.0,2010.0,93.0,0.0,3440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440000.0,3440000.0,0.0,0.0,0.0,0.0,0.0,93,133698552_201112_990O,IN,,133698552201112,1336985522011,A1960,A,36061.0,5602.0,5600.0,A196,A,O,O,AR,A,A,1,AR,AR,AR,0.17009000000000002,C,813219.0,-73.9753911,40.755807399999995,0,NCCS_Form990_2012_Extract_Final,14166,
