,EIN,NAME,SEC_NAME,ADDRESS,CITY,STATE,ZIP,ZIP5,CONTACT,NTEEIRS,SUBSECCD,FNDNCD,RULEDATE,ORGCD,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,CLASSCD,DEDUCTCD,EOSTATUS,FRCD,GEN,TAXPER,FISYR,SOIYR,STYEAR,subcd,CONT,PROGREV,INVINC,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,RENTINC,rntlexpnsreal,rntlexpnsprsnl,RENTEXP,rntlincreal,rntlincprsnl,NETRENT,SECUR,SALEOTHG,SALESEXP,SALEOTHE,SALESECN,SALEOTHN,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,SPEVTG,DIREXP,FUNDINC,INVENTG,GOODS,GRPROF,OTHINC,TOTREV2,TOTREV,GRREC,COMPENS,OTHSAL,PAYTAX,FUNDFEES,EXPS,NETINC,OTHCHGS,ASS_BOY,ASS_EOY,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,unsecurednotesend,LIAB_BOY,LIAB_EOY,RETE_BOY,RETEARN,NETA_BOY,FUNDBAL,Q78A,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,REASON,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,inPrior,inPriorSrc,taxperP,fisyrP,doccdP,contP,progrevP,duesP,invincP,netrentP,salesecnP,saleothnP,fundincP,grprofP,othincP,totrevP,expsP,netincP,compensP,othsalP,paytaxP,fundfeesP,DocCD,FileName,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,nteeFinal,nteeFinal1,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NAICS,LONGITUDE,LATITUDE,epostcard,SOURCE,KeyID,VERIFY,DirSupEstimate,GovGtEstimate,GovGtCode,GovGtYr,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr
198,920185730,LUQUER STREET PROJECTS INC,,199 LUQUER ST,BROOKLYN,NY,11231-4518,11231.0,PETER COSTA,A70,03,15.0,200308.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,20.0,0.0,201112,2011,2011,2011,7.0,4500,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4500,4500,4500.0,0.0,0.0,0.0,0.0,1759,2741,,,3550,,0.0,,0.0,0.0,,0,,0.0,,3550,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,93,920185730_201112_990O,IN,,920185730201112,9201857302011,A70,A,36047.0,5602.0,5600.0,A70,A,PC,O,AR,A,A,1,AR,AR,AR,0.58244,B,710000.0,-73.99793782,40.676906653,0,NCCS_Form990_2012_Extract_Final,10489,,3934.0,556,ag,0,ag,0.0,10.0,ag,0
245,134138159,DRILLING COMPANY THEATRICAL PRODUCTIONS INC,,236 W 78TH ST STE 3RD FL,NEW TORK,NY,10024-6638,10024.0,HAMILTON CLANCY,A65,03,16.0,200103.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201012,2010,2010,2010,3.0,17450,12000,0,0.0,0.0,30100.0,0.0,30100.0,0.0,0.0,0.0,30100.0,0.0,30100.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,59550,59550,59550.0,0.0,0.0,0.0,0.0,60150,-600,,,153,,0.0,,0.0,0.0,,0,,0.0,,153,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,93,134138159_201012_990O,IN,,134138159201012,1341381592010,A65,A,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.64954,A,711110.0,-73.980073,40.782964,0,NCCS_Form990_2012_Extract_Final,11537,M,12938.0,4512,ar,0,ar,0.0,0.0,ar,0
440,113613828,DOMINICAN PARADE OF BROOKLYN INC,,435 BUSHWICK AVE,BROOKLYN,NY,11206-3730,11206.0,,,03,15.0,200205.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,20.0,0.0,201012,2010,2010,2010,3.0,11561,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,11561,11561,11561.0,0.0,0.0,0.0,0.0,0,11561,,,1,,0.0,,0.0,0.0,,0,,0.0,,0,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,93,113613828_201012_990,IN,,113613828201012,1136138282010,A23,A,36047.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.7021,C,710000.0,-73.936749,40.70212,0,NCCS_Form990_2012_Extract_Final,18524,,11561.0,0,o4,2008,o4,2008.0,0.0,o4,2008
465,510594612,NEIGHBORHOOD MUSIC & ARTS CORP INC,,107-14 QUEENS BLVD STE 19,FOREST HILLS,NY,11375-4249,11375.0,TOBY KASAVAN,A61,03,16.0,200706.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,201112,2011,2011,2011,3.0,0,195421,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,195421,195421,195421.0,0.0,0.0,0.0,0.0,177300,18121,-343.0,10316.0,5023,0.0,0.0,0.0,0.0,0.0,23071.0,0,-50208.0,0.0,-12755.0,5023,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2010pc,201012.0,2010.0,93.0,0.0,135614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135614.0,115153.0,20461.0,0.0,0.0,0.0,0.0,93,No Exact Image Match (JAN13),IN,,510594612201112,5105946122011,A68,A,36081.0,5602.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.40528000000000003,A,711130.0,-73.830585,40.713725,0,NCCS_Form990_2012_Extract_Final,19002,,0.0,0,a,2011,a,2011.0,0.0,a,2011
519,133664043,ARTWATCH INTERNATIONAL INCORPORATED,,47 FIFTH AVE 10B,NEW YORK,NY,10003-0000,10003.0,PROFESSOR BECK,A250,03,15.0,199210.0,1.0,12.0,119.0,0.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201012,2010,2010,2010,3.0,20150,0,5825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,25975,25975,25975.0,13333.0,0.0,1389.0,0.0,56670,-30695,,,275143,,0.0,,0.0,0.0,,0,,275143.0,,275143,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,93,133664043_201012_990,IN,,133664043201012,1336640432010,A25,A,36061.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.46376999999999996,A,611610.0,-73.9948,40.734934,0,NCCS_Form990_2012_Extract_Final,21022,,20150.0,0,c4,2006,c4,2006.0,0.0,c4,2006
672,133652071,LAVENDER LIGHT THE BLACK & PEOPLE OF ALL COLORS LESBIAN & GAY CHOIR,,70 A GREENWICH AVE-BOX 315,NEW YORK,NY,10011-8300,10011.0,CHARLES B BRACK,A23I,03,16.0,199705.0,1.0,12.0,89.0,431.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201112,2011,2011,2011,4.0,9481,2908,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,12411,12411,12411.0,0.0,5405.0,0.0,0.0,11035,1376,5000.0,20153.0,26529,0.0,0.0,0.0,0.0,0.0,0.0,0,20153.0,26529.0,20153.0,26529,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2010pc,201012.0,2010.0,93.0,14761.0,19292.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,34117.0,29394.0,4723.0,0.0,10500.0,0.0,0.0,93,133652071_201112_990O,IN,,133652071201112,1336520712011,A6B,A,36061.0,5602.0,5600.0,A6B,A,PC,O,AR,A,A,1,AR,AR,AR,0.6209399999999999,A,711130.0,-73.9997,40.7409,0,NCCS_Form990_2012_Extract_Final,26684,,9481.0,0,c4,2006,c4,2006.0,0.0,c4,2006
1642,133702133,FRIENDS OF RADIO MARIA INC,RADIO MARIA,7005 FRESH POND RD,RIDGEWOOD,NY,11385-5901,11385.0,,,03,15.0,199407.0,1.0,12.0,7.0,29.0,121.0,3.0,1.0,1.0,1.0,10.0,0.0,201112,2011,2011,2011,3.0,317460,32500,3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,353694,353694,353694.0,0.0,36000.0,2258.0,0.0,365440,-11746,3748.0,359920.0,157425,0.0,0.0,0.0,0.0,0.0,194497.0,0,0.0,0.0,165423.0,157425,N,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2010pc,201012.0,2010.0,93.0,306385.0,34731.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,342316.0,296139.0,46177.0,0.0,0.0,2548.0,0.0,93,133702133_201112_990,IN,,133702133201112,1337021332011,A30,A,36081.0,5602.0,5600.0,A30,A,PC,O,AR,A,A,1,AR,AR,AR,0.49663999999999997,B,510000.0,-73.894804959,40.702031459000004,0,NCCS_Form990_2012_Extract_Final,80046,,302832.0,0,c4,2005,c4,2005.0,14628.0,c4,2005
1703,202113343,HAND CRAFTING JUSTICE,,2530 21ST AVE,ASTORIA,NY,11105-2922,11105.0,MAUREEN MCGOWAN,,03,10.0,194603.0,5.0,6.0,31.0,150.0,120.0,9.0,1.0,1.0,1.0,60.0,928.0,201112,2011,2011,2011,3.0,270815,0,1371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,458325,289762,168563,689.0,441438,441438,731200.0,0.0,175593.0,0.0,0.0,459542,-18104,0.0,844555.0,794837,0.0,0.0,0.0,0.0,0.0,65837.0,34223,220794.0,0.0,778718.0,760614,N,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2010pc,201012.0,2010.0,93.0,99628.0,0.0,0.0,-282.0,0.0,0.0,0.0,0.0,169529.0,0.0,268875.0,460944.0,-192069.0,0.0,137049.0,6902.0,0.0,93,202113343_201112_990,IN,,202113343201112,2021133432011,A40,A,36081.0,5602.0,5600.0,A40,A,PC,O,AR,A,A,1,AR,AR,AR,0.22124000000000002,A,710000.0,-73.91139074899999,40.780032524,0,NCCS_Form990_2012_Extract_Final,80109,,177328.0,0,c4,2007,c4,2007.0,93487.0,c4,2007
4152,582640089,UTPL-NY INC,,8658 MIDLAND PKWY,JAMAICA,NY,11432-3042,11432.0,,A23,3,15.0,200203.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201012,2010,2010,2010,3.0,0,423430,1158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,424588,424588,424588.0,42674.0,30498.0,14586.0,0.0,380648,43940,25020.0,1104339.0,1173299,0.0,0.0,0.0,0.0,908000.0,908000.0,908000,0.0,0.0,196339.0,265299,N,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2010pc,200912.0,2009.0,93.0,0.0,365537.0,0.0,2062.0,0.0,0.0,0.0,0.0,0.0,0.0,367599.0,279867.0,87732.0,31800.0,36287.0,7317.0,0.0,93,582640089_201012_990,IN,,582640089201012,5826400892010,A23,A,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.7378399999999999,B,710000.0,-73.782815,40.714169,0,NCCS_Form990_2012_Extract_Final,82981,,0.0,0,a,2010,a,2010.0,0.0,a,2010
4314,111532426,THE BROOKLYN QUEENS CONSERVATORY OF MUSIC,,58 7TH AVE,BROOKLYN,NY,11217-3608,11217.0,,A6E0,3,11.0,194812.0,1.0,6.0,46.0,119.0,30.0,3.0,2.0,1.0,1.0,10.0,0.0,201106,2011,2010,2010,3.0,653759,2050280,297,0.0,0.0,12072.0,0.0,12072.0,0.0,0.0,0.0,12072.0,0.0,12072.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,39635.0,2756043,2756043,2756043.0,48132.0,1630499.0,119729.0,0.0,2731423,24620,0.0,2082684.0,2271257,0.0,0.0,250000.0,250000.0,0.0,726638.0,890591,0.0,0.0,1356046.0,1380666,N,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2010pc,201006.0,2010.0,93.0,404341.0,2028832.0,0.0,976.0,13267.0,0.0,0.0,0.0,0.0,21436.0,2468852.0,2805074.0,-336222.0,203366.0,1739365.0,138497.0,0.0,93,111532426_201106_990,IN,,111532426201106,1115324262011,A6E,A,36047.0,5602.0,5600.0,A6E,A,PC,O,AR,A,A,1,AR,AR,AR,0.39436,A,611610.0,-73.974272929,40.675659764,0,NCCS_Form990_2012_Extract_Final,83190,,542234.0,111525,c4,2006,c4,2006.0,0.0,c4,2006
