,EIN,NAME,SEC_NAME,ADDRESS,CITY,STATE,ZIP,ZIP5,CONTACT,NTEEIRS,SUBSECCD,FNDNCD,RULEDATE,ORGCD,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,CLASSCD,DEDUCTCD,EOSTATUS,FRCD,GEN,TAXPER,FISYR,SOIYR,STYEAR,subcd,CONT,PROGREV,INVINC,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,RENTINC,rntlexpnsreal,rntlexpnsprsnl,RENTEXP,rntlincreal,rntlincprsnl,NETRENT,SECUR,SALEOTHG,SALESEXP,SALEOTHE,SALESECN,SALEOTHN,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,SPEVTG,DIREXP,FUNDINC,INVENTG,GOODS,GRPROF,OTHINC,TOTREV2,TOTREV,GRREC,COMPENS,OTHSAL,PAYTAX,FUNDFEES,EXPS,NETINC,OTHCHGS,ASS_BOY,ASS_EOY,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,unsecurednotesend,LIAB_BOY,LIAB_EOY,RETE_BOY,RETEARN,NETA_BOY,FUNDBAL,Q78A,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,REASON,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,inPrior,inPriorSrc,taxperP,fisyrP,doccdP,contP,progrevP,duesP,invincP,netrentP,salesecnP,saleothnP,fundincP,grprofP,othincP,totrevP,expsP,netincP,compensP,othsalP,paytaxP,fundfeesP,DocCD,FileName,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,nteeFinal,nteeFinal1,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NAICS,LONGITUDE,LATITUDE,epostcard,SOURCE,KeyID,VERIFY,GovGtEstimate,GovGtCode,GovGtYr,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,EmployEstimate,EmployCode,EmployYr
119,113604756,ARAB AMERICAN ASSOCIATION OF NY INC,,7111 5TH AVE,BROOKLYN,NY,11209-1608,11209.0,,P840,3,15.0,200309.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201112,2011,2011,2011,3.0,297532,0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,59965.0,17408.0,42557.0,0.0,0.0,0.0,59965,17408,42557,0,0,0,2629,342813,342813,360221.0,36453.0,0.0,2785.0,3000.0,243847,98966,,64573.0,198051,0.0,0.0,0.0,0.0,0.0,0.0,34512,0.0,0.0,64573.0,163539,N,0,0,0.0,0.0,7,491151.0,0.0,0.0,116.0,340184.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201012.0,2010.0,93.0,136486.0,0.0,0.0,21.0,7173.0,0.0,0.0,14576.0,0.0,0.0,158256.0,111676.0,46580.0,0.0,8520.0,2557.0,0.0,93,113604756_201112_990,IN,,113604756201112,1136047562011,A23,A,36047.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.17397,A,710000.0,-74.021274145,40.632305488,0,rtf2013_990_VER,231,,0,c4,2006,297532,c4,2006,0,c4,2006,4,ag,0
631,133891881,UPTOWN DANCE ACADEMY INC,,167 E 121ST ST,NEW YORK,NY,10035-3524,10035.0,,A250,3,16.0,199706.0,1.0,12.0,995.0,90.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,201112,2011,2011,2011,3.0,65281,283963,90,0.0,0.0,31330.0,0.0,31330.0,0.0,0.0,0.0,31330.0,0.0,31330.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,380664,380664,380664.0,0.0,0.0,0.0,5000.0,379378,1286,,,50284,,0.0,,0.0,0.0,,0,,0.0,,50284,N,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,93,133891881_201112_990,IN,,133891881201112,1338918812011,A25,A,36061.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.71537,A,611610.0,-73.9386036,40.8015977,0,rtf2013_990_VER,1260,,0,c4,2006,65281,c4,2006,0,c4,2006,0,a,2011
727,134000578,NEW YORK CITY POLICE MUSEUM,,100 OLD SLIP,NEW YORK,NY,10005-0000,10005.0,CAROL SAFIR,A540,3,15.0,199807.0,1.0,6.0,994.0,60.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,524040,289969,32552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,53000.0,84399.0,-31399.0,0.0,0.0,0.0,53000,84399,-31399,497249,236219,261030,0,1076192,1076192,1396810.0,112115.0,298719.0,35306.0,0.0,897385,178807,,1741288.0,1972023,0.0,0.0,0.0,0.0,0.0,57100.0,116477,0.0,0.0,1684188.0,1855546,N,0,0,0.0,0.0,7,2746774.0,0.0,1875000.0,118528.0,1529398.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201106.0,2011.0,93.0,340257.0,247797.0,0.0,28140.0,0.0,486.0,208.0,3707.0,234413.0,0.0,855008.0,836315.0,18693.0,112115.0,265856.0,34975.0,0.0,93,134000578_201206_990,IN,,134000578201206,1340005782012,A54,A,36061.0,5602.0,5600.0,A54,A,PC,O,AR,A,A,1,AR,AR,AR,0.60037,B,712110.0,-74.00823559999999,40.7035553,0,rtf2013_990_VER,1421,,384587,c4,2004,139453,c4,2004,0,c4,2004,34,ag,0
835,421582024,ION THEATER,,7522 13TH AVE,BROOKLYN,NY,11228-2410,11228.0,R GIRASOLE CPA,A65,3,15.0,200310.0,1.0,6.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201106,2011,2010,2010,3.0,154449,62536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,216985,216985,216985.0,0.0,0.0,0.0,0.0,210991,5994,,1460.0,7454,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1460.0,7454,N,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,347844.0,83536.0,0.0,0.0,0.0,431380.0,1,core2011pc,201006.0,2010.0,92.0,129087.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150087.0,148627.0,1460.0,0.0,0.0,0.0,0.0,93,421582024_201106_990,IN,,421582024201106,4215820242011,A65,A,36047.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.84849,B,711110.0,,,0,rtf2013_990_VER,1747,,31404,ar,0,120888,ar,0,2157,ar,0,0,a,2011
990,237176396,WEST INDIAN AMERICAN DAY CARNIVAL ASSN,,PO BOX 130192,BROOKLYN,NY,11213-0192,11213.0,THOMAS BAILEY,A230,3,16.0,197211.0,1.0,12.0,999.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201112,2011,2011,2011,3.0,320281,646133,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,966422,966422,966422.0,0.0,105487.0,8863.0,0.0,930390,36032,,34838.0,70870,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,34838.0,70870,N,0,0,0.0,0.0,7,2223687.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201012.0,2010.0,93.0,760166.0,535131.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1295394.0,1208329.0,87065.0,0.0,131444.0,11639.0,0.0,93,237176396_201112_990,IN,,237176396201112,2371763962011,A23,A,36047.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.86485,B,710000.0,-73.9366,40.6708,0,rtf2013_990_VER,2172,,86743,c4,2005,233538,c4,2005,0,c4,2005,9,ag,0
1357,133204608,THEATRETWEED INC,,332 BLEECKER ST STE G 36,NEW YORK,NY,10014-2980,10014.0,,A650,3,16.0,198405.0,1.0,7.0,88.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,201207,2012,2011,2011,3.0,24723,1153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,25876,25876,25876.0,0.0,0.0,0.0,0.0,7586,18290,,3796.0,24956,0.0,0.0,0.0,0.0,0.0,7391.0,10261,0.0,0.0,-3595.0,14695,N,0,0,0.0,0.0,7,91698.0,0.0,0.0,0.0,1153.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201107.0,2011.0,93.0,9775.0,12107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21882.0,19444.0,2438.0,0.0,0.0,0.0,0.0,93,133204608_201207_990,IN,,133204608201207,1332046082012,A65,A,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.39712,A,711110.0,-74.004165711,40.733958733,0,rtf2013_990_VER,2772,,5027,ar,0,19351,ar,0,345,ar,0,0,a,2012
1484,131997644,AMERICAN PLACE THEATRE INC,,1 E 53RD ST FL 8,NEW YORK,NY,10022-4233,10022.0,JENNIFER BARNETTE,A65Z,3,15.0,196407.0,1.0,6.0,59.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,210277,336894,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,547171,547171,547171.0,107075.0,138333.0,22858.0,0.0,640636,-93465,,124829.0,95262,0.0,0.0,11296.0,11123.0,0.0,31364.0,95262,0.0,0.0,93465.0,0,N,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,1422286.0,1949893.0,0.0,0.0,232.0,3382084.0,1,core2011pc,201106.0,2011.0,93.0,211082.0,481693.0,0.0,13.0,0.0,0.0,0.0,-2046.0,0.0,0.0,690742.0,747488.0,-56746.0,135509.0,206052.0,32549.0,0.0,93,131997644_201206_990,IN,,131997644201206,1319976442012,A65,A,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.69929,A,711110.0,-73.99161,40.760075,0,rtf2013_990_VER,2989,,30114,c4,2006,180163,c4,2006,0,c4,2006,20,ag,0
1801,20666545,ANNA DEAVERE SMITH WORKS INC,,20 COOPER SQ,NEW YORK,NY,10003-7112,10003.0,TISCH SCHOOL OF THE ARTS,A20,3,15.0,200411.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201112,2011,2011,2011,3.0,287995,0,-3961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,284034,284034,284034.0,70000.0,0.0,0.0,0.0,110199,173835,,134955.0,319114,0.0,0.0,0.0,0.0,0.0,0.0,15824,134955.0,0.0,134955.0,303290,N,0,0,0.0,0.0,7,503095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201012.0,2010.0,93.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,107937.0,92063.0,0.0,14538.0,1778.0,0.0,93,020666545_201112_990,IN,,20666545201112,206665452011,A20,A,36061.0,5602.0,5600.0,A20,A,PC,O,AR,A,A,1,AR,AR,AR,0.5549,B,710000.0,-73.99122957899999,40.728373578,0,rtf2013_990_VER,4206,,15799,ar,0,265934,ar,0,6262,ar,0,8,ag,0
1854,112558552,BHARATIYA VIDYA BHAVAN USA INC,,305 7TH AVE FL 17,NEW YORK,NY,10001-6116,10001.0,,A230,3,15.0,198503.0,1.0,12.0,90.0,0.0,0.0,6.0,1.0,1.0,1.0,10.0,9250.0,201112,2011,2011,2011,3.0,0,32964,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20433,53403,53403,53403.0,6000.0,0.0,459.0,0.0,115871,-62468,,-16178.0,-7285,0.0,0.0,0.0,0.0,0.0,121036.0,192397,-331051.0,-393519.0,-137214.0,-199682,N,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,1303570.0,9846.0,0.0,0.0,2706.0,1316122.0,1,core2011pc,201012.0,2010.0,93.0,0.0,93720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33770.0,127490.0,194127.0,-66637.0,25754.0,2000.0,2123.0,0.0,93,112558552_201112_990,IN,,112558552201112,1125585522011,A23,A,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.6059399999999999,B,710000.0,-73.9938181,40.747034899999996,0,rtf2013_990_VER,4359,,0,a,2011,0,a,2011,0,a,2011,1,ag,0
1931,237170675,BRONX OPERA COMPANY INC,,5 MINERVA PLACE,BRONX,NY,10468-1647,10468.0,,A6A0,3,15.0,197202.0,1.0,7.0,119.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201207,2012,2011,2011,3.0,220086,34491,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,255303,255303,255303.0,16753.0,88990.0,10458.0,0.0,249171,6132,,154456.0,135588,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,154456.0,135588,N,0,0,0.0,0.0,7,1116843.0,0.0,0.0,2622.0,168171.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201107.0,2011.0,93.0,222677.0,29764.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,252963.0,244186.0,8777.0,8000.0,90060.0,10630.0,0.0,93,237170675_201207_990,IN,,237170675201207,2371706752012,A6A,A,36005.0,5602.0,5600.0,A6A,A,PC,O,AR,A,A,1,AR,AR,AR,0.34434000000000003,A,711130.0,-73.890829857,40.871530714,0,rtf2013_990_VER,4554,,108874,c4,2006,111212,c4,2006,0,c4,2006,16,ar,0
