,KeyID,EIN,DocCD,TAXPER,NTEEIRS,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA,LONGITUDE,LATITUDE,NAICS,VerifyBy
320,362,10733159,91,201212,A70,1.0,2012,Y,,,3,50000,16,0,0,0,5625,0,0,55641,47994,7647,49118,5395,5641,774348,0,0,0,0,488,774348,0,12940,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,5641,5641,47994,246,49118,246,0,0,0,0,774348,0,773860,108,0,0,0,0,0,0,0,0,108,262745,0,5641,0,0,0,5641,49118,70205,83361,46796,249480,1,768071,321949,205890,1295910,0,500000,96000,96000,692000,8627,7483,3321,4031,23462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,10733159201212,107331592012,NCCS_Form990PF_2012_Extract,108,0,10011.0,FELIX GONZALEZ-TORRES FOUNDATION,ANDREA M ROSEN,525 W 24TH ST,NEW YORK,NY,10011-1104,0.0,3.0,1.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.60223,B,A70,A,36061.0,5602.0,5600.0,-74.004551582,40.748714031,710000.0,
1268,1526,30420728,91,201210,A50,1.0,2011,Y,,,3,398001,3,0,20000,0,13588,0,0,431592,467196,-35604,322576,20003,0,299388,0,0,0,0,30000,299388,0,2166,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,20003,13591,467196,0,322576,0,144620,16468,0,0,299388,30000,269388,400,0,0,0,0,0,0,0,0,400,43973,0,1,0,0,0,1,322576,423275,398286,306382,1450519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,462002,464502,394500,1321004,0,462002,464502,394500,1321004,0,0,0,0,0,2012,30420728201210,304207282012,NCCS_Form990PF_2012_Extract,400,0,10022.0,COURAGEOUS FOUNDATION,CRAIG J MILLARD,410 PARK AVE STE 1710,NEW YORK,NY,10022-9433,0.0,3.0,2.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,,,,,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.2352,B,A50,A,36061.0,5602.0,5600.0,-73.98866605,40.74327165,712110.0,
1288,1546,30453739,91,201303,B05,1.0,2012,Y,,,3,60,0,0,0,0,0,0,0,60,60,0,0,0,0,1,0,0,0,0,0,0,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,30453739201303,304537392013,NCCS_Form990PF_2012_Extract,0,0,11352.0,GLOBE CONSULTATIVE REVIEW FOUNDATION M S ED DIRECTOR,F HOPE,PO BOX 520694,FLUSHING,NY,11352-0694,0.0,3.0,1.0,200510.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,,,,,,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.30572,A,A33,A,36081.0,5602.0,5600.0,-73.8233,40.7613,511100.0,
1364,1635,30562344,91,201203,A50,1.0,2011,Y,,,3,38802,1,0,0,0,0,0,0,38803,36208,2595,34818,1,0,31699,0,0,0,0,0,31699,0,1167,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,36208,0,34818,0,0,10657,0,0,31699,0,31699,0,0,0,0,0,0,0,0,0,0,23693,0,1,0,0,20,20,34818,47103,41521,2828,126270,31699,29104,28996,59748,149547,0,0,0,0,0,778,677,1873,1474,4802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,30562344201203,305623442012,NCCS_Form990PF_2012_Extract,0,0,10003.0,SYLVIA WALD AND PO KIM ART GALLERY,ANCHIN BLOCK & ANCHIN LLP,417 LAFAYETTE ST FL 4,NEW YORK,NY,10003-7010,0.0,3.0,2.0,200606.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,,,,,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.71258,A,A51,A,36061.0,5602.0,5600.0,-73.987580422,40.752422632,712110.0,
2771,3184,43649708,91,201212,A51,1.0,2012,Y,,,3,0,25,0,0,0,106,0,0,131,1276,-1145,600,0,0,48870,0,0,0,0,1,48870,0,2454,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,25,131,1276,25,600,25,651,48870,0,0,48870,0,48870,0,0,0,0,0,0,0,0,0,0,49829,2454,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,43649708201212,436497082012,NCCS_Form990PF_2012_Extract,0,0,10025.0,PISANO CHASE CATALOGUE RAISONNE PROJECT INC,D FREDERICK BAKER,375 RIVERSIDE DR APT 13B,NEW YORK,NY,10025-2149,0.0,3.0,2.0,200302.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.02897,B,A51,A,36061.0,5602.0,5600.0,-73.9681089,40.80470527,712110.0,
2875,3306,43789287,91,201212,A20,1.0,2012,N,,,3,0,18,0,0,0,0,0,0,18,900,-881,0,18,18,8868,0,0,0,0,0,8868,485,458,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,18,18,900,0,0,0,0,0,0,0,8868,0,8869,0,0,0,0,0,0,0,0,0,0,9309,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,43789287201212,437892872012,NCCS_Form990PF_2012_Extract,0,0,10103.0,STAEDEL FRIENDS INC,STEVEN H THAL,666 FIFTH AVE 28 FL,NEW YORK,NY,10103-0001,0.0,3.0,2.0,200405.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,12.0,,,,,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9892299999999999,B,A20,A,36061.0,5602.0,5600.0,-73.9752,40.7577,710000.0,
3437,4349,46124122,91,201212,,1.0,2012,N,,,3,0,0,11715,13844,0,7567,0,31552,33126,40208,-7082,31552,18569,0,519470,0,412832,0,412832,0,737022,0,35961,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,25560,0,8656,6991,0,6991,0,0,0,3921,737022,0,519470,371,0,0,900,0,0,0,0,529,371,730176,34160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,46124122201212,461241222012,NCCS_Form990PF_2012_Extract,-529,529,10016.0,NATHANIEL SALTONSTALL ARTS FUND,BEHAN LING & RUTA CPAS PC,475 PARK AVE S 31ST F,NEW YORK,NY,10016-0000,0.0,3.0,1.0,196101.0,1.0,4.0,602.0,0.0,0.0,2.0,1.0,12.0,,,,,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.7041,B,A12,A,36061.0,5602.0,5600.0,-73.982530475,40.745999878,813219.0,
3447,4360,46128361,91,201212,,1.0,2012,N,,,3,0,0,37861,5860,0,0,0,76250,43721,134248,-90527,76250,30548,0,1219539,290366,249468,257209,797043,0,1310001,0,68731,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,43721,0,57998,13173,0,13173,0,97006,0,325490,1310001,0,1219539,611,0,0,84,0,1100,0,5,568,611,1395559,68120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,46128361201212,461283612012,NCCS_Form990PF_2012_Extract,-568,568,10001.0,KOUSSEVITZKY MUSIC FOUNDATION INC,LAW OFFICES OF JAMES M KENDRICK L,254 W 31ST ST FL 15,NEW YORK,NY,10001-2813,0.0,3.0,1.0,194206.0,1.0,4.0,119.0,40.0,0.0,1.0,1.0,12.0,,,,,,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.07504,A,A68,A,36061.0,5602.0,5600.0,,,711130.0,
5065,6273,61532031,91,201212,A12,1.0,2012,N,,,3,0,0,0,0,0,0,0,58000,1,62250,-62250,58000,0,0,1021258,0,0,0,0,58250,1074425,0,52916,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,4250,0,0,0,0,3258,0,0,1074425,0,963008,0,0,0,0,0,0,0,0,0,0,1074426,52916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,61532031201212,615320312012,NCCS_Form990PF_2012_Extract,0,0,10106.0,ALEPH FOUNDATION FOR HUMANITIES,EURISTATES INC,888 7TH AVE STE 1101,NEW YORK,NY,10106-0206,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8205100000000001,A,A70,A,36061.0,5602.0,5600.0,-73.980614571,40.764991570999996,710000.0,
5286,6515,61633557,91,201212,B820,1.0,2012,N,,,3,10825,92,0,0,0,0,2500,24000,10917,29374,-18457,29274,0,0,57458,0,0,0,0,0,57458,0,3574,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,0,0,92,0,5374,100,5274,100,0,15800,0,0,57458,0,57458,0,0,0,0,0,0,0,0,0,0,72575,3574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,61633557201212,616335572012,NCCS_Form990PF_2012_Extract,0,0,10027.0,DOUGLAS MOORE FUND FOR AMERICAN OPERA INC,JAMES STEPLETON,120 CLAREMONT AVE,NEW YORK,NY,10027-4689,0.0,3.0,1.0,200208.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,12.0,,,,,,A6A,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9293600000000001,A,A6A,A,36061.0,5602.0,5600.0,-73.942194,40.74586,711130.0,
